agent_id,domain,case,candidate,method_signature,shared_structure,result,area,delay,adp,source_csv,notes,candidate_id,representation,log_path,aig_path,status,old_adp,structure_family,shared_nodes_or_terms,outputs_covered,expected_benefit,observed_qor,hypothesis,output_grouping,run_id,family,evidence_path,equivalent,sharing_strategy,observed_structure,outcome,families_attempted,candidate_count,equivalent_count,best_candidate,best_adp,current_frontend_adp,reference_adp,verilog_path,evaluate_log_path
unknown-ex286-agent,unknown,ex286,ex286_bucket_count_cover_sop_selectors_first,ex286|hamming_weight_preserving_lossy_routing_normalizer|bucket_count_cover_sop_selectors_first|shared_home_bucket_counters_invalid_key_cube_cover|yosys_abc_g_aig|abc_xf_official_evaluate|per_output_cover_terms,shared home-bucket counters plus selector wires and invalid-key cube covers,,,,,student/frontend_campaigns/campaigns/ex223_ex299_frontend_parallel_deep_20260614_0943/agent_shards/unknown-ex286-agent/shared_structure_report.csv,cover_order=selectors_first; key_width=15; mapped_keys=4608; cover_stats=b0:cubes=344:on=2202:lits=2777;b1:cubes=261:on=2304:lits=1960;b2:cubes=247:on=2304:lits=1860;b3:cubes=253:on=2304:lits=1915;b4:cubes=335:on=2229:lits=2665;b5:cubes=121:on=2304:lits=779;b6:cubes=121:on=2304:lits=777;b7:cubes=121:on=2304:lits=777;b8:cubes=323:on=2406:lits=2530;b9:cubes=261:on=2304:lits=1960;b10:cubes=247:on=2304:lits=1862;b11:cubes=253:on=2304:lits=1915;b12:cubes=338:on=2379:lits=2669,ex286_bucket_count_cover_sop_selectors_first,bucket_count_cover_sop,,,,,,,,,,,,,,,,,,,,,,,,,,,
unknown-ex286-agent,unknown,ex286,ex286_bucket_class_mtbdd_selectors_then_counts,ex286|hamming_weight_preserving_lossy_routing_normalizer|bucket_class_mtbdd_selectors_then_counts|shared_home_bucket_counters_fullword_descriptor_dag|yosys_abc_g_aig|abc_xf_official_evaluate|full_word_mtbdd_leaves,shared home-bucket counters plus full-word reduced descriptor MTBDD,,,,,student/frontend_campaigns/campaigns/ex223_ex299_frontend_parallel_deep_20260614_0943/agent_shards/unknown-ex286-agent/shared_structure_report.csv,mtbdd_order=selectors_then_counts; key_width=15; mapped_keys=4608; nodes=4591; leaves=2233,ex286_bucket_class_mtbdd_selectors_then_counts,bucket_class_decision_dag,,,,,,,,,,,,,,,,,,,,,,,,,,,
unknown-ex287-agent,unknown,ex287,ex287_deep_current_selector_d14,,,,,,,student/frontend_campaigns/campaigns/ex223_ex299_frontend_parallel_deep_20260614_0943/agent_shards/unknown-ex287-agent/shared_structure_report.csv,"local copy of current frontend source; tests delay-constrained frontend synthesis from Verilog, not existing-AIG remap",ex287_deep_current_selector_d14,,,,,,family_a_symcof_source_rewrite,known_three_pair_symmetry_key_and_group_bdd_cofactors,14,improve source-level sharing or delay from a distinct frontend representation,1826/15/27390,,,,,,,,,,,,,,,,,,
unknown-ex287-agent,unknown,ex287,ex287_deep_vector_mask_flat_d14,,,,,,,student/frontend_campaigns/campaigns/ex223_ex299_frontend_parallel_deep_20260614_0943/agent_shards/unknown-ex287-agent/shared_structure_report.csv,rewrites per-bit onehot class mux into full-word vector mask OR,ex287_deep_vector_mask_flat_d14,,,,,,family_a_symcof_source_rewrite,class vector masks over existing group BDD cofactors,14,improve source-level sharing or delay from a distinct frontend representation,1843/15/27645,,,,,,,,,,,,,,,,,,
unknown-ex287-agent,unknown,ex287,ex287_deep_vector_mask_twostage,,,,,,,student/frontend_campaigns/campaigns/ex223_ex299_frontend_parallel_deep_20260614_0943/agent_shards/unknown-ex287-agent/shared_structure_report.csv,rewrites class mux as four balanced vector OR groups,ex287_deep_vector_mask_twostage,,,,,,family_a_symcof_source_rewrite,class vector masks grouped by outer-key octets,14,improve source-level sharing or delay from a distinct frontend representation,1847/15/27705,,,,,,,,,,,,,,,,,,
unknown-ex287-agent,unknown,ex287,ex287_deep_k4_source_d14,,,,,,,student/frontend_campaigns/campaigns/ex223_ex299_frontend_parallel_deep_20260614_0943/agent_shards/unknown-ex287-agent/shared_structure_report.csv,revisits the known lower-area k4 source only to test whether delay-targeted frontend synthesis cuts delay,ex287_deep_k4_source_d14,,,,,,family_a_symcof_source_rewrite,known_three_pair_symmetry_key_and_group_bdd_cofactors,14,improve source-level sharing or delay from a distinct frontend representation,1714/16/27424,,,,,,,,,,,,,,,,,,
unknown-ex287-agent,unknown,ex287,ex287_deep_k4_source_d15,,,,,,,student/frontend_campaigns/campaigns/ex223_ex299_frontend_parallel_deep_20260614_0943/agent_shards/unknown-ex287-agent/shared_structure_report.csv,revisits the known lower-area k4 source only to test whether delay-targeted frontend synthesis cuts delay,ex287_deep_k4_source_d15,,,,,,family_a_symcof_source_rewrite,known_three_pair_symmetry_key_and_group_bdd_cofactors,14,improve source-level sharing or delay from a distinct frontend representation,1714/16/27424,,,,,,,,,,,,,,,,,,
unknown-ex287-agent,unknown,ex287,ex287_deep_k4_vector_mask_d14,,,,,,,student/frontend_campaigns/campaigns/ex223_ex299_frontend_parallel_deep_20260614_0943/agent_shards/unknown-ex287-agent/shared_structure_report.csv,combines the lower-area k4 source with full-word vector mask output grouping,ex287_deep_k4_vector_mask_d14,,,,,,family_a_symcof_source_rewrite,class vector masks over lower-area k4 group BDD cofactors,14,improve source-level sharing or delay from a distinct frontend representation,1700/16/27200,,,,,,,,,,,,,,,,,,
unknown-ex287-agent,unknown,ex287,ex287_deep_k4_vector_mask_plain,,,,,,,student/frontend_campaigns/campaigns/ex223_ex299_frontend_parallel_deep_20260614_0943/agent_shards/unknown-ex287-agent/shared_structure_report.csv,same lower-area k4 vector-mask source without a delay target,ex287_deep_k4_vector_mask_plain,,,,,,family_a_symcof_source_rewrite,class vector masks over lower-area k4 group BDD cofactors,14,improve source-level sharing or delay from a distinct frontend representation,1700/16/27200,,,,,,,,,,,,,,,,,,
unknown-ex287-agent,unknown,ex287,ex287_deep_k4_vector_mask_d13,,,,,,,student/frontend_campaigns/campaigns/ex223_ex299_frontend_parallel_deep_20260614_0943/agent_shards/unknown-ex287-agent/shared_structure_report.csv,same lower-area k4 vector-mask source with tighter delay target,ex287_deep_k4_vector_mask_d13,,,,,,family_a_symcof_source_rewrite,class vector masks over lower-area k4 group BDD cofactors,14,improve source-level sharing or delay from a distinct frontend representation,1700/16/27200,,,,,,,,,,,,,,,,,,
