case,domain,agent_id,candidate_id,hypothesis,representation,shared_structure,notes
ex297,unknown,local-unknown-source-r58,ex297_ex297_symbol_plane_default_function_default_raw,FP8 source predicate/table restructuring,ex297_symbol_plane_default_function + default + raw,factor per-selector majority default into a shared default_out(sel) function,synth=default; post=raw; project default proc/techmap/abc AND/aigmap
ex297,unknown,local-unknown-source-r58,ex297_ex297_symbol_plane_default_function_extra_share_raw,FP8 source predicate/table restructuring,ex297_symbol_plane_default_function + extra_share + raw,factor per-selector majority default into a shared default_out(sel) function,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap
ex297,unknown,local-unknown-source-r58,ex297_ex297_symbol_plane_default_function_abc_g_aig_raw,FP8 source predicate/table restructuring,ex297_symbol_plane_default_function + abc_g_aig + raw,factor per-selector majority default into a shared default_out(sel) function,synth=abc_g_aig; post=raw; Yosys abc gate set aig
ex297,unknown,local-unknown-source-r58,ex297_ex297_symbol_plane_default_function_synth_preset_raw,FP8 source predicate/table restructuring,ex297_symbol_plane_default_function + synth_preset + raw,factor per-selector majority default into a shared default_out(sel) function,synth=synth_preset; post=raw; Yosys synth -flatten then abc/aigmap
ex297,unknown,local-unknown-source-r58,ex297_ex297_symbol_plane_case_attrs_default_raw,FP8 source predicate/table restructuring,ex297_symbol_plane_case_attrs + default + raw,add full_case/parallel_case attributes to selector and inner exception cases,synth=default; post=raw; project default proc/techmap/abc AND/aigmap
ex297,unknown,local-unknown-source-r58,ex297_ex297_symbol_plane_case_attrs_extra_share_raw,FP8 source predicate/table restructuring,ex297_symbol_plane_case_attrs + extra_share + raw,add full_case/parallel_case attributes to selector and inner exception cases,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap
ex297,unknown,local-unknown-source-r58,ex297_ex297_symbol_plane_case_attrs_abc_g_aig_raw,FP8 source predicate/table restructuring,ex297_symbol_plane_case_attrs + abc_g_aig + raw,add full_case/parallel_case attributes to selector and inner exception cases,synth=abc_g_aig; post=raw; Yosys abc gate set aig
ex297,unknown,local-unknown-source-r58,ex297_ex297_symbol_plane_case_attrs_synth_preset_raw,FP8 source predicate/table restructuring,ex297_symbol_plane_case_attrs + synth_preset + raw,add full_case/parallel_case attributes to selector and inner exception cases,synth=synth_preset; post=raw; Yosys synth -flatten then abc/aigmap
ex297,unknown,local-unknown-source-r58,ex297_ex297_symbol_plane_default_function_case_attrs_default_raw,FP8 source predicate/table restructuring,ex297_symbol_plane_default_function_case_attrs + default + raw,factor selector defaults and add case attributes to exception cases,synth=default; post=raw; project default proc/techmap/abc AND/aigmap
ex297,unknown,local-unknown-source-r58,ex297_ex297_symbol_plane_default_function_case_attrs_extra_share_raw,FP8 source predicate/table restructuring,ex297_symbol_plane_default_function_case_attrs + extra_share + raw,factor selector defaults and add case attributes to exception cases,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap
ex297,unknown,local-unknown-source-r58,ex297_ex297_symbol_plane_default_function_case_attrs_abc_g_aig_raw,FP8 source predicate/table restructuring,ex297_symbol_plane_default_function_case_attrs + abc_g_aig + raw,factor selector defaults and add case attributes to exception cases,synth=abc_g_aig; post=raw; Yosys abc gate set aig
ex297,unknown,local-unknown-source-r58,ex297_ex297_symbol_plane_default_function_case_attrs_synth_preset_raw,FP8 source predicate/table restructuring,ex297_symbol_plane_default_function_case_attrs + synth_preset + raw,factor selector defaults and add case attributes to exception cases,synth=synth_preset; post=raw; Yosys synth -flatten then abc/aigmap
