case,domain,agent_id,candidate_id,equivalent,area,delay,adp,verilog_path,aig_path,evaluate_log,notes
ex297,unknown,local-unknown-source-r58,ex297_ex297_symbol_plane_default_function_default_raw,1,36446,22,801812,student/work/ex297_frontend_source_only_round58_20260613_1130/local-unknown-source-r58/ex297/ex297_symbol_plane_default_function/verilog/ex297_symbol_plane_default_function.v,student/work/ex297_frontend_source_only_round58_20260613_1130/local-unknown-source-r58/ex297/ex297_symbol_plane_default_function/aigs/ex297_ex297_symbol_plane_default_function_default_raw.aig,student/work/ex297_frontend_source_only_round58_20260613_1130/local-unknown-source-r58/ex297/ex297_symbol_plane_default_function/logs/ex297_ex297_symbol_plane_default_function_default_raw.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/ex297_frontend_source_only_round58_20260613_1130/local-unknown-source-r58/ex297/ex297_symbol_plane_default_function/logs/ex297_symbol_plane_default_function_default.yosys.log; abc_log=student/work/ex297_frontend_source_only_round58_20260613_1130/local-unknown-source-r58/ex297/ex297_symbol_plane_default_function/logs/ex297_ex297_symbol_plane_default_function_default_raw.abc.log; synth_sec=21.276; abc_sec=0.000; eval_sec=0.799
ex297,unknown,local-unknown-source-r58,ex297_ex297_symbol_plane_default_function_extra_share_raw,1,36446,22,801812,student/work/ex297_frontend_source_only_round58_20260613_1130/local-unknown-source-r58/ex297/ex297_symbol_plane_default_function/verilog/ex297_symbol_plane_default_function.v,student/work/ex297_frontend_source_only_round58_20260613_1130/local-unknown-source-r58/ex297/ex297_symbol_plane_default_function/aigs/ex297_ex297_symbol_plane_default_function_extra_share_raw.aig,student/work/ex297_frontend_source_only_round58_20260613_1130/local-unknown-source-r58/ex297/ex297_symbol_plane_default_function/logs/ex297_ex297_symbol_plane_default_function_extra_share_raw.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/ex297_frontend_source_only_round58_20260613_1130/local-unknown-source-r58/ex297/ex297_symbol_plane_default_function/logs/ex297_symbol_plane_default_function_extra_share.yosys.log; abc_log=student/work/ex297_frontend_source_only_round58_20260613_1130/local-unknown-source-r58/ex297/ex297_symbol_plane_default_function/logs/ex297_ex297_symbol_plane_default_function_extra_share_raw.abc.log; synth_sec=22.031; abc_sec=0.000; eval_sec=0.789
ex297,unknown,local-unknown-source-r58,ex297_ex297_symbol_plane_default_function_abc_g_aig_raw,1,36450,20,729000,student/work/ex297_frontend_source_only_round58_20260613_1130/local-unknown-source-r58/ex297/ex297_symbol_plane_default_function/verilog/ex297_symbol_plane_default_function.v,student/work/ex297_frontend_source_only_round58_20260613_1130/local-unknown-source-r58/ex297/ex297_symbol_plane_default_function/aigs/ex297_ex297_symbol_plane_default_function_abc_g_aig_raw.aig,student/work/ex297_frontend_source_only_round58_20260613_1130/local-unknown-source-r58/ex297/ex297_symbol_plane_default_function/logs/ex297_ex297_symbol_plane_default_function_abc_g_aig_raw.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/ex297_frontend_source_only_round58_20260613_1130/local-unknown-source-r58/ex297/ex297_symbol_plane_default_function/logs/ex297_symbol_plane_default_function_abc_g_aig.yosys.log; abc_log=student/work/ex297_frontend_source_only_round58_20260613_1130/local-unknown-source-r58/ex297/ex297_symbol_plane_default_function/logs/ex297_ex297_symbol_plane_default_function_abc_g_aig_raw.abc.log; synth_sec=23.824; abc_sec=0.000; eval_sec=0.785
ex297,unknown,local-unknown-source-r58,ex297_ex297_symbol_plane_default_function_synth_preset_raw,1,35988,22,791736,student/work/ex297_frontend_source_only_round58_20260613_1130/local-unknown-source-r58/ex297/ex297_symbol_plane_default_function/verilog/ex297_symbol_plane_default_function.v,student/work/ex297_frontend_source_only_round58_20260613_1130/local-unknown-source-r58/ex297/ex297_symbol_plane_default_function/aigs/ex297_ex297_symbol_plane_default_function_synth_preset_raw.aig,student/work/ex297_frontend_source_only_round58_20260613_1130/local-unknown-source-r58/ex297/ex297_symbol_plane_default_function/logs/ex297_ex297_symbol_plane_default_function_synth_preset_raw.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/ex297_frontend_source_only_round58_20260613_1130/local-unknown-source-r58/ex297/ex297_symbol_plane_default_function/logs/ex297_symbol_plane_default_function_synth_preset.yosys.log; abc_log=student/work/ex297_frontend_source_only_round58_20260613_1130/local-unknown-source-r58/ex297/ex297_symbol_plane_default_function/logs/ex297_ex297_symbol_plane_default_function_synth_preset_raw.abc.log; synth_sec=28.243; abc_sec=0.000; eval_sec=0.782
ex297,unknown,local-unknown-source-r58,ex297_ex297_symbol_plane_case_attrs_default_raw,1,31836,20,636720,student/work/ex297_frontend_source_only_round58_20260613_1130/local-unknown-source-r58/ex297/ex297_symbol_plane_case_attrs/verilog/ex297_symbol_plane_case_attrs.v,student/work/ex297_frontend_source_only_round58_20260613_1130/local-unknown-source-r58/ex297/ex297_symbol_plane_case_attrs/aigs/ex297_ex297_symbol_plane_case_attrs_default_raw.aig,student/work/ex297_frontend_source_only_round58_20260613_1130/local-unknown-source-r58/ex297/ex297_symbol_plane_case_attrs/logs/ex297_ex297_symbol_plane_case_attrs_default_raw.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/ex297_frontend_source_only_round58_20260613_1130/local-unknown-source-r58/ex297/ex297_symbol_plane_case_attrs/logs/ex297_symbol_plane_case_attrs_default.yosys.log; abc_log=student/work/ex297_frontend_source_only_round58_20260613_1130/local-unknown-source-r58/ex297/ex297_symbol_plane_case_attrs/logs/ex297_ex297_symbol_plane_case_attrs_default_raw.abc.log; synth_sec=26.988; abc_sec=0.000; eval_sec=0.779
ex297,unknown,local-unknown-source-r58,ex297_ex297_symbol_plane_case_attrs_extra_share_raw,1,31836,20,636720,student/work/ex297_frontend_source_only_round58_20260613_1130/local-unknown-source-r58/ex297/ex297_symbol_plane_case_attrs/verilog/ex297_symbol_plane_case_attrs.v,student/work/ex297_frontend_source_only_round58_20260613_1130/local-unknown-source-r58/ex297/ex297_symbol_plane_case_attrs/aigs/ex297_ex297_symbol_plane_case_attrs_extra_share_raw.aig,student/work/ex297_frontend_source_only_round58_20260613_1130/local-unknown-source-r58/ex297/ex297_symbol_plane_case_attrs/logs/ex297_ex297_symbol_plane_case_attrs_extra_share_raw.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/ex297_frontend_source_only_round58_20260613_1130/local-unknown-source-r58/ex297/ex297_symbol_plane_case_attrs/logs/ex297_symbol_plane_case_attrs_extra_share.yosys.log; abc_log=student/work/ex297_frontend_source_only_round58_20260613_1130/local-unknown-source-r58/ex297/ex297_symbol_plane_case_attrs/logs/ex297_ex297_symbol_plane_case_attrs_extra_share_raw.abc.log; synth_sec=26.255; abc_sec=0.000; eval_sec=0.789
ex297,unknown,local-unknown-source-r58,ex297_ex297_symbol_plane_case_attrs_abc_g_aig_raw,1,31593,18,568674,student/work/ex297_frontend_source_only_round58_20260613_1130/local-unknown-source-r58/ex297/ex297_symbol_plane_case_attrs/verilog/ex297_symbol_plane_case_attrs.v,student/work/ex297_frontend_source_only_round58_20260613_1130/local-unknown-source-r58/ex297/ex297_symbol_plane_case_attrs/aigs/ex297_ex297_symbol_plane_case_attrs_abc_g_aig_raw.aig,student/work/ex297_frontend_source_only_round58_20260613_1130/local-unknown-source-r58/ex297/ex297_symbol_plane_case_attrs/logs/ex297_ex297_symbol_plane_case_attrs_abc_g_aig_raw.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/ex297_frontend_source_only_round58_20260613_1130/local-unknown-source-r58/ex297/ex297_symbol_plane_case_attrs/logs/ex297_symbol_plane_case_attrs_abc_g_aig.yosys.log; abc_log=student/work/ex297_frontend_source_only_round58_20260613_1130/local-unknown-source-r58/ex297/ex297_symbol_plane_case_attrs/logs/ex297_ex297_symbol_plane_case_attrs_abc_g_aig_raw.abc.log; synth_sec=27.551; abc_sec=0.000; eval_sec=0.781
ex297,unknown,local-unknown-source-r58,ex297_ex297_symbol_plane_case_attrs_synth_preset_raw,1,31498,20,629960,student/work/ex297_frontend_source_only_round58_20260613_1130/local-unknown-source-r58/ex297/ex297_symbol_plane_case_attrs/verilog/ex297_symbol_plane_case_attrs.v,student/work/ex297_frontend_source_only_round58_20260613_1130/local-unknown-source-r58/ex297/ex297_symbol_plane_case_attrs/aigs/ex297_ex297_symbol_plane_case_attrs_synth_preset_raw.aig,student/work/ex297_frontend_source_only_round58_20260613_1130/local-unknown-source-r58/ex297/ex297_symbol_plane_case_attrs/logs/ex297_ex297_symbol_plane_case_attrs_synth_preset_raw.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/ex297_frontend_source_only_round58_20260613_1130/local-unknown-source-r58/ex297/ex297_symbol_plane_case_attrs/logs/ex297_symbol_plane_case_attrs_synth_preset.yosys.log; abc_log=student/work/ex297_frontend_source_only_round58_20260613_1130/local-unknown-source-r58/ex297/ex297_symbol_plane_case_attrs/logs/ex297_ex297_symbol_plane_case_attrs_synth_preset_raw.abc.log; synth_sec=38.127; abc_sec=0.000; eval_sec=0.804
ex297,unknown,local-unknown-source-r58,ex297_ex297_symbol_plane_default_function_case_attrs_default_raw,1,36446,22,801812,student/work/ex297_frontend_source_only_round58_20260613_1130/local-unknown-source-r58/ex297/ex297_symbol_plane_default_function_case_attrs/verilog/ex297_symbol_plane_default_function_case_attrs.v,student/work/ex297_frontend_source_only_round58_20260613_1130/local-unknown-source-r58/ex297/ex297_symbol_plane_default_function_case_attrs/aigs/ex297_ex297_symbol_plane_default_function_case_attrs_default_raw.aig,student/work/ex297_frontend_source_only_round58_20260613_1130/local-unknown-source-r58/ex297/ex297_symbol_plane_default_function_case_attrs/logs/ex297_ex297_symbol_plane_default_function_case_attrs_default_raw.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/ex297_frontend_source_only_round58_20260613_1130/local-unknown-source-r58/ex297/ex297_symbol_plane_default_function_case_attrs/logs/ex297_symbol_plane_default_function_case_attrs_default.yosys.log; abc_log=student/work/ex297_frontend_source_only_round58_20260613_1130/local-unknown-source-r58/ex297/ex297_symbol_plane_default_function_case_attrs/logs/ex297_ex297_symbol_plane_default_function_case_attrs_default_raw.abc.log; synth_sec=21.832; abc_sec=0.000; eval_sec=0.798
ex297,unknown,local-unknown-source-r58,ex297_ex297_symbol_plane_default_function_case_attrs_extra_share_raw,1,36446,22,801812,student/work/ex297_frontend_source_only_round58_20260613_1130/local-unknown-source-r58/ex297/ex297_symbol_plane_default_function_case_attrs/verilog/ex297_symbol_plane_default_function_case_attrs.v,student/work/ex297_frontend_source_only_round58_20260613_1130/local-unknown-source-r58/ex297/ex297_symbol_plane_default_function_case_attrs/aigs/ex297_ex297_symbol_plane_default_function_case_attrs_extra_share_raw.aig,student/work/ex297_frontend_source_only_round58_20260613_1130/local-unknown-source-r58/ex297/ex297_symbol_plane_default_function_case_attrs/logs/ex297_ex297_symbol_plane_default_function_case_attrs_extra_share_raw.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/ex297_frontend_source_only_round58_20260613_1130/local-unknown-source-r58/ex297/ex297_symbol_plane_default_function_case_attrs/logs/ex297_symbol_plane_default_function_case_attrs_extra_share.yosys.log; abc_log=student/work/ex297_frontend_source_only_round58_20260613_1130/local-unknown-source-r58/ex297/ex297_symbol_plane_default_function_case_attrs/logs/ex297_ex297_symbol_plane_default_function_case_attrs_extra_share_raw.abc.log; synth_sec=22.559; abc_sec=0.000; eval_sec=0.810
