case,domain,hypothesis,method_signature,status,reason,artifact_path,log_path,agent_id,run_id,notes
ex204,bf16,bf16_log2_round21_file_first_blocker,ex204|bf16_log2_round21_file_first_blocker|diagnostic_only|shared_special_decode_plus_positive_residual_density_audit|not_run|abc_xf_official_truth_audit|blocked,BLOCKED_NO_CANDIDATE,unchanged arithbase selected-bit replay and sparse residual copy are already low-value; positive-domain residual remains dense,student/work/ex200_ex299_frontend_refgap_round21_20260613_0040/bf16-r21/ex204/dossiers/ex204_round21_dossier.md,student/work/ex200_ex299_frontend_refgap_round21_20260613_0040/bf16-r21/ex204/diagnostics/ex204_round21_blocked_no_candidate_evidence.md,bf16-r21,ex200_ex299_frontend_refgap_round21_20260613_0040,no Verilog/AIG emitted for ex204 checkpoint
ex205,bf16,bf16_log10_round21_follow_checkpoint,ex205|bf16_log10_round21_follow_checkpoint|diagnostic_only|shared_exponent_base_and_selected_bit_residual_screen|not_run|DAZ_log10_BF16_RNE_FTZ_canonical_NaN|blocked,BLOCKED_NO_CANDIDATE,immediate candidate paths would replay source-copy sparse-residual or field-cofactor signatures already recorded as nonwinning or do-not-repeat,student/work/ex200_ex299_frontend_refgap_round21_20260613_0040/bf16-follow-r21/ex205/dossiers/ex205_round21_follow_dossier.md,student/work/ex200_ex299_frontend_refgap_round21_20260613_0040/bf16-follow-r21/ex205/diagnostics/ex205_round21_blocked_no_candidate_evidence.md,bf16-follow-r21,ex200_ex299_frontend_refgap_round21_20260613_0040,no Verilog/AIG emitted for ex205 hard checkpoint
ex218,bf16,bf16_reciprocal_cube_special_shell_abs_magnitude,ex218|bf16_reciprocal_cube_special_shell_abs_magnitude|normal_exp_mant_lo15_table|sign_nan_shell_plus_special_exp_shell|yosys_abc_g_aig|DAZ_reciprocal_cube_BF16_RNE_FTZ|15bit_abs_magnitude_case,EQUIVALENT_NONWINNING,official evaluate.py OK but ADP 6664 is not below current frontend 5941,student/work/ex200_ex299_frontend_refgap_round21_20260613_0040/bf16-final-r21/ex218/verilog/ex218_special_shell_norm_lo15_abc_g_aig_r21.v,student/work/ex200_ex299_frontend_refgap_round21_20260613_0040/bf16-final-r21/ex218/logs/ex218_special_shell_norm_lo15_abc_g_aig_r21.evaluate.py.log,bf16-final-r21,ex200_ex299_frontend_refgap_round21_20260613_0040,equivalent local CEC at ADP 6664
ex218,bf16,bf16_reciprocal_cube_special_shell_split_magnitude,ex218|bf16_reciprocal_cube_special_shell_split_magnitude|normal_exp_mant_hi7_lo8_tables|sign_nan_shell_plus_special_exp_shell|yosys_abc_g_aig|DAZ_reciprocal_cube_BF16_RNE_FTZ|split_hi7_lo8_abs_magnitude_cases,EQUIVALENT_NONWINNING,official candidate did not beat current frontend ADP 5941,student/work/ex200_ex299_frontend_refgap_round21_20260613_0040/bf16-final-r21/ex218/verilog/ex218_special_shell_norm_hi7_lo8_abc_g_aig_r21.v,student/work/ex200_ex299_frontend_refgap_round21_20260613_0040/bf16-final-r21/ex218/logs/ex218_special_shell_norm_hi7_lo8_abc_g_aig_r21.yosys.log,bf16-final-r21,ex200_ex299_frontend_refgap_round21_20260613_0040,equivalent local CEC at ADP 6776
ex223,fp16,fp16_log_highbit_run_lowcofactor_density_audit,ex223|fp16_log_highbit_run_lowcofactor_density_audit|diagnostic_blocker|shared_special_sign_exp_decode_plus_highbit_run_trees_vs_lowbit_cofactor_residual|not_run|abc_xf_official_evaluate|blocked,BLOCKED_NO_CANDIDATE,dense low-bit residual/cofactor region would replay prior nested-low or sparse-residual table shape,student/work/ex200_ex299_frontend_refgap_round21_20260613_0040/fp16-follow-r21/ex223/dossiers/ex223_round21_follow_dossier.md,student/work/ex200_ex299_frontend_refgap_round21_20260613_0040/fp16-follow-r21/ex223/diagnostics/ex223_round21_blocked_no_candidate_evidence.md,fp16-follow-r21,ex200_ex299_frontend_refgap_round21_20260613_0040,first-priority checkpoint row for ex223; no Verilog/AIG candidate claimed
ex224,fp16,fp16_log2_highbit_run_lowcofactor_density_audit,ex224|fp16_log2_highbit_run_lowcofactor_density_audit|diagnostic_blocker|shared_special_sign_exp_decode_plus_highbit_run_trees_vs_lowbit_cofactor_residual|not_run|abc_xf_official_evaluate|blocked,BLOCKED_NO_CANDIDATE,dense low-bit residual/cofactor region would replay prior nested-low or sparse-residual table shape,student/work/ex200_ex299_frontend_refgap_round21_20260613_0040/fp16-remain-r21/ex224/dossiers/ex224_round21_dossier.md,student/work/ex200_ex299_frontend_refgap_round21_20260613_0040/fp16-remain-r21/ex224/diagnostics/ex224_round21_blocked_no_candidate_evidence.md,fp16-remain-r21,ex200_ex299_frontend_refgap_round21_20260613_0040,first-priority checkpoint row for ex224; no Verilog/AIG candidate claimed
ex225,fp16,fp16_log10_sparse_residual_log_family_normalizer_audit,ex225|fp16_log10_sparse_residual_log_family_normalizer_audit|diagnostic_blocker|shared_special_decode_plus_lowbit_density_audit|not_run|abc_xf_official_evaluate|blocked,BLOCKED_NO_CANDIDATE,dense low-bit residual would replay prior nested/sparse residual table shape,student/work/ex200_ex299_frontend_refgap_round21_20260613_0040/fp16-log-r21/ex225/dossiers/ex225_round21_dossier.md,student/work/ex200_ex299_frontend_refgap_round21_20260613_0040/fp16-log-r21/ex225/diagnostics/ex225_round21_blocked_no_candidate_evidence.md,fp16-log-r21,ex200_ex299_frontend_refgap_round21_20260613_0040,first-priority checkpoint row for ex225; no Verilog/AIG candidate claimed
ex247,float_fp8,E5M2FN packed low-over-high division output-grouped residual,ex247|E5M2FN packed low-over-high division|output-grouped residual audit|shared finite decode plus sigpair/delta density audit|not_run|abc_xf_official_evaluate|blocked_no_candidate,BLOCKED_NO_CANDIDATE,Immediate exact RTL would replay boundary-smallpat/current-anchor or dense output residual table,student/work/ex200_ex299_frontend_refgap_round21_20260613_0040/fp8-tight-follow-r21/ex247/dossiers/ex247_round21_dossier.md,student/work/ex200_ex299_frontend_refgap_round21_20260613_0040/fp8-tight-follow-r21/ex247/diagnostics/ex247_round21_blocked_no_candidate_evidence.md,fp8-tight-follow-r21,ex200_ex299_frontend_refgap_round21_20260613_0040,first-priority checkpoint row for ex247
ex266,integer,ex266_round21_remaining_blocker,ex266|unsigned_division_remaining_checkpoint_blocker|diagnostic_only|prior_wordmux_threshold_remainder_chain_audit|not_run|unsigned_low5_high5_div_dbz_sat|quotient_word,BLOCKED_NO_CANDIDATE,no materially different divider quotient/remainder classifier or shared subtract/compare source was available without replaying prior low-value wordmux threshold or serial subtract signatures,student/work/ex200_ex299_frontend_refgap_round21_20260613_0040/integer-remain-r21/ex266/notes/high_level_dossier.md,student/work/ex200_ex299_frontend_refgap_round21_20260613_0040/integer-remain-r21/ex266/diagnostics/ex266_round21_blocked_no_candidate_evidence.md,integer-remain-r21,ex200_ex299_frontend_refgap_round21_20260613_0040,no Verilog/AIG emitted; prior official rows include r16 threshold 331/20/6620 r18 subtract 96/31/2976 r19 onehot 217/18/3906
ex285,unknown,hamming_weight_preserving_lossy_routing_normalizer,ex285|hamming_weight_preserving_lossy_routing_normalizer|BLOCKED_NO_MATERIAL_NEW_SOURCE_AFTER_R21_FILTER|no_candidate|no_synth|official_truth_not_run|none,BLOCKED_NO_CANDIDATE,"Prior official ex285 evidence already rejects current_synthflow, raw/shared BDD, symcof/key-BDD, bucket/count-key, compact routing descriptor, lane/component BDD, and output-linear ANF residual directions; no material candidate remains for this checkpoint without replaying a low-value signature.",student/work/ex200_ex299_frontend_refgap_round21_20260613_0040/unknown-follow-r21/ex285/diagnostics/ex285_blocked_no_candidate.md,student/work/ex200_ex299_frontend_refgap_round21_20260613_0040/unknown-follow-r21/ex285/diagnostics/ex285_blocked_no_candidate.md,unknown-follow-r21,ex200_ex299_frontend_refgap_round21_20260613_0040,No Verilog or AIG emitted; next attempt needs a new hidden routing state or recurrence smaller than the reduced mux graph.
