case,domain,candidate_id,shared_structures,sharing_strategy,estimated_benefit,agent_id,run_id,notes
ex204,bf16,ex204_blocked_round21_density_audit,"special decode, sign_exp grouping, arithbase log2 residual, selected bits 11/14",audited existing shared structures and rejected unchanged replay,dense positive residual blocks a materially new file-first candidate,bf16-r21,ex200_ex299_frontend_refgap_round21_20260613_0040,evidence=student/work/ex200_ex299_frontend_refgap_round21_20260613_0040/bf16-r21/ex204/diagnostics/ex204_round21_blocked_no_candidate_evidence.md
ex205,bf16,ex205_blocked_round21_follow_checkpoint,"special decode, sign_exp grouping, log10 exponent-base residual, selected-bit sign predicate",audited existing shared structures and rejected unchanged replay,new shallow selected-bit residual grouping not derived within hard checkpoint,bf16-follow-r21,ex200_ex299_frontend_refgap_round21_20260613_0040,evidence=student/work/ex200_ex299_frontend_refgap_round21_20260613_0040/bf16-follow-r21/ex205/diagnostics/ex205_round21_blocked_no_candidate_evidence.md
ex218,bf16,ex218_special_shell_norm_hi7_lo8_abc_g_aig_r21,separate sign/NaN/special exponent shell with split abs-key magnitude tables,,,bf16-final-r21,ex200_ex299_frontend_refgap_round21_20260613_0040,local ABC CEC equivalent; generated in 5.863s
ex218,bf16,ex218_special_shell_norm_lo15_abc_g_aig_r21,separate sign/NaN/special exponent shell with abs-key magnitude table,,,bf16-final-r21,ex200_ex299_frontend_refgap_round21_20260613_0040,local ABC CEC equivalent; generated in 7.588s
ex223,fp16,ex223_blocked_highbit_run_lowcofactor_audit,"special decode, sign/exp decode, high-output-bit per-exponent run predicates",audited high-bit run tree against low-bit residual/cofactor defaults; rejected exact source because low-bit region is dense,blocked before Verilog because exact low-bit sharing is not reusable without nested/sparse residual replay,fp16-follow-r21,ex200_ex299_frontend_refgap_round21_20260613_0040,evidence=student/work/ex200_ex299_frontend_refgap_round21_20260613_0040/fp16-follow-r21/ex223/diagnostics/ex223_round21_blocked_no_candidate_evidence.md
ex224,fp16,ex224_blocked_highbit_run_lowcofactor_audit,"special decode, sign/exp decode, high-output-bit per-exponent run predicates",audited high-bit run tree against low-bit residual/cofactor defaults; rejected exact source because low-bit region is dense,blocked before Verilog because exact low-bit sharing is not reusable without nested/sparse residual replay,fp16-remain-r21,ex200_ex299_frontend_refgap_round21_20260613_0040,evidence=student/work/ex200_ex299_frontend_refgap_round21_20260613_0040/fp16-remain-r21/ex224/diagnostics/ex224_round21_blocked_no_candidate_evidence.md
ex225,fp16,ex225_blocked_sparse_residual_normalizer_audit,"special decode, sign/exp decode, high-bit run predicates",audited low-bit residual/cofactor defaults; rejected as dense,blocked before Verilog because exact low-bit sharing is not reusable,fp16-log-r21,ex200_ex299_frontend_refgap_round21_20260613_0040,evidence=student/work/ex200_ex299_frontend_refgap_round21_20260613_0040/fp16-log-r21/ex225/diagnostics/ex225_round21_blocked_no_candidate_evidence.md
ex241,float_fp8,ex241_r21_nested_exp_product_noabc,nan_decode;sign_xor;effective_exponent_sum;sig4_product_key;nested_product_mag_table,"shared NaN decode, sign xor, effective exponent sum, and 4x4 product key",diagnostic_flow_variant,fp8-wide-follow-r21,ex200_ex299_frontend_refgap_round21_20260613_0040,No-ABC flow checkpoint; prior low-value synth_preset and BDD signatures are not replayed unchanged.
ex244,float_fp8,ex244_r21_class_split_residual,nan_decode;abs_max_min;effective_exponent_class;sig4_decode;class_split_residual_delta_table;saturation_guard,"shared abs max/min decode, effective exponent class, and residual delta table",diagnostic_material_source_variant,fp8-remain-r21,ex200_ex299_frontend_refgap_round21_20260613_0040,"Exponent-class residual table; avoids unchanged replay of max-eff BDD, gap/sig threshold pack, and small-gap decode signatures."
ex245,float_fp8,ex245_r21_split_bdd_expmajor_default,nan_decode;sign_relation;magnitude_compare;sorted_magnitude_decode;split_bdd_roots,shared NaN/sign/sorted magnitude decode; separate same-sign and diff-sign BDD magnitude networks,diagnostic_structural_variant,fp8-wide-next-r21,ex200_ex299_frontend_refgap_round21_20260613_0040,New exponent-major BDD order; not the prior gap-class formula replay.
