case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,classification,items,runtime_sec,notes
ex220,ex220_fp16_exp_exp_mant_pair_case,fp16_exp,exp_mant_pair_case,student/work/reverse_fp16_semantic_20260604_1522/ex220/verilog/ex220_fp16_exp_exp_mant_pair_case.v,student/work/reverse_fp16_semantic_20260604_1522/ex220/aigs/ex220_fp16_exp_exp_mant_pair_case.aig,1,1,1,10754,22,236588,180404,1.311434,1,0,structural_exact,17423,10.645,structural_exact FP16 frontend candidate
ex220,ex220_fp16_exp_positive_default_exp_mant_case,fp16_exp,positive_default_exp_mant_case,student/work/reverse_fp16_semantic_20260604_1522/ex220/verilog/ex220_fp16_exp_positive_default_exp_mant_case.v,student/work/reverse_fp16_semantic_20260604_1522/ex220/aigs/ex220_fp16_exp_positive_default_exp_mant_case.aig,1,1,1,10794,22,237468,180404,1.316312,1,0,structural_exact,positive_entries=31982; relation=zero; relation_matches=13094; negative_exceptions=19674,12.251,structural_exact FP16 frontend candidate
ex220,ex220_fp16_exp_semantic_sign_exp_field_defaults,fp16_exp,semantic_sign_exp_field_defaults,student/work/reverse_fp16_semantic_20260604_1522/ex220/verilog/ex220_fp16_exp_semantic_sign_exp_field_defaults.v,student/work/reverse_fp16_semantic_20260604_1522/ex220/aigs/ex220_fp16_exp_semantic_sign_exp_field_defaults.aig,1,1,1,10836,23,249228,180404,1.381499,1,0,semantic_hybrid,groups=64; full_default_groups=32; exceptions=25185,12.877,semantic_hybrid FP16 frontend candidate
ex220,ex220_fp16_exp_sign_exp_default_expr_case,fp16_exp,sign_exp_default_expr_case,student/work/reverse_fp16_semantic_20260604_1522/ex220/verilog/ex220_fp16_exp_sign_exp_default_expr_case.v,student/work/reverse_fp16_semantic_20260604_1522/ex220/aigs/ex220_fp16_exp_sign_exp_default_expr_case.aig,1,1,1,10874,23,250102,180404,1.386344,1,0,semantic_hybrid,"groups=64; full_default_groups=31; exceptions=30312; defaults=abs_input:28,nan:2,one:8,pos_inf:13,zero:13",11.267,semantic_hybrid FP16 frontend candidate
ex220,ex220_fp16_exp_sign_exp_mant_case,fp16_exp,sign_exp_mant_case,student/work/reverse_fp16_semantic_20260604_1522/ex220/verilog/ex220_fp16_exp_sign_exp_mant_case.v,student/work/reverse_fp16_semantic_20260604_1522/ex220/aigs/ex220_fp16_exp_sign_exp_mant_case.aig,1,1,1,10798,22,237556,180404,1.316800,1,0,structural_exact,32800,12.345,structural_exact FP16 frontend candidate
ex221,ex221_fp16_exp2_exp_mant_pair_case,fp16_exp2,exp_mant_pair_case,student/work/reverse_fp16_semantic_20260604_1522/ex221/verilog/ex221_fp16_exp2_exp_mant_pair_case.v,student/work/reverse_fp16_semantic_20260604_1522/ex221/aigs/ex221_fp16_exp2_exp_mant_pair_case.aig,1,1,1,6974,22,153428,105655,1.452160,1,0,structural_exact,17423,7.250,structural_exact FP16 frontend candidate
ex221,ex221_fp16_exp2_positive_default_exp_mant_case,fp16_exp2,positive_default_exp_mant_case,student/work/reverse_fp16_semantic_20260604_1522/ex221/verilog/ex221_fp16_exp2_positive_default_exp_mant_case.v,student/work/reverse_fp16_semantic_20260604_1522/ex221/aigs/ex221_fp16_exp2_positive_default_exp_mant_case.aig,1,1,1,6977,22,153494,105655,1.452785,1,0,structural_exact,positive_entries=31509; relation=zero; relation_matches=12544; negative_exceptions=20224,10.312,structural_exact FP16 frontend candidate
ex221,ex221_fp16_exp2_semantic_sign_exp_field_defaults,fp16_exp2,semantic_sign_exp_field_defaults,student/work/reverse_fp16_semantic_20260604_1522/ex221/verilog/ex221_fp16_exp2_semantic_sign_exp_field_defaults.v,student/work/reverse_fp16_semantic_20260604_1522/ex221/aigs/ex221_fp16_exp2_semantic_sign_exp_field_defaults.aig,1,1,1,6980,22,153560,105655,1.453410,1,0,semantic_hybrid,groups=64; full_default_groups=33; exceptions=25337,10.123,semantic_hybrid FP16 frontend candidate
ex221,ex221_fp16_exp2_sign_exp_default_expr_case,fp16_exp2,sign_exp_default_expr_case,student/work/reverse_fp16_semantic_20260604_1522/ex221/verilog/ex221_fp16_exp2_sign_exp_default_expr_case.v,student/work/reverse_fp16_semantic_20260604_1522/ex221/aigs/ex221_fp16_exp2_sign_exp_default_expr_case.aig,1,1,1,8010,25,200250,105655,1.895320,0,0,semantic_hybrid,"groups=64; full_default_groups=31; exceptions=30582; defaults=abs_input:28,nan:2,one:9,pos_inf:12,zero:13",12.216,semantic_hybrid FP16 frontend candidate
ex221,ex221_fp16_exp2_sign_exp_mant_case,fp16_exp2,sign_exp_mant_case,student/work/reverse_fp16_semantic_20260604_1522/ex221/verilog/ex221_fp16_exp2_sign_exp_mant_case.v,student/work/reverse_fp16_semantic_20260604_1522/ex221/aigs/ex221_fp16_exp2_sign_exp_mant_case.aig,1,1,1,7032,22,154704,105655,1.464237,1,0,structural_exact,31777,9.774,structural_exact FP16 frontend candidate
