case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,classification,notes
ex220,ex220_fp16_exp_exp_mant_pair_case,fp16_exp,exp_mant_pair_case,student/work/reverse_fp16_semantic_20260604_1522/ex220/verilog/ex220_fp16_exp_exp_mant_pair_case.v,student/work/reverse_fp16_semantic_20260604_1522/ex220/aigs/ex220_fp16_exp_exp_mant_pair_case.aig,1,1,10754,22,236588,180404,1.311434,1,0,structural_exact,structural_exact FP16 frontend candidate
ex221,ex221_fp16_exp2_exp_mant_pair_case,fp16_exp2,exp_mant_pair_case,student/work/reverse_fp16_semantic_20260604_1522/ex221/verilog/ex221_fp16_exp2_exp_mant_pair_case.v,student/work/reverse_fp16_semantic_20260604_1522/ex221/aigs/ex221_fp16_exp2_exp_mant_pair_case.aig,1,1,6974,22,153428,105655,1.452160,1,0,structural_exact,structural_exact FP16 frontend candidate
ex222,ex222_fp16_exp10_positive_default_exp_mant_case,fp16_exp10,positive_default_exp_mant_case,student/work/reverse_fp16_semantic_20260604_1522/ex222/verilog/ex222_fp16_exp10_positive_default_exp_mant_case.v,student/work/reverse_fp16_semantic_20260604_1522/ex222/aigs/ex222_fp16_exp10_positive_default_exp_mant_case.aig,1,1,10615,22,233530,173621,1.345056,1,0,structural_exact,structural_exact FP16 frontend candidate
ex223,ex223_fp16_log_sign_exp_mant_case,fp16_log,sign_exp_mant_case,student/work/reverse_fp16_semantic_20260604_1522/ex223/verilog/ex223_fp16_log_sign_exp_mant_case.v,student/work/reverse_fp16_semantic_20260604_1522/ex223/aigs/ex223_fp16_log_sign_exp_mant_case.aig,1,1,11164,23,256772,120549,2.130022,0,0,structural_exact,structural_exact FP16 frontend candidate
ex224,ex224_fp16_log2_sign_exp_mant_case,fp16_log2,sign_exp_mant_case,student/work/reverse_fp16_semantic_20260604_1522/ex224/verilog/ex224_fp16_log2_sign_exp_mant_case.v,student/work/reverse_fp16_semantic_20260604_1522/ex224/aigs/ex224_fp16_log2_sign_exp_mant_case.aig,1,1,6332,21,132972,64708,2.054955,0,0,structural_exact,structural_exact FP16 frontend candidate
ex225,ex225_fp16_log10_sign_exp_mant_case,fp16_log10,sign_exp_mant_case,student/work/reverse_fp16_semantic_20260604_1522/ex225/verilog/ex225_fp16_log10_sign_exp_mant_case.v,student/work/reverse_fp16_semantic_20260604_1522/ex225/aigs/ex225_fp16_log10_sign_exp_mant_case.aig,1,1,11616,23,267168,116676,2.289828,0,0,structural_exact,structural_exact FP16 frontend candidate
ex226,ex226_fp16_sin_positive_default_exp_mant_case,fp16_sin,positive_default_exp_mant_case,student/work/reverse_fp16_semantic_20260604_1522/ex226/verilog/ex226_fp16_sin_positive_default_exp_mant_case.v,student/work/reverse_fp16_semantic_20260604_1522/ex226/aigs/ex226_fp16_sin_positive_default_exp_mant_case.aig,1,1,33460,23,769580,587790,1.309277,1,0,structural_exact,structural_exact FP16 frontend candidate
ex227,ex227_fp16_tan_positive_default_exp_mant_case,fp16_tan,positive_default_exp_mant_case,student/work/reverse_fp16_semantic_20260604_1522/ex227/verilog/ex227_fp16_tan_positive_default_exp_mant_case.v,student/work/reverse_fp16_semantic_20260604_1522/ex227/aigs/ex227_fp16_tan_positive_default_exp_mant_case.aig,1,1,40817,23,938791,721639,1.300915,1,0,structural_exact,structural_exact FP16 frontend candidate
ex228,ex228_fp16_sinh_semantic_sign_exp_field_defaults,fp16_sinh,semantic_sign_exp_field_defaults,student/work/reverse_fp16_semantic_20260604_1522/ex228/verilog/ex228_fp16_sinh_semantic_sign_exp_field_defaults.v,student/work/reverse_fp16_semantic_20260604_1522/ex228/aigs/ex228_fp16_sinh_semantic_sign_exp_field_defaults.aig,1,1,6653,21,139713,101205,1.380495,1,0,semantic_hybrid,semantic_hybrid FP16 frontend candidate
ex229,ex229_fp16_tanh_exp_mant_pair_case,fp16_tanh,exp_mant_pair_case,student/work/reverse_fp16_semantic_20260604_1522/ex229/verilog/ex229_fp16_tanh_exp_mant_pair_case.v,student/work/reverse_fp16_semantic_20260604_1522/ex229/aigs/ex229_fp16_tanh_exp_mant_pair_case.aig,1,1,3988,21,83748,57968,1.444728,1,0,structural_exact,structural_exact FP16 frontend candidate
