agent_id,case,domain,candidate_id,family,hypothesis,representation,sharing_strategy,shared_structure,method_signature,notes,shard_csv,evidence_path,dossier_path,representation_family,expected_benefit,observed_status,observed_adp,output_grouping,qor,variant,status,high_level_description,shared_structures,estimated_reuse,observed_qor,outcome,prior_low_value_signatures_avoided
,ex223,,ex223_r74_nested_low10_hi7_abc_g_aig,log_low10_nested_cut,,,,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=10; nested_hi=7; nested_lo=3; low_items=28151; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26; b12:runs=37,max=4,const=26; b11:runs=44,max=6,const=24; b10:runs=58,max=11,const=20",ex223|fp16_log_r74_low10_nested_cut|low10_hi7_nested_lut|shared_special_decode_plus_highbit_runs|yosys_abc_g_aig|abc_xf_official_evaluate|not_round73_segword_or_wordrun,,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-fp16-r74/shared_structure_report.csv,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp16-r74/ex223/verilog/ex223_r74_nested_low10_hi7.v,,,,,,,,,,,,,,,
,ex223,,ex223_r74_flat_low10_hi_runs_abc_g_aig,log_flat_low10,,,,"positive-normal flat low10 table plus high-bit run trees; special_const_groups=33; special_full_groups=1; special_items=1057; flat_low_width=10; flat_items=30720; const_groups=0; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26; b12:runs=37,max=4,const=26; b11:runs=44,max=6,const=24; b10:runs=58,max=11,const=20",ex223|fp16_log_r74_flat_low10_table|flat_low10_plus_highbit_runs|shared_special_decode_no_nested_low_lut|yosys_abc_g_aig|abc_xf_official_evaluate|not_round73_segword_or_wordrun,,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-fp16-r74/shared_structure_report.csv,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp16-r74/ex223/verilog/ex223_r74_flat_low10_hi_runs.v,,,,,,,,,,,,,,,
,ex225,,ex225_r74_nested_low10_hi7_abc_g_aig,log10_low10_nested_cut,,,,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=10; nested_hi=7; nested_lo=3; low_items=28466; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26; b12:runs=38,max=4,const=26; b11:runs=45,max=7,const=24; b10:runs=60,max=12,const=20",ex225|fp16_log10_r74_low10_nested_cut|low10_hi7_nested_lut|shared_special_decode_plus_highbit_runs|yosys_abc_g_aig|abc_xf_official_evaluate|not_round73_segword_or_wordrun,,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-fp16-r74/shared_structure_report.csv,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp16-r74/ex225/verilog/ex225_r74_nested_low10_hi7.v,,,,,,,,,,,,,,,
,ex225,,ex225_r74_flat_low10_hi_runs_abc_g_aig,log10_flat_low10,,,,"positive-normal flat low10 table plus high-bit run trees; special_const_groups=33; special_full_groups=1; special_items=1057; flat_low_width=10; flat_items=30720; const_groups=0; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26; b12:runs=38,max=4,const=26; b11:runs=45,max=7,const=24; b10:runs=60,max=12,const=20",ex225|fp16_log10_r74_flat_low10_table|flat_low10_plus_highbit_runs|shared_special_decode_no_nested_low_lut|yosys_abc_g_aig|abc_xf_official_evaluate|not_round73_segword_or_wordrun,,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-fp16-r74/shared_structure_report.csv,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp16-r74/ex225/verilog/ex225_r74_flat_low10_hi_runs.v,,,,,,,,,,,,,,,
,ex238,,ex238_r74_core_boundary_low13_hi5_synth_preset,recip_cube_boundary_alt,,,,"special=semantic reciprocal_cube: exp<=8 signed inf, exp>=20/inf signed zero, NaN canonical; exp_delta_width=2; exp_delta_runs=4; exp_delta_max=3; mant_high=; low_width=10; nested_hi=5; boundary_low_width=13; nested_hi=5; const_buckets=31; explicit_items=1056; boundary_b14_runs=2; max=1; boundary_b13_runs=2; max=1",ex238|fp16_reciprocal_cube_boundary_alt|boundary_low13_hi5|semantic_core_plus_boundary_table|yosys_synth_preset|abc_xf_official_evaluate|boundary_table_alt_cut,,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-fp16-r74/shared_structure_report.csv,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp16-r74/ex238/verilog/ex238_r74_core_boundary_low13_hi5.v,,,,,,,,,,,,,,,
,ex238,,ex238_r74_core_clamp_hi4_abc_g_aig,recip_cube_boundary_clamp,,,,"exp_delta_width=2; exp_delta_runs=4; exp_delta_max=3; mant_high=; low_width=10; nested_hi=4; boundary_clamp=exp9 mant<=0x259 inf, exp19 mant>=0x25a zero",ex238|fp16_reciprocal_cube_boundary_clamp|core_clamp_hi4|semantic_core_plus_threshold_clamps|yosys_abc_g_aig|abc_xf_official_evaluate|boundary_predicate_no_table,,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-fp16-r74/shared_structure_report.csv,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp16-r74/ex238/verilog/ex238_r74_core_clamp_hi4.v,,,,,,,,,,,,,,,
sub-fp8-addhyp-r74,ex244,float_fp8,ex244_ex244_field_compare_decode_repo_yosys,,"E4M3FN hypot(abs(high),abs(low))",ex244_field_compare_decode,,field-level magnitude compare and decoded field mux before delta BDD,,repo default Yosys frontend only,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-fp8-addhyp-r74/shared_structure_report.csv,,,,,,,,,,,,,,,,
sub-fp8-addhyp-r74,ex244,float_fp8,ex244_ex244_smallgap_key_gated_repo_yosys,,"E4M3FN hypot(abs(high),abs(low))",ex244_smallgap_key_gated,,gate max-eff delta BDD key to zero outside small exponent gaps,,repo default Yosys frontend only,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-fp8-addhyp-r74/shared_structure_report.csv,,,,,,,,,,,,,,,,
sub-fp8-addhyp-r74,ex244,float_fp8,ex244_ex244_case_increment_tail_repo_yosys,,"E4M3FN hypot(abs(high),abs(low))",ex244_case_increment_tail,,replace max-plus-delta tail with constant increment and explicit saturation cases,,repo default Yosys frontend only,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-fp8-addhyp-r74/shared_structure_report.csv,,,,,,,,,,,,,,,,
sub-fp8-addhyp-r74,ex244,float_fp8,ex244_ex244_field_compare_key_gated_repo_yosys,,"E4M3FN hypot(abs(high),abs(low))",ex244_field_compare_key_gated,,field-level compare with small-gap gated delta BDD key,,repo default Yosys frontend only,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-fp8-addhyp-r74/shared_structure_report.csv,,,,,,,,,,,,,,,,
