agent_id,case,domain,candidate_id,hypothesis,representation,sharing_strategy,shared_structure,synth_flow,method_signature,verilog_path,aig_path,log_path,evaluate_log,equivalent,verified_truth,simulation_pass,area,delay,adp,reference_adp,beats_frontend,beats_reference,beats_overall_current,notes,shard_csv,variant,synthesized,frontend_baseline_adp,improves_frontend,synth_runtime_sec,eval_runtime_sec,official_output_dir
,ex223,,ex223_r74_nested_low10_hi7_abc_g_aig,fp16_log,,,,,ex223|fp16_log_r74_low10_nested_cut|low10_hi7_nested_lut|shared_special_decode_plus_highbit_runs|yosys_abc_g_aig|abc_xf_official_evaluate|not_round73_segword_or_wordrun,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp16-r74/ex223/verilog/ex223_r74_nested_low10_hi7.v,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp16-r74/ex223/aigs/ex223_r74_nested_low10_hi7_abc_g_aig.aig,,,1,1,,13049,18,234882,,,,,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=10; nested_hi=7; nested_lo=3; low_items=28151; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26; b12:runs=37,max=4,const=26; b11:runs=44,max=6,const=24; b10:runs=58,max=11,const=20",student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-fp16-r74/candidates.csv,r74_nested_low10_hi7,,,,,,
,ex223,,ex223_r74_flat_low10_hi_runs_abc_g_aig,fp16_log,,,,,ex223|fp16_log_r74_flat_low10_table|flat_low10_plus_highbit_runs|shared_special_decode_no_nested_low_lut|yosys_abc_g_aig|abc_xf_official_evaluate|not_round73_segword_or_wordrun,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp16-r74/ex223/verilog/ex223_r74_flat_low10_hi_runs.v,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp16-r74/ex223/aigs/ex223_r74_flat_low10_hi_runs_abc_g_aig.aig,,,1,1,,11158,22,245476,,,,,"positive-normal flat low10 table plus high-bit run trees; special_const_groups=33; special_full_groups=1; special_items=1057; flat_low_width=10; flat_items=30720; const_groups=0; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26; b12:runs=37,max=4,const=26; b11:runs=44,max=6,const=24; b10:runs=58,max=11,const=20",student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-fp16-r74/candidates.csv,r74_flat_low10_hi_runs,,,,,,
,ex225,,ex225_r74_nested_low10_hi7_abc_g_aig,fp16_log10,,,,,ex225|fp16_log10_r74_low10_nested_cut|low10_hi7_nested_lut|shared_special_decode_plus_highbit_runs|yosys_abc_g_aig|abc_xf_official_evaluate|not_round73_segword_or_wordrun,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp16-r74/ex225/verilog/ex225_r74_nested_low10_hi7.v,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp16-r74/ex225/aigs/ex225_r74_nested_low10_hi7_abc_g_aig.aig,,,1,1,,14599,18,262782,,,,,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=10; nested_hi=7; nested_lo=3; low_items=28466; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26; b12:runs=38,max=4,const=26; b11:runs=45,max=7,const=24; b10:runs=60,max=12,const=20",student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-fp16-r74/candidates.csv,r74_nested_low10_hi7,,,,,,
,ex225,,ex225_r74_flat_low10_hi_runs_abc_g_aig,fp16_log10,,,,,ex225|fp16_log10_r74_flat_low10_table|flat_low10_plus_highbit_runs|shared_special_decode_no_nested_low_lut|yosys_abc_g_aig|abc_xf_official_evaluate|not_round73_segword_or_wordrun,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp16-r74/ex225/verilog/ex225_r74_flat_low10_hi_runs.v,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp16-r74/ex225/aigs/ex225_r74_flat_low10_hi_runs_abc_g_aig.aig,,,1,1,,11418,22,251196,,,,,"positive-normal flat low10 table plus high-bit run trees; special_const_groups=33; special_full_groups=1; special_items=1057; flat_low_width=10; flat_items=30720; const_groups=0; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26; b12:runs=38,max=4,const=26; b11:runs=45,max=7,const=24; b10:runs=60,max=12,const=20",student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-fp16-r74/candidates.csv,r74_flat_low10_hi_runs,,,,,,
,ex238,,ex238_r74_core_boundary_low13_hi5_synth_preset,fp16_reciprocal_cube,,,,,ex238|fp16_reciprocal_cube_boundary_alt|boundary_low13_hi5|semantic_core_plus_boundary_table|yosys_synth_preset|abc_xf_official_evaluate|boundary_table_alt_cut,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp16-r74/ex238/verilog/ex238_r74_core_boundary_low13_hi5.v,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp16-r74/ex238/aigs/ex238_r74_core_boundary_low13_hi5_synth_preset.aig,,,1,1,,1470,16,23520,,,,,"special=semantic reciprocal_cube: exp<=8 signed inf, exp>=20/inf signed zero, NaN canonical; exp_delta_width=2; exp_delta_runs=4; exp_delta_max=3; mant_high=; low_width=10; nested_hi=5; boundary_low_width=13; nested_hi=5; const_buckets=31; explicit_items=1056; boundary_b14_runs=2; max=1; boundary_b13_runs=2; max=1",student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-fp16-r74/candidates.csv,r74_core_boundary_low13_hi5,,,,,,
,ex238,,ex238_r74_core_clamp_hi4_abc_g_aig,fp16_reciprocal_cube,,,,,ex238|fp16_reciprocal_cube_boundary_clamp|core_clamp_hi4|semantic_core_plus_threshold_clamps|yosys_abc_g_aig|abc_xf_official_evaluate|boundary_predicate_no_table,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp16-r74/ex238/verilog/ex238_r74_core_clamp_hi4.v,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp16-r74/ex238/aigs/ex238_r74_core_clamp_hi4_abc_g_aig.aig,,,1,1,,1467,18,26406,,,,,"exp_delta_width=2; exp_delta_runs=4; exp_delta_max=3; mant_high=; low_width=10; nested_hi=4; boundary_clamp=exp9 mant<=0x259 inf, exp19 mant>=0x25a zero",student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-fp16-r74/candidates.csv,r74_core_clamp_hi4,,,,,,
sub-fp8-addhyp-r74,ex244,float_fp8,ex244_ex244_field_compare_decode_repo_yosys,"E4M3FN hypot(abs(high),abs(low))",ex244_field_compare_decode,,field-level magnitude compare and decoded field mux before delta BDD,,"ex244|E4M3FN hypot(abs(high),abs(low))|ex244_field_compare_decode|field_level_magnitude_compare_and_decoded_field_mux_before_delta_bdd|repo_yosys_frontend_default|official_evaluate|full_word",student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex244/ex244_field_compare_decode/verilog/ex244_field_compare_decode.v,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex244/ex244_field_compare_decode/aigs/ex244_ex244_field_compare_decode_repo_yosys.aig,,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex244/ex244_field_compare_decode/logs/ex244_ex244_field_compare_decode.evaluate.py.log,1,,not_run,328,35,11480,,,,,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex244/ex244_field_compare_decode/logs/ex244_ex244_field_compare_decode.yosys.log; eval_sec=1.161; total_sec=1.903,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-fp8-addhyp-r74/candidates.csv,,,,,,,
sub-fp8-addhyp-r74,ex244,float_fp8,ex244_ex244_smallgap_key_gated_repo_yosys,"E4M3FN hypot(abs(high),abs(low))",ex244_smallgap_key_gated,,gate max-eff delta BDD key to zero outside small exponent gaps,,"ex244|E4M3FN hypot(abs(high),abs(low))|ex244_smallgap_key_gated|gate_max_eff_delta_bdd_key_to_zero_outside_small_exponent_gaps|repo_yosys_frontend_default|official_evaluate|full_word",student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex244/ex244_smallgap_key_gated/verilog/ex244_smallgap_key_gated.v,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex244/ex244_smallgap_key_gated/aigs/ex244_ex244_smallgap_key_gated_repo_yosys.aig,,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex244/ex244_smallgap_key_gated/logs/ex244_ex244_smallgap_key_gated.evaluate.py.log,1,,not_run,340,46,15640,,,,,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex244/ex244_smallgap_key_gated/logs/ex244_ex244_smallgap_key_gated.yosys.log; eval_sec=1.143; total_sec=1.847,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-fp8-addhyp-r74/candidates.csv,,,,,,,
sub-fp8-addhyp-r74,ex244,float_fp8,ex244_ex244_case_increment_tail_repo_yosys,"E4M3FN hypot(abs(high),abs(low))",ex244_case_increment_tail,,replace max-plus-delta tail with constant increment and explicit saturation cases,,"ex244|E4M3FN hypot(abs(high),abs(low))|ex244_case_increment_tail|replace_max_plus_delta_tail_with_constant_increment_and_explicit_saturation_case|repo_yosys_frontend_default|official_evaluate|full_word",student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex244/ex244_case_increment_tail/verilog/ex244_case_increment_tail.v,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex244/ex244_case_increment_tail/aigs/ex244_ex244_case_increment_tail_repo_yosys.aig,,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex244/ex244_case_increment_tail/logs/ex244_ex244_case_increment_tail.evaluate.py.log,1,,not_run,478,34,16252,,,,,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex244/ex244_case_increment_tail/logs/ex244_ex244_case_increment_tail.yosys.log; eval_sec=1.300; total_sec=2.161,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-fp8-addhyp-r74/candidates.csv,,,,,,,
sub-fp8-addhyp-r74,ex244,float_fp8,ex244_ex244_field_compare_key_gated_repo_yosys,"E4M3FN hypot(abs(high),abs(low))",ex244_field_compare_key_gated,,field-level compare with small-gap gated delta BDD key,,"ex244|E4M3FN hypot(abs(high),abs(low))|ex244_field_compare_key_gated|field_level_compare_with_small_gap_gated_delta_bdd_key|repo_yosys_frontend_default|official_evaluate|full_word",student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex244/ex244_field_compare_key_gated/verilog/ex244_field_compare_key_gated.v,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex244/ex244_field_compare_key_gated/aigs/ex244_ex244_field_compare_key_gated_repo_yosys.aig,,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex244/ex244_field_compare_key_gated/logs/ex244_ex244_field_compare_key_gated.evaluate.py.log,1,,not_run,336,44,14784,,,,,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex244/ex244_field_compare_key_gated/logs/ex244_ex244_field_compare_key_gated.yosys.log; eval_sec=0.663; total_sec=1.092,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-fp8-addhyp-r74/candidates.csv,,,,,,,
sub-fp8-addhyp-r74,ex244,float_fp8,ex244_ex244_field_compare_case_increment_repo_yosys,"E4M3FN hypot(abs(high),abs(low))",ex244_field_compare_case_increment,,field-level compare plus constant increment saturation tail,,"ex244|E4M3FN hypot(abs(high),abs(low))|ex244_field_compare_case_increment|field_level_compare_plus_constant_increment_saturation_tail|repo_yosys_frontend_default|official_evaluate|full_word",student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex244/ex244_field_compare_case_increment/verilog/ex244_field_compare_case_increment.v,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex244/ex244_field_compare_case_increment/aigs/ex244_ex244_field_compare_case_increment_repo_yosys.aig,,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex244/ex244_field_compare_case_increment/logs/ex244_ex244_field_compare_case_increment.evaluate.py.log,1,,not_run,475,33,15675,,,,,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex244/ex244_field_compare_case_increment/logs/ex244_ex244_field_compare_case_increment.yosys.log; eval_sec=0.579; total_sec=0.936,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-fp8-addhyp-r74/candidates.csv,,,,,,,
sub-fp8-addhyp-r74,ex244,float_fp8,ex244_ex244_field_key_gated_case_increment_repo_yosys,"E4M3FN hypot(abs(high),abs(low))",ex244_field_key_gated_case_increment,,field-level compare gated BDD key and constant increment tail,,"ex244|E4M3FN hypot(abs(high),abs(low))|ex244_field_key_gated_case_increment|field_level_compare_gated_bdd_key_and_constant_increment_tail|repo_yosys_frontend_default|official_evaluate|full_word",student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex244/ex244_field_key_gated_case_increment/verilog/ex244_field_key_gated_case_increment.v,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex244/ex244_field_key_gated_case_increment/aigs/ex244_ex244_field_key_gated_case_increment_repo_yosys.aig,,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex244/ex244_field_key_gated_case_increment/logs/ex244_ex244_field_key_gated_case_increment.evaluate.py.log,1,,not_run,492,41,20172,,,,,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex244/ex244_field_key_gated_case_increment/logs/ex244_ex244_field_key_gated_case_increment.yosys.log; eval_sec=0.626; total_sec=0.989,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-fp8-addhyp-r74/candidates.csv,,,,,,,
sub-fp8-addhyp-r74,ex249,float_fp8,ex249_ex249_delta_case_attrs_repo_yosys,"E5M2FN hypot(abs(high),abs(low))",ex249_delta_case_attrs,,original delta case with full/parallel case attributes,,"ex249|E5M2FN hypot(abs(high),abs(low))|ex249_delta_case_attrs|original_delta_case_with_full_parallel_case_attributes|repo_yosys_frontend_default|official_evaluate|full_word",student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex249/ex249_delta_case_attrs/verilog/ex249_delta_case_attrs.v,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex249/ex249_delta_case_attrs/aigs/ex249_ex249_delta_case_attrs_repo_yosys.aig,,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex249/ex249_delta_case_attrs/logs/ex249_ex249_delta_case_attrs.evaluate.py.log,1,,not_run,191,30,5730,,,,,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex249/ex249_delta_case_attrs/logs/ex249_ex249_delta_case_attrs.yosys.log; eval_sec=0.662; total_sec=0.994,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-fp8-addhyp-r74/candidates.csv,,,,,,,
sub-fp8-addhyp-r74,ex249,float_fp8,ex249_ex249_split_delta_pred_repo_yosys,"E5M2FN hypot(abs(high),abs(low))",ex249_split_delta_pred,,split delta table into shared inc1/inc2 predicates,,"ex249|E5M2FN hypot(abs(high),abs(low))|ex249_split_delta_pred|split_delta_table_into_shared_inc1_inc2_predicates|repo_yosys_frontend_default|official_evaluate|full_word",student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex249/ex249_split_delta_pred/verilog/ex249_split_delta_pred.v,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex249/ex249_split_delta_pred/aigs/ex249_ex249_split_delta_pred_repo_yosys.aig,,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex249/ex249_split_delta_pred/logs/ex249_ex249_split_delta_pred.evaluate.py.log,1,,not_run,193,28,5404,,,,,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex249/ex249_split_delta_pred/logs/ex249_ex249_split_delta_pred.yosys.log; eval_sec=0.884; total_sec=1.377,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-fp8-addhyp-r74/candidates.csv,,,,,,,
