case,domain,agent_id,candidate_id,hypothesis,representation,shared_structure,notes
ex240,float_fp8,local-fp8-source-r55,ex240_ex240_gapcase_constant_shifts_default_raw,FP8 source predicate/table restructuring,ex240_gapcase_constant_shifts + default + raw,replace variable same/diff alignment shifts with explicit gap-case constant shifts,synth=default; post=raw; project default proc/techmap/abc AND/aigmap
ex240,float_fp8,local-fp8-source-r55,ex240_ex240_gapcase_constant_shifts_extra_share_raw,FP8 source predicate/table restructuring,ex240_gapcase_constant_shifts + extra_share + raw,replace variable same/diff alignment shifts with explicit gap-case constant shifts,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap
ex240,float_fp8,local-fp8-source-r55,ex240_ex240_gapcase_constant_shifts_abc_g_aig_raw,FP8 source predicate/table restructuring,ex240_gapcase_constant_shifts + abc_g_aig + raw,replace variable same/diff alignment shifts with explicit gap-case constant shifts,synth=abc_g_aig; post=raw; Yosys abc gate set aig
ex240,float_fp8,local-fp8-source-r55,ex240_ex240_gapcase_constant_shifts_synth_preset_raw,FP8 source predicate/table restructuring,ex240_gapcase_constant_shifts + synth_preset + raw,replace variable same/diff alignment shifts with explicit gap-case constant shifts,synth=synth_preset; post=raw; Yosys synth -flatten then abc/aigmap
ex240,float_fp8,local-fp8-source-r55,ex240_ex240_split_norm_param_tables_default_raw,FP8 source predicate/table restructuring,ex240_split_norm_param_tables + default + raw,split diff normalizer parameter table into exponent-offset and rounded-significand tables,synth=default; post=raw; project default proc/techmap/abc AND/aigmap
ex240,float_fp8,local-fp8-source-r55,ex240_ex240_split_norm_param_tables_extra_share_raw,FP8 source predicate/table restructuring,ex240_split_norm_param_tables + extra_share + raw,split diff normalizer parameter table into exponent-offset and rounded-significand tables,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap
ex240,float_fp8,local-fp8-source-r55,ex240_ex240_split_norm_param_tables_abc_g_aig_raw,FP8 source predicate/table restructuring,ex240_split_norm_param_tables + abc_g_aig + raw,split diff normalizer parameter table into exponent-offset and rounded-significand tables,synth=abc_g_aig; post=raw; Yosys abc gate set aig
ex240,float_fp8,local-fp8-source-r55,ex240_ex240_split_norm_param_tables_synth_preset_raw,FP8 source predicate/table restructuring,ex240_split_norm_param_tables + synth_preset + raw,split diff normalizer parameter table into exponent-offset and rounded-significand tables,synth=synth_preset; post=raw; Yosys synth -flatten then abc/aigmap
ex240,float_fp8,local-fp8-source-r55,ex240_ex240_gapcase_split_norm_default_raw,FP8 source predicate/table restructuring,ex240_gapcase_split_norm + default + raw,combine gap-case constant shifts with split diff normalizer parameter tables,synth=default; post=raw; project default proc/techmap/abc AND/aigmap
ex240,float_fp8,local-fp8-source-r55,ex240_ex240_gapcase_split_norm_extra_share_raw,FP8 source predicate/table restructuring,ex240_gapcase_split_norm + extra_share + raw,combine gap-case constant shifts with split diff normalizer parameter tables,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap
ex240,float_fp8,local-fp8-source-r55,ex240_ex240_gapcase_split_norm_abc_g_aig_raw,FP8 source predicate/table restructuring,ex240_gapcase_split_norm + abc_g_aig + raw,combine gap-case constant shifts with split diff normalizer parameter tables,synth=abc_g_aig; post=raw; Yosys abc gate set aig
ex240,float_fp8,local-fp8-source-r55,ex240_ex240_gapcase_split_norm_synth_preset_raw,FP8 source predicate/table restructuring,ex240_gapcase_split_norm + synth_preset + raw,combine gap-case constant shifts with split diff normalizer parameter tables,synth=synth_preset; post=raw; Yosys synth -flatten then abc/aigmap
ex244,float_fp8,local-fp8-source-r55,ex244_ex244_field_compare_decode_default_raw,FP8 source predicate/table restructuring,ex244_field_compare_decode + default + raw,field-level magnitude compare and decoded field mux before delta BDD,synth=default; post=raw; project default proc/techmap/abc AND/aigmap
ex244,float_fp8,local-fp8-source-r55,ex244_ex244_field_compare_decode_extra_share_raw,FP8 source predicate/table restructuring,ex244_field_compare_decode + extra_share + raw,field-level magnitude compare and decoded field mux before delta BDD,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap
ex244,float_fp8,local-fp8-source-r55,ex244_ex244_field_compare_decode_abc_g_aig_raw,FP8 source predicate/table restructuring,ex244_field_compare_decode + abc_g_aig + raw,field-level magnitude compare and decoded field mux before delta BDD,synth=abc_g_aig; post=raw; Yosys abc gate set aig
ex244,float_fp8,local-fp8-source-r55,ex244_ex244_field_compare_decode_synth_preset_raw,FP8 source predicate/table restructuring,ex244_field_compare_decode + synth_preset + raw,field-level magnitude compare and decoded field mux before delta BDD,synth=synth_preset; post=raw; Yosys synth -flatten then abc/aigmap
ex244,float_fp8,local-fp8-source-r55,ex244_ex244_smallgap_key_gated_default_raw,FP8 source predicate/table restructuring,ex244_smallgap_key_gated + default + raw,gate max-eff delta BDD key to zero outside small exponent gaps,synth=default; post=raw; project default proc/techmap/abc AND/aigmap
ex244,float_fp8,local-fp8-source-r55,ex244_ex244_smallgap_key_gated_extra_share_raw,FP8 source predicate/table restructuring,ex244_smallgap_key_gated + extra_share + raw,gate max-eff delta BDD key to zero outside small exponent gaps,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap
ex244,float_fp8,local-fp8-source-r55,ex244_ex244_smallgap_key_gated_abc_g_aig_raw,FP8 source predicate/table restructuring,ex244_smallgap_key_gated + abc_g_aig + raw,gate max-eff delta BDD key to zero outside small exponent gaps,synth=abc_g_aig; post=raw; Yosys abc gate set aig
ex244,float_fp8,local-fp8-source-r55,ex244_ex244_smallgap_key_gated_synth_preset_raw,FP8 source predicate/table restructuring,ex244_smallgap_key_gated + synth_preset + raw,gate max-eff delta BDD key to zero outside small exponent gaps,synth=synth_preset; post=raw; Yosys synth -flatten then abc/aigmap
ex244,float_fp8,local-fp8-source-r55,ex244_ex244_case_increment_tail_default_raw,FP8 source predicate/table restructuring,ex244_case_increment_tail + default + raw,replace max-plus-delta tail with constant increment and explicit saturation cases,synth=default; post=raw; project default proc/techmap/abc AND/aigmap
ex244,float_fp8,local-fp8-source-r55,ex244_ex244_case_increment_tail_extra_share_raw,FP8 source predicate/table restructuring,ex244_case_increment_tail + extra_share + raw,replace max-plus-delta tail with constant increment and explicit saturation cases,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap
ex244,float_fp8,local-fp8-source-r55,ex244_ex244_case_increment_tail_abc_g_aig_raw,FP8 source predicate/table restructuring,ex244_case_increment_tail + abc_g_aig + raw,replace max-plus-delta tail with constant increment and explicit saturation cases,synth=abc_g_aig; post=raw; Yosys abc gate set aig
ex244,float_fp8,local-fp8-source-r55,ex244_ex244_case_increment_tail_synth_preset_raw,FP8 source predicate/table restructuring,ex244_case_increment_tail + synth_preset + raw,replace max-plus-delta tail with constant increment and explicit saturation cases,synth=synth_preset; post=raw; Yosys synth -flatten then abc/aigmap
ex244,float_fp8,local-fp8-source-r55,ex244_ex244_field_compare_key_gated_default_raw,FP8 source predicate/table restructuring,ex244_field_compare_key_gated + default + raw,field-level compare with small-gap gated delta BDD key,synth=default; post=raw; project default proc/techmap/abc AND/aigmap
ex244,float_fp8,local-fp8-source-r55,ex244_ex244_field_compare_key_gated_extra_share_raw,FP8 source predicate/table restructuring,ex244_field_compare_key_gated + extra_share + raw,field-level compare with small-gap gated delta BDD key,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap
ex244,float_fp8,local-fp8-source-r55,ex244_ex244_field_compare_key_gated_abc_g_aig_raw,FP8 source predicate/table restructuring,ex244_field_compare_key_gated + abc_g_aig + raw,field-level compare with small-gap gated delta BDD key,synth=abc_g_aig; post=raw; Yosys abc gate set aig
ex244,float_fp8,local-fp8-source-r55,ex244_ex244_field_compare_key_gated_synth_preset_raw,FP8 source predicate/table restructuring,ex244_field_compare_key_gated + synth_preset + raw,field-level compare with small-gap gated delta BDD key,synth=synth_preset; post=raw; Yosys synth -flatten then abc/aigmap
ex244,float_fp8,local-fp8-source-r55,ex244_ex244_field_compare_case_increment_default_raw,FP8 source predicate/table restructuring,ex244_field_compare_case_increment + default + raw,field-level compare plus constant increment saturation tail,synth=default; post=raw; project default proc/techmap/abc AND/aigmap
ex244,float_fp8,local-fp8-source-r55,ex244_ex244_field_compare_case_increment_extra_share_raw,FP8 source predicate/table restructuring,ex244_field_compare_case_increment + extra_share + raw,field-level compare plus constant increment saturation tail,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap
ex244,float_fp8,local-fp8-source-r55,ex244_ex244_field_compare_case_increment_abc_g_aig_raw,FP8 source predicate/table restructuring,ex244_field_compare_case_increment + abc_g_aig + raw,field-level compare plus constant increment saturation tail,synth=abc_g_aig; post=raw; Yosys abc gate set aig
ex244,float_fp8,local-fp8-source-r55,ex244_ex244_field_compare_case_increment_synth_preset_raw,FP8 source predicate/table restructuring,ex244_field_compare_case_increment + synth_preset + raw,field-level compare plus constant increment saturation tail,synth=synth_preset; post=raw; Yosys synth -flatten then abc/aigmap
ex244,float_fp8,local-fp8-source-r55,ex244_ex244_field_key_gated_case_increment_default_raw,FP8 source predicate/table restructuring,ex244_field_key_gated_case_increment + default + raw,field-level compare gated BDD key and constant increment tail,synth=default; post=raw; project default proc/techmap/abc AND/aigmap
ex244,float_fp8,local-fp8-source-r55,ex244_ex244_field_key_gated_case_increment_extra_share_raw,FP8 source predicate/table restructuring,ex244_field_key_gated_case_increment + extra_share + raw,field-level compare gated BDD key and constant increment tail,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap
ex244,float_fp8,local-fp8-source-r55,ex244_ex244_field_key_gated_case_increment_abc_g_aig_raw,FP8 source predicate/table restructuring,ex244_field_key_gated_case_increment + abc_g_aig + raw,field-level compare gated BDD key and constant increment tail,synth=abc_g_aig; post=raw; Yosys abc gate set aig
ex244,float_fp8,local-fp8-source-r55,ex244_ex244_field_key_gated_case_increment_synth_preset_raw,FP8 source predicate/table restructuring,ex244_field_key_gated_case_increment + synth_preset + raw,field-level compare gated BDD key and constant increment tail,synth=synth_preset; post=raw; Yosys synth -flatten then abc/aigmap
