case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,runtime_sec,items,notes
ex200,ex200_bf16_exp_semantic_exp_delta_fields,bf16_exp,semantic_exp_delta_fields,student/work/reverse_bf16_aggressive_semantic_20260603_1711/ex200/verilog/ex200_bf16_exp_semantic_exp_delta_fields.v,student/work/reverse_bf16_aggressive_semantic_20260603_1711/ex200/aigs/ex200_bf16_exp_semantic_exp_delta_fields.aig,1,1,1,3784,31,117304,10.854,base=lookup_by_input_exp; positive_entries=32768; normal_entries=17074; special_entries=15694; relation=zero; negative_exceptions=17198,aggressive semantic BF16 field RTL
ex200,ex200_bf16_exp_semantic_field_reassembly,bf16_exp,semantic_field_reassembly,student/work/reverse_bf16_aggressive_semantic_20260603_1711/ex200/verilog/ex200_bf16_exp_semantic_field_reassembly.v,student/work/reverse_bf16_aggressive_semantic_20260603_1711/ex200/aigs/ex200_bf16_exp_semantic_field_reassembly.aig,1,1,1,3737,18,67266,12.372,65536,aggressive semantic BF16 field RTL
ex200,ex200_bf16_exp_semantic_positive_field_defaults,bf16_exp,semantic_positive_field_defaults,student/work/reverse_bf16_aggressive_semantic_20260603_1711/ex200/verilog/ex200_bf16_exp_semantic_positive_field_defaults.v,student/work/reverse_bf16_aggressive_semantic_20260603_1711/ex200/aigs/ex200_bf16_exp_semantic_positive_field_defaults.aig,1,1,1,3731,20,74620,5.294,positive_exp_groups=256; full_default_groups=241; positive_exceptions=1524; relation=zero; negative_exceptions=17198,aggressive semantic BF16 field RTL
ex200,ex200_bf16_exp_semantic_positive_symmetry_fields,bf16_exp,semantic_positive_symmetry_fields,student/work/reverse_bf16_aggressive_semantic_20260603_1711/ex200/verilog/ex200_bf16_exp_semantic_positive_symmetry_fields.v,student/work/reverse_bf16_aggressive_semantic_20260603_1711/ex200/aigs/ex200_bf16_exp_semantic_positive_symmetry_fields.aig,1,1,1,3698,20,73960,10.052,positive_entries=32768; relation=zero; negative_exceptions=17198,aggressive semantic BF16 field RTL
ex200,ex200_bf16_exp_semantic_sign_exp_field_defaults,bf16_exp,semantic_sign_exp_field_defaults,student/work/reverse_bf16_aggressive_semantic_20260603_1711/ex200/verilog/ex200_bf16_exp_semantic_sign_exp_field_defaults.v,student/work/reverse_bf16_aggressive_semantic_20260603_1711/ex200/aigs/ex200_bf16_exp_semantic_sign_exp_field_defaults.aig,1,1,1,4045,19,76855,3.356,groups=512; full_default_groups=480; exceptions=3159,aggressive semantic BF16 field RTL
ex201,ex201_bf16_exp2_semantic_exp_delta_fields,bf16_exp2,semantic_exp_delta_fields,student/work/reverse_bf16_aggressive_semantic_20260603_1711/ex201/verilog/ex201_bf16_exp2_semantic_exp_delta_fields.v,student/work/reverse_bf16_aggressive_semantic_20260603_1711/ex201/aigs/ex201_bf16_exp2_semantic_exp_delta_fields.aig,1,1,1,1653,20,33060,11.197,base=lookup_by_input_exp; positive_entries=32768; normal_entries=17152; special_entries=15616; relation=zero; negative_exceptions=17276,aggressive semantic BF16 field RTL
ex201,ex201_bf16_exp2_semantic_field_reassembly,bf16_exp2,semantic_field_reassembly,student/work/reverse_bf16_aggressive_semantic_20260603_1711/ex201/verilog/ex201_bf16_exp2_semantic_field_reassembly.v,student/work/reverse_bf16_aggressive_semantic_20260603_1711/ex201/aigs/ex201_bf16_exp2_semantic_field_reassembly.aig,1,1,1,1709,16,27344,9.618,65536,aggressive semantic BF16 field RTL
ex201,ex201_bf16_exp2_semantic_positive_field_defaults,bf16_exp2,semantic_positive_field_defaults,student/work/reverse_bf16_aggressive_semantic_20260603_1711/ex201/verilog/ex201_bf16_exp2_semantic_positive_field_defaults.v,student/work/reverse_bf16_aggressive_semantic_20260603_1711/ex201/aigs/ex201_bf16_exp2_semantic_positive_field_defaults.aig,1,1,1,1624,17,27608,5.024,positive_exp_groups=256; full_default_groups=241; positive_exceptions=1537; relation=zero; negative_exceptions=17276,aggressive semantic BF16 field RTL
ex201,ex201_bf16_exp2_semantic_positive_symmetry_fields,bf16_exp2,semantic_positive_symmetry_fields,student/work/reverse_bf16_aggressive_semantic_20260603_1711/ex201/verilog/ex201_bf16_exp2_semantic_positive_symmetry_fields.v,student/work/reverse_bf16_aggressive_semantic_20260603_1711/ex201/aigs/ex201_bf16_exp2_semantic_positive_symmetry_fields.aig,1,1,1,1672,19,31768,8.698,positive_entries=32768; relation=zero; negative_exceptions=17276,aggressive semantic BF16 field RTL
ex201,ex201_bf16_exp2_semantic_sign_exp_field_defaults,bf16_exp2,semantic_sign_exp_field_defaults,student/work/reverse_bf16_aggressive_semantic_20260603_1711/ex201/verilog/ex201_bf16_exp2_semantic_sign_exp_field_defaults.v,student/work/reverse_bf16_aggressive_semantic_20260603_1711/ex201/aigs/ex201_bf16_exp2_semantic_sign_exp_field_defaults.aig,1,1,1,1894,16,30304,2.419,groups=512; full_default_groups=481; exceptions=3185,aggressive semantic BF16 field RTL
ex202,ex202_bf16_exp10_semantic_exp_delta_fields,bf16_exp10,semantic_exp_delta_fields,student/work/reverse_bf16_aggressive_semantic_20260603_1711/ex202/verilog/ex202_bf16_exp10_semantic_exp_delta_fields.v,student/work/reverse_bf16_aggressive_semantic_20260603_1711/ex202/aigs/ex202_bf16_exp10_semantic_exp_delta_fields.aig,1,1,1,3743,32,119776,10.875,base=lookup_by_input_exp; positive_entries=32768; normal_entries=16923; special_entries=15845; relation=zero; negative_exceptions=17047,aggressive semantic BF16 field RTL
ex202,ex202_bf16_exp10_semantic_field_reassembly,bf16_exp10,semantic_field_reassembly,student/work/reverse_bf16_aggressive_semantic_20260603_1711/ex202/verilog/ex202_bf16_exp10_semantic_field_reassembly.v,student/work/reverse_bf16_aggressive_semantic_20260603_1711/ex202/aigs/ex202_bf16_exp10_semantic_field_reassembly.aig,1,1,1,3728,17,63376,11.459,65536,aggressive semantic BF16 field RTL
