case,domain,agent_id,candidate_id,hypothesis,variant,representation,shared_structure,method_signature,verilog_path,aig_path,verified_truth,equivalent,simulation_pass,area,delay,adp,evaluate_log,notes
ex244,,sub-ex244-r60,ex244_r60_gapcofactor_satsplit_field_abc_g_aig,shallow field compare with gap-cofactored delta,gapcofactor_satsplit/field/abc_g_aig,,,,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/verilog/ex244_r60_gapcofactor_satsplit_field.v,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/aigs/ex244_r60_gapcofactor_satsplit_field_abc_g_aig.aig,1,1,,304,34,10336,,official evaluate.py OK; synth_sec=0.290; eval_sec=0.514; yosys_log=student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/logs/ex244_r60_gapcofactor_satsplit_field_abc_g_aig.yosys.log
ex244,,sub-ex244-r60,ex244_r60_gapcofactor_satsplit_raw_abc_g_aig,gap-cofactored delta tables with saturation split,gapcofactor_satsplit/raw/abc_g_aig,,,,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/verilog/ex244_r60_gapcofactor_satsplit_raw.v,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/aigs/ex244_r60_gapcofactor_satsplit_raw_abc_g_aig.aig,1,1,,300,35,10500,,official evaluate.py OK; synth_sec=0.292; eval_sec=0.512; yosys_log=student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/logs/ex244_r60_gapcofactor_satsplit_raw_abc_g_aig.yosys.log
ex244,,sub-ex244-r60,ex244_r60_gapcofactor_satsplit_field_synth_preset,shallow field compare with gap-cofactored delta,gapcofactor_satsplit/field/synth_preset,,,,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/verilog/ex244_r60_gapcofactor_satsplit_field.v,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/aigs/ex244_r60_gapcofactor_satsplit_field_synth_preset.aig,1,1,,312,34,10608,,official evaluate.py OK; synth_sec=0.489; eval_sec=0.497; yosys_log=student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/logs/ex244_r60_gapcofactor_satsplit_field_synth_preset.yosys.log
ex244,,sub-ex244-r60,ex244_r60_gapcofactor_satsplit_raw_synth_preset,gap-cofactored delta tables with saturation split,gapcofactor_satsplit/raw/synth_preset,,,,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/verilog/ex244_r60_gapcofactor_satsplit_raw.v,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/aigs/ex244_r60_gapcofactor_satsplit_raw_synth_preset.aig,1,1,,320,34,10880,,official evaluate.py OK; synth_sec=0.441; eval_sec=0.502; yosys_log=student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/logs/ex244_r60_gapcofactor_satsplit_raw_synth_preset.yosys.log
ex244,,sub-ex244-r60,ex244_r60_gapcofactor_satsplit_raw_default,gap-cofactored delta tables with saturation split,gapcofactor_satsplit/raw/default,,,,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/verilog/ex244_r60_gapcofactor_satsplit_raw.v,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/aigs/ex244_r60_gapcofactor_satsplit_raw_default.aig,1,1,,312,35,10920,,official evaluate.py OK; synth_sec=0.293; eval_sec=0.475; yosys_log=student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/logs/ex244_r60_gapcofactor_satsplit_raw_default.yosys.log
ex244,,sub-ex244-r60,ex244_r60_gapcofactor_satsplit_field_default,shallow field compare with gap-cofactored delta,gapcofactor_satsplit/field/default,,,,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/verilog/ex244_r60_gapcofactor_satsplit_field.v,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/aigs/ex244_r60_gapcofactor_satsplit_field_default.aig,1,1,,321,35,11235,,official evaluate.py OK; synth_sec=0.282; eval_sec=0.474; yosys_log=student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/logs/ex244_r60_gapcofactor_satsplit_field_default.yosys.log
ex244,,sub-ex244-r60,ex244_r60_sigdelta_fullcase_satsplit_raw_abc_g_aig,delta table with explicit saturation predicate,sigdelta_fullcase_satsplit/raw/abc_g_aig,,,,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/verilog/ex244_r60_sigdelta_fullcase_satsplit_raw.v,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/aigs/ex244_r60_sigdelta_fullcase_satsplit_raw_abc_g_aig.aig,1,1,,345,34,11730,,official evaluate.py OK; synth_sec=0.386; eval_sec=0.489; yosys_log=student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/logs/ex244_r60_sigdelta_fullcase_satsplit_raw_abc_g_aig.yosys.log
ex244,,sub-ex244-r60,ex244_r60_sigdelta_fullcase_satsplit_field_synth_preset,shallow field compare with saturation split,sigdelta_fullcase_satsplit/field/synth_preset,,,,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/verilog/ex244_r60_sigdelta_fullcase_satsplit_field.v,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/aigs/ex244_r60_sigdelta_fullcase_satsplit_field_synth_preset.aig,1,1,,353,34,12002,,official evaluate.py OK; synth_sec=0.583; eval_sec=0.480; yosys_log=student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/logs/ex244_r60_sigdelta_fullcase_satsplit_field_synth_preset.yosys.log
ex244,,sub-ex244-r60,ex244_r60_sigdelta_fullcase_raw_abc_g_aig,max/min plus max-eff-free unsaturated delta table,sigdelta_fullcase/raw/abc_g_aig,,,,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/verilog/ex244_r60_sigdelta_fullcase_raw.v,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/aigs/ex244_r60_sigdelta_fullcase_raw_abc_g_aig.aig,1,1,,344,36,12384,,official evaluate.py OK; synth_sec=0.335; eval_sec=0.477; yosys_log=student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/logs/ex244_r60_sigdelta_fullcase_raw_abc_g_aig.yosys.log
ex244,,sub-ex244-r60,ex244_r60_sigdelta_fullcase_satsplit_field_abc_g_aig,shallow field compare with saturation split,sigdelta_fullcase_satsplit/field/abc_g_aig,,,,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/verilog/ex244_r60_sigdelta_fullcase_satsplit_field.v,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/aigs/ex244_r60_sigdelta_fullcase_satsplit_field_abc_g_aig.aig,1,1,,354,35,12390,,official evaluate.py OK; synth_sec=0.389; eval_sec=0.518; yosys_log=student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/logs/ex244_r60_sigdelta_fullcase_satsplit_field_abc_g_aig.yosys.log
