case,domain,agent_id,candidate_id,method_signature,hypothesis,representation,shared_structure,sharing_strategy,synth_flow,structure,shared_nodes,output_bits,prior_low_value_signatures_avoided,status,evidence,evidence_path,result,notes
ex244,float_fp8,sub-ex244-r60,ex244_r60_sigdelta_fullcase_raw_default,ex244|E4M3FN packed hypot|sigdelta_fullcase_raw|raw magnitude compare plus shared sig/gap delta table|yosys_default|exact_e4m3fn_hypot_abs_high_low|max_plus_delta_saturation_split,max/min plus max-eff-free unsaturated delta table,sigdelta_fullcase + raw + default,raw magnitude compare plus shared sig/gap delta table,,,,,,,,,,,source-only Yosys RTL synthesis; no standalone AIG remap
ex244,float_fp8,sub-ex244-r60,ex244_r60_sigdelta_fullcase_raw_abc_g_aig,ex244|E4M3FN packed hypot|sigdelta_fullcase_raw|raw magnitude compare plus shared sig/gap delta table|yosys_abc_g_aig|exact_e4m3fn_hypot_abs_high_low|max_plus_delta_saturation_split,max/min plus max-eff-free unsaturated delta table,sigdelta_fullcase + raw + abc_g_aig,raw magnitude compare plus shared sig/gap delta table,,,,,,,,,,,source-only Yosys RTL synthesis; no standalone AIG remap
ex244,float_fp8,sub-ex244-r60,ex244_r60_sigdelta_fullcase_raw_synth_preset,ex244|E4M3FN packed hypot|sigdelta_fullcase_raw|raw magnitude compare plus shared sig/gap delta table|yosys_synth_preset|exact_e4m3fn_hypot_abs_high_low|max_plus_delta_saturation_split,max/min plus max-eff-free unsaturated delta table,sigdelta_fullcase + raw + synth_preset,raw magnitude compare plus shared sig/gap delta table,,,,,,,,,,,source-only Yosys RTL synthesis; no standalone AIG remap
ex244,float_fp8,sub-ex244-r60,ex244_r60_sigdelta_fullcase_satsplit_raw_default,ex244|E4M3FN packed hypot|sigdelta_fullcase_satsplit_raw|shared sig/gap delta plus separate saturation predicates|yosys_default|exact_e4m3fn_hypot_abs_high_low|max_plus_delta_saturation_split,delta table with explicit saturation predicate,sigdelta_fullcase_satsplit + raw + default,shared sig/gap delta plus separate saturation predicates,,,,,,,,,,,source-only Yosys RTL synthesis; no standalone AIG remap
ex244,float_fp8,sub-ex244-r60,ex244_r60_sigdelta_fullcase_satsplit_raw_abc_g_aig,ex244|E4M3FN packed hypot|sigdelta_fullcase_satsplit_raw|shared sig/gap delta plus separate saturation predicates|yosys_abc_g_aig|exact_e4m3fn_hypot_abs_high_low|max_plus_delta_saturation_split,delta table with explicit saturation predicate,sigdelta_fullcase_satsplit + raw + abc_g_aig,shared sig/gap delta plus separate saturation predicates,,,,,,,,,,,source-only Yosys RTL synthesis; no standalone AIG remap
ex244,float_fp8,sub-ex244-r60,ex244_r60_sigdelta_fullcase_satsplit_raw_synth_preset,ex244|E4M3FN packed hypot|sigdelta_fullcase_satsplit_raw|shared sig/gap delta plus separate saturation predicates|yosys_synth_preset|exact_e4m3fn_hypot_abs_high_low|max_plus_delta_saturation_split,delta table with explicit saturation predicate,sigdelta_fullcase_satsplit + raw + synth_preset,shared sig/gap delta plus separate saturation predicates,,,,,,,,,,,source-only Yosys RTL synthesis; no standalone AIG remap
ex244,float_fp8,sub-ex244-r60,ex244_r60_gapcofactor_satsplit_raw_default,ex244|E4M3FN packed hypot|gapcofactor_satsplit_raw|gap0/gap1/gap2 local delta tables and shared saturation predicates|yosys_default|exact_e4m3fn_hypot_abs_high_low|max_plus_delta_saturation_split,gap-cofactored delta tables with saturation split,gapcofactor_satsplit + raw + default,gap0/gap1/gap2 local delta tables and shared saturation predicates,,,,,,,,,,,source-only Yosys RTL synthesis; no standalone AIG remap
ex244,float_fp8,sub-ex244-r60,ex244_r60_gapcofactor_satsplit_raw_abc_g_aig,ex244|E4M3FN packed hypot|gapcofactor_satsplit_raw|gap0/gap1/gap2 local delta tables and shared saturation predicates|yosys_abc_g_aig|exact_e4m3fn_hypot_abs_high_low|max_plus_delta_saturation_split,gap-cofactored delta tables with saturation split,gapcofactor_satsplit + raw + abc_g_aig,gap0/gap1/gap2 local delta tables and shared saturation predicates,,,,,,,,,,,source-only Yosys RTL synthesis; no standalone AIG remap
ex244,float_fp8,sub-ex244-r60,ex244_r60_gapcofactor_satsplit_raw_synth_preset,ex244|E4M3FN packed hypot|gapcofactor_satsplit_raw|gap0/gap1/gap2 local delta tables and shared saturation predicates|yosys_synth_preset|exact_e4m3fn_hypot_abs_high_low|max_plus_delta_saturation_split,gap-cofactored delta tables with saturation split,gapcofactor_satsplit + raw + synth_preset,gap0/gap1/gap2 local delta tables and shared saturation predicates,,,,,,,,,,,source-only Yosys RTL synthesis; no standalone AIG remap
ex244,float_fp8,sub-ex244-r60,ex244_r60_bitplane_incmux_raw_default,ex244|E4M3FN packed hypot|bitplane_incmux_raw|independent delta bit tables plus constant increment output mux|yosys_default|exact_e4m3fn_hypot_abs_high_low|max_plus_delta_saturation_split,selected delta-bit tables with constant increment tail,bitplane_incmux + raw + default,independent delta bit tables plus constant increment output mux,,,,,,,,,,,source-only Yosys RTL synthesis; no standalone AIG remap
