case,domain,agent_id,candidate_id,method_signature,status,equivalent,area,delay,adp,verilog_path,aig_path,evaluate_log,notes
ex244,float_fp8,sub-ex244-r60,ex244_r60_sigdelta_fullcase_raw_default,,,1,358,37,13246,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/verilog/ex244_r60_sigdelta_fullcase_raw.v,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/aigs/ex244_r60_sigdelta_fullcase_raw_default.aig,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/logs/ex244_r60_sigdelta_fullcase_raw_default.evaluate.py.log,official evaluate.py OK; synth_sec=0.381; eval_sec=0.498; yosys_log=student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/logs/ex244_r60_sigdelta_fullcase_raw_default.yosys.log
ex244,float_fp8,sub-ex244-r60,ex244_r60_sigdelta_fullcase_raw_abc_g_aig,,,1,344,36,12384,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/verilog/ex244_r60_sigdelta_fullcase_raw.v,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/aigs/ex244_r60_sigdelta_fullcase_raw_abc_g_aig.aig,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/logs/ex244_r60_sigdelta_fullcase_raw_abc_g_aig.evaluate.py.log,official evaluate.py OK; synth_sec=0.335; eval_sec=0.477; yosys_log=student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/logs/ex244_r60_sigdelta_fullcase_raw_abc_g_aig.yosys.log
ex244,float_fp8,sub-ex244-r60,ex244_r60_sigdelta_fullcase_raw_synth_preset,,,1,339,38,12882,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/verilog/ex244_r60_sigdelta_fullcase_raw.v,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/aigs/ex244_r60_sigdelta_fullcase_raw_synth_preset.aig,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/logs/ex244_r60_sigdelta_fullcase_raw_synth_preset.evaluate.py.log,official evaluate.py OK; synth_sec=0.507; eval_sec=0.508; yosys_log=student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/logs/ex244_r60_sigdelta_fullcase_raw_synth_preset.yosys.log
ex244,float_fp8,sub-ex244-r60,ex244_r60_sigdelta_fullcase_satsplit_raw_default,,,1,366,34,12444,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/verilog/ex244_r60_sigdelta_fullcase_satsplit_raw.v,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/aigs/ex244_r60_sigdelta_fullcase_satsplit_raw_default.aig,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/logs/ex244_r60_sigdelta_fullcase_satsplit_raw_default.evaluate.py.log,official evaluate.py OK; synth_sec=0.397; eval_sec=0.501; yosys_log=student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/logs/ex244_r60_sigdelta_fullcase_satsplit_raw_default.yosys.log
ex244,float_fp8,sub-ex244-r60,ex244_r60_sigdelta_fullcase_satsplit_raw_abc_g_aig,,,1,345,34,11730,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/verilog/ex244_r60_sigdelta_fullcase_satsplit_raw.v,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/aigs/ex244_r60_sigdelta_fullcase_satsplit_raw_abc_g_aig.aig,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/logs/ex244_r60_sigdelta_fullcase_satsplit_raw_abc_g_aig.evaluate.py.log,official evaluate.py OK; synth_sec=0.386; eval_sec=0.489; yosys_log=student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/logs/ex244_r60_sigdelta_fullcase_satsplit_raw_abc_g_aig.yosys.log
ex244,float_fp8,sub-ex244-r60,ex244_r60_sigdelta_fullcase_satsplit_raw_synth_preset,,,1,353,36,12708,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/verilog/ex244_r60_sigdelta_fullcase_satsplit_raw.v,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/aigs/ex244_r60_sigdelta_fullcase_satsplit_raw_synth_preset.aig,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/logs/ex244_r60_sigdelta_fullcase_satsplit_raw_synth_preset.evaluate.py.log,official evaluate.py OK; synth_sec=0.566; eval_sec=0.504; yosys_log=student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/logs/ex244_r60_sigdelta_fullcase_satsplit_raw_synth_preset.yosys.log
ex244,float_fp8,sub-ex244-r60,ex244_r60_gapcofactor_satsplit_raw_default,,,1,312,35,10920,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/verilog/ex244_r60_gapcofactor_satsplit_raw.v,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/aigs/ex244_r60_gapcofactor_satsplit_raw_default.aig,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/logs/ex244_r60_gapcofactor_satsplit_raw_default.evaluate.py.log,official evaluate.py OK; synth_sec=0.293; eval_sec=0.475; yosys_log=student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/logs/ex244_r60_gapcofactor_satsplit_raw_default.yosys.log
ex244,float_fp8,sub-ex244-r60,ex244_r60_gapcofactor_satsplit_raw_abc_g_aig,,,1,300,35,10500,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/verilog/ex244_r60_gapcofactor_satsplit_raw.v,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/aigs/ex244_r60_gapcofactor_satsplit_raw_abc_g_aig.aig,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/logs/ex244_r60_gapcofactor_satsplit_raw_abc_g_aig.evaluate.py.log,official evaluate.py OK; synth_sec=0.292; eval_sec=0.512; yosys_log=student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/logs/ex244_r60_gapcofactor_satsplit_raw_abc_g_aig.yosys.log
ex244,float_fp8,sub-ex244-r60,ex244_r60_gapcofactor_satsplit_raw_synth_preset,,,1,320,34,10880,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/verilog/ex244_r60_gapcofactor_satsplit_raw.v,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/aigs/ex244_r60_gapcofactor_satsplit_raw_synth_preset.aig,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/logs/ex244_r60_gapcofactor_satsplit_raw_synth_preset.evaluate.py.log,official evaluate.py OK; synth_sec=0.441; eval_sec=0.502; yosys_log=student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/logs/ex244_r60_gapcofactor_satsplit_raw_synth_preset.yosys.log
ex244,float_fp8,sub-ex244-r60,ex244_r60_bitplane_incmux_raw_default,,,1,503,37,18611,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/verilog/ex244_r60_bitplane_incmux_raw.v,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/aigs/ex244_r60_bitplane_incmux_raw_default.aig,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/logs/ex244_r60_bitplane_incmux_raw_default.evaluate.py.log,official evaluate.py OK; synth_sec=0.393; eval_sec=0.497; yosys_log=student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/logs/ex244_r60_bitplane_incmux_raw_default.yosys.log
