case,domain,agent_id,candidate_id,source_family,simulator,simulation_type,simulation_pass,passed,status,rows_checked,mismatches,log_path,evidence_path,notes
ex244,float_fp8,sub-ex244-r60,ex244_r60_sigdelta_fullcase_raw_default,,,,not_run,,,,,,,iverilog not needed; exactness checked by official evaluate.py
ex244,float_fp8,sub-ex244-r60,ex244_r60_sigdelta_fullcase_raw_abc_g_aig,,,,not_run,,,,,,,iverilog not needed; exactness checked by official evaluate.py
ex244,float_fp8,sub-ex244-r60,ex244_r60_sigdelta_fullcase_raw_synth_preset,,,,not_run,,,,,,,iverilog not needed; exactness checked by official evaluate.py
ex244,float_fp8,sub-ex244-r60,ex244_r60_sigdelta_fullcase_satsplit_raw_default,,,,not_run,,,,,,,iverilog not needed; exactness checked by official evaluate.py
ex244,float_fp8,sub-ex244-r60,ex244_r60_sigdelta_fullcase_satsplit_raw_abc_g_aig,,,,not_run,,,,,,,iverilog not needed; exactness checked by official evaluate.py
ex244,float_fp8,sub-ex244-r60,ex244_r60_sigdelta_fullcase_satsplit_raw_synth_preset,,,,not_run,,,,,,,iverilog not needed; exactness checked by official evaluate.py
ex244,float_fp8,sub-ex244-r60,ex244_r60_gapcofactor_satsplit_raw_default,,,,not_run,,,,,,,iverilog not needed; exactness checked by official evaluate.py
ex244,float_fp8,sub-ex244-r60,ex244_r60_gapcofactor_satsplit_raw_abc_g_aig,,,,not_run,,,,,,,iverilog not needed; exactness checked by official evaluate.py
ex244,float_fp8,sub-ex244-r60,ex244_r60_gapcofactor_satsplit_raw_synth_preset,,,,not_run,,,,,,,iverilog not needed; exactness checked by official evaluate.py
ex244,float_fp8,sub-ex244-r60,ex244_r60_bitplane_incmux_raw_default,,,,not_run,,,,,,,iverilog not needed; exactness checked by official evaluate.py
ex244,float_fp8,sub-ex244-r60,ex244_r60_bitplane_incmux_raw_abc_g_aig,,,,not_run,,,,,,,iverilog not needed; exactness checked by official evaluate.py
ex244,float_fp8,sub-ex244-r60,ex244_r60_bitplane_incmux_raw_synth_preset,,,,not_run,,,,,,,iverilog not needed; exactness checked by official evaluate.py
