case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex266,ex266_udiv_bdd_search_best_abc_g_aig,unsigned low5_high5:a/b dbz=max,bdd_search_best+abc_g_aig,student/work/ex266_ex267_frontend_udiv_bdd_search_order_20260609_1210/ex266/verilog/ex266_udiv_bdd_search_best.v,student/work/ex266_ex267_frontend_udiv_bdd_search_order_20260609_1210/ex266/aigs/ex266_udiv_bdd_search_best_abc_g_aig.aig,1,1,1,157,13,2041,848,2.406840,0,0,0.219,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=bdd_search_best; flow=abc_g_aig
ex266,ex266_udiv_bdd_search_best_wreduce_abc_g_aig,unsigned low5_high5:a/b dbz=max,bdd_search_best+wreduce_abc_g_aig,student/work/ex266_ex267_frontend_udiv_bdd_search_order_20260609_1210/ex266/verilog/ex266_udiv_bdd_search_best.v,student/work/ex266_ex267_frontend_udiv_bdd_search_order_20260609_1210/ex266/aigs/ex266_udiv_bdd_search_best_wreduce_abc_g_aig.aig,1,1,1,157,13,2041,848,2.406840,0,0,0.219,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=bdd_search_best; flow=wreduce_abc_g_aig
ex266,ex266_udiv_bdd_search_best_synth_preset,unsigned low5_high5:a/b dbz=max,bdd_search_best+synth_preset,student/work/ex266_ex267_frontend_udiv_bdd_search_order_20260609_1210/ex266/verilog/ex266_udiv_bdd_search_best.v,student/work/ex266_ex267_frontend_udiv_bdd_search_order_20260609_1210/ex266/aigs/ex266_udiv_bdd_search_best_synth_preset.aig,1,1,1,146,13,1898,848,2.238208,0,0,0.286,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=bdd_search_best; flow=synth_preset
ex266,ex266_udiv_bdd_search_best_abc_g_aig_d8,unsigned low5_high5:a/b dbz=max,bdd_search_best+abc_g_aig_d8,student/work/ex266_ex267_frontend_udiv_bdd_search_order_20260609_1210/ex266/verilog/ex266_udiv_bdd_search_best.v,student/work/ex266_ex267_frontend_udiv_bdd_search_order_20260609_1210/ex266/aigs/ex266_udiv_bdd_search_best_abc_g_aig_d8.aig,1,1,1,157,13,2041,848,2.406840,0,0,0.216,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=bdd_search_best; flow=abc_g_aig_d8
ex266,ex266_udiv_bdd_search_best_abc_g_aig_d10,unsigned low5_high5:a/b dbz=max,bdd_search_best+abc_g_aig_d10,student/work/ex266_ex267_frontend_udiv_bdd_search_order_20260609_1210/ex266/verilog/ex266_udiv_bdd_search_best.v,student/work/ex266_ex267_frontend_udiv_bdd_search_order_20260609_1210/ex266/aigs/ex266_udiv_bdd_search_best_abc_g_aig_d10.aig,1,1,1,157,13,2041,848,2.406840,0,0,0.216,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=bdd_search_best; flow=abc_g_aig_d10
ex266,ex266_udiv_bdd_search_best_synth_preset_d8,unsigned low5_high5:a/b dbz=max,bdd_search_best+synth_preset_d8,student/work/ex266_ex267_frontend_udiv_bdd_search_order_20260609_1210/ex266/verilog/ex266_udiv_bdd_search_best.v,student/work/ex266_ex267_frontend_udiv_bdd_search_order_20260609_1210/ex266/aigs/ex266_udiv_bdd_search_best_synth_preset_d8.aig,1,1,1,146,13,1898,848,2.238208,0,0,0.286,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=bdd_search_best; flow=synth_preset_d8
ex266,ex266_udiv_bdd_search_best_synth_preset_d10,unsigned low5_high5:a/b dbz=max,bdd_search_best+synth_preset_d10,student/work/ex266_ex267_frontend_udiv_bdd_search_order_20260609_1210/ex266/verilog/ex266_udiv_bdd_search_best.v,student/work/ex266_ex267_frontend_udiv_bdd_search_order_20260609_1210/ex266/aigs/ex266_udiv_bdd_search_best_synth_preset_d10.aig,1,1,1,146,13,1898,848,2.238208,0,0,0.286,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=bdd_search_best; flow=synth_preset_d10
ex267,ex267_udiv_bdd_search_best_abc_g_aig,unsigned low6_high6:a/b dbz=max,bdd_search_best+abc_g_aig,student/work/ex266_ex267_frontend_udiv_bdd_search_order_20260609_1210/ex267/verilog/ex267_udiv_bdd_search_best.v,student/work/ex266_ex267_frontend_udiv_bdd_search_order_20260609_1210/ex267/aigs/ex267_udiv_bdd_search_best_abc_g_aig.aig,1,1,1,331,17,5627,2651,2.122595,0,0,0.266,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=bdd_search_best; flow=abc_g_aig
ex267,ex267_udiv_bdd_search_best_wreduce_abc_g_aig,unsigned low6_high6:a/b dbz=max,bdd_search_best+wreduce_abc_g_aig,student/work/ex266_ex267_frontend_udiv_bdd_search_order_20260609_1210/ex267/verilog/ex267_udiv_bdd_search_best.v,student/work/ex266_ex267_frontend_udiv_bdd_search_order_20260609_1210/ex267/aigs/ex267_udiv_bdd_search_best_wreduce_abc_g_aig.aig,1,1,1,331,17,5627,2651,2.122595,0,0,0.274,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=bdd_search_best; flow=wreduce_abc_g_aig
ex267,ex267_udiv_bdd_search_best_synth_preset,unsigned low6_high6:a/b dbz=max,bdd_search_best+synth_preset,student/work/ex266_ex267_frontend_udiv_bdd_search_order_20260609_1210/ex267/verilog/ex267_udiv_bdd_search_best.v,student/work/ex266_ex267_frontend_udiv_bdd_search_order_20260609_1210/ex267/aigs/ex267_udiv_bdd_search_best_synth_preset.aig,1,1,1,321,17,5457,2651,2.058469,0,0,0.367,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=bdd_search_best; flow=synth_preset
ex267,ex267_udiv_bdd_search_best_abc_g_aig_d8,unsigned low6_high6:a/b dbz=max,bdd_search_best+abc_g_aig_d8,student/work/ex266_ex267_frontend_udiv_bdd_search_order_20260609_1210/ex267/verilog/ex267_udiv_bdd_search_best.v,student/work/ex266_ex267_frontend_udiv_bdd_search_order_20260609_1210/ex267/aigs/ex267_udiv_bdd_search_best_abc_g_aig_d8.aig,1,1,1,331,17,5627,2651,2.122595,0,0,0.270,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=bdd_search_best; flow=abc_g_aig_d8
