case,domain,agent_id,candidate_id,equivalent,area,delay,adp,verilog_path,aig_path,evaluate_log,notes
ex249,float_fp8,local-ex249-source-r54,ex249_ex249_delta_case_attrs_default_raw,1,191,30,5730,student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_delta_case_attrs/verilog/ex249_delta_case_attrs.v,student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_delta_case_attrs/aigs/ex249_ex249_delta_case_attrs_default_raw.aig,student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_delta_case_attrs/logs/ex249_ex249_delta_case_attrs_default_raw.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_delta_case_attrs/logs/ex249_delta_case_attrs_default.yosys.log; abc_log=student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_delta_case_attrs/logs/ex249_ex249_delta_case_attrs_default_raw.abc.log; synth_sec=0.187; abc_sec=0.000; eval_sec=0.438
ex249,float_fp8,local-ex249-source-r54,ex249_ex249_delta_case_attrs_extra_share_raw,1,198,29,5742,student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_delta_case_attrs/verilog/ex249_delta_case_attrs.v,student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_delta_case_attrs/aigs/ex249_ex249_delta_case_attrs_extra_share_raw.aig,student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_delta_case_attrs/logs/ex249_ex249_delta_case_attrs_extra_share_raw.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_delta_case_attrs/logs/ex249_delta_case_attrs_extra_share.yosys.log; abc_log=student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_delta_case_attrs/logs/ex249_ex249_delta_case_attrs_extra_share_raw.abc.log; synth_sec=0.186; abc_sec=0.000; eval_sec=0.443
ex249,float_fp8,local-ex249-source-r54,ex249_ex249_delta_case_attrs_abc_g_aig_raw,1,173,30,5190,student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_delta_case_attrs/verilog/ex249_delta_case_attrs.v,student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_delta_case_attrs/aigs/ex249_ex249_delta_case_attrs_abc_g_aig_raw.aig,student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_delta_case_attrs/logs/ex249_ex249_delta_case_attrs_abc_g_aig_raw.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_delta_case_attrs/logs/ex249_delta_case_attrs_abc_g_aig.yosys.log; abc_log=student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_delta_case_attrs/logs/ex249_ex249_delta_case_attrs_abc_g_aig_raw.abc.log; synth_sec=0.182; abc_sec=0.000; eval_sec=0.439
ex249,float_fp8,local-ex249-source-r54,ex249_ex249_delta_case_attrs_synth_preset_raw,1,180,26,4680,student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_delta_case_attrs/verilog/ex249_delta_case_attrs.v,student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_delta_case_attrs/aigs/ex249_ex249_delta_case_attrs_synth_preset_raw.aig,student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_delta_case_attrs/logs/ex249_ex249_delta_case_attrs_synth_preset_raw.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_delta_case_attrs/logs/ex249_delta_case_attrs_synth_preset.yosys.log; abc_log=student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_delta_case_attrs/logs/ex249_ex249_delta_case_attrs_synth_preset_raw.abc.log; synth_sec=0.286; abc_sec=0.000; eval_sec=0.440
ex249,float_fp8,local-ex249-source-r54,ex249_ex249_split_delta_pred_default_raw,1,193,28,5404,student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_split_delta_pred/verilog/ex249_split_delta_pred.v,student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_split_delta_pred/aigs/ex249_ex249_split_delta_pred_default_raw.aig,student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_split_delta_pred/logs/ex249_ex249_split_delta_pred_default_raw.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_split_delta_pred/logs/ex249_split_delta_pred_default.yosys.log; abc_log=student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_split_delta_pred/logs/ex249_ex249_split_delta_pred_default_raw.abc.log; synth_sec=0.187; abc_sec=0.000; eval_sec=0.440
ex249,float_fp8,local-ex249-source-r54,ex249_ex249_split_delta_pred_extra_share_raw,1,192,28,5376,student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_split_delta_pred/verilog/ex249_split_delta_pred.v,student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_split_delta_pred/aigs/ex249_ex249_split_delta_pred_extra_share_raw.aig,student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_split_delta_pred/logs/ex249_ex249_split_delta_pred_extra_share_raw.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_split_delta_pred/logs/ex249_split_delta_pred_extra_share.yosys.log; abc_log=student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_split_delta_pred/logs/ex249_ex249_split_delta_pred_extra_share_raw.abc.log; synth_sec=0.183; abc_sec=0.000; eval_sec=0.436
ex249,float_fp8,local-ex249-source-r54,ex249_ex249_split_delta_pred_abc_g_aig_raw,1,175,28,4900,student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_split_delta_pred/verilog/ex249_split_delta_pred.v,student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_split_delta_pred/aigs/ex249_ex249_split_delta_pred_abc_g_aig_raw.aig,student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_split_delta_pred/logs/ex249_ex249_split_delta_pred_abc_g_aig_raw.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_split_delta_pred/logs/ex249_split_delta_pred_abc_g_aig.yosys.log; abc_log=student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_split_delta_pred/logs/ex249_ex249_split_delta_pred_abc_g_aig_raw.abc.log; synth_sec=0.184; abc_sec=0.000; eval_sec=0.439
ex249,float_fp8,local-ex249-source-r54,ex249_ex249_split_delta_pred_synth_preset_raw,1,193,27,5211,student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_split_delta_pred/verilog/ex249_split_delta_pred.v,student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_split_delta_pred/aigs/ex249_ex249_split_delta_pred_synth_preset_raw.aig,student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_split_delta_pred/logs/ex249_ex249_split_delta_pred_synth_preset_raw.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_split_delta_pred/logs/ex249_split_delta_pred_synth_preset.yosys.log; abc_log=student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_split_delta_pred/logs/ex249_ex249_split_delta_pred_synth_preset_raw.abc.log; synth_sec=0.290; abc_sec=0.000; eval_sec=0.440
ex249,float_fp8,local-ex249-source-r54,ex249_ex249_inc_mux_delta_pred_default_raw,1,203,30,6090,student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_inc_mux_delta_pred/verilog/ex249_inc_mux_delta_pred.v,student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_inc_mux_delta_pred/aigs/ex249_ex249_inc_mux_delta_pred_default_raw.aig,student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_inc_mux_delta_pred/logs/ex249_ex249_inc_mux_delta_pred_default_raw.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_inc_mux_delta_pred/logs/ex249_inc_mux_delta_pred_default.yosys.log; abc_log=student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_inc_mux_delta_pred/logs/ex249_ex249_inc_mux_delta_pred_default_raw.abc.log; synth_sec=0.186; abc_sec=0.000; eval_sec=0.438
ex249,float_fp8,local-ex249-source-r54,ex249_ex249_inc_mux_delta_pred_extra_share_raw,1,191,29,5539,student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_inc_mux_delta_pred/verilog/ex249_inc_mux_delta_pred.v,student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_inc_mux_delta_pred/aigs/ex249_ex249_inc_mux_delta_pred_extra_share_raw.aig,student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_inc_mux_delta_pred/logs/ex249_ex249_inc_mux_delta_pred_extra_share_raw.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_inc_mux_delta_pred/logs/ex249_inc_mux_delta_pred_extra_share.yosys.log; abc_log=student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_inc_mux_delta_pred/logs/ex249_ex249_inc_mux_delta_pred_extra_share_raw.abc.log; synth_sec=0.197; abc_sec=0.000; eval_sec=0.439
ex249,float_fp8,local-ex249-source-r54,ex249_ex249_inc_mux_delta_pred_abc_g_aig_raw,1,174,28,4872,student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_inc_mux_delta_pred/verilog/ex249_inc_mux_delta_pred.v,student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_inc_mux_delta_pred/aigs/ex249_ex249_inc_mux_delta_pred_abc_g_aig_raw.aig,student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_inc_mux_delta_pred/logs/ex249_ex249_inc_mux_delta_pred_abc_g_aig_raw.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_inc_mux_delta_pred/logs/ex249_inc_mux_delta_pred_abc_g_aig.yosys.log; abc_log=student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_inc_mux_delta_pred/logs/ex249_ex249_inc_mux_delta_pred_abc_g_aig_raw.abc.log; synth_sec=0.185; abc_sec=0.000; eval_sec=0.436
