case,domain,agent_id,candidate_id,hypothesis,representation,shared_structure,method_signature,verilog_path,aig_path,equivalent,simulation_pass,area,delay,adp,evaluate_log,notes
ex249,float_fp8,local-ex249-source-r54,ex249_ex249_delta_case_attrs_default_raw,FP8 source predicate/table restructuring,ex249_delta_case_attrs + default + raw,original delta case with full/parallel case attributes,ex249|fp8_source_restructure|ex249_delta_case_attrs|original_delta_case_with_full_parallel_case_attributes|default|raw|official_evaluate|full_word,student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_delta_case_attrs/verilog/ex249_delta_case_attrs.v,student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_delta_case_attrs/aigs/ex249_ex249_delta_case_attrs_default_raw.aig,1,not_run,191,30,5730,student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_delta_case_attrs/logs/ex249_ex249_delta_case_attrs_default_raw.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_delta_case_attrs/logs/ex249_delta_case_attrs_default.yosys.log; abc_log=student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_delta_case_attrs/logs/ex249_ex249_delta_case_attrs_default_raw.abc.log; synth_sec=0.187; abc_sec=0.000; eval_sec=0.438
ex249,float_fp8,local-ex249-source-r54,ex249_ex249_delta_case_attrs_extra_share_raw,FP8 source predicate/table restructuring,ex249_delta_case_attrs + extra_share + raw,original delta case with full/parallel case attributes,ex249|fp8_source_restructure|ex249_delta_case_attrs|original_delta_case_with_full_parallel_case_attributes|extra_share|raw|official_evaluate|full_word,student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_delta_case_attrs/verilog/ex249_delta_case_attrs.v,student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_delta_case_attrs/aigs/ex249_ex249_delta_case_attrs_extra_share_raw.aig,1,not_run,198,29,5742,student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_delta_case_attrs/logs/ex249_ex249_delta_case_attrs_extra_share_raw.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_delta_case_attrs/logs/ex249_delta_case_attrs_extra_share.yosys.log; abc_log=student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_delta_case_attrs/logs/ex249_ex249_delta_case_attrs_extra_share_raw.abc.log; synth_sec=0.186; abc_sec=0.000; eval_sec=0.443
ex249,float_fp8,local-ex249-source-r54,ex249_ex249_delta_case_attrs_abc_g_aig_raw,FP8 source predicate/table restructuring,ex249_delta_case_attrs + abc_g_aig + raw,original delta case with full/parallel case attributes,ex249|fp8_source_restructure|ex249_delta_case_attrs|original_delta_case_with_full_parallel_case_attributes|abc_g_aig|raw|official_evaluate|full_word,student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_delta_case_attrs/verilog/ex249_delta_case_attrs.v,student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_delta_case_attrs/aigs/ex249_ex249_delta_case_attrs_abc_g_aig_raw.aig,1,not_run,173,30,5190,student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_delta_case_attrs/logs/ex249_ex249_delta_case_attrs_abc_g_aig_raw.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_delta_case_attrs/logs/ex249_delta_case_attrs_abc_g_aig.yosys.log; abc_log=student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_delta_case_attrs/logs/ex249_ex249_delta_case_attrs_abc_g_aig_raw.abc.log; synth_sec=0.182; abc_sec=0.000; eval_sec=0.439
ex249,float_fp8,local-ex249-source-r54,ex249_ex249_delta_case_attrs_synth_preset_raw,FP8 source predicate/table restructuring,ex249_delta_case_attrs + synth_preset + raw,original delta case with full/parallel case attributes,ex249|fp8_source_restructure|ex249_delta_case_attrs|original_delta_case_with_full_parallel_case_attributes|synth_preset|raw|official_evaluate|full_word,student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_delta_case_attrs/verilog/ex249_delta_case_attrs.v,student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_delta_case_attrs/aigs/ex249_ex249_delta_case_attrs_synth_preset_raw.aig,1,not_run,180,26,4680,student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_delta_case_attrs/logs/ex249_ex249_delta_case_attrs_synth_preset_raw.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_delta_case_attrs/logs/ex249_delta_case_attrs_synth_preset.yosys.log; abc_log=student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_delta_case_attrs/logs/ex249_ex249_delta_case_attrs_synth_preset_raw.abc.log; synth_sec=0.286; abc_sec=0.000; eval_sec=0.440
ex249,float_fp8,local-ex249-source-r54,ex249_ex249_split_delta_pred_default_raw,FP8 source predicate/table restructuring,ex249_split_delta_pred + default + raw,split delta table into shared inc1/inc2 predicates,ex249|fp8_source_restructure|ex249_split_delta_pred|split_delta_table_into_shared_inc1_inc2_predicates|default|raw|official_evaluate|full_word,student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_split_delta_pred/verilog/ex249_split_delta_pred.v,student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_split_delta_pred/aigs/ex249_ex249_split_delta_pred_default_raw.aig,1,not_run,193,28,5404,student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_split_delta_pred/logs/ex249_ex249_split_delta_pred_default_raw.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_split_delta_pred/logs/ex249_split_delta_pred_default.yosys.log; abc_log=student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_split_delta_pred/logs/ex249_ex249_split_delta_pred_default_raw.abc.log; synth_sec=0.187; abc_sec=0.000; eval_sec=0.440
ex249,float_fp8,local-ex249-source-r54,ex249_ex249_split_delta_pred_extra_share_raw,FP8 source predicate/table restructuring,ex249_split_delta_pred + extra_share + raw,split delta table into shared inc1/inc2 predicates,ex249|fp8_source_restructure|ex249_split_delta_pred|split_delta_table_into_shared_inc1_inc2_predicates|extra_share|raw|official_evaluate|full_word,student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_split_delta_pred/verilog/ex249_split_delta_pred.v,student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_split_delta_pred/aigs/ex249_ex249_split_delta_pred_extra_share_raw.aig,1,not_run,192,28,5376,student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_split_delta_pred/logs/ex249_ex249_split_delta_pred_extra_share_raw.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_split_delta_pred/logs/ex249_split_delta_pred_extra_share.yosys.log; abc_log=student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_split_delta_pred/logs/ex249_ex249_split_delta_pred_extra_share_raw.abc.log; synth_sec=0.183; abc_sec=0.000; eval_sec=0.436
ex249,float_fp8,local-ex249-source-r54,ex249_ex249_split_delta_pred_abc_g_aig_raw,FP8 source predicate/table restructuring,ex249_split_delta_pred + abc_g_aig + raw,split delta table into shared inc1/inc2 predicates,ex249|fp8_source_restructure|ex249_split_delta_pred|split_delta_table_into_shared_inc1_inc2_predicates|abc_g_aig|raw|official_evaluate|full_word,student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_split_delta_pred/verilog/ex249_split_delta_pred.v,student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_split_delta_pred/aigs/ex249_ex249_split_delta_pred_abc_g_aig_raw.aig,1,not_run,175,28,4900,student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_split_delta_pred/logs/ex249_ex249_split_delta_pred_abc_g_aig_raw.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_split_delta_pred/logs/ex249_split_delta_pred_abc_g_aig.yosys.log; abc_log=student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_split_delta_pred/logs/ex249_ex249_split_delta_pred_abc_g_aig_raw.abc.log; synth_sec=0.184; abc_sec=0.000; eval_sec=0.439
ex249,float_fp8,local-ex249-source-r54,ex249_ex249_split_delta_pred_synth_preset_raw,FP8 source predicate/table restructuring,ex249_split_delta_pred + synth_preset + raw,split delta table into shared inc1/inc2 predicates,ex249|fp8_source_restructure|ex249_split_delta_pred|split_delta_table_into_shared_inc1_inc2_predicates|synth_preset|raw|official_evaluate|full_word,student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_split_delta_pred/verilog/ex249_split_delta_pred.v,student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_split_delta_pred/aigs/ex249_ex249_split_delta_pred_synth_preset_raw.aig,1,not_run,193,27,5211,student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_split_delta_pred/logs/ex249_ex249_split_delta_pred_synth_preset_raw.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_split_delta_pred/logs/ex249_split_delta_pred_synth_preset.yosys.log; abc_log=student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_split_delta_pred/logs/ex249_ex249_split_delta_pred_synth_preset_raw.abc.log; synth_sec=0.290; abc_sec=0.000; eval_sec=0.440
ex249,float_fp8,local-ex249-source-r54,ex249_ex249_inc_mux_delta_pred_default_raw,FP8 source predicate/table restructuring,ex249_inc_mux_delta_pred + default + raw,split delta predicates and mux plus-one/plus-two carry paths,ex249|fp8_source_restructure|ex249_inc_mux_delta_pred|split_delta_predicates_and_mux_plus_one_plus_two_carry_paths|default|raw|official_evaluate|full_word,student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_inc_mux_delta_pred/verilog/ex249_inc_mux_delta_pred.v,student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_inc_mux_delta_pred/aigs/ex249_ex249_inc_mux_delta_pred_default_raw.aig,1,not_run,203,30,6090,student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_inc_mux_delta_pred/logs/ex249_ex249_inc_mux_delta_pred_default_raw.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_inc_mux_delta_pred/logs/ex249_inc_mux_delta_pred_default.yosys.log; abc_log=student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_inc_mux_delta_pred/logs/ex249_ex249_inc_mux_delta_pred_default_raw.abc.log; synth_sec=0.186; abc_sec=0.000; eval_sec=0.438
ex249,float_fp8,local-ex249-source-r54,ex249_ex249_inc_mux_delta_pred_extra_share_raw,FP8 source predicate/table restructuring,ex249_inc_mux_delta_pred + extra_share + raw,split delta predicates and mux plus-one/plus-two carry paths,ex249|fp8_source_restructure|ex249_inc_mux_delta_pred|split_delta_predicates_and_mux_plus_one_plus_two_carry_paths|extra_share|raw|official_evaluate|full_word,student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_inc_mux_delta_pred/verilog/ex249_inc_mux_delta_pred.v,student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_inc_mux_delta_pred/aigs/ex249_ex249_inc_mux_delta_pred_extra_share_raw.aig,1,not_run,191,29,5539,student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_inc_mux_delta_pred/logs/ex249_ex249_inc_mux_delta_pred_extra_share_raw.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_inc_mux_delta_pred/logs/ex249_inc_mux_delta_pred_extra_share.yosys.log; abc_log=student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_inc_mux_delta_pred/logs/ex249_ex249_inc_mux_delta_pred_extra_share_raw.abc.log; synth_sec=0.197; abc_sec=0.000; eval_sec=0.439
ex249,float_fp8,local-ex249-source-r54,ex249_ex249_inc_mux_delta_pred_abc_g_aig_raw,FP8 source predicate/table restructuring,ex249_inc_mux_delta_pred + abc_g_aig + raw,split delta predicates and mux plus-one/plus-two carry paths,ex249|fp8_source_restructure|ex249_inc_mux_delta_pred|split_delta_predicates_and_mux_plus_one_plus_two_carry_paths|abc_g_aig|raw|official_evaluate|full_word,student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_inc_mux_delta_pred/verilog/ex249_inc_mux_delta_pred.v,student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_inc_mux_delta_pred/aigs/ex249_ex249_inc_mux_delta_pred_abc_g_aig_raw.aig,1,not_run,174,28,4872,student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_inc_mux_delta_pred/logs/ex249_ex249_inc_mux_delta_pred_abc_g_aig_raw.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_inc_mux_delta_pred/logs/ex249_inc_mux_delta_pred_abc_g_aig.yosys.log; abc_log=student/work/ex249_frontend_source_only_round54_20260613_0955/local-ex249-source-r54/ex249/ex249_inc_mux_delta_pred/logs/ex249_ex249_inc_mux_delta_pred_abc_g_aig_raw.abc.log; synth_sec=0.185; abc_sec=0.000; eval_sec=0.436
