case,bit,one_count,one_fraction,entropy,run_count,support_size,support_bits,anf_degree,anf_terms,constant
ex280,0,1024,0.250000,0.811278,1280,6,0:1:2:3:9:11,4,11,0
ex280,1,2048,0.500000,1.000000,1920,8,0:1:2:3:4:8:10:11,4,39,0
ex280,2,2048,0.500000,1.000000,1728,10,0:1:2:3:4:5:7:9:10:11,4,91,0
ex280,3,2048,0.500000,1.000000,1408,10,0:1:2:3:4:6:8:9:10:11,4,67,0
ex280,4,2048,0.500000,1.000000,1232,12,0:1:2:3:4:5:6:7:8:9:10:11,4,95,0
ex280,5,2048,0.500000,1.000000,1384,12,0:1:2:3:4:5:6:7:8:9:10:11,4,183,0
ex280,6,2048,0.500000,1.000000,1772,12,0:1:2:3:4:5:6:7:8:9:10:11,4,235,0
ex280,7,2048,0.500000,1.000000,1758,12,0:1:2:3:4:5:6:7:8:9:10:11,4,283,0
ex280,8,2048,0.500000,1.000000,1942,12,0:1:2:3:4:5:6:7:8:9:10:11,4,375,0
ex280,9,2048,0.500000,1.000000,2432,12,0:1:2:3:4:5:6:7:8:9:10:11,4,281,0
ex280,10,2048,0.500000,1.000000,2048,12,0:1:2:3:4:5:6:7:8:9:10:11,4,253,0
ex280,11,2048,0.500000,1.000000,2048,12,0:1:2:3:4:5:6:7:8:9:10:11,4,229,0
ex281,0,2048,0.250000,0.811278,2560,6,0:1:2:3:10:12,4,11,0
ex281,1,4096,0.500000,1.000000,3840,8,0:1:2:3:4:9:11:12,4,39,0
ex281,2,4096,0.500000,1.000000,3456,10,0:1:2:3:4:5:8:10:11:12,4,91,0
ex281,3,4096,0.500000,1.000000,3520,12,0:1:2:3:4:5:6:7:9:10:11:12,4,175,0
ex281,4,4064,0.496094,0.999956,3264,13,0:1:2:3:4:5:6:7:8:9:10:11:12,4,249,0
ex281,5,4096,0.500000,1.000000,3488,13,0:1:2:3:4:5:6:7:8:9:10:11:12,4,239,0
ex281,6,4096,0.500000,1.000000,3456,13,0:1:2:3:4:5:6:7:8:9:10:11:12,4,283,0
ex281,7,4096,0.500000,1.000000,3548,13,0:1:2:3:4:5:6:7:8:9:10:11:12,4,327,0
ex281,8,4096,0.500000,1.000000,3536,13,0:1:2:3:4:5:6:7:8:9:10:11:12,4,399,0
ex281,9,4096,0.500000,1.000000,3886,13,0:1:2:3:4:5:6:7:8:9:10:11:12,4,523,0
ex281,10,4096,0.500000,1.000000,4880,13,0:1:2:3:4:5:6:7:8:9:10:11:12,4,377,0
ex281,11,4096,0.500000,1.000000,4096,13,0:1:2:3:4:5:6:7:8:9:10:11:12,4,343,0
ex281,12,4032,0.492188,0.999824,4096,13,0:1:2:3:4:5:6:7:8:9:10:11:12,4,283,0
ex282,0,4096,0.250000,0.811278,5120,6,0:1:2:3:11:13,4,11,0
ex282,1,8192,0.500000,1.000000,7680,8,0:1:2:3:4:10:12:13,4,39,0
ex282,2,8192,0.500000,1.000000,6912,10,0:1:2:3:4:5:9:11:12:13,4,91,0
ex282,3,8192,0.500000,1.000000,7040,12,0:1:2:3:4:5:6:8:10:11:12:13,4,175,0
ex282,4,8192,0.500000,1.000000,5504,12,0:1:2:3:4:5:7:9:10:11:12:13,4,119,0
ex282,5,8192,0.500000,1.000000,4896,14,0:1:2:3:4:5:6:7:8:9:10:11:12:13,4,137,0
ex282,6,8192,0.500000,1.000000,5520,14,0:1:2:3:4:5:6:7:8:9:10:11:12:13,4,295,0
ex282,7,8192,0.500000,1.000000,6880,14,0:1:2:3:4:5:6:7:8:9:10:11:12:13,4,393,0
ex282,8,8192,0.500000,1.000000,7064,14,0:1:2:3:4:5:6:7:8:9:10:11:12:13,4,453,0
ex282,9,8192,0.500000,1.000000,7038,14,0:1:2:3:4:5:6:7:8:9:10:11:12:13,4,549,0
ex282,10,8192,0.500000,1.000000,7742,14,0:1:2:3:4:5:6:7:8:9:10:11:12:13,4,705,0
ex282,11,8192,0.500000,1.000000,9728,14,0:1:2:3:4:5:6:7:8:9:10:11:12:13,4,499,0
ex282,12,8192,0.500000,1.000000,8192,14,0:1:2:3:4:5:6:7:8:9:10:11:12:13,4,455,0
ex282,13,8192,0.500000,1.000000,8192,14,0:1:2:3:4:5:6:7:8:9:10:11:12:13,4,345,0
ex283,0,8192,0.250000,0.811278,10240,6,0:1:2:3:12:14,4,11,0
ex283,1,16384,0.500000,1.000000,15360,8,0:1:2:3:4:11:13:14,4,39,0
ex283,2,16384,0.500000,1.000000,13824,10,0:1:2:3:4:5:10:12:13:14,4,91,0
ex283,3,16384,0.500000,1.000000,14080,12,0:1:2:3:4:5:6:9:11:12:13:14,4,175,0
ex283,4,16384,0.500000,1.000000,13696,14,0:1:2:3:4:5:6:7:8:10:11:12:13:14,4,299,0
ex283,5,16320,0.498047,0.999989,12992,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,4,405,0
ex283,6,16384,0.500000,1.000000,13728,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,4,391,0
ex283,7,16384,0.500000,1.000000,13824,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,4,457,0
ex283,8,16384,0.500000,1.000000,13792,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,4,521,0
ex283,9,16384,0.500000,1.000000,14132,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,4,605,0
ex283,10,16384,0.500000,1.000000,14108,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,4,733,0
ex283,11,16384,0.500000,1.000000,15506,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,4,929,0
ex283,12,16384,0.500000,1.000000,19488,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,4,639,0
ex283,13,16384,0.500000,1.000000,16384,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,4,587,0
ex283,14,16256,0.496094,0.999956,16384,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,4,411,0
ex284,0,16384,0.250000,0.811278,20480,6,0:1:2:3:13:15,4,11,0
ex284,1,32768,0.500000,1.000000,30720,8,0:1:2:3:4:12:14:15,4,39,0
ex284,2,32768,0.500000,1.000000,27648,10,0:1:2:3:4:5:11:13:14:15,4,91,0
ex284,3,32768,0.500000,1.000000,28160,12,0:1:2:3:4:5:6:10:12:13:14:15,4,175,0
ex284,4,32768,0.500000,1.000000,27392,14,0:1:2:3:4:5:6:7:9:11:12:13:14:15,4,299,0
ex284,5,32768,0.500000,1.000000,22016,14,0:1:2:3:4:5:6:8:10:11:12:13:14:15,4,193,0
ex284,6,32768,0.500000,1.000000,19264,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,4,187,0
ex284,7,32768,0.500000,1.000000,21920,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,4,443,0
ex284,8,32768,0.500000,1.000000,27568,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,4,611,0
ex284,9,32768,0.500000,1.000000,27512,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,4,691,0
ex284,10,32768,0.500000,1.000000,28200,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,4,799,0
ex284,11,32768,0.500000,1.000000,28150,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,4,959,0
ex284,12,32768,0.500000,1.000000,30958,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,4,1195,0
