case,domain,agent_id,hypothesis,method_signature,status,reason,verilog_path,evaluate_log,notes
ex200,bf16,unary-r5,blocked_no_materially_different_semantic_normalizer,ex200|blocked_no_materially_different_semantic_normalizer|no_candidate|no_new_structure|not_run|abc_xf_official_evaluate|blocked,blocked_no_materially_different_normalizer,no materially different BF16 exp semantic normalizer available within constraints; prior low-value signatures cover seed copy/sparse residual/selected-bit splits,,,Files read: case_index ex200; manual_judgments; hypothesis_bank. Avoided full predicate/run/nested residual replay per coordinator.
ex223,fp16,unary-r5,blocked_no_materially_different_semantic_normalizer,ex223|blocked_no_materially_different_semantic_normalizer|no_candidate|no_new_structure|not_run|abc_xf_official_evaluate|blocked,blocked_no_materially_different_normalizer,no materially different semantic normalizer available within constraints; prior low-value signatures cover nested/residual/selected-bit predicates,,,Files read: case_index ex223; CURRENT_PROGRESS; ex220-224 frontend attempts; ex223 frontend attempts; manual_judgments; hypothesis_bank. Avoided full predicate/run/nested residual replay per coordinator.
ex225,fp16,unary-r5,fp16_log10_full_bitrun_predicate_shell,ex225|fp16_log10_full_bitrun_predicate_shell|all_output_transition_predicates_by_sign_exp|shared_sign_exp_mant_decode_per_bit_run_trees|yosys_abc_g_aig|abc_xf_official_evaluate|positive_normal_full_bitrun_special_table,equivalent_but_bad_qor,official equivalent but much worse than current frontend 218728,student/work/ex200_ex299_frontend_refgap_round5_20260612_1743/unary-r5/ex225/verilog/ex225_full_bitrun_predicates_abc_g_aig.v,student/work/ex200_ex299_frontend_refgap_round5_20260612_1743/unary-r5/ex225/logs/ex225_full_bitrun_predicates_abc_g_aig.evaluate.py.log,"positive-normal all-output bit-run predicates; official evaluate.py OK 18717/29/542793; current frontend 218728; marked low-value after coordinator verification; special_const_groups=33; special_full_groups=1; special_items=1057; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26; b12:runs=38,max=4,const=26; b11:runs=45,max=7,const=24; b10:runs=60,max=12,const=20; b9:runs=83,max=20,const=14; b8:runs=126,max=35,const=8; b7:runs=210,max=63,const=1; b6:runs=352,max=107,const=0; b5:runs=611,max=182,const=0; b4:runs=1068,max=295,const=0; b3:runs=1861,max=461,const=0; b2:runs=3166,max=599,const=0; b1:runs=5251,max=729,const=0; b0:runs=8413,max=864,const=0; runtime_sec=39.483"
ex256,integer,integer-r5,no materially different multiplier structure available under continuation constraints,ex256|blocked_no_materially_different_allowed_structure|prior_wallace_dadda_4to2_cla_carry_predicate_decomp_exhausted|user_bans_replay|no_synth|unsigned_low5_high5_multiply|full_product_word,blocked,no new ex256 candidate was run because prior notes already cover Wallace/Dadda/CSA row orders/4to2/CLA/carry-select/carry-predicate/high-bit decomposition/Karatsuba-style block variants and no materially new compressor structure is defined,,,exact blocker for ex256; avoid Wallace/Dadda/final-adder/template replay unchanged
ex260,integer,integer-r5,signed correction should be factored before shared cube covering,ex260|signed_correction_factored_into_sparse_rows|3x3_unsigned_core_plus_shifted_twos_complement_correction_rows|shared_partial_products_and_one_csa_layer|yosys_abc_g_aig|signed_low4_high4_multiply|full_product_word,low_value_official_ok,official evaluate.py OK 103/18/1854 but worse than current frontend ADP 1144,student/work/ex200_ex299_frontend_refgap_round5_20260612_1743/integer-r5/ex260/verilog/ex260_smul_corrrow_csa4.v,student/work/ex200_ex299_frontend_refgap_round5_20260612_1743/integer-r5/ex260/logs/ex260_smul_corrrow_csa4.evaluate.log,do not repeat corrrow CSA or high-level sign-correction row replay unchanged
ex266,integer,integer-r5,no materially different divider structure available under continuation constraints,ex266|blocked_no_materially_different_allowed_structure|prior_bdd_wordmux_radix_residual_threshold_exhausted|user_bans_threshold_thermometer|no_synth|unsigned_low5_high5_div_dbz_sat|quotient_word,blocked,no new ex266 candidate was run because prior notes already cover BDD/cofactor word-mux/radix/residual/shift-subtract/binary-search/threshold families and the remaining queued threshold-comparator direction is disallowed,,,exact blocker for ex266; avoid threshold thermometer and cofactor/word-mux replay unchanged
ex280,unknown,gf2-r5,quartic_gf2_event_filter,ex280|quartic_gf2_event_filter|BLOCKER_no_material_root_pool_or_correction_or_output_grouping_change|none|none|exact_full_clamp_mux_coordinate_degree2|none,blocked,no materially different ex280 root pool correction or output grouping found in allowed round5 scope,NA,NA,checked round3 rows: small_roots balanced linfact 115/26/2990 and no round4 ex280 overlap-root artifact; quadratic_compressor_prefix_parity_reduce explicitly forbidden
ex281,unknown,gf2-r5,quartic_gf2_event_filter,ex281|quartic_gf2_event_filter|BLOCKER_no_material_root_pool_or_correction_or_output_grouping_change|none|none|exact_full_clamp_mux_coordinate_degree2|none,blocked,no materially different ex281 root pool correction or output grouping found in allowed round5 scope,NA,NA,checked round3 rows: small_roots balanced linfact 128/26/3328 and mixed_roots_delaycap balanced linfact 128/26/3328 tie; quadratic_compressor_prefix_parity_reduce explicitly forbidden
ex284,unknown,gf2-r5,quartic_gf2_event_filter,ex284|quartic_gf2_event_filter|full_clamp_muxcoord_boundary_linear_form_compressor|shared_boundary_linear_form_products|yosys_default_abc_g_AND_then_aigmap|exact_full_clamp_mux_coordinate_degree2|all_output_quadratic_product_xor,equivalent_but_bad_qor,official evaluate.py equivalent but ADP 9243 does not improve current frontend 5440,student/work/ex200_ex299_frontend_refgap_round5_20260612_1743/gf2-r5/ex284/verilog/ex284_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_boundary.v,student/work/ex200_ex299_frontend_refgap_round5_20260612_1743/gf2-r5/ex284/logs/ex284_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_boundary.evaluate.log,boundary linear-form compressor has candidate_basis=9977 unique_products=45 compound_products=16 linear_forms=31 selected_terms=50 correction_bits=0
ex286,unknown,routing-r5,hamming_weight_preserving_lossy_routing_normalizer,ex286|hamming_weight_preserving_lossy_routing_normalizer|colex_layer_rank_descriptor_table|shared_popcount_and_rank_prefix|repo_yosys_default_abc_g_AND_then_aigmap|exact_weight_layer_rank_routing_descriptor|per_weight_rank_to_output_case,equivalent_but_bad_qor,official evaluate.py OK 19719/109/2149371 but far worse than current frontend and reference; do not repeat rank/colex/table descriptors,student/work/ex200_ex299_frontend_refgap_round5_20260612_1743/routing-r5/ex286/verilog/ex286_hw_layer_rank_colex_table.v,student/work/ex200_ex299_frontend_refgap_round5_20260612_1743/routing-r5/ex286/logs/ex286_hw_layer_rank_colex_table.evaluate.log,Coordinator verified result; row added to block this descriptor family from being repeated.
