case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex266,ex266_udiv_hybrid_bdd_hi1_interleave_lo_direct_abc_g_aig,unsigned low5_high5:a/b dbz=max,hybrid_bdd_hi1_interleave_lo_direct+abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_hibdd_20260609_1010/ex266/verilog/ex266_udiv_hybrid_bdd_hi1_interleave_lo_direct.v,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_hibdd_20260609_1010/ex266/aigs/ex266_udiv_hybrid_bdd_hi1_interleave_lo_direct_abc_g_aig.aig,1,1,1,97,31,3007,848,3.545991,0,0,0.298,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=hybrid_bdd_hi1_interleave_lo_direct; flow=abc_g_aig
ex266,ex266_udiv_hybrid_bdd_hi1_interleave_lo_direct_wreduce_abc_g_aig,unsigned low5_high5:a/b dbz=max,hybrid_bdd_hi1_interleave_lo_direct+wreduce_abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_hibdd_20260609_1010/ex266/verilog/ex266_udiv_hybrid_bdd_hi1_interleave_lo_direct.v,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_hibdd_20260609_1010/ex266/aigs/ex266_udiv_hybrid_bdd_hi1_interleave_lo_direct_wreduce_abc_g_aig.aig,1,1,1,97,31,3007,848,3.545991,0,0,0.282,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=hybrid_bdd_hi1_interleave_lo_direct; flow=wreduce_abc_g_aig
ex266,ex266_udiv_hybrid_bdd_hi1_interleave_lo_direct_synth_preset,unsigned low5_high5:a/b dbz=max,hybrid_bdd_hi1_interleave_lo_direct+synth_preset,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_hibdd_20260609_1010/ex266/verilog/ex266_udiv_hybrid_bdd_hi1_interleave_lo_direct.v,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_hibdd_20260609_1010/ex266/aigs/ex266_udiv_hybrid_bdd_hi1_interleave_lo_direct_synth_preset.aig,1,1,1,90,30,2700,848,3.183962,0,0,0.335,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=hybrid_bdd_hi1_interleave_lo_direct; flow=synth_preset
ex266,ex266_udiv_hybrid_bdd_hi2_interleave_lo_direct_abc_g_aig,unsigned low5_high5:a/b dbz=max,hybrid_bdd_hi2_interleave_lo_direct+abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_hibdd_20260609_1010/ex266/verilog/ex266_udiv_hybrid_bdd_hi2_interleave_lo_direct.v,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_hibdd_20260609_1010/ex266/aigs/ex266_udiv_hybrid_bdd_hi2_interleave_lo_direct_abc_g_aig.aig,1,1,1,91,29,2639,848,3.112028,0,0,0.278,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=hybrid_bdd_hi2_interleave_lo_direct; flow=abc_g_aig
ex266,ex266_udiv_hybrid_bdd_hi2_interleave_lo_direct_wreduce_abc_g_aig,unsigned low5_high5:a/b dbz=max,hybrid_bdd_hi2_interleave_lo_direct+wreduce_abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_hibdd_20260609_1010/ex266/verilog/ex266_udiv_hybrid_bdd_hi2_interleave_lo_direct.v,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_hibdd_20260609_1010/ex266/aigs/ex266_udiv_hybrid_bdd_hi2_interleave_lo_direct_wreduce_abc_g_aig.aig,1,1,1,91,29,2639,848,3.112028,0,0,0.290,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=hybrid_bdd_hi2_interleave_lo_direct; flow=wreduce_abc_g_aig
ex266,ex266_udiv_hybrid_bdd_hi2_interleave_lo_direct_synth_preset,unsigned low5_high5:a/b dbz=max,hybrid_bdd_hi2_interleave_lo_direct+synth_preset,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_hibdd_20260609_1010/ex266/verilog/ex266_udiv_hybrid_bdd_hi2_interleave_lo_direct.v,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_hibdd_20260609_1010/ex266/aigs/ex266_udiv_hybrid_bdd_hi2_interleave_lo_direct_synth_preset.aig,1,1,1,89,28,2492,848,2.938679,0,0,0.343,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=hybrid_bdd_hi2_interleave_lo_direct; flow=synth_preset
ex266,ex266_udiv_hybrid_bdd_hi3_interleave_lo_direct_abc_g_aig,unsigned low5_high5:a/b dbz=max,hybrid_bdd_hi3_interleave_lo_direct+abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_hibdd_20260609_1010/ex266/verilog/ex266_udiv_hybrid_bdd_hi3_interleave_lo_direct.v,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_hibdd_20260609_1010/ex266/aigs/ex266_udiv_hybrid_bdd_hi3_interleave_lo_direct_abc_g_aig.aig,1,1,1,103,28,2884,848,3.400943,0,0,0.291,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=hybrid_bdd_hi3_interleave_lo_direct; flow=abc_g_aig
ex266,ex266_udiv_hybrid_bdd_hi3_interleave_lo_direct_wreduce_abc_g_aig,unsigned low5_high5:a/b dbz=max,hybrid_bdd_hi3_interleave_lo_direct+wreduce_abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_hibdd_20260609_1010/ex266/verilog/ex266_udiv_hybrid_bdd_hi3_interleave_lo_direct.v,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_hibdd_20260609_1010/ex266/aigs/ex266_udiv_hybrid_bdd_hi3_interleave_lo_direct_wreduce_abc_g_aig.aig,1,1,1,103,28,2884,848,3.400943,0,0,0.293,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=hybrid_bdd_hi3_interleave_lo_direct; flow=wreduce_abc_g_aig
ex266,ex266_udiv_hybrid_bdd_hi3_interleave_lo_direct_synth_preset,unsigned low5_high5:a/b dbz=max,hybrid_bdd_hi3_interleave_lo_direct+synth_preset,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_hibdd_20260609_1010/ex266/verilog/ex266_udiv_hybrid_bdd_hi3_interleave_lo_direct.v,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_hibdd_20260609_1010/ex266/aigs/ex266_udiv_hybrid_bdd_hi3_interleave_lo_direct_synth_preset.aig,1,1,1,103,28,2884,848,3.400943,0,0,0.348,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=hybrid_bdd_hi3_interleave_lo_direct; flow=synth_preset
ex266,ex266_udiv_hybrid_bdd_hi4_interleave_lo_direct_abc_g_aig,unsigned low5_high5:a/b dbz=max,hybrid_bdd_hi4_interleave_lo_direct+abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_hibdd_20260609_1010/ex266/verilog/ex266_udiv_hybrid_bdd_hi4_interleave_lo_direct.v,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_hibdd_20260609_1010/ex266/aigs/ex266_udiv_hybrid_bdd_hi4_interleave_lo_direct_abc_g_aig.aig,1,1,1,151,27,4077,848,4.807783,0,0,0.305,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=hybrid_bdd_hi4_interleave_lo_direct; flow=abc_g_aig
ex266,ex266_udiv_hybrid_bdd_hi4_interleave_lo_direct_wreduce_abc_g_aig,unsigned low5_high5:a/b dbz=max,hybrid_bdd_hi4_interleave_lo_direct+wreduce_abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_hibdd_20260609_1010/ex266/verilog/ex266_udiv_hybrid_bdd_hi4_interleave_lo_direct.v,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_hibdd_20260609_1010/ex266/aigs/ex266_udiv_hybrid_bdd_hi4_interleave_lo_direct_wreduce_abc_g_aig.aig,1,1,1,151,27,4077,848,4.807783,0,0,0.322,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=hybrid_bdd_hi4_interleave_lo_direct; flow=wreduce_abc_g_aig
