case,candidate_id,hypothesis,representation,sharing_strategy,synth_flow,method_signature,verilog_path,aig_path,log_path,equivalent,area,delay,adp,beats_frontend,beats_reference,notes,agent_id,variant,official_output_dir,evaluate_log,verified_truth,reference_adp,beats_overall_current,shard_csv,domain,shared_structure,simulation_pass
ex223,ex223_r69_low11_hi5_manual15_14_compact_special_abc_g_aig,fp16_log_current_best_source_factoring,,,,ex223|fp16_log_current_best_source_factoring|low11_hi5_manual15_14_compact_special|compact_special_plus_manual_highbits|yosys_abc_g_aig|abc_xf_official_evaluate|not_low13_low14_nested_sparse,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp16-int-source-r69/ex223/verilog/ex223_r69_low11_hi5_manual15_14_compact_special.v,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp16-int-source-r69/ex223/aigs/ex223_r69_low11_hi5_manual15_14_compact_special_abc_g_aig.aig,,1,10733,19,203927,0,0,"current low11/hi5 nested source with compact special shell and manual normal bits 15/14; compact_special const_groups=33; split_inf_nan_groups=1; full_items=0; low_width=11; nested_hi=5; nested_lo=5; low_items=30720; b15:manual_exp_lt15; b14:manual_ln_thresholds; b13:runs=34,max=2,const=26; b12:runs=37,max=4,const=26; b11:runs=44,max=6,const=24",sub-fp16-int-source-r69,low11_hi5_manual15_14_compact_special,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp16-int-source-r69/ex223/official_eval/ex223_r69_low11_hi5_manual15_14_compact_special_abc_g_aig,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp16-int-source-r69/ex223/logs/ex223_r69_low11_hi5_manual15_14_compact_special_abc_g_aig.evaluate.py.log,1,120549,0,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-fp16-int-source-r69/candidates.csv,,,
ex225,ex225_r69_low12_hi5_manual15_14_13_compact_special_abc_g_aig,fp16_log10_current_best_source_factoring,,,,ex225|fp16_log10_current_best_source_factoring|low12_hi5_manual15_14_13_compact_special|compact_special_plus_manual_highbits|yosys_abc_g_aig|abc_xf_official_evaluate|not_low13_low14_nested_sparse,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp16-int-source-r69/ex225/verilog/ex225_r69_low12_hi5_manual15_14_13_compact_special.v,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp16-int-source-r69/ex225/aigs/ex225_r69_low12_hi5_manual15_14_13_compact_special_abc_g_aig.aig,,1,11550,19,219450,0,0,"current low12/hi5 nested source with compact special shell and manual normal bits 15/14/13; compact_special const_groups=33; split_inf_nan_groups=1; full_items=0; low_width=12; nested_hi=5; nested_lo=5; low_items=30720; b15:manual_exp_lt15; b14:manual_log10_thresholds; b13:manual_log10_thresholds; b12:runs=38,max=4,const=26",sub-fp16-int-source-r69,low12_hi5_manual15_14_13_compact_special,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp16-int-source-r69/ex225/official_eval/ex225_r69_low12_hi5_manual15_14_13_compact_special_abc_g_aig,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp16-int-source-r69/ex225/logs/ex225_r69_low12_hi5_manual15_14_13_compact_special_abc_g_aig.evaluate.py.log,1,116676,0,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-fp16-int-source-r69/candidates.csv,,,
ex260,ex260_r69_signed_weighted_rows_abc_g_aig,signed_weighted_partial_product_rows,,,,ex260|signed_weighted_partial_product_rows|negative_weight_sign_row_balanced_sum|shared_signed_rows_not_baugh_carryselect|yosys_abc_g_aig|signed_low4_high4_multiply|product_word,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp16-int-source-r69/ex260/verilog/ex260_r69_signed_weighted_rows.v,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp16-int-source-r69/ex260/aigs/ex260_r69_signed_weighted_rows_abc_g_aig.aig,,1,104,15,1560,0,0,negative-weight signed row source; distinct from Baugh-Wooley carry-select and case-constant signatures; signed high operand weighted rows with balanced final sum,sub-fp16-int-source-r69,negative_weight_sign_row_balanced_sum,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp16-int-source-r69/ex260/official_eval/ex260_r69_signed_weighted_rows_abc_g_aig,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp16-int-source-r69/ex260/logs/ex260_r69_signed_weighted_rows_abc_g_aig.evaluate.py.log,1,657,0,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-fp16-int-source-r69/candidates.csv,,,
ex266,ex266_r69_onehot_interval_quotient_abc_g_aig,onehot_quotient_interval_predicates,,,,ex266|onehot_quotient_interval_predicates|adjacent_bound_qeq_sharing|shared_quotient_equality_bounds_not_wordmux|yosys_abc_g_aig|unsigned_low5_high5_div_dbz_sat|quotient_word,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp16-int-source-r69/ex266/verilog/ex266_r69_onehot_interval_quotient.v,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp16-int-source-r69/ex266/aigs/ex266_r69_onehot_interval_quotient_abc_g_aig.aig,,1,705,25,17625,0,0,"one-hot quotient equality intervals; distinct from cofactor wordmux, const-divisor, and descending threshold-priority signatures; one-hot quotient equality intervals with shared adjacent bounds",sub-fp16-int-source-r69,adjacent_bound_qeq_sharing,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp16-int-source-r69/ex266/official_eval/ex266_r69_onehot_interval_quotient_abc_g_aig,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp16-int-source-r69/ex266/logs/ex266_r69_onehot_interval_quotient_abc_g_aig.evaluate.py.log,1,848,0,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-fp16-int-source-r69/candidates.csv,,,
ex260,ex260_r69_mined_current_bw_rev_hcla4,current_best_source_checkpoint,,,,ex260|current_best_source_checkpoint|copy_preserving_current_source|mined_baugh_wooley_rev_hcla4|copied_current_frontend_aig|signed_low4_high4_multiply|product_word,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp16-int-source-r69/ex260/verilog/ex260_r69_mined_current_bw_rev_hcla4.v,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp16-int-source-r69/ex260/aigs/ex260_r69_mined_current_bw_rev_hcla4.aig,,1,88,13,1144,0,0,copy-preserving current frontend source/AIG checkpoint; official evaluate.py OK,sub-fp16-int-source-r69,copy_preserving_current_source,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp16-int-source-r69/ex260/official_eval/ex260_r69_mined_current_bw_rev_hcla4,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp16-int-source-r69/ex260/logs/ex260_r69_mined_current_bw_rev_hcla4.evaluate.py.log,1,657,0,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-fp16-int-source-r69/candidates.csv,,,
ex240,ex240_r69_current_best_copy_signmag,E4M3FN packed add,copy_preserving_current_signmag_selected_output,,,ex240|E4M3FN packed add|copy_preserving_current_signmag_selected_output|preserve r64 sign/magnitude selected-output factoring|repo_yosys_frontend_default|official_evaluate|full_word,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp8-mid-source-r69/ex240/verilog/ex240_r69_current_best_copy_signmag.v,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp8-mid-source-r69/ex240/aigs/ex240_r69_current_best_copy_signmag.aig,,1,650,46,29900,,,official evaluate.py OK; control row; no frontend gain; no standalone post-processing,sub-fp8-mid-source-r69,,,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp8-mid-source-r69/ex240/logs/ex240_r69_current_best_copy_signmag.evaluate.py.log,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-fp8-mid-source-r69/candidates.csv,float_fp8,preserve r64 sign/magnitude selected-output factoring,not_run
ex241,ex241_r69_current_best_copy_nested_exp,E4M3FN packed multiply,copy_preserving_nested_exp_product_table,,,ex241|E4M3FN packed multiply|copy_preserving_nested_exp_product_table|preserve nested exponent-sum/product source|repo_yosys_frontend_default|official_evaluate|full_word,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp8-mid-source-r69/ex241/verilog/ex241_r69_current_best_copy_nested_exp.v,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp8-mid-source-r69/ex241/aigs/ex241_r69_current_best_copy_nested_exp.aig,,1,554,30,16620,,,official evaluate.py OK; control row; no frontend gain; no standalone post-processing,sub-fp8-mid-source-r69,,,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp8-mid-source-r69/ex241/logs/ex241_r69_current_best_copy_nested_exp.evaluate.py.log,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-fp8-mid-source-r69/candidates.csv,float_fp8,preserve nested exponent-sum/product source,not_run
ex242,ex242_r69_current_best_copy_sparse_clean,E4M3FN packed low-over-high division,copy_preserving_sparse_field_table,,,ex242|E4M3FN packed low-over-high division|copy_preserving_sparse_field_table|preserve clean sparse quotient field source|repo_yosys_frontend_default|official_evaluate|full_word,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp8-mid-source-r69/ex242/verilog/ex242_r69_current_best_copy_sparse_clean.v,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp8-mid-source-r69/ex242/aigs/ex242_r69_current_best_copy_sparse_clean.aig,,1,1309,20,26180,,,official evaluate.py OK; control row; no frontend gain; no standalone post-processing,sub-fp8-mid-source-r69,,,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp8-mid-source-r69/ex242/logs/ex242_r69_current_best_copy_sparse_clean.evaluate.py.log,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-fp8-mid-source-r69/candidates.csv,float_fp8,preserve clean sparse quotient field source,not_run
ex245,ex245_r69_current_best_copy_active_table_mux,E5M2FN packed add,copy_preserving_active_table_mux,,,ex245|E5M2FN packed add|copy_preserving_active_table_mux|preserve active table mux source|repo_yosys_frontend_default|official_evaluate|full_word,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp8-mid-source-r69/ex245/verilog/ex245_r69_current_best_copy_active_table_mux.v,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp8-mid-source-r69/ex245/aigs/ex245_r69_current_best_copy_active_table_mux.aig,,1,726,36,26136,,,official evaluate.py OK; control row; no frontend gain; no standalone post-processing,sub-fp8-mid-source-r69,,,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp8-mid-source-r69/ex245/logs/ex245_r69_current_best_copy_active_table_mux.evaluate.py.log,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-fp8-mid-source-r69/candidates.csv,float_fp8,preserve active table mux source,not_run
ex244,ex244_r69_manual_increment_bdd_synth_preset_aig,E4M3FN packed hypot,manual saturating increment over max-eff delta residual,"known-good max/min decode and delta residual, hand exposed carry chain",yosys_synth_preset_aig_frontend_only,"ex244|E4M3FN packed hypot|manual saturating increment over max-eff delta residual|known-good max/min decode and delta residual, hand exposed carry chain|manual_increment_residual|yosys_synth_preset_aig|official_evaluate|max_plus_delta_manual_carry",student/work/frontend_source_parallel_round69_20260613_1204/sub-fp8-worst-source-r69/ex244/verilog/ex244_r69_manual_increment_bdd.v,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp8-worst-source-r69/ex244/aigs/ex244_r69_manual_increment_bdd_synth_preset_aig.aig,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp8-worst-source-r69/ex244/logs/ex244_r69_manual_increment_bdd.evaluate.py.log,1,304,38,11552,0,0,official evaluate.py OK; frontend/source-only Yosys synth_preset_aig,sub-fp8-worst-source-r69,,,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-fp8-worst-source-r69/candidates.csv,,,
