case,candidate_id,high_level_description,shared_structures,output_grouping,estimated_reuse,observed_qor,method_signature,agent_id,notes,family,shared_structure,outcome,shard_csv,domain,hypothesis,representation,prior_low_value_signatures_avoided,status,evidence_path
ex223,ex223_r69_low11_hi5_manual15_14_compact_special_abc_g_aig,,,,,,,sub-fp16-int-source-r69,"current low11/hi5 nested source with compact special shell and manual normal bits 15/14; compact_special const_groups=33; split_inf_nan_groups=1; full_items=0; low_width=11; nested_hi=5; nested_lo=5; low_items=30720; b15:manual_exp_lt15; b14:manual_ln_thresholds; b13:runs=34,max=2,const=26; b12:runs=37,max=4,const=26; b11:runs=44,max=6,const=24",fp16_log_current_best_source_factoring,low11_hi5_manual15_14_compact_special,official_ok,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-fp16-int-source-r69/shared_structure_report.csv,,,,,,
ex225,ex225_r69_low12_hi5_manual15_14_13_compact_special_abc_g_aig,,,,,,,sub-fp16-int-source-r69,"current low12/hi5 nested source with compact special shell and manual normal bits 15/14/13; compact_special const_groups=33; split_inf_nan_groups=1; full_items=0; low_width=12; nested_hi=5; nested_lo=5; low_items=30720; b15:manual_exp_lt15; b14:manual_log10_thresholds; b13:manual_log10_thresholds; b12:runs=38,max=4,const=26",fp16_log10_current_best_source_factoring,low12_hi5_manual15_14_13_compact_special,official_ok,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-fp16-int-source-r69/shared_structure_report.csv,,,,,,
ex260,ex260_r69_signed_weighted_rows_abc_g_aig,,,,,,,sub-fp16-int-source-r69,negative-weight signed row source; distinct from Baugh-Wooley carry-select and case-constant signatures; signed high operand weighted rows with balanced final sum,signed_weighted_partial_product_rows,negative_weight_sign_row_balanced_sum,official_ok,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-fp16-int-source-r69/shared_structure_report.csv,,,,,,
ex266,ex266_r69_onehot_interval_quotient_abc_g_aig,,,,,,,sub-fp16-int-source-r69,"one-hot quotient equality intervals; distinct from cofactor wordmux, const-divisor, and descending threshold-priority signatures; one-hot quotient equality intervals with shared adjacent bounds",onehot_quotient_interval_predicates,adjacent_bound_qeq_sharing,official_ok,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-fp16-int-source-r69/shared_structure_report.csv,,,,,,
ex240,ex240_r69_current_best_copy_signmag,,,,,,,sub-fp8-mid-source-r69,control row for shard visibility; no standalone backend flow,,preserve r64 sign/magnitude selected-output factoring,,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-fp8-mid-source-r69/shared_structure_report.csv,float_fp8,E4M3FN packed add,copy_preserving_current_signmag_selected_output,,,
ex241,ex241_r69_current_best_copy_nested_exp,,,,,,,sub-fp8-mid-source-r69,control row for shard visibility; no standalone backend flow,,preserve nested exponent-sum/product source,,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-fp8-mid-source-r69/shared_structure_report.csv,float_fp8,E4M3FN packed multiply,copy_preserving_nested_exp_product_table,,,
ex242,ex242_r69_current_best_copy_sparse_clean,,,,,,,sub-fp8-mid-source-r69,control row for shard visibility; no standalone backend flow,,preserve clean sparse quotient field source,,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-fp8-mid-source-r69/shared_structure_report.csv,float_fp8,E4M3FN packed low-over-high division,copy_preserving_sparse_field_table,,,
ex245,ex245_r69_current_best_copy_active_table_mux,,,,,,,sub-fp8-mid-source-r69,control row for shard visibility; no standalone backend flow,,preserve active table mux source,,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-fp8-mid-source-r69/shared_structure_report.csv,float_fp8,E5M2FN packed add,copy_preserving_active_table_mux,,,
ex244,ex244_r69_manual_increment_bdd_synth_preset_aig,"E4M3FN packed hypot(abs(high), abs(low))","known-good max/min decode and delta residual, hand exposed carry chain",max-plus-delta full word with explicit carry outputs,source-only diagnostic,304/38/11552,"ex244|E4M3FN packed hypot|manual saturating increment over max-eff delta residual|known-good max/min decode and delta residual, hand exposed carry chain|manual_increment_residual|yosys_synth_preset_aig|official_evaluate|max_plus_delta_manual_carry",sub-fp8-worst-source-r69,official evaluate.py OK; frontend/source-only Yosys synth_preset_aig,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-fp8-worst-source-r69/shared_structure_report.csv,,,,,,
ex244,ex244_r69_explicit_sat_bdd_synth_preset_aig,"E4M3FN packed hypot(abs(high), abs(low))","known-good max/min decode and delta residual, separate saturation selector",max-plus-delta with selected saturation residual,source-only diagnostic,299/36/10764,"ex244|E4M3FN packed hypot|explicit saturation predicate over max plus delta|known-good max/min decode and delta residual, separate saturation selector|explicit_sat_residual|yosys_synth_preset_aig|official_evaluate|max_plus_delta_sat_selector",sub-fp8-worst-source-r69,official evaluate.py OK; frontend/source-only Yosys synth_preset_aig,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-fp8-worst-source-r69/shared_structure_report.csv,,,,,,
