case,domain,agent_id,candidate_id,simulator,result,log_path,notes
ex249,float_fp8,local-abc-r29,ex249_r29_rw_rf_dc2_from_frontend_best,evaluate.py,equivalent,student/work/ex240_ex299_frontend_gt2_round29_20260613_0710/local-abc-r29/ex249/logs/ex249_r29_rw_rf_dc2_from_frontend_best.evaluate.py.log,official final check
ex249,float_fp8,local-abc-r29,ex249_r29_dc2_rwz_from_frontend_best,evaluate.py,equivalent,student/work/ex240_ex299_frontend_gt2_round29_20260613_0710/local-abc-r29/ex249/logs/ex249_r29_dc2_rwz_from_frontend_best.evaluate.py.log,official final check
ex249,float_fp8,local-abc-r29,ex249_r29_dch_dc2_rw_from_frontend_best,evaluate.py,equivalent,student/work/ex240_ex299_frontend_gt2_round29_20260613_0710/local-abc-r29/ex249/logs/ex249_r29_dch_dc2_rw_from_frontend_best.evaluate.py.log,official final check
ex249,float_fp8,local-abc-r29,ex249_r29_drw_dc2_from_frontend_best,evaluate.py,equivalent,student/work/ex240_ex299_frontend_gt2_round29_20260613_0710/local-abc-r29/ex249/logs/ex249_r29_drw_dc2_from_frontend_best.evaluate.py.log,official final check
ex249,float_fp8,local-abc-r29,ex249_r29_drwz_dc2_from_frontend_best,evaluate.py,equivalent,student/work/ex240_ex299_frontend_gt2_round29_20260613_0710/local-abc-r29/ex249/logs/ex249_r29_drwz_dc2_from_frontend_best.evaluate.py.log,official final check
ex249,float_fp8,local-abc-r29,ex249_r29_fraig_dc2_from_frontend_best,evaluate.py,equivalent,student/work/ex240_ex299_frontend_gt2_round29_20260613_0710/local-abc-r29/ex249/logs/ex249_r29_fraig_dc2_from_frontend_best.evaluate.py.log,official final check
ex249,float_fp8,local-abc-r29,ex249_r29_rewrite_loop3_from_frontend_best,evaluate.py,equivalent,student/work/ex240_ex299_frontend_gt2_round29_20260613_0710/local-abc-r29/ex249/logs/ex249_r29_rewrite_loop3_from_frontend_best.evaluate.py.log,official final check
ex249,float_fp8,local-abc-r29,ex249_r29_dc2_dch_dc2_from_frontend_best,evaluate.py,equivalent,student/work/ex240_ex299_frontend_gt2_round29_20260613_0710/local-abc-r29/ex249/logs/ex249_r29_dc2_dch_dc2_from_frontend_best.evaluate.py.log,official final check
ex249,float_fp8,local-abc-r29,ex249_r29_rfz_rwz_only_from_frontend_best,evaluate.py,equivalent,student/work/ex240_ex299_frontend_gt2_round29_20260613_0710/local-abc-r29/ex249/logs/ex249_r29_rfz_rwz_only_from_frontend_best.evaluate.py.log,official final check
ex249,float_fp8,local-abc-r29,ex249_r29_&dch_put_from_frontend_best,evaluate.py,equivalent,student/work/ex240_ex299_frontend_gt2_round29_20260613_0710/local-abc-r29/ex249/logs/ex249_r29_&dch_put_from_frontend_best.evaluate.py.log,official final check
ex249,float_fp8,local-abc-r29,ex249_r29_&dc2_put_from_frontend_best,evaluate.py,equivalent,student/work/ex240_ex299_frontend_gt2_round29_20260613_0710/local-abc-r29/ex249/logs/ex249_r29_&dc2_put_from_frontend_best.evaluate.py.log,official final check
ex241,float_fp8,local-abc-r29,ex241_r29_rw_rf_dc2_from_frontend_best,evaluate.py,equivalent,student/work/ex240_ex299_frontend_gt2_round29_20260613_0710/local-abc-r29/ex241/logs/ex241_r29_rw_rf_dc2_from_frontend_best.evaluate.py.log,official final check
ex241,float_fp8,local-abc-r29,ex241_r29_dc2_rwz_from_frontend_best,evaluate.py,equivalent,student/work/ex240_ex299_frontend_gt2_round29_20260613_0710/local-abc-r29/ex241/logs/ex241_r29_dc2_rwz_from_frontend_best.evaluate.py.log,official final check
ex241,float_fp8,local-abc-r29,ex241_r29_dch_dc2_rw_from_frontend_best,evaluate.py,equivalent,student/work/ex240_ex299_frontend_gt2_round29_20260613_0710/local-abc-r29/ex241/logs/ex241_r29_dch_dc2_rw_from_frontend_best.evaluate.py.log,official final check
ex241,float_fp8,local-abc-r29,ex241_r29_drw_dc2_from_frontend_best,evaluate.py,equivalent,student/work/ex240_ex299_frontend_gt2_round29_20260613_0710/local-abc-r29/ex241/logs/ex241_r29_drw_dc2_from_frontend_best.evaluate.py.log,official final check
ex241,float_fp8,local-abc-r29,ex241_r29_drwz_dc2_from_frontend_best,evaluate.py,equivalent,student/work/ex240_ex299_frontend_gt2_round29_20260613_0710/local-abc-r29/ex241/logs/ex241_r29_drwz_dc2_from_frontend_best.evaluate.py.log,official final check
ex241,float_fp8,local-abc-r29,ex241_r29_fraig_dc2_from_frontend_best,evaluate.py,equivalent,student/work/ex240_ex299_frontend_gt2_round29_20260613_0710/local-abc-r29/ex241/logs/ex241_r29_fraig_dc2_from_frontend_best.evaluate.py.log,official final check
ex241,float_fp8,local-abc-r29,ex241_r29_rewrite_loop3_from_frontend_best,evaluate.py,equivalent,student/work/ex240_ex299_frontend_gt2_round29_20260613_0710/local-abc-r29/ex241/logs/ex241_r29_rewrite_loop3_from_frontend_best.evaluate.py.log,official final check
ex241,float_fp8,local-abc-r29,ex241_r29_dc2_dch_dc2_from_frontend_best,evaluate.py,equivalent,student/work/ex240_ex299_frontend_gt2_round29_20260613_0710/local-abc-r29/ex241/logs/ex241_r29_dc2_dch_dc2_from_frontend_best.evaluate.py.log,official final check
ex241,float_fp8,local-abc-r29,ex241_r29_rfz_rwz_only_from_frontend_best,evaluate.py,equivalent,student/work/ex240_ex299_frontend_gt2_round29_20260613_0710/local-abc-r29/ex241/logs/ex241_r29_rfz_rwz_only_from_frontend_best.evaluate.py.log,official final check
ex241,float_fp8,local-abc-r29,ex241_r29_&dch_put_from_frontend_best,evaluate.py,equivalent,student/work/ex240_ex299_frontend_gt2_round29_20260613_0710/local-abc-r29/ex241/logs/ex241_r29_&dch_put_from_frontend_best.evaluate.py.log,official final check
ex241,float_fp8,local-abc-r29,ex241_r29_&dc2_put_from_frontend_best,evaluate.py,equivalent,student/work/ex240_ex299_frontend_gt2_round29_20260613_0710/local-abc-r29/ex241/logs/ex241_r29_&dc2_put_from_frontend_best.evaluate.py.log,official final check
ex242,float_fp8,local-abc-r29,ex242_r29_rw_rf_dc2_from_frontend_best,evaluate.py,equivalent,student/work/ex240_ex299_frontend_gt2_round29_20260613_0710/local-abc-r29/ex242/logs/ex242_r29_rw_rf_dc2_from_frontend_best.evaluate.py.log,official final check
ex242,float_fp8,local-abc-r29,ex242_r29_dc2_rwz_from_frontend_best,evaluate.py,equivalent,student/work/ex240_ex299_frontend_gt2_round29_20260613_0710/local-abc-r29/ex242/logs/ex242_r29_dc2_rwz_from_frontend_best.evaluate.py.log,official final check
ex242,float_fp8,local-abc-r29,ex242_r29_dch_dc2_rw_from_frontend_best,evaluate.py,equivalent,student/work/ex240_ex299_frontend_gt2_round29_20260613_0710/local-abc-r29/ex242/logs/ex242_r29_dch_dc2_rw_from_frontend_best.evaluate.py.log,official final check
ex242,float_fp8,local-abc-r29,ex242_r29_drw_dc2_from_frontend_best,evaluate.py,equivalent,student/work/ex240_ex299_frontend_gt2_round29_20260613_0710/local-abc-r29/ex242/logs/ex242_r29_drw_dc2_from_frontend_best.evaluate.py.log,official final check
ex242,float_fp8,local-abc-r29,ex242_r29_drwz_dc2_from_frontend_best,evaluate.py,equivalent,student/work/ex240_ex299_frontend_gt2_round29_20260613_0710/local-abc-r29/ex242/logs/ex242_r29_drwz_dc2_from_frontend_best.evaluate.py.log,official final check
ex242,float_fp8,local-abc-r29,ex242_r29_fraig_dc2_from_frontend_best,evaluate.py,equivalent,student/work/ex240_ex299_frontend_gt2_round29_20260613_0710/local-abc-r29/ex242/logs/ex242_r29_fraig_dc2_from_frontend_best.evaluate.py.log,official final check
ex242,float_fp8,local-abc-r29,ex242_r29_rewrite_loop3_from_frontend_best,evaluate.py,equivalent,student/work/ex240_ex299_frontend_gt2_round29_20260613_0710/local-abc-r29/ex242/logs/ex242_r29_rewrite_loop3_from_frontend_best.evaluate.py.log,official final check
ex242,float_fp8,local-abc-r29,ex242_r29_dc2_dch_dc2_from_frontend_best,evaluate.py,equivalent,student/work/ex240_ex299_frontend_gt2_round29_20260613_0710/local-abc-r29/ex242/logs/ex242_r29_dc2_dch_dc2_from_frontend_best.evaluate.py.log,official final check
ex242,float_fp8,local-abc-r29,ex242_r29_rfz_rwz_only_from_frontend_best,evaluate.py,equivalent,student/work/ex240_ex299_frontend_gt2_round29_20260613_0710/local-abc-r29/ex242/logs/ex242_r29_rfz_rwz_only_from_frontend_best.evaluate.py.log,official final check
ex242,float_fp8,local-abc-r29,ex242_r29_&dch_put_from_frontend_best,evaluate.py,equivalent,student/work/ex240_ex299_frontend_gt2_round29_20260613_0710/local-abc-r29/ex242/logs/ex242_r29_&dch_put_from_frontend_best.evaluate.py.log,official final check
