case,domain,agent_id,candidate_id,equivalent,area,delay,adp,verilog_path,aig_path,evaluate_log,notes
ex249,float_fp8,local-abc-r29,ex249_r29_rw_rf_dc2_from_frontend_best,1,168,28,4704,student/work/ex249_frontend_fp8_e5m2_hypot_rawexp_20260608_1712/ex249/verilog/ex249_semantic_hypot_threshold_rawexp.v,student/work/ex240_ex299_frontend_gt2_round29_20260613_0710/local-abc-r29/ex249/aigs/ex249_r29_rw_rf_dc2_from_frontend_best.aig,student/work/ex240_ex299_frontend_gt2_round29_20260613_0710/local-abc-r29/ex249/logs/ex249_r29_rw_rf_dc2_from_frontend_best.evaluate.py.log,official evaluate.py OK; abc_log=student/work/ex240_ex299_frontend_gt2_round29_20260613_0710/local-abc-r29/ex249/logs/ex249_r29_rw_rf_dc2_from_frontend_best.abc.log; flow=strash; balance; rewrite; refactor; rewrite -z; refactor -z; balance; dc2; balance
ex249,float_fp8,local-abc-r29,ex249_r29_dc2_rwz_from_frontend_best,1,168,28,4704,student/work/ex249_frontend_fp8_e5m2_hypot_rawexp_20260608_1712/ex249/verilog/ex249_semantic_hypot_threshold_rawexp.v,student/work/ex240_ex299_frontend_gt2_round29_20260613_0710/local-abc-r29/ex249/aigs/ex249_r29_dc2_rwz_from_frontend_best.aig,student/work/ex240_ex299_frontend_gt2_round29_20260613_0710/local-abc-r29/ex249/logs/ex249_r29_dc2_rwz_from_frontend_best.evaluate.py.log,official evaluate.py OK; abc_log=student/work/ex240_ex299_frontend_gt2_round29_20260613_0710/local-abc-r29/ex249/logs/ex249_r29_dc2_rwz_from_frontend_best.abc.log; flow=strash; dc2; rewrite -z; refactor -z; balance
ex249,float_fp8,local-abc-r29,ex249_r29_dch_dc2_rw_from_frontend_best,1,168,29,4872,student/work/ex249_frontend_fp8_e5m2_hypot_rawexp_20260608_1712/ex249/verilog/ex249_semantic_hypot_threshold_rawexp.v,student/work/ex240_ex299_frontend_gt2_round29_20260613_0710/local-abc-r29/ex249/aigs/ex249_r29_dch_dc2_rw_from_frontend_best.aig,student/work/ex240_ex299_frontend_gt2_round29_20260613_0710/local-abc-r29/ex249/logs/ex249_r29_dch_dc2_rw_from_frontend_best.evaluate.py.log,official evaluate.py OK; abc_log=student/work/ex240_ex299_frontend_gt2_round29_20260613_0710/local-abc-r29/ex249/logs/ex249_r29_dch_dc2_rw_from_frontend_best.abc.log; flow=strash; dch; dc2; rewrite; balance
ex249,float_fp8,local-abc-r29,ex249_r29_drw_dc2_from_frontend_best,1,168,29,4872,student/work/ex249_frontend_fp8_e5m2_hypot_rawexp_20260608_1712/ex249/verilog/ex249_semantic_hypot_threshold_rawexp.v,student/work/ex240_ex299_frontend_gt2_round29_20260613_0710/local-abc-r29/ex249/aigs/ex249_r29_drw_dc2_from_frontend_best.aig,student/work/ex240_ex299_frontend_gt2_round29_20260613_0710/local-abc-r29/ex249/logs/ex249_r29_drw_dc2_from_frontend_best.evaluate.py.log,official evaluate.py OK; abc_log=student/work/ex240_ex299_frontend_gt2_round29_20260613_0710/local-abc-r29/ex249/logs/ex249_r29_drw_dc2_from_frontend_best.abc.log; flow=strash; drw; dc2; balance
ex249,float_fp8,local-abc-r29,ex249_r29_drwz_dc2_from_frontend_best,1,168,29,4872,student/work/ex249_frontend_fp8_e5m2_hypot_rawexp_20260608_1712/ex249/verilog/ex249_semantic_hypot_threshold_rawexp.v,student/work/ex240_ex299_frontend_gt2_round29_20260613_0710/local-abc-r29/ex249/aigs/ex249_r29_drwz_dc2_from_frontend_best.aig,student/work/ex240_ex299_frontend_gt2_round29_20260613_0710/local-abc-r29/ex249/logs/ex249_r29_drwz_dc2_from_frontend_best.evaluate.py.log,official evaluate.py OK; abc_log=student/work/ex240_ex299_frontend_gt2_round29_20260613_0710/local-abc-r29/ex249/logs/ex249_r29_drwz_dc2_from_frontend_best.abc.log; flow=strash; drw -z; dc2; balance
ex249,float_fp8,local-abc-r29,ex249_r29_fraig_dc2_from_frontend_best,1,168,29,4872,student/work/ex249_frontend_fp8_e5m2_hypot_rawexp_20260608_1712/ex249/verilog/ex249_semantic_hypot_threshold_rawexp.v,student/work/ex240_ex299_frontend_gt2_round29_20260613_0710/local-abc-r29/ex249/aigs/ex249_r29_fraig_dc2_from_frontend_best.aig,student/work/ex240_ex299_frontend_gt2_round29_20260613_0710/local-abc-r29/ex249/logs/ex249_r29_fraig_dc2_from_frontend_best.evaluate.py.log,official evaluate.py OK; abc_log=student/work/ex240_ex299_frontend_gt2_round29_20260613_0710/local-abc-r29/ex249/logs/ex249_r29_fraig_dc2_from_frontend_best.abc.log; flow=strash; fraig; dc2; balance
ex249,float_fp8,local-abc-r29,ex249_r29_rewrite_loop3_from_frontend_best,1,168,26,4368,student/work/ex249_frontend_fp8_e5m2_hypot_rawexp_20260608_1712/ex249/verilog/ex249_semantic_hypot_threshold_rawexp.v,student/work/ex240_ex299_frontend_gt2_round29_20260613_0710/local-abc-r29/ex249/aigs/ex249_r29_rewrite_loop3_from_frontend_best.aig,student/work/ex240_ex299_frontend_gt2_round29_20260613_0710/local-abc-r29/ex249/logs/ex249_r29_rewrite_loop3_from_frontend_best.evaluate.py.log,official evaluate.py OK; abc_log=student/work/ex240_ex299_frontend_gt2_round29_20260613_0710/local-abc-r29/ex249/logs/ex249_r29_rewrite_loop3_from_frontend_best.abc.log; flow=strash; balance; rewrite; rewrite -z; refactor; refactor -z; balance; rewrite; rewrite -z; balance
ex249,float_fp8,local-abc-r29,ex249_r29_dc2_dch_dc2_from_frontend_best,1,168,29,4872,student/work/ex249_frontend_fp8_e5m2_hypot_rawexp_20260608_1712/ex249/verilog/ex249_semantic_hypot_threshold_rawexp.v,student/work/ex240_ex299_frontend_gt2_round29_20260613_0710/local-abc-r29/ex249/aigs/ex249_r29_dc2_dch_dc2_from_frontend_best.aig,student/work/ex240_ex299_frontend_gt2_round29_20260613_0710/local-abc-r29/ex249/logs/ex249_r29_dc2_dch_dc2_from_frontend_best.evaluate.py.log,official evaluate.py OK; abc_log=student/work/ex240_ex299_frontend_gt2_round29_20260613_0710/local-abc-r29/ex249/logs/ex249_r29_dc2_dch_dc2_from_frontend_best.abc.log; flow=strash; dc2; dch; dc2; balance
ex249,float_fp8,local-abc-r29,ex249_r29_rfz_rwz_only_from_frontend_best,1,168,26,4368,student/work/ex249_frontend_fp8_e5m2_hypot_rawexp_20260608_1712/ex249/verilog/ex249_semantic_hypot_threshold_rawexp.v,student/work/ex240_ex299_frontend_gt2_round29_20260613_0710/local-abc-r29/ex249/aigs/ex249_r29_rfz_rwz_only_from_frontend_best.aig,student/work/ex240_ex299_frontend_gt2_round29_20260613_0710/local-abc-r29/ex249/logs/ex249_r29_rfz_rwz_only_from_frontend_best.evaluate.py.log,official evaluate.py OK; abc_log=student/work/ex240_ex299_frontend_gt2_round29_20260613_0710/local-abc-r29/ex249/logs/ex249_r29_rfz_rwz_only_from_frontend_best.abc.log; flow=strash; refactor -z; rewrite -z; refactor -z; rewrite -z; balance
ex249,float_fp8,local-abc-r29,ex249_r29_&dch_put_from_frontend_best,1,168,26,4368,student/work/ex249_frontend_fp8_e5m2_hypot_rawexp_20260608_1712/ex249/verilog/ex249_semantic_hypot_threshold_rawexp.v,student/work/ex240_ex299_frontend_gt2_round29_20260613_0710/local-abc-r29/ex249/aigs/ex249_r29_&dch_put_from_frontend_best.aig,student/work/ex240_ex299_frontend_gt2_round29_20260613_0710/local-abc-r29/ex249/logs/ex249_r29_&dch_put_from_frontend_best.evaluate.py.log,official evaluate.py OK; abc_log=student/work/ex240_ex299_frontend_gt2_round29_20260613_0710/local-abc-r29/ex249/logs/ex249_r29_&dch_put_from_frontend_best.abc.log; flow=strash; &get; &dch; &put; balance
