round,run_id,agent_id,case,domain,hypothesis,representation,sharing_strategy,method_signature,status,reason,verilog_path,log_path,notes,outcome,failure_reason,reuse_policy,evidence_path,next_action,shard_csv,candidate_id,variant,blocker_evidence
,,sub-fp16-int-factor-r88,ex223,,,,,ex223|checkpoint_prior_blocker|r22_r25_r26_dense_residual_and_r86_r87_root_replays|read_scope_only|not_run|abc_xf_official_evaluate|r88_checkpoint,,,,,,checkpoint_prior_evidence,Prior dense residual screens and r86/r87 root/MTBDD forms are already nonwinning or blocker evidence; no new r88 final blocker claimed yet,do_not_repeat_as_is,student/cases/ex220_ex239_fp16/ex223/frontend_attempts.md,continue interval/correction descriptor screen under shard work path,student/frontend_campaigns/campaigns/frontend_highlevel_factor_round88_20260613_2335/agent_shards/sub-fp16-int-factor-r88/failed_hypotheses.csv,,,
,,sub-fp16-int-factor-r88,ex225,,,,,ex225|checkpoint_prior_blocker|r13_r17_r22_r25_r26_dense_residual_and_r86_r87_root_replays|read_scope_only|not_run|abc_xf_official_evaluate|r88_checkpoint,,,,,,checkpoint_prior_evidence,Prior dense residual screens and r86/r87 root/MTBDD forms are already nonwinning or blocker evidence; no new r88 final blocker claimed yet,do_not_repeat_as_is,student/cases/ex220_ex239_fp16/ex225/frontend_attempts.md,continue interval/correction descriptor screen under shard work path,student/frontend_campaigns/campaigns/frontend_highlevel_factor_round88_20260613_2335/agent_shards/sub-fp16-int-factor-r88/failed_hypotheses.csv,,,
,,sub-fp16-int-factor-r88,ex260,,,,,ex260|checkpoint_prior_blocker|baugh_prefix_carryselect_booth_outputcluster_signcorr|read_scope_only|not_run|abc_xf_official_evaluate|r88_checkpoint,,,,,,checkpoint_prior_evidence,Prior signed multiplier replay families are exact but nonwinning; no new r88 final blocker claimed yet,do_not_repeat_as_is,student/cases/ex255_ex279_integer_arithmetic/ex260/frontend_attempts.md,continue monomial/partial-product factor screen under shard work path,student/frontend_campaigns/campaigns/frontend_highlevel_factor_round88_20260613_2335/agent_shards/sub-fp16-int-factor-r88/failed_hypotheses.csv,,,
,,sub-fp16-int-factor-r88,ex266,,,,,ex266|checkpoint_prior_blocker|wordmux_spelling_threshold_serial_single_root_denclass|read_scope_only|not_run|abc_xf_official_evaluate|r88_checkpoint,,,,,,checkpoint_prior_evidence,"Prior divider wordmux, threshold, recurrence, root, MTBDD, and denominator-class families are exact but nonwinning; no new r88 final blocker claimed yet",do_not_repeat_as_is,student/cases/ex255_ex279_integer_arithmetic/ex266/frontend_attempts.md,continue quotient cofactor descriptor screen under shard work path,student/frontend_campaigns/campaigns/frontend_highlevel_factor_round88_20260613_2335/agent_shards/sub-fp16-int-factor-r88/failed_hypotheses.csv,,,
,,sub-fp16-int-factor-r88,ex223,,,,,ex223|fp16_log_r88_interval_correction_descriptor|exp_interval_base_plus_exact_lowbit_residual_screen|shared_special_decode_and_interval_correction_clusters|not_run|abc_xf_truth_diagnostic|not_r86_single_root_not_r87_multiroot,,,,,,blocked_no_candidate,"Positive-normal interval/correction screen remains dense: 9716 distinct words, 9736 word runs, best low12 mode exceptions 8532, 6331 unique low12 shapes. This does not materially beat nested-low evidence, so no RTL was emitted.",do_not_repeat_as_is,student/work/frontend_highlevel_factor_round88_20260613_2335/sub-fp16-int-factor-r88/ex223/diagnostics/ex223_r88_blocker_evidence.md,next attempt needs a genuinely shallow natural-log correction formula or a new dense-predicate sharing synthesis strategy,student/frontend_campaigns/campaigns/frontend_highlevel_factor_round88_20260613_2335/agent_shards/sub-fp16-int-factor-r88/failed_hypotheses.csv,,,
,,sub-fp16-int-factor-r88,ex225,,,,,ex225|fp16_log10_r88_interval_correction_descriptor|exp_interval_base_plus_exact_lowbit_residual_screen|shared_special_decode_and_interval_correction_clusters|not_run|abc_xf_truth_diagnostic|not_r86_single_root_not_r87_multiroot,,,,,,blocked_no_candidate,"Positive-normal interval/correction screen remains dense: 9769 distinct words, 9791 word runs, best low12 mode exceptions 8653, 6370 unique low12 shapes. This does not materially beat nested-low evidence, so no RTL was emitted.",do_not_repeat_as_is,student/work/frontend_highlevel_factor_round88_20260613_2335/sub-fp16-int-factor-r88/ex225/diagnostics/ex225_r88_blocker_evidence.md,next attempt needs a genuinely shallow log10 correction formula or a new dense-predicate sharing synthesis strategy,student/frontend_campaigns/campaigns/frontend_highlevel_factor_round88_20260613_2335/agent_shards/sub-fp16-int-factor-r88/failed_hypotheses.csv,,,
,,sub-fp16-int-factor-r88,ex260,,,,,ex260|signed_low4_high4_multiply_r88_shared_monomial_factor|anf_monomial_partial_product_cluster_screen|shared_low4_high4_monomials_and_partial_product_cofactors|not_run|abc_xf_truth_diagnostic|not_r86_full_mtbdd_not_r87_signcorr,,,,,,blocked_no_candidate,"Shared monomial screen found 137 unique ANF monomials across product bits, only 31 shared terms, all 16 degree-2 partial-product terms present, and 109 degree>=4 terms. This does not expose a smaller or shallower shared 4x4 signed compressor than current frontend evidence.",do_not_repeat_as_is,student/work/frontend_highlevel_factor_round88_20260613_2335/sub-fp16-int-factor-r88/ex260/diagnostics/ex260_r88_blocker_evidence.md,next attempt needs a new compressor/final-merge representation rather than ANF or Baugh-Wooley spelling changes,student/frontend_campaigns/campaigns/frontend_highlevel_factor_round88_20260613_2335/agent_shards/sub-fp16-int-factor-r88/failed_hypotheses.csv,,,
,,sub-fp16-int-factor-r88,ex266,,,,,ex266|unsigned_low5_high5_divide_r88_quotient_cofactor_descriptor|quotient_threshold_cofactor_residual_screen|shared_selector_cofactor_and_quotient_residual_counts|not_run|abc_xf_truth_diagnostic|not_r86_full_mtbdd_not_r87_denclass,,,,,,blocked_no_candidate,Quotient cofactor screen found current x9 x8 x4 selector has 380 mode exceptions and distinct-word sum 58; best size-3/4 subset x3 x4 x8 x9 lowers mode exceptions to 319 but raises distinct-word sum to 82. The tradeoff does not justify new RTL over current wordmux evidence.,do_not_repeat_as_is,student/work/frontend_highlevel_factor_round88_20260613_2335/sub-fp16-int-factor-r88/ex266/diagnostics/ex266_r88_blocker_evidence.md,next attempt needs a smaller local quotient classifier inside or beyond the current wordmux structure,student/frontend_campaigns/campaigns/frontend_highlevel_factor_round88_20260613_2335/agent_shards/sub-fp16-int-factor-r88/failed_hypotheses.csv,,,
round88,frontend_highlevel_factor_round88_20260613_2335,sub-fp8-arith-r88,ex240,float_fp8,E4M3FN packed add high byte plus low byte,round86 max-eff guarded diff-sign DAG replay,shared same-sign GRS shell plus diff cancel max-eff roots,ex240|E4M3FN packed add high byte plus low byte|max_eff_guarded_diff_sign_decision_DAG|shared same-sign GRS shell plus diff cancel gap max-eff predicate roots|repo_yosys_frontend_default|official_evaluate|full_word,blocked_prior_nonwinning,prior official OK ADP 30406 did not improve frontend or reference,,,checkpoint blocker evidence; replay is banned by assignment,,,,,,student/frontend_campaigns/campaigns/frontend_highlevel_factor_round88_20260613_2335/agent_shards/sub-fp8-arith-r88/failed_hypotheses.csv,,,
round88,frontend_highlevel_factor_round88_20260613_2335,sub-fp8-arith-r88,ex240,float_fp8,E4M3FN packed add high byte plus low byte,round87 diff LZD bucket DAG replay,shared gap-clamped diff leading-distance bucket roots,ex240|E4M3FN packed add high byte plus low byte|diff_lzd_formula_norm|shared gap-clamped diff leading-distance bucket roots|repo_yosys_frontend_default|official_evaluate|full_word,blocked_prior_failed,prior evaluate.py NOT_EQUIV,,,checkpoint blocker evidence; replay is banned by assignment,,,,,,student/frontend_campaigns/campaigns/frontend_highlevel_factor_round88_20260613_2335/agent_shards/sub-fp8-arith-r88/failed_hypotheses.csv,,,
