round,run_id,agent_id,case,candidate_id,structure_type,shared_signal_count,outputs_covered,expected_effect,observed_area,observed_delay,observed_adp,notes,screen_id,descriptor,prior_best_frontend,prior_blocker_evidence,current_screen_metric,status,next_gate,shard_csv,screen,shared_support,residual_count,exact_descriptor
,,sub-fp16-int-factor-r88,ex223,,,,,,,,,,r88_log_interval_correction,exact interval/correction residual support for positive-normal fp16 log,203395,prior non-nested audits found dense positive-normal residual: 9716 distinct words; low12 residual 9691 distinct values; zero reused hi3..hi6 segment shapes,positive_distinct=9716; word_runs=9736; best_low12_mode_exceptions=8532; best_low12_unique_shapes=6331; reused_blocks=1349,blocked_no_candidate,low12 residual remains dense and does not justify RTL emission,student/frontend_campaigns/campaigns/frontend_highlevel_factor_round88_20260613_2335/agent_shards/sub-fp16-int-factor-r88/shared_structure_report.csv,,,,
,,sub-fp16-int-factor-r88,ex225,,,,,,,,,,r88_log10_interval_correction,exact interval/correction residual support for positive-normal fp16 log10,218595,prior non-nested audits found dense positive-normal residual: 9769 distinct words; low12 residual 9745 distinct values; zero reused hi3..hi6 segment shapes,positive_distinct=9769; word_runs=9791; best_low12_mode_exceptions=8653; best_low12_unique_shapes=6370; reused_blocks=1310,blocked_no_candidate,low12 residual remains dense and does not justify RTL emission,student/frontend_campaigns/campaigns/frontend_highlevel_factor_round88_20260613_2335/agent_shards/sub-fp16-int-factor-r88/shared_structure_report.csv,,,,
,,sub-fp16-int-factor-r88,ex260,,,,,,,,,,r88_smul_monomial_factor,shared monomial and partial-product support clusters for signed 4x4 product,1131,prior Baugh-Wooley/prefix/carry-select/Booth/output-cluster/sign-correction forms were exact but nonwinning; r87 sign-correction ADP 1957,unique_anf=137; shared_anf=31; partial_product_terms=16; degree_ge4_terms=109,blocked_no_candidate,monomial pool is high-degree and does not expose a smaller shared compressor RTL,student/frontend_campaigns/campaigns/frontend_highlevel_factor_round88_20260613_2335/agent_shards/sub-fp16-int-factor-r88/shared_structure_report.csv,,,,
,,sub-fp16-int-factor-r88,ex266,,,,,,,,,,r88_udiv_quotient_cofactor,quotient threshold/cofactor descriptors for unsigned 5x5 division,1480,"prior wordmux spelling, threshold, serial recurrence, single-root, full-MTBDD, and r87 denominator-class threshold forms were exact but nonwinning; r87 denclass ADP 15246",current_selector_mode_exceptions=380; current_distinct_sum=58; best_subset=x3_x4_x8_x9; best_mode_exceptions=319; best_distinct_sum=82,blocked_no_candidate,best searched selector trades fewer mode exceptions for larger local residual support than current wordmux,student/frontend_campaigns/campaigns/frontend_highlevel_factor_round88_20260613_2335/agent_shards/sub-fp16-int-factor-r88/shared_structure_report.csv,,,,
round88,frontend_highlevel_factor_round88_20260613_2335,sub-fp8-arith-r88,ex240,ex240_r88_diff_residual_factor,planned_semantic_support_cluster,0,pending,reduce diff-sign normalizer area without replaying LZD DAG,,,,checkpoint before screen execution,,,,,,,,student/frontend_campaigns/campaigns/frontend_highlevel_factor_round88_20260613_2335/agent_shards/sub-fp8-arith-r88/shared_structure_report.csv,,,,
round88,frontend_highlevel_factor_round88_20260613_2335,sub-fp8-arith-r88,ex241,ex241_r88_product_round_shared_pred,planned_shared_round_predicate,0,pending,replace broad product table with compact shared increment predicates,,,,checkpoint before screen execution,,,,,,,,student/frontend_campaigns/campaigns/frontend_highlevel_factor_round88_20260613_2335/agent_shards/sub-fp8-arith-r88/shared_structure_report.csv,,,,
round88,frontend_highlevel_factor_round88_20260613_2335,sub-fp8-arith-r88,ex245,ex245_r88_active_residual_support,planned_active_residual_cluster,0,pending,prove same-diff active residual support is bounded before RTL,,,,checkpoint before screen execution,,,,,,,,student/frontend_campaigns/campaigns/frontend_highlevel_factor_round88_20260613_2335/agent_shards/sub-fp8-arith-r88/shared_structure_report.csv,,,,
,,sub-fp8-range-r88,ex247,r88_field_pair_div_semantic,,,,,,,,computed from benchmarks/ex247.truth via abc_xf convention,,,,,,,,student/frontend_campaigns/campaigns/frontend_highlevel_factor_round88_20260613_2335/agent_shards/sub-fp8-range-r88/shared_structure_report.csv,field_pair_div_semantic,"out[0, 1, 2, 3, 4, 5, 6]:in[0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14]; out[7]:in[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",states=4446;ambiguous_states=0;ambiguous_inputs=0;max_outputs_per_key=1,True
,,sub-fp8-range-r88,ex247,r88_quotient_range_no_subflags,,,,,,,,computed from benchmarks/ex247.truth via abc_xf convention,,,,,,,,student/frontend_campaigns/campaigns/frontend_highlevel_factor_round88_20260613_2335/agent_shards/sub-fp8-range-r88/shared_structure_report.csv,quotient_range_no_subflags,"out[0, 1, 2, 3, 4, 5, 6]:in[0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14]; out[7]:in[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",states=4446;ambiguous_states=0;ambiguous_inputs=0;max_outputs_per_key=1,True
,,sub-fp8-range-r88,ex247,r88_den_major_sigpair_delta,,,,,,,,computed from benchmarks/ex247.truth via abc_xf convention,,,,,,,,student/frontend_campaigns/campaigns/frontend_highlevel_factor_round88_20260613_2335/agent_shards/sub-fp8-range-r88/shared_structure_report.csv,den_major_sigpair_delta,"out[0, 1, 2, 3, 4, 5, 6]:in[0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14]; out[7]:in[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",states=4446;ambiguous_states=0;ambiguous_inputs=0;max_outputs_per_key=1,True
,,sub-fp8-range-r88,ex246,r88_field_pair_product_semantic,,,,,,,,computed from benchmarks/ex246.truth via abc_xf convention,,,,,,,,student/frontend_campaigns/campaigns/frontend_highlevel_factor_round88_20260613_2335/agent_shards/sub-fp8-range-r88/shared_structure_report.csv,field_pair_product_semantic,"out[0, 1, 2, 3, 4, 5, 6]:in[0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14]; out[7]:in[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",states=2964;ambiguous_states=0;ambiguous_inputs=0;max_outputs_per_key=1,True
,,sub-fp8-range-r88,ex246,r88_product_range_no_subflags,,,,,,,,computed from benchmarks/ex246.truth via abc_xf convention,,,,,,,,student/frontend_campaigns/campaigns/frontend_highlevel_factor_round88_20260613_2335/agent_shards/sub-fp8-range-r88/shared_structure_report.csv,product_range_no_subflags,"out[0, 1, 2, 3, 4, 5, 6]:in[0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14]; out[7]:in[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",states=2212;ambiguous_states=0;ambiguous_inputs=0;max_outputs_per_key=1,True
,,sub-fp8-range-r88,ex246,r88_product_class_range,,,,,,,,computed from benchmarks/ex246.truth via abc_xf convention,,,,,,,,student/frontend_campaigns/campaigns/frontend_highlevel_factor_round88_20260613_2335/agent_shards/sub-fp8-range-r88/shared_structure_report.csv,product_class_range,"out[0, 1, 2, 3, 4, 5, 6]:in[0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14]; out[7]:in[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",states=1046;ambiguous_states=202;ambiguous_inputs=30684;max_outputs_per_key=5,False
,,sub-fp8-range-r88,ex244,r88_ordered_magnitude_pair,,,,,,,,computed from benchmarks/ex244.truth via abc_xf convention,,,,,,,,student/frontend_campaigns/campaigns/frontend_highlevel_factor_round88_20260613_2335/agent_shards/sub-fp8-range-r88/shared_structure_report.csv,ordered_magnitude_pair,"out[0, 1, 2, 3, 4, 5, 6]:in[0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14]; out[7]:in[]",states=8256;ambiguous_states=0;ambiguous_inputs=0;max_outputs_per_key=1,True
,,sub-fp8-range-r88,ex244,r88_maxeff_gap_sig,,,,,,,,computed from benchmarks/ex244.truth via abc_xf convention,,,,,,,,student/frontend_campaigns/campaigns/frontend_highlevel_factor_round88_20260613_2335/agent_shards/sub-fp8-range-r88/shared_structure_report.csv,maxeff_gap_sig,"out[0, 1, 2, 3, 4, 5, 6]:in[0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14]; out[7]:in[]",states=8256;ambiguous_states=0;ambiguous_inputs=0;max_outputs_per_key=1,True
,,sub-fp8-range-r88,ex244,r88_gap_bucket_sig_only,,,,,,,,computed from benchmarks/ex244.truth via abc_xf convention,,,,,,,,student/frontend_campaigns/campaigns/frontend_highlevel_factor_round88_20260613_2335/agent_shards/sub-fp8-range-r88/shared_structure_report.csv,gap_bucket_sig_only,"out[0, 1, 2, 3, 4, 5, 6]:in[0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14]; out[7]:in[]",states=560;ambiguous_states=292;ambiguous_inputs=62724;max_outputs_per_key=15,False
,,sub-fp8-range-r88,ex244,r88_active_tail_only,,,,,,,,computed from benchmarks/ex244.truth via abc_xf convention,,,,,,,,student/frontend_campaigns/campaigns/frontend_highlevel_factor_round88_20260613_2335/agent_shards/sub-fp8-range-r88/shared_structure_report.csv,active_tail_only,"out[0, 1, 2, 3, 4, 5, 6]:in[0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14]; out[7]:in[]",states=2592;ambiguous_states=0;ambiguous_inputs=0;max_outputs_per_key=1,True
,,sub-fp8-range-r88,ex249,r88_ordered_magnitude_pair,,,,,,,,computed from benchmarks/ex249.truth via abc_xf convention,,,,,,,,student/frontend_campaigns/campaigns/frontend_highlevel_factor_round88_20260613_2335/agent_shards/sub-fp8-range-r88/shared_structure_report.csv,ordered_magnitude_pair,"out[0, 1, 2, 3, 4, 5, 6]:in[0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14]; out[7]:in[]",states=8256;ambiguous_states=0;ambiguous_inputs=0;max_outputs_per_key=1,True
,,sub-fp8-range-r88,ex249,r88_rawexp_active_gap,,,,,,,,computed from benchmarks/ex249.truth via abc_xf convention,,,,,,,,student/frontend_campaigns/campaigns/frontend_highlevel_factor_round88_20260613_2335/agent_shards/sub-fp8-range-r88/shared_structure_report.csv,rawexp_active_gap,"out[0, 1, 2, 3, 4, 5, 6]:in[0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14]; out[7]:in[]",states=806;ambiguous_states=134;ambiguous_inputs=58572;max_outputs_per_key=2,False
,,sub-fp8-range-r88,ex249,r88_gap_bucket_sig_only,,,,,,,,computed from benchmarks/ex249.truth via abc_xf convention,,,,,,,,student/frontend_campaigns/campaigns/frontend_highlevel_factor_round88_20260613_2335/agent_shards/sub-fp8-range-r88/shared_structure_report.csv,gap_bucket_sig_only,"out[0, 1, 2, 3, 4, 5, 6]:in[0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14]; out[7]:in[]",states=116;ambiguous_states=58;ambiguous_inputs=64196;max_outputs_per_key=31,False
,,sub-fp8-range-r88,ex249,r88_active_gap_threshold_core,,,,,,,,computed from benchmarks/ex249.truth via abc_xf convention,,,,,,,,student/frontend_campaigns/campaigns/frontend_highlevel_factor_round88_20260613_2335/agent_shards/sub-fp8-range-r88/shared_structure_report.csv,active_gap_threshold_core,"out[0, 1, 2, 3, 4, 5, 6]:in[0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14]; out[7]:in[]",states=806;ambiguous_states=134;ambiguous_inputs=58572;max_outputs_per_key=2,False
round88,frontend_highlevel_factor_round88_20260613_2335,sub-unknown-spectral-r88,ex285,ex285_r88_active_spectral_anf_route_screen,Walsh_ANF_route_cofactor_screen,,12,find compact affine roots and bounded residual before RTL,,,,screening Walsh concentration; GF2 roots; bounded ANF residual; compact cofactors,,,,,,,,student/frontend_campaigns/campaigns/frontend_highlevel_factor_round88_20260613_2335/agent_shards/sub-unknown-spectral-r88/shared_structure_report.csv,,,,
round88,frontend_highlevel_factor_round88_20260613_2335,sub-unknown-spectral-r88,ex288,ex288_r88_active_spectral_anf_route_screen,Walsh_ANF_route_cofactor_screen,,15,find compact affine roots and bounded residual before RTL,,,,screening Walsh concentration; GF2 roots; bounded ANF residual; compact cofactors,,,,,,,,student/frontend_campaigns/campaigns/frontend_highlevel_factor_round88_20260613_2335/agent_shards/sub-unknown-spectral-r88/shared_structure_report.csv,,,,
round88,frontend_highlevel_factor_round88_20260613_2335,sub-unknown-spectral-r88,ex297,ex297_r88_active_spectral_anf_cyclic_screen,cyclic_spectral_ANF_orbit_screen,,14,find transition-orbit descriptor with small residual before RTL,,,,screening Walsh roots; cyclic orbit descriptors; ANF monomial sharing; compact cofactors,,,,,,,,student/frontend_campaigns/campaigns/frontend_highlevel_factor_round88_20260613_2335/agent_shards/sub-unknown-spectral-r88/shared_structure_report.csv,,,,
round88,frontend_highlevel_factor_round88_20260613_2335,sub-unknown-spectral-r88,ex299,ex299_r88_active_spectral_anf_cyclic_screen,cyclic_spectral_ANF_orbit_screen,,16,find transition-orbit descriptor with small residual before RTL,,,,screening Walsh roots; cyclic orbit descriptors; ANF monomial sharing; compact cofactors,,,,,,,,student/frontend_campaigns/campaigns/frontend_highlevel_factor_round88_20260613_2335/agent_shards/sub-unknown-spectral-r88/shared_structure_report.csv,,,,
round88,frontend_highlevel_factor_round88_20260613_2335,sub-unknown-spectral-r88,ex285,ex285_r88_descriptor_screen,spectral_anf_cofactor_compactness,,12,screen lower-dimensional descriptor before RTL,,,,best_descriptor=popcount_spectral_roots_8 unique_keys=832 residual_samples=1510 screen=student/work/frontend_highlevel_factor_round88_20260613_2335/sub-unknown-spectral-r88/ex285/diagnostics/ex285_r88_descriptor_screen.csv,,,,,,,,student/frontend_campaigns/campaigns/frontend_highlevel_factor_round88_20260613_2335/agent_shards/sub-unknown-spectral-r88/shared_structure_report.csv,,,,
round88,frontend_highlevel_factor_round88_20260613_2335,sub-unknown-spectral-r88,ex288,ex288_r88_descriptor_screen,spectral_anf_cofactor_compactness,,15,screen lower-dimensional descriptor before RTL,,,,best_descriptor=popcount_spectral_roots_8 unique_keys=1248 residual_samples=27047 screen=student/work/frontend_highlevel_factor_round88_20260613_2335/sub-unknown-spectral-r88/ex288/diagnostics/ex288_r88_descriptor_screen.csv,,,,,,,,student/frontend_campaigns/campaigns/frontend_highlevel_factor_round88_20260613_2335/agent_shards/sub-unknown-spectral-r88/shared_structure_report.csv,,,,
