case,domain,agent_id,candidate_id,hypothesis,representation,shared_structure,notes
ex240,float_fp8,local-ex240-source-r61,ex240_ex240_r61_formula_norm_default_raw,FP8 source predicate/table restructuring,ex240_r61_formula_norm + default + raw,field decode plus same-gapcase source; replace diff norm tables with RNE formula,synth=default; post=raw; project default proc/techmap/abc AND/aigmap
ex240,float_fp8,local-ex240-source-r61,ex240_ex240_r61_formula_norm_extra_share_raw,FP8 source predicate/table restructuring,ex240_r61_formula_norm + extra_share + raw,field decode plus same-gapcase source; replace diff norm tables with RNE formula,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap
ex240,float_fp8,local-ex240-source-r61,ex240_ex240_r61_formula_norm_abc_g_aig_raw,FP8 source predicate/table restructuring,ex240_r61_formula_norm + abc_g_aig + raw,field decode plus same-gapcase source; replace diff norm tables with RNE formula,synth=abc_g_aig; post=raw; Yosys abc gate set aig
ex240,float_fp8,local-ex240-source-r61,ex240_ex240_r61_formula_norm_synth_preset_raw,FP8 source predicate/table restructuring,ex240_r61_formula_norm + synth_preset + raw,field decode plus same-gapcase source; replace diff norm tables with RNE formula,synth=synth_preset; post=raw; Yosys synth -flatten then abc/aigmap
ex240,float_fp8,local-ex240-source-r61,ex240_ex240_r61_diff_gapcase_split_norm_default_raw,FP8 source predicate/table restructuring,ex240_r61_diff_gapcase_split_norm + default + raw,field decode plus same/diff gapcase muxes and split norm tables,synth=default; post=raw; project default proc/techmap/abc AND/aigmap
ex240,float_fp8,local-ex240-source-r61,ex240_ex240_r61_diff_gapcase_split_norm_extra_share_raw,FP8 source predicate/table restructuring,ex240_r61_diff_gapcase_split_norm + extra_share + raw,field decode plus same/diff gapcase muxes and split norm tables,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap
ex240,float_fp8,local-ex240-source-r61,ex240_ex240_r61_diff_gapcase_split_norm_abc_g_aig_raw,FP8 source predicate/table restructuring,ex240_r61_diff_gapcase_split_norm + abc_g_aig + raw,field decode plus same/diff gapcase muxes and split norm tables,synth=abc_g_aig; post=raw; Yosys abc gate set aig
ex240,float_fp8,local-ex240-source-r61,ex240_ex240_r61_diff_gapcase_split_norm_synth_preset_raw,FP8 source predicate/table restructuring,ex240_r61_diff_gapcase_split_norm + synth_preset + raw,field decode plus same/diff gapcase muxes and split norm tables,synth=synth_preset; post=raw; Yosys synth -flatten then abc/aigmap
ex240,float_fp8,local-ex240-source-r61,ex240_ex240_r61_diff_gapcase_formula_norm_default_raw,FP8 source predicate/table restructuring,ex240_r61_diff_gapcase_formula_norm + default + raw,field decode plus same/diff gapcase muxes and formula diff normalizer,synth=default; post=raw; project default proc/techmap/abc AND/aigmap
ex240,float_fp8,local-ex240-source-r61,ex240_ex240_r61_diff_gapcase_formula_norm_extra_share_raw,FP8 source predicate/table restructuring,ex240_r61_diff_gapcase_formula_norm + extra_share + raw,field decode plus same/diff gapcase muxes and formula diff normalizer,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap
ex240,float_fp8,local-ex240-source-r61,ex240_ex240_r61_diff_gapcase_formula_norm_abc_g_aig_raw,FP8 source predicate/table restructuring,ex240_r61_diff_gapcase_formula_norm + abc_g_aig + raw,field decode plus same/diff gapcase muxes and formula diff normalizer,synth=abc_g_aig; post=raw; Yosys abc gate set aig
ex240,float_fp8,local-ex240-source-r61,ex240_ex240_r61_diff_gapcase_formula_norm_synth_preset_raw,FP8 source predicate/table restructuring,ex240_r61_diff_gapcase_formula_norm + synth_preset + raw,field decode plus same/diff gapcase muxes and formula diff normalizer,synth=synth_preset; post=raw; Yosys synth -flatten then abc/aigmap
ex240,float_fp8,local-ex240-source-r61,ex240_ex240_r61_active_diff_formula_norm_default_raw,FP8 source predicate/table restructuring,ex240_r61_active_diff_formula_norm + default + raw,field decode plus active diff-only gating before formula normalizer,synth=default; post=raw; project default proc/techmap/abc AND/aigmap
ex240,float_fp8,local-ex240-source-r61,ex240_ex240_r61_active_diff_formula_norm_extra_share_raw,FP8 source predicate/table restructuring,ex240_r61_active_diff_formula_norm + extra_share + raw,field decode plus active diff-only gating before formula normalizer,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap
ex240,float_fp8,local-ex240-source-r61,ex240_ex240_r61_active_diff_formula_norm_abc_g_aig_raw,FP8 source predicate/table restructuring,ex240_r61_active_diff_formula_norm + abc_g_aig + raw,field decode plus active diff-only gating before formula normalizer,synth=abc_g_aig; post=raw; Yosys abc gate set aig
ex240,float_fp8,local-ex240-source-r61,ex240_ex240_r61_active_diff_formula_norm_synth_preset_raw,FP8 source predicate/table restructuring,ex240_r61_active_diff_formula_norm + synth_preset + raw,field decode plus active diff-only gating before formula normalizer,synth=synth_preset; post=raw; Yosys synth -flatten then abc/aigmap
ex240,float_fp8,local-ex240-source-r61,ex240_ex240_r61_active_diff_gapcase_split_norm_default_raw,FP8 source predicate/table restructuring,ex240_r61_active_diff_gapcase_split_norm + default + raw,field decode plus diff gapcase mux and active diff-only norm table gating,synth=default; post=raw; project default proc/techmap/abc AND/aigmap
ex240,float_fp8,local-ex240-source-r61,ex240_ex240_r61_active_diff_gapcase_split_norm_extra_share_raw,FP8 source predicate/table restructuring,ex240_r61_active_diff_gapcase_split_norm + extra_share + raw,field decode plus diff gapcase mux and active diff-only norm table gating,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap
ex240,float_fp8,local-ex240-source-r61,ex240_ex240_r61_active_diff_gapcase_split_norm_abc_g_aig_raw,FP8 source predicate/table restructuring,ex240_r61_active_diff_gapcase_split_norm + abc_g_aig + raw,field decode plus diff gapcase mux and active diff-only norm table gating,synth=abc_g_aig; post=raw; Yosys abc gate set aig
ex240,float_fp8,local-ex240-source-r61,ex240_ex240_r61_active_diff_gapcase_split_norm_synth_preset_raw,FP8 source predicate/table restructuring,ex240_r61_active_diff_gapcase_split_norm + synth_preset + raw,field decode plus diff gapcase mux and active diff-only norm table gating,synth=synth_preset; post=raw; Yosys synth -flatten then abc/aigmap
