case,candidate_id,hypothesis,representation,sharing_strategy,synth_flow,method_signature,verilog_path,aig_path,log_path,equivalent,area,delay,adp,beats_frontend,beats_reference,notes,agent_id,variant,official_output_dir,evaluate_log,verified_truth,reference_adp,beats_overall_current,shard_csv,domain,shared_structure,simulation_pass,method_signature_original
ex223,ex223_r68_nested_low14_hi4_abc_g_aig,fp16_log_current_best_source_factoring,,,,ex223|fp16_log_current_best_source_factoring|nested_low14_hi4_not_round67_low13_hi5|shared_special_decode_highbit_runs|yosys_abc_g_aig|abc_xf_official_evaluate|low14_hi4,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp16-int-r68/ex223/verilog/ex223_r68_nested_low14_hi4.v,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp16-int-r68/ex223/aigs/ex223_r68_nested_low14_hi4_abc_g_aig.aig,,1,10621,20,212420,0,0,truth-derived nested low14/hi4 split; avoids round67 low13/hi5 signature,sub-fp16-int-r68,nested_low14_hi4,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp16-int-r68/ex223/official_eval/ex223_r68_nested_low14_hi4_abc_g_aig,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp16-int-r68/ex223/logs/ex223_r68_nested_low14_hi4_abc_g_aig.evaluate.py.log,1,120549,0,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-fp16-int-r68/candidates.csv,,,,
ex223,ex223_r68_expband_word_hi5lo5_abc_g_aig,fp16_log_exponent_band_shared_decode,,,,ex223|fp16_log_exponent_band_shared_decode|banded_full_word_hi5lo5|shared_coarse_exp_band_decode|yosys_abc_g_aig|abc_xf_official_evaluate|word_grouped,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp16-int-r68/ex223/verilog/ex223_r68_expband_word_hi5lo5.v,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp16-int-r68/ex223/aigs/ex223_r68_expband_word_hi5lo5_abc_g_aig.aig,,1,13690,18,246420,0,0,truth-derived exponent-band whole-word table; materially different from bitplane low13/hi5 residuals,sub-fp16-int-r68,expband_word_hi5lo5,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp16-int-r68/ex223/official_eval/ex223_r68_expband_word_hi5lo5_abc_g_aig,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp16-int-r68/ex223/logs/ex223_r68_expband_word_hi5lo5_abc_g_aig.evaluate.py.log,1,120549,0,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-fp16-int-r68/candidates.csv,,,,
ex225,ex225_r68_nested_low14_hi4_abc_g_aig,fp16_log10_current_best_source_factoring,,,,ex225|fp16_log10_current_best_source_factoring|nested_low14_hi4_not_round67_low13_hi5|shared_special_decode_highbit_runs|yosys_abc_g_aig|abc_xf_official_evaluate|low14_hi4,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp16-int-r68/ex225/verilog/ex225_r68_nested_low14_hi4.v,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp16-int-r68/ex225/aigs/ex225_r68_nested_low14_hi4_abc_g_aig.aig,,1,11265,20,225300,0,0,truth-derived nested low14/hi4 split; avoids round67 low13/hi5 signature,sub-fp16-int-r68,nested_low14_hi4,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp16-int-r68/ex225/official_eval/ex225_r68_nested_low14_hi4_abc_g_aig,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp16-int-r68/ex225/logs/ex225_r68_nested_low14_hi4_abc_g_aig.evaluate.py.log,1,116676,0,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-fp16-int-r68/candidates.csv,,,,
ex225,ex225_r68_expband_word_hi5lo5_abc_g_aig,fp16_log10_exponent_band_shared_decode,,,,ex225|fp16_log10_exponent_band_shared_decode|banded_full_word_hi5lo5|shared_coarse_exp_band_decode|yosys_abc_g_aig|abc_xf_official_evaluate|word_grouped,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp16-int-r68/ex225/verilog/ex225_r68_expband_word_hi5lo5.v,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp16-int-r68/ex225/aigs/ex225_r68_expband_word_hi5lo5_abc_g_aig.aig,,1,13946,18,251028,0,0,truth-derived exponent-band whole-word table; materially different from bitplane low13/hi5 residuals,sub-fp16-int-r68,expband_word_hi5lo5,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp16-int-r68/ex225/official_eval/ex225_r68_expband_word_hi5lo5_abc_g_aig,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp16-int-r68/ex225/logs/ex225_r68_expband_word_hi5lo5_abc_g_aig.evaluate.py.log,1,116676,0,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-fp16-int-r68/candidates.csv,,,,
ex260,ex260_r68_native_signed_mul_abc_g_aig,alternative_signed_product_shell,,,,ex260|alternative_signed_product_shell|native_signed_multiply|yosys_multiplier_source_factoring|yosys_abc_g_aig|signed_low4_high4_multiply|product_word,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp16-int-r68/ex260/verilog/ex260_r68_native_signed_mul.v,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp16-int-r68/ex260/aigs/ex260_r68_native_signed_mul_abc_g_aig.aig,,1,116,20,2320,0,0,"native signed multiply shell, not Baugh-Wooley carry-select",sub-fp16-int-r68,native_signed_mul,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp16-int-r68/ex260/official_eval/ex260_r68_native_signed_mul_abc_g_aig,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp16-int-r68/ex260/logs/ex260_r68_native_signed_mul_abc_g_aig.evaluate.py.log,1,657,0,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-fp16-int-r68/candidates.csv,,,,
ex260,ex260_r68_case_b_const_abc_g_aig,case_by_operand_constant_product,,,,ex260|case_by_operand_constant_product|signed_high_operand_constant_cases|shared_low_operand_constant_multiply|yosys_abc_g_aig|signed_low4_high4_multiply|product_word,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp16-int-r68/ex260/verilog/ex260_r68_case_b_const.v,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp16-int-r68/ex260/aigs/ex260_r68_case_b_const_abc_g_aig.aig,,1,202,10,2020,0,0,"constant multiply by signed high operand, materially different from carry-select Baugh-Wooley",sub-fp16-int-r68,case_b_const,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp16-int-r68/ex260/official_eval/ex260_r68_case_b_const_abc_g_aig,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp16-int-r68/ex260/logs/ex260_r68_case_b_const_abc_g_aig.evaluate.py.log,1,657,0,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-fp16-int-r68/candidates.csv,,,,
ex266,ex266_r68_const_divisor_case_abc_g_aig,denominator_constant_quotient_source_factoring,,,,ex266|denominator_constant_quotient_source_factoring|constant_divisor_cases|shared_const_division_predicates|yosys_abc_g_aig|unsigned_low5_high5_div_dbz_sat|quotient_word,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp16-int-r68/ex266/verilog/ex266_r68_const_divisor_case.v,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp16-int-r68/ex266/aigs/ex266_r68_const_divisor_case_abc_g_aig.aig,,1,243,12,2916,0,0,"case by denominator constants, not cofactor wordmux",sub-fp16-int-r68,const_divisor_case,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp16-int-r68/ex266/official_eval/ex266_r68_const_divisor_case_abc_g_aig,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp16-int-r68/ex266/logs/ex266_r68_const_divisor_case_abc_g_aig.evaluate.py.log,1,848,0,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-fp16-int-r68/candidates.csv,,,,
ex266,ex266_r68_threshold_priority_abc_g_aig,small_exact_quotient_predicates,,,,ex266|small_exact_quotient_predicates|descending_q_threshold_priority|shared_constant_multiple_comparators|yosys_abc_g_aig|unsigned_low5_high5_div_dbz_sat|quotient_word,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp16-int-r68/ex266/verilog/ex266_r68_threshold_priority.v,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp16-int-r68/ex266/aigs/ex266_r68_threshold_priority_abc_g_aig.aig,,1,611,41,25051,0,0,"descending exact quotient threshold predicates, not cofactor wordmux",sub-fp16-int-r68,threshold_priority,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp16-int-r68/ex266/official_eval/ex266_r68_threshold_priority_abc_g_aig,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp16-int-r68/ex266/logs/ex266_r68_threshold_priority_abc_g_aig.evaluate.py.log,1,848,0,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-fp16-int-r68/candidates.csv,,,,
ex240,ex240_r68_direct_cancel_formula,E4M3FN packed add,direct field arithmetic with compact cancellation predicates,,,ex240|E4M3FN packed add|direct field arithmetic with compact cancellation predicates|shared sorted field decode plus explicit same/diff guard-round/cancellation predicates|repo_yosys_frontend_default|official_evaluate|full_word,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-mid-r68/ex240/verilog/ex240_r68_direct_cancel_formula.v,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-mid-r68/ex240/aigs/ex240_r68_direct_cancel_formula.aig,,1,650,47,30550,,,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-mid-r68/ex240/logs/ex240_r68_direct_cancel_formula.yosys.log; synth_sec=0.510; eval_sec=0.852,sub-fp8-mid-r68,,,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-mid-r68/ex240/logs/ex240_r68_direct_cancel_formula.evaluate.py.log,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-fp8-mid-r68/candidates.csv,float_fp8,shared sorted field decode plus explicit same/diff guard-round/cancellation predicates,not_run,
ex240,ex240_r68_lowbit_overlay,E4M3FN packed add,selected low-bit cofactor overlay on factored current best source,,,ex240|E4M3FN packed add|selected low-bit cofactor overlay on factored current best source|preserve r64 high/sign decode; recompute only low magnitude bits from active same/diff cofactors|repo_yosys_frontend_default|official_evaluate|full_word,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-mid-r68/ex240/verilog/ex240_r68_lowbit_overlay.v,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-mid-r68/ex240/aigs/ex240_r68_lowbit_overlay.aig,,1,5307,51,270657,,,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-mid-r68/ex240/logs/ex240_r68_lowbit_overlay.yosys.log; synth_sec=21.407; eval_sec=0.889,sub-fp8-mid-r68,,,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-mid-r68/ex240/logs/ex240_r68_lowbit_overlay.evaluate.py.log,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-fp8-mid-r68/candidates.csv,float_fp8,preserve r64 high/sign decode; recompute only low magnitude bits from active same/diff cofactors,not_run,
