case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,classification,items,runtime_sec,notes
ex281,ex281_unknown_split_refine_rotate0_low12,arbitrary_width_split_default,rotate0_low12,student/work/ex281_ex284_frontend_split_refine_20260608_1516/ex281/verilog/ex281_unknown_split_refine_rotate0_low12.v,student/work/ex281_ex284_frontend_split_refine_20260608_1516/ex281/aigs/ex281_unknown_split_refine_rotate0_low12.aig,1,1,1,15785,19,299915,2336,128.388271,0,0,structural_exact,rotate=0; outer=low; outer_bits=12; inner_bits=1; full_default_groups=1160; exceptions=2936; hash=e0408b1b5bdf,33.852,unknown arbitrary split/default Verilog seed
ex281,ex281_unknown_split_refine_rotate1_high12,arbitrary_width_split_default,rotate1_high12,student/work/ex281_ex284_frontend_split_refine_20260608_1516/ex281/verilog/ex281_unknown_split_refine_rotate1_high12.v,student/work/ex281_ex284_frontend_split_refine_20260608_1516/ex281/aigs/ex281_unknown_split_refine_rotate1_high12.aig,1,1,1,15785,19,299915,2336,128.388271,0,0,structural_exact,rotate=1; outer=high; outer_bits=12; inner_bits=1; full_default_groups=1160; exceptions=2936; hash=090c61b08d71,34.051,unknown arbitrary split/default Verilog seed
ex281,ex281_unknown_split_refine_rotate1_low12,arbitrary_width_split_default,rotate1_low12,student/work/ex281_ex284_frontend_split_refine_20260608_1516/ex281/verilog/ex281_unknown_split_refine_rotate1_low12.v,student/work/ex281_ex284_frontend_split_refine_20260608_1516/ex281/aigs/ex281_unknown_split_refine_rotate1_low12.aig,1,1,1,15456,19,293664,2336,125.712329,0,0,structural_exact,rotate=1; outer=low; outer_bits=12; inner_bits=1; full_default_groups=748; exceptions=3348; hash=60eaa4db9df3,38.104,unknown arbitrary split/default Verilog seed
ex282,ex282_unknown_split_refine_rotate0_low13,arbitrary_width_split_default,rotate0_low13,student/work/ex281_ex284_frontend_split_refine_20260608_1516/ex282/verilog/ex282_unknown_split_refine_rotate0_low13.v,student/work/ex281_ex284_frontend_split_refine_20260608_1516/ex282/aigs/ex282_unknown_split_refine_rotate0_low13.aig,1,1,1,31979,20,639580,2704,236.531065,0,0,structural_exact,rotate=0; outer=low; outer_bits=13; inner_bits=1; full_default_groups=2304; exceptions=5888; hash=1d0443c72c5f,110.989,unknown arbitrary split/default Verilog seed
ex282,ex282_unknown_split_refine_rotate1_high13,arbitrary_width_split_default,rotate1_high13,student/work/ex281_ex284_frontend_split_refine_20260608_1516/ex282/verilog/ex282_unknown_split_refine_rotate1_high13.v,student/work/ex281_ex284_frontend_split_refine_20260608_1516/ex282/aigs/ex282_unknown_split_refine_rotate1_high13.aig,1,1,1,31979,20,639580,2704,236.531065,0,0,structural_exact,rotate=1; outer=high; outer_bits=13; inner_bits=1; full_default_groups=2304; exceptions=5888; hash=18e779b4405a,109.680,unknown arbitrary split/default Verilog seed
ex282,ex282_unknown_split_refine_rotate1_low13,arbitrary_width_split_default,rotate1_low13,student/work/ex281_ex284_frontend_split_refine_20260608_1516/ex282/verilog/ex282_unknown_split_refine_rotate1_low13.v,student/work/ex281_ex284_frontend_split_refine_20260608_1516/ex282/aigs/ex282_unknown_split_refine_rotate1_low13.aig,1,1,1,31058,20,621160,2704,229.718935,0,0,structural_exact,rotate=1; outer=low; outer_bits=13; inner_bits=1; full_default_groups=1484; exceptions=6708; hash=24fe73e3d3db,120.671,unknown arbitrary split/default Verilog seed
ex283,ex283_unknown_split_refine_rotate0_low14,arbitrary_width_split_default,rotate0_low14,student/work/ex281_ex284_frontend_split_refine_20260608_1516/ex283/verilog/ex283_unknown_split_refine_rotate0_low14.v,student/work/ex281_ex284_frontend_split_refine_20260608_1516/ex283/aigs/ex283_unknown_split_refine_rotate0_low14.aig,1,1,1,58241,22,1281302,3168,404.451389,0,0,structural_exact,rotate=0; outer=low; outer_bits=14; inner_bits=1; full_default_groups=4624; exceptions=11760,,unknown arbitrary split/default Verilog seed
ex283,ex283_unknown_split_refine_rotate1_high14,arbitrary_width_split_default,rotate1_high14,student/work/ex281_ex284_frontend_split_refine_20260608_1516/ex283/verilog/ex283_unknown_split_refine_rotate1_high14.v,student/work/ex281_ex284_frontend_split_refine_20260608_1516/ex283/aigs/ex283_unknown_split_refine_rotate1_high14.aig,1,1,1,58241,22,1281302,3168,404.451389,0,0,structural_exact,rotate=1; outer=high; outer_bits=14; inner_bits=1; full_default_groups=4624; exceptions=11760,,unknown arbitrary split/default Verilog seed
ex283,ex283_unknown_split_refine_rotate1_low14,arbitrary_width_split_default,rotate1_low14,student/work/ex281_ex284_frontend_split_refine_20260608_1516/ex283/verilog/ex283_unknown_split_refine_rotate1_low14.v,student/work/ex281_ex284_frontend_split_refine_20260608_1516/ex283/aigs/ex283_unknown_split_refine_rotate1_low14.aig,1,0,0,,,,3168,,,,structural_exact,rotate=1; outer=low; outer_bits=14; inner_bits=1; full_default_groups=2965; exceptions=13419,,aborted: run terminated with exit 143 before Yosys completed; prior split rows were already much worse than current best
ex284,ex284_unknown_split_refine_rotate0_low15,arbitrary_width_split_default,rotate0_low15,student/work/ex281_ex284_frontend_split_refine_20260608_1516/ex284/verilog/ex284_unknown_split_refine_rotate0_low15.v,student/work/ex281_ex284_frontend_split_refine_20260608_1516/ex284/aigs/ex284_unknown_split_refine_rotate0_low15.aig,0,0,0,,,,4240,,,,structural_exact,rotate=0; outer=low; outer_bits=15; inner_bits=1; full_default_groups=9224; exceptions=23544,,not started: run terminated with exit 143 after ex283 cost exceeded reasonable frontend exploration budget
