case,agent_id,hypothesis,shared_structure,estimated_saved_logic,observed_qor,notes,domain,candidate_id,representation,shard_csv,structure,shared_nodes,output_bits,evidence,result,sharing_strategy,synth_flow,prior_low_value_signatures_avoided,status,evidence_path
ex244,sub-fp8-hypot-currentfact-r66,FP8 source predicate/table restructuring,field-level magnitude compare and decoded field mux before delta BDD,,,synth=default; post=raw; project default proc/techmap/abc AND/aigmap,float_fp8,ex244_ex244_field_compare_decode_default_raw,ex244_field_compare_decode + default + raw,student/frontend_campaigns/campaigns/frontend_source_parallel_round66_20260613_1050/agent_shards/sub-fp8-hypot-currentfact-r66/shared_structure_report.csv,,,,,,,,,,
ex244,sub-fp8-hypot-currentfact-r66,FP8 source predicate/table restructuring,field-level magnitude compare and decoded field mux before delta BDD,,,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap,float_fp8,ex244_ex244_field_compare_decode_extra_share_raw,ex244_field_compare_decode + extra_share + raw,student/frontend_campaigns/campaigns/frontend_source_parallel_round66_20260613_1050/agent_shards/sub-fp8-hypot-currentfact-r66/shared_structure_report.csv,,,,,,,,,,
ex244,sub-fp8-hypot-currentfact-r66,FP8 source predicate/table restructuring,field-level magnitude compare and decoded field mux before delta BDD,,,synth=abc_g_aig; post=raw; Yosys abc gate set aig,float_fp8,ex244_ex244_field_compare_decode_abc_g_aig_raw,ex244_field_compare_decode + abc_g_aig + raw,student/frontend_campaigns/campaigns/frontend_source_parallel_round66_20260613_1050/agent_shards/sub-fp8-hypot-currentfact-r66/shared_structure_report.csv,,,,,,,,,,
ex244,sub-fp8-hypot-currentfact-r66,FP8 source predicate/table restructuring,field-level magnitude compare and decoded field mux before delta BDD,,,synth=synth_preset; post=raw; Yosys synth -flatten then abc/aigmap,float_fp8,ex244_ex244_field_compare_decode_synth_preset_raw,ex244_field_compare_decode + synth_preset + raw,student/frontend_campaigns/campaigns/frontend_source_parallel_round66_20260613_1050/agent_shards/sub-fp8-hypot-currentfact-r66/shared_structure_report.csv,,,,,,,,,,
ex244,sub-fp8-hypot-currentfact-r66,FP8 source predicate/table restructuring,gate max-eff delta BDD key to zero outside small exponent gaps,,,synth=default; post=raw; project default proc/techmap/abc AND/aigmap,float_fp8,ex244_ex244_smallgap_key_gated_default_raw,ex244_smallgap_key_gated + default + raw,student/frontend_campaigns/campaigns/frontend_source_parallel_round66_20260613_1050/agent_shards/sub-fp8-hypot-currentfact-r66/shared_structure_report.csv,,,,,,,,,,
ex244,sub-fp8-hypot-currentfact-r66,FP8 source predicate/table restructuring,gate max-eff delta BDD key to zero outside small exponent gaps,,,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap,float_fp8,ex244_ex244_smallgap_key_gated_extra_share_raw,ex244_smallgap_key_gated + extra_share + raw,student/frontend_campaigns/campaigns/frontend_source_parallel_round66_20260613_1050/agent_shards/sub-fp8-hypot-currentfact-r66/shared_structure_report.csv,,,,,,,,,,
ex244,sub-fp8-hypot-currentfact-r66,FP8 source predicate/table restructuring,gate max-eff delta BDD key to zero outside small exponent gaps,,,synth=abc_g_aig; post=raw; Yosys abc gate set aig,float_fp8,ex244_ex244_smallgap_key_gated_abc_g_aig_raw,ex244_smallgap_key_gated + abc_g_aig + raw,student/frontend_campaigns/campaigns/frontend_source_parallel_round66_20260613_1050/agent_shards/sub-fp8-hypot-currentfact-r66/shared_structure_report.csv,,,,,,,,,,
ex244,sub-fp8-hypot-currentfact-r66,FP8 source predicate/table restructuring,gate max-eff delta BDD key to zero outside small exponent gaps,,,synth=synth_preset; post=raw; Yosys synth -flatten then abc/aigmap,float_fp8,ex244_ex244_smallgap_key_gated_synth_preset_raw,ex244_smallgap_key_gated + synth_preset + raw,student/frontend_campaigns/campaigns/frontend_source_parallel_round66_20260613_1050/agent_shards/sub-fp8-hypot-currentfact-r66/shared_structure_report.csv,,,,,,,,,,
ex244,sub-fp8-hypot-currentfact-r66,FP8 source predicate/table restructuring,field-level compare gated BDD key and constant increment tail,,,synth=default; post=raw; project default proc/techmap/abc AND/aigmap,float_fp8,ex244_ex244_field_key_gated_case_increment_default_raw,ex244_field_key_gated_case_increment + default + raw,student/frontend_campaigns/campaigns/frontend_source_parallel_round66_20260613_1050/agent_shards/sub-fp8-hypot-currentfact-r66/shared_structure_report.csv,,,,,,,,,,
ex244,sub-fp8-hypot-currentfact-r66,FP8 source predicate/table restructuring,field-level compare gated BDD key and constant increment tail,,,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap,float_fp8,ex244_ex244_field_key_gated_case_increment_extra_share_raw,ex244_field_key_gated_case_increment + extra_share + raw,student/frontend_campaigns/campaigns/frontend_source_parallel_round66_20260613_1050/agent_shards/sub-fp8-hypot-currentfact-r66/shared_structure_report.csv,,,,,,,,,,
