case,agent_id,hypothesis,method_signature,status,reason,evidence_path,next_action,domain,candidate_id,representation,shared_structure,verilog_path,aig_path,log_path,notes,shard_csv
ex246,sub-fp8-muldiv-currentfact-r66,E5M2FN multiply current product source factoring,ex246|E5M2FN packed multiply|current product source decode factoring|shared explicit sig_exp_product decode|yosys_rtl_official_evaluate|exact_e5m2fn_mul_high_times_low|decode_factored_product_mag|default,equivalent_but_no_frontend_gain,,,,float_fp8,ex246_r66_mul_current_decode_factored_default,current product table with explicit shared operand decode wires / default,"shared NaN, sign xor, sig3, effective exponent, product, and product_mag table",student/work/frontend_source_parallel_round66_20260613_1050/sub-fp8-muldiv-currentfact-r66/ex246/verilog/ex246_r66_mul_current_decode_factored.v,student/work/frontend_source_parallel_round66_20260613_1050/sub-fp8-muldiv-currentfact-r66/ex246/aigs/ex246_r66_mul_current_decode_factored_default.aig,student/work/frontend_source_parallel_round66_20260613_1050/sub-fp8-muldiv-currentfact-r66/ex246/logs/ex246_r66_mul_current_decode_factored_default.evaluate.py.log,official OK 355/24/8520; frontend_best_adp=6888; reference_adp=2805,student/frontend_campaigns/campaigns/frontend_source_parallel_round66_20260613_1050/agent_shards/sub-fp8-muldiv-currentfact-r66/failed_hypotheses.csv
ex246,sub-fp8-muldiv-currentfact-r66,E5M2FN multiply current product source factoring,ex246|E5M2FN packed multiply|current product source decode factoring|shared explicit sig_exp_product decode|yosys_rtl_official_evaluate|exact_e5m2fn_mul_high_times_low|decode_factored_product_mag|synth_preset_aig,equivalent_but_no_frontend_gain,,,,float_fp8,ex246_r66_mul_current_decode_factored_synth_preset_aig,current product table with explicit shared operand decode wires / synth_preset_aig,"shared NaN, sign xor, sig3, effective exponent, product, and product_mag table",student/work/frontend_source_parallel_round66_20260613_1050/sub-fp8-muldiv-currentfact-r66/ex246/verilog/ex246_r66_mul_current_decode_factored.v,student/work/frontend_source_parallel_round66_20260613_1050/sub-fp8-muldiv-currentfact-r66/ex246/aigs/ex246_r66_mul_current_decode_factored_synth_preset_aig.aig,student/work/frontend_source_parallel_round66_20260613_1050/sub-fp8-muldiv-currentfact-r66/ex246/logs/ex246_r66_mul_current_decode_factored_synth_preset_aig.evaluate.py.log,official OK 341/22/7502; frontend_best_adp=6888; reference_adp=2805,student/frontend_campaigns/campaigns/frontend_source_parallel_round66_20260613_1050/agent_shards/sub-fp8-muldiv-currentfact-r66/failed_hypotheses.csv
ex246,sub-fp8-muldiv-currentfact-r66,E5M2FN multiply current product source output grouping,ex246|E5M2FN packed multiply|current product source output grouping|shared product magnitude with grouped outputs|yosys_rtl_official_evaluate|exact_e5m2fn_mul_high_times_low|output_grouped_product_mag|default,equivalent_but_no_frontend_gain,,,,float_fp8,ex246_r66_mul_current_output_grouped_default,current product table with sign/magnitude output-bit grouping / default,shared product_mag result with separated NaN sign and magnitude output assignments,student/work/frontend_source_parallel_round66_20260613_1050/sub-fp8-muldiv-currentfact-r66/ex246/verilog/ex246_r66_mul_current_output_grouped.v,student/work/frontend_source_parallel_round66_20260613_1050/sub-fp8-muldiv-currentfact-r66/ex246/aigs/ex246_r66_mul_current_output_grouped_default.aig,student/work/frontend_source_parallel_round66_20260613_1050/sub-fp8-muldiv-currentfact-r66/ex246/logs/ex246_r66_mul_current_output_grouped_default.evaluate.py.log,official OK 356/24/8544; frontend_best_adp=6888; reference_adp=2805,student/frontend_campaigns/campaigns/frontend_source_parallel_round66_20260613_1050/agent_shards/sub-fp8-muldiv-currentfact-r66/failed_hypotheses.csv
ex246,sub-fp8-muldiv-currentfact-r66,E5M2FN multiply current product source output grouping,ex246|E5M2FN packed multiply|current product source output grouping|shared product magnitude with grouped outputs|yosys_rtl_official_evaluate|exact_e5m2fn_mul_high_times_low|output_grouped_product_mag|synth_preset_aig,equivalent_but_no_frontend_gain,,,,float_fp8,ex246_r66_mul_current_output_grouped_synth_preset_aig,current product table with sign/magnitude output-bit grouping / synth_preset_aig,shared product_mag result with separated NaN sign and magnitude output assignments,student/work/frontend_source_parallel_round66_20260613_1050/sub-fp8-muldiv-currentfact-r66/ex246/verilog/ex246_r66_mul_current_output_grouped.v,student/work/frontend_source_parallel_round66_20260613_1050/sub-fp8-muldiv-currentfact-r66/ex246/aigs/ex246_r66_mul_current_output_grouped_synth_preset_aig.aig,student/work/frontend_source_parallel_round66_20260613_1050/sub-fp8-muldiv-currentfact-r66/ex246/logs/ex246_r66_mul_current_output_grouped_synth_preset_aig.evaluate.py.log,official OK 343/23/7889; frontend_best_adp=6888; reference_adp=2805,student/frontend_campaigns/campaigns/frontend_source_parallel_round66_20260613_1050/agent_shards/sub-fp8-muldiv-currentfact-r66/failed_hypotheses.csv
ex247,sub-fp8-muldiv-currentfact-r66,E5M2FN division current boundary source branch ordering,ex247|E5M2FN packed low-over-high division|current boundary source branch ordering|shared denominator attrs and explicit priority mux|yosys_rtl_official_evaluate|exact_e5m2fn_div_low_over_high|branch_ordered_region_mux|default,equivalent_but_no_frontend_gain,,,,float_fp8,ex247_r66_div_current_branch_ordered_default,current bound_attr table with explicit denominator/zero/sat/low priority expression / default,"shared denominator-nested attr table, delta, low-pattern decoder, and branch-priority magnitude mux",student/work/frontend_source_parallel_round66_20260613_1050/sub-fp8-muldiv-currentfact-r66/ex247/verilog/ex247_r66_div_current_branch_ordered.v,student/work/frontend_source_parallel_round66_20260613_1050/sub-fp8-muldiv-currentfact-r66/ex247/aigs/ex247_r66_div_current_branch_ordered_default.aig,student/work/frontend_source_parallel_round66_20260613_1050/sub-fp8-muldiv-currentfact-r66/ex247/logs/ex247_r66_div_current_branch_ordered_default.evaluate.py.log,official OK 379/26/9854; frontend_best_adp=7291; reference_adp=2975,student/frontend_campaigns/campaigns/frontend_source_parallel_round66_20260613_1050/agent_shards/sub-fp8-muldiv-currentfact-r66/failed_hypotheses.csv
ex247,sub-fp8-muldiv-currentfact-r66,E5M2FN division current boundary source branch ordering,ex247|E5M2FN packed low-over-high division|current boundary source branch ordering|shared denominator attrs and explicit priority mux|yosys_rtl_official_evaluate|exact_e5m2fn_div_low_over_high|branch_ordered_region_mux|synth_preset_aig,equivalent_but_no_frontend_gain,,,,float_fp8,ex247_r66_div_current_branch_ordered_synth_preset_aig,current bound_attr table with explicit denominator/zero/sat/low priority expression / synth_preset_aig,"shared denominator-nested attr table, delta, low-pattern decoder, and branch-priority magnitude mux",student/work/frontend_source_parallel_round66_20260613_1050/sub-fp8-muldiv-currentfact-r66/ex247/verilog/ex247_r66_div_current_branch_ordered.v,student/work/frontend_source_parallel_round66_20260613_1050/sub-fp8-muldiv-currentfact-r66/ex247/aigs/ex247_r66_div_current_branch_ordered_synth_preset_aig.aig,student/work/frontend_source_parallel_round66_20260613_1050/sub-fp8-muldiv-currentfact-r66/ex247/logs/ex247_r66_div_current_branch_ordered_synth_preset_aig.evaluate.py.log,official OK 369/26/9594; frontend_best_adp=7291; reference_adp=2975,student/frontend_campaigns/campaigns/frontend_source_parallel_round66_20260613_1050/agent_shards/sub-fp8-muldiv-currentfact-r66/failed_hypotheses.csv
ex247,sub-fp8-muldiv-currentfact-r66,E5M2FN division current boundary source output grouping,ex247|E5M2FN packed low-over-high division|current boundary source output grouping|shared denominator attrs with grouped outputs|yosys_rtl_official_evaluate|exact_e5m2fn_div_low_over_high|output_grouped_region_mux|default,equivalent_but_no_frontend_gain,,,,float_fp8,ex247_r66_div_current_output_grouped_default,current bound_attr table with sign/magnitude output-bit grouping / default,shared boundary magnitude mux with separated invalid/sign/magnitude output assignments,student/work/frontend_source_parallel_round66_20260613_1050/sub-fp8-muldiv-currentfact-r66/ex247/verilog/ex247_r66_div_current_output_grouped.v,student/work/frontend_source_parallel_round66_20260613_1050/sub-fp8-muldiv-currentfact-r66/ex247/aigs/ex247_r66_div_current_output_grouped_default.aig,student/work/frontend_source_parallel_round66_20260613_1050/sub-fp8-muldiv-currentfact-r66/ex247/logs/ex247_r66_div_current_output_grouped_default.evaluate.py.log,official OK 376/26/9776; frontend_best_adp=7291; reference_adp=2975,student/frontend_campaigns/campaigns/frontend_source_parallel_round66_20260613_1050/agent_shards/sub-fp8-muldiv-currentfact-r66/failed_hypotheses.csv
ex247,sub-fp8-muldiv-currentfact-r66,E5M2FN division current boundary source output grouping,ex247|E5M2FN packed low-over-high division|current boundary source output grouping|shared denominator attrs with grouped outputs|yosys_rtl_official_evaluate|exact_e5m2fn_div_low_over_high|output_grouped_region_mux|synth_preset_aig,equivalent_but_no_frontend_gain,,,,float_fp8,ex247_r66_div_current_output_grouped_synth_preset_aig,current bound_attr table with sign/magnitude output-bit grouping / synth_preset_aig,shared boundary magnitude mux with separated invalid/sign/magnitude output assignments,student/work/frontend_source_parallel_round66_20260613_1050/sub-fp8-muldiv-currentfact-r66/ex247/verilog/ex247_r66_div_current_output_grouped.v,student/work/frontend_source_parallel_round66_20260613_1050/sub-fp8-muldiv-currentfact-r66/ex247/aigs/ex247_r66_div_current_output_grouped_synth_preset_aig.aig,student/work/frontend_source_parallel_round66_20260613_1050/sub-fp8-muldiv-currentfact-r66/ex247/logs/ex247_r66_div_current_output_grouped_synth_preset_aig.evaluate.py.log,official OK 369/27/9963; frontend_best_adp=7291; reference_adp=2975,student/frontend_campaigns/campaigns/frontend_source_parallel_round66_20260613_1050/agent_shards/sub-fp8-muldiv-currentfact-r66/failed_hypotheses.csv
ex285,sub-unk285-treefact-r66,hamming_weight_preserving_lossy_routing_normalizer,ex285|hamming_weight_preserving_lossy_routing_normalizer|paircount_original_order_tree|current_decision-tree_prefix_plus_shared_p45/p67_exact_pair-count_predicates|yosys_internal_abc_g_and|official_evaluate|full_word,equivalent_but_no_frontend_improvement,ADP 13396 does not beat current frontend ADP 11033,student/work/frontend_source_parallel_round66_20260613_1050/sub-unk285-treefact-r66/ex285/logs/ex285_r66_paircount_original_order_tree_abc_g_and.evaluate.py.log,,unknown,,,,student/work/frontend_source_parallel_round66_20260613_1050/sub-unk285-treefact-r66/ex285/verilog/ex285_r66_paircount_original_order_tree.v,,,do not repeat unchanged; pair/layer tree factoring did not close the gap,student/frontend_campaigns/campaigns/frontend_source_parallel_round66_20260613_1050/agent_shards/sub-unk285-treefact-r66/failed_hypotheses.csv
ex285,sub-unk285-treefact-r66,hamming_weight_preserving_lossy_routing_normalizer,ex285|hamming_weight_preserving_lossy_routing_normalizer|paircount_original_order_tree|current_decision-tree_prefix_plus_shared_p45/p67_exact_pair-count_predicates|yosys_internal_abc_g_aig|official_evaluate|full_word,equivalent_but_no_frontend_improvement,ADP 13277 does not beat current frontend ADP 11033,student/work/frontend_source_parallel_round66_20260613_1050/sub-unk285-treefact-r66/ex285/logs/ex285_r66_paircount_original_order_tree_abc_g_aig.evaluate.py.log,,unknown,,,,student/work/frontend_source_parallel_round66_20260613_1050/sub-unk285-treefact-r66/ex285/verilog/ex285_r66_paircount_original_order_tree.v,,,do not repeat unchanged; pair/layer tree factoring did not close the gap,student/frontend_campaigns/campaigns/frontend_source_parallel_round66_20260613_1050/agent_shards/sub-unk285-treefact-r66/failed_hypotheses.csv
