case,domain,candidate_id,shared_structures,sharing_strategy,estimated_benefit,agent_id,run_id,notes
ex200,bf16,ex200_bf16_exp_semantic_exp_active_mant_cases,shared_fp_field_decode_and_selected_residual,,,,ex200_ex299_frontend_refgap_round10_20260612_1911,truth table equals DAZ + exp + BF16 RNE + FTZ; semantic active-exponent full mantissa cases=3840; exact over 65536 inputs; official evaluate.py OK
ex200,bf16,ex200_bf16_exp_semantic_exp_delta_add,shared_fp_field_decode_and_selected_residual,,,,ex200_ex299_frontend_refgap_round10_20260612_1911,truth table equals DAZ + exp + BF16 RNE + FTZ; semantic base plus delta table items=3863; exact over 65536 inputs; official evaluate.py OK
ex204,bf16,ex204_bf16_log2_log2_arithbase_delta_hilo3_formula_bits_11_14,shared_fp_field_decode_and_selected_residual,,,,ex200_ex299_frontend_refgap_round10_20260612_1911,log2 arithmetic base delta_mode=hilo3 items=8591 bit_overrides= bit_items=0; formula bit overrides bits=11_14 bit_items=2; official evaluate.py OK
ex204,bf16,ex204_bf16_log2_log2_arithbase_delta_hilo4_formulaeq_bits_11_14,shared_fp_field_decode_and_selected_residual,,,,ex200_ex299_frontend_refgap_round10_20260612_1911,log2 arithmetic base delta_mode=hilo4 items=7177 bit_overrides= bit_items=0; formula bit overrides bits=11_14 bit_items=2; official evaluate.py OK
ex205,bf16,ex205_bf16_log10_log10_exp_base_delta_hilo3,shared_fp_field_decode_and_selected_residual,,,,ex200_ex299_frontend_refgap_round10_20260612_1911,log10 positive exponent base xor mantissa delta_mode=hilo3 items=7880; official evaluate.py OK
ex205,bf16,ex205_bf16_log10_log10_exp_runs_mant_sep_m4,shared_fp_field_decode_and_selected_residual,,,,ex200_ex299_frontend_refgap_round10_20260612_1911,log10 positive exp range runs plus mant sep mhi=4 exp_items=194 items=7582; official evaluate.py OK
ex223,fp16,ex223_log_nested_low13_hi5_abc_g_aig,shared_special_sign_exp_decode_and_mantissa_groups,,,,ex200_ex299_frontend_refgap_round10_20260612_1911,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=13; nested_hi=5; nested_lo=5; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26; official evaluate.py OK"
ex223,fp16,ex223_log_nested_low14_hi4_abc_g_aig,shared_special_sign_exp_decode_and_mantissa_groups,,,,ex200_ex299_frontend_refgap_round10_20260612_1911,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=14; nested_hi=4; nested_lo=6; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; official evaluate.py OK"
ex224,fp16,ex224_log_nested_low13_hi5_abc_g_aig,shared_special_sign_exp_decode_and_mantissa_groups,,,,ex200_ex299_frontend_refgap_round10_20260612_1911,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=13; nested_hi=5; nested_lo=5; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=31,max=2,const=29; b13:runs=33,max=2,const=27; official evaluate.py OK"
ex224,fp16,ex224_log_nested_low14_hi4_abc_g_aig,shared_special_sign_exp_decode_and_mantissa_groups,,,,ex200_ex299_frontend_refgap_round10_20260612_1911,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=14; nested_hi=4; nested_lo=6; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=31,max=2,const=29; official evaluate.py OK"
ex225,fp16,ex225_log_nested_low13_hi5_abc_g_aig,shared_special_sign_exp_decode_and_mantissa_groups,,,,ex200_ex299_frontend_refgap_round10_20260612_1911,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=13; nested_hi=5; nested_lo=5; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26; official evaluate.py OK"
ex225,fp16,ex225_log_nested_low14_hi4_abc_g_aig,shared_special_sign_exp_decode_and_mantissa_groups,,,,ex200_ex299_frontend_refgap_round10_20260612_1911,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=14; nested_hi=4; nested_lo=6; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; official evaluate.py OK"
ex244,float_fp8,,,shared max/min decode and packed min-sig thresholds per max-eff/gap/max-sig,latest 410/42/17220,fp8-r10,ex200_ex299_frontend_refgap_round10_20260612_1911,flows=synth_preset_aig
ex246,float_fp8,,,shared sign xor exponent-sum significand-product decode and region predicates,latest 334/32/10688,fp8-r10,ex200_ex299_frontend_refgap_round10_20260612_1911,flows=synth_preset_aig;abc_g_aig
ex247,float_fp8,,,"shared denominator/numerator decode, exponent-delta boundary predicates, and region output masks",latest 364/23/8372,fp8-r10,ex200_ex299_frontend_refgap_round10_20260612_1911,flows=synth_preset_aig;abc_g_aig
ex249,float_fp8,,,shared raw exponent/significand decode and predicate-level delta bits,pending,fp8-r10,ex200_ex299_frontend_refgap_round10_20260612_1911,flows=synth_preset_aig;abc_g_aig
ex253,float_fp8,,,shared nibble popcount function and count-pair output table,pending,fp8-r10,ex200_ex299_frontend_refgap_round10_20260612_1911,flows=synth_preset_aig;abc_g_aig
ex260,integer,ex260_smul_signcorr_core_wallace_abc_g_aig,shared_partial_products_and_final_carry,,,,ex200_ex299_frontend_refgap_round10_20260612_1911,exact signed low4 * signed high4 over 256 inputs; source=signcorr_core_wallace; flow=abc_g_aig; official evaluate.py OK
ex260,integer,ex260_smul_signed_correction_csa_cla_abc_g_aig,shared_partial_products_and_final_carry,,,,ex200_ex299_frontend_refgap_round10_20260612_1911,exact signed low4 * signed high4 over 256 inputs; source=signed_correction_csa_cla; flow=abc_g_aig; official evaluate.py OK
ex281,unknown,ex281_r10_kept_gf2_monomial_bank_abc_g_aig,prefix-parity key; full-clamp mux coordinates; kept rt linear forms; kept rp root products,preserve shared GF(2)/ANF monomial bank across grouped outputs before abc_g_aig,low,unknown-gf-r10,ex200_ex299_frontend_refgap_round10_20260612_1911,official equivalent; delay improved to 29 but ADP 5481 is worse than current frontend 3328
ex282,unknown,ex282_r10_kept_gf2_monomial_bank_abc_g_aig,prefix-parity key; full-clamp mux coordinates; kept rt linear forms; kept rp root products,preserve shared GF(2)/ANF monomial bank across grouped outputs before abc_g_aig,low,unknown-gf-r10,ex200_ex299_frontend_refgap_round10_20260612_1911,official equivalent; ADP 4992 is worse than current frontend 4032
ex283,unknown,ex283_r10_kept_gf2_monomial_bank_abc_g_aig,prefix-parity key; full-clamp mux coordinates; kept rt linear forms; kept rp root products,preserve shared GF(2)/ANF monomial bank across grouped outputs before abc_g_aig,low,unknown-gf-r10,ex200_ex299_frontend_refgap_round10_20260612_1911,official equivalent; delay improved to 30 but ADP 5220 is worse than current frontend 4500
ex285,unknown,ex285_r10_lane_component_bdd_abc_g_aig,,single BDD node pool with mod4 lane-ordered input variables,,,ex200_ex299_frontend_refgap_round10_20260612_1911,BDD nodes=945; order=0-4-8-1-5-9-2-6-10-3-7-11
ex285,unknown,ex285_r10_mod8_anf_residual_bdd_abc_g_aig,,shared mod8 output-linear ANF monomial bank plus residual BDD outputs,,,ex200_ex299_frontend_refgap_round10_20260612_1911,BDD nodes=454; unique_monomials=520; total_parity_terms=1396; residual_order=0-11-1-10-2-9-3-8-4-7-5-6
ex286,unknown,ex286_r10_lane_component_bdd_abc_g_aig,,single BDD node pool with mod4 lane-ordered input variables,,,ex200_ex299_frontend_refgap_round10_20260612_1911,BDD nodes=3124; order=0-4-8-12-1-5-9-2-6-10-3-7-11
ex286,unknown,ex286_r10_mod8_anf_residual_bdd_abc_g_aig,,shared mod8 output-linear ANF monomial bank plus residual BDD outputs,,,ex200_ex299_frontend_refgap_round10_20260612_1911,BDD nodes=696; unique_monomials=568; total_parity_terms=1762; residual_order=0-12-1-11-2-10-3-9-4-8-5-7-6
ex286,unknown,,component-pair-count encoded output-linear ANF basis,share low-degree output coordinates if a complete basis is found,blocked: partial basis only,coordinator-paircount-anf,ex200_ex299_frontend_refgap_round10_20260612_1911,semantic clue recorded; no Verilog emitted
ex287,unknown,ex287_r10_lane_component_bdd_abc_g_aig,,single BDD node pool with mod4 lane-ordered input variables,,,ex200_ex299_frontend_refgap_round10_20260612_1911,BDD nodes=4928; order=0-4-8-12-1-5-9-13-2-6-10-3-7-11
ex287,unknown,ex287_r10_mod8_anf_residual_bdd_abc_g_aig,,shared mod8 output-linear ANF monomial bank plus residual BDD outputs,,,ex200_ex299_frontend_refgap_round10_20260612_1911,BDD nodes=893; unique_monomials=641; total_parity_terms=2356; residual_order=0-13-1-12-2-11-3-10-4-9-5-8-6-7
ex287,unknown,,component-pair-count encoded output-linear ANF basis,share low-degree output coordinates if a complete basis is found,blocked: partial basis only,coordinator-paircount-anf,ex200_ex299_frontend_refgap_round10_20260612_1911,semantic clue recorded; no Verilog emitted
ex288,unknown,ex288_r10_lane_component_bdd_abc_g_aig,,single BDD node pool with mod4 lane-ordered input variables,,,ex200_ex299_frontend_refgap_round10_20260612_1911,BDD nodes=4678; order=0-4-8-12-1-5-9-13-2-6-10-14-3-7-11
ex288,unknown,ex288_r10_mod8_anf_residual_bdd_abc_g_aig,,shared mod8 output-linear ANF monomial bank plus residual BDD outputs,,,ex200_ex299_frontend_refgap_round10_20260612_1911,BDD nodes=965; unique_monomials=824; total_parity_terms=3278; residual_order=0-14-1-13-2-12-3-11-4-10-5-9-6-8-7
ex289,unknown,ex289_r10_lane_component_bdd_abc_g_aig,,single BDD node pool with mod4 lane-ordered input variables,,,ex200_ex299_frontend_refgap_round10_20260612_1911,BDD nodes=5343; order=0-4-8-12-1-5-9-13-2-6-10-14-3-7-11-15
