case,candidate_id,simulator,status,log_path,agent_id,run_id,notes
ex286,ex286_r10_lane_component_bdd_abc_g_aig,,,,,ex200_ex299_frontend_refgap_round10_20260612_1911,
ex286,ex286_r10_mod8_anf_residual_bdd_abc_g_aig,,,,,ex200_ex299_frontend_refgap_round10_20260612_1911,
ex287,ex287_r10_lane_component_bdd_abc_g_aig,,,,,ex200_ex299_frontend_refgap_round10_20260612_1911,
ex287,ex287_r10_mod8_anf_residual_bdd_abc_g_aig,,,,,ex200_ex299_frontend_refgap_round10_20260612_1911,
ex285,ex285_r10_lane_component_bdd_abc_g_aig,,,,,ex200_ex299_frontend_refgap_round10_20260612_1911,
ex285,ex285_r10_mod8_anf_residual_bdd_abc_g_aig,,,,,ex200_ex299_frontend_refgap_round10_20260612_1911,
ex288,ex288_r10_lane_component_bdd_abc_g_aig,,,,,ex200_ex299_frontend_refgap_round10_20260612_1911,
ex288,ex288_r10_mod8_anf_residual_bdd_abc_g_aig,,,,,ex200_ex299_frontend_refgap_round10_20260612_1911,
ex289,ex289_r10_lane_component_bdd_abc_g_aig,,,,,ex200_ex299_frontend_refgap_round10_20260612_1911,
ex289,ex289_r10_mod8_anf_residual_bdd_abc_g_aig,,,,,ex200_ex299_frontend_refgap_round10_20260612_1911,
ex200,ex200_bf16_exp_semantic_exp_delta_add,,,,,ex200_ex299_frontend_refgap_round10_20260612_1911,iverilog not used; official evaluate.py is recorded
ex200,ex200_bf16_exp_semantic_exp_active_mant_cases,,,,,ex200_ex299_frontend_refgap_round10_20260612_1911,iverilog not used; official evaluate.py is recorded
ex204,ex204_bf16_log2_log2_arithbase_delta_hilo3_formula_bits_11_14,,,,,ex200_ex299_frontend_refgap_round10_20260612_1911,iverilog not used; official evaluate.py is recorded
ex204,ex204_bf16_log2_log2_arithbase_delta_hilo4_formulaeq_bits_11_14,,,,,ex200_ex299_frontend_refgap_round10_20260612_1911,iverilog not used; official evaluate.py is recorded
ex205,ex205_bf16_log10_log10_exp_base_delta_hilo3,,,,,ex200_ex299_frontend_refgap_round10_20260612_1911,iverilog not used; official evaluate.py is recorded
ex205,ex205_bf16_log10_log10_exp_runs_mant_sep_m4,,,,,ex200_ex299_frontend_refgap_round10_20260612_1911,iverilog not used; official evaluate.py is recorded
ex223,ex223_log_nested_low14_hi4_abc_g_aig,,,,,ex200_ex299_frontend_refgap_round10_20260612_1911,iverilog not used; official evaluate.py is recorded
ex223,ex223_log_nested_low13_hi5_abc_g_aig,,,,,ex200_ex299_frontend_refgap_round10_20260612_1911,iverilog not used; official evaluate.py is recorded
ex224,ex224_log_nested_low14_hi4_abc_g_aig,,,,,ex200_ex299_frontend_refgap_round10_20260612_1911,iverilog not used; official evaluate.py is recorded
ex224,ex224_log_nested_low13_hi5_abc_g_aig,,,,,ex200_ex299_frontend_refgap_round10_20260612_1911,iverilog not used; official evaluate.py is recorded
ex225,ex225_log_nested_low14_hi4_abc_g_aig,,,,,ex200_ex299_frontend_refgap_round10_20260612_1911,iverilog not used; official evaluate.py is recorded
ex225,ex225_log_nested_low13_hi5_abc_g_aig,,,,,ex200_ex299_frontend_refgap_round10_20260612_1911,iverilog not used; official evaluate.py is recorded
ex260,ex260_smul_signcorr_core_wallace_abc_g_aig,,,,,ex200_ex299_frontend_refgap_round10_20260612_1911,iverilog not used; official evaluate.py is recorded
ex260,ex260_smul_signed_correction_csa_cla_abc_g_aig,,,,,ex200_ex299_frontend_refgap_round10_20260612_1911,iverilog not used; official evaluate.py is recorded
ex297,ex297_r10_symbol_plane_split_abc_g_aig,python_exhaustive_model,PASS,,unknown-state-r10,ex200_ex299_frontend_refgap_round10_20260612_1911,official evaluate.py OK; exhaustive Python model matches truth table; synth_log=student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/unknown-state-r10/ex297/logs/ex297_r10_symbol_plane_split_abc_g_aig.yosys.log
ex297,ex297_r10_cell_outside_in_shared_bdd_abc_g_aig,python_exhaustive_model,PASS,,unknown-state-r10,ex200_ex299_frontend_refgap_round10_20260612_1911,official evaluate.py OK; exhaustive Python model matches truth table; synth_log=student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/unknown-state-r10/ex297/logs/ex297_r10_cell_outside_in_shared_bdd_abc_g_aig.yosys.log
ex299,ex299_r10_symbol_plane_split_abc_g_aig,python_exhaustive_model,PASS,,unknown-state-r10,ex200_ex299_frontend_refgap_round10_20260612_1911,official evaluate.py OK; exhaustive Python model matches truth table; synth_log=student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/unknown-state-r10/ex299/logs/ex299_r10_symbol_plane_split_abc_g_aig.yosys.log
ex299,ex299_r10_cell_outside_in_shared_bdd_abc_g_aig,python_exhaustive_model,PASS,,unknown-state-r10,ex200_ex299_frontend_refgap_round10_20260612_1911,official evaluate.py OK; exhaustive Python model matches truth table; synth_log=student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/unknown-state-r10/ex299/logs/ex299_r10_cell_outside_in_shared_bdd_abc_g_aig.yosys.log
ex295,ex295_r10_symbol_plane_split_abc_g_aig,python_exhaustive_model,PASS,,unknown-state-r10,ex200_ex299_frontend_refgap_round10_20260612_1911,official evaluate.py OK; exhaustive Python model matches truth table; synth_log=student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/unknown-state-r10/ex295/logs/ex295_r10_symbol_plane_split_abc_g_aig.yosys.log
ex295,ex295_r10_cell_outside_in_shared_bdd_abc_g_aig,python_exhaustive_model,PASS,,unknown-state-r10,ex200_ex299_frontend_refgap_round10_20260612_1911,official evaluate.py OK; exhaustive Python model matches truth table; synth_log=student/work/ex200_ex299_frontend_refgap_round10_20260612_1911/unknown-state-r10/ex295/logs/ex295_r10_cell_outside_in_shared_bdd_abc_g_aig.yosys.log
