round,run_id,agent_id,case,candidate_id,hypothesis,representation,sharing_strategy,shared_structure,estimated_shared_terms,notes,shard_csv,status,area,delay,adp,frontend_adp,current_adp,reference_adp,improves_frontend,beats_current,beats_reference,verilog_path,aig_path,eval_log,family,output_grouping,source_basis
,frontend_source_parallel_round78_20260613_1744,sub-fp16-int-enum-r78,ex223,ex223_r78_low12_split_no_keep_abc_g_aig,fp16_log,nested_log_boundary_low12_hi15_to_12,high-vs-low grouped output assigns with no extra keep,"special/default table, positive-normal high-run bundle, nested low LUT",source-boundary enum only,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=12; nested_hi=5; nested_lo=5; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26; b12:runs=37,max=4,const=26",student/frontend_campaigns/campaigns/frontend_source_parallel_round78_20260613_1744/agent_shards/sub-fp16-int-enum-r78/shared_structure_report.csv,,,,,,,,,,,,,,,,
,frontend_source_parallel_round78_20260613_1744,sub-fp16-int-enum-r78,ex223,ex223_r78_low12_split_keep_decode_abc_g_aig,fp16_log,nested_log_boundary_low12_hi15_to_12,high-vs-low grouped output assigns plus kept sign_exp/mant/active decode,"special/default table, positive-normal high-run bundle, nested low LUT",source-boundary enum only,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=12; nested_hi=5; nested_lo=5; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26; b12:runs=37,max=4,const=26",student/frontend_campaigns/campaigns/frontend_source_parallel_round78_20260613_1744/agent_shards/sub-fp16-int-enum-r78/shared_structure_report.csv,,,,,,,,,,,,,,,,
,frontend_source_parallel_round78_20260613_1744,sub-fp16-int-enum-r78,ex223,ex223_r78_low12_split_keep_highrun_abc_g_aig,fp16_log,nested_log_boundary_low12_hi15_to_12,high-vs-low output boundary plus kept high-run output registers,"special/default table, positive-normal high-run bundle, nested low LUT",source-boundary enum only,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=12; nested_hi=5; nested_lo=5; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26; b12:runs=37,max=4,const=26",student/frontend_campaigns/campaigns/frontend_source_parallel_round78_20260613_1744/agent_shards/sub-fp16-int-enum-r78/shared_structure_report.csv,,,,,,,,,,,,,,,,
,frontend_source_parallel_round78_20260613_1744,sub-fp16-int-enum-r78,ex223,ex223_r78_low12_pred_helper_split_abc_g_aig,fp16_log,nested_log_boundary_low12_hi15_to_12,positive-normal helper module plus grouped high-vs-low output assigns,"special/default table, positive-normal high-run bundle, nested low LUT",source-boundary enum only,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=12; nested_hi=5; nested_lo=5; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26; b12:runs=37,max=4,const=26",student/frontend_campaigns/campaigns/frontend_source_parallel_round78_20260613_1744/agent_shards/sub-fp16-int-enum-r78/shared_structure_report.csv,,,,,,,,,,,,,,,,
,frontend_source_parallel_round78_20260613_1744,sub-fp16-int-enum-r78,ex223,ex223_r78_low13_split_no_keep_abc_g_aig,fp16_log,nested_log_boundary_low13_hi15_to_13,high-vs-low grouped output assigns with no extra keep,"special/default table, positive-normal high-run bundle, nested low LUT",source-boundary enum only,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=13; nested_hi=5; nested_lo=5; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26",student/frontend_campaigns/campaigns/frontend_source_parallel_round78_20260613_1744/agent_shards/sub-fp16-int-enum-r78/shared_structure_report.csv,,,,,,,,,,,,,,,,
,frontend_source_parallel_round78_20260613_1744,sub-fp16-int-enum-r78,ex223,ex223_r78_low13_split_keep_decode_abc_g_aig,fp16_log,nested_log_boundary_low13_hi15_to_13,high-vs-low grouped output assigns plus kept sign_exp/mant/active decode,"special/default table, positive-normal high-run bundle, nested low LUT",source-boundary enum only,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=13; nested_hi=5; nested_lo=5; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26",student/frontend_campaigns/campaigns/frontend_source_parallel_round78_20260613_1744/agent_shards/sub-fp16-int-enum-r78/shared_structure_report.csv,,,,,,,,,,,,,,,,
,frontend_source_parallel_round78_20260613_1744,sub-fp16-int-enum-r78,ex223,ex223_r78_low13_split_keep_highrun_abc_g_aig,fp16_log,nested_log_boundary_low13_hi15_to_13,high-vs-low output boundary plus kept high-run output registers,"special/default table, positive-normal high-run bundle, nested low LUT",source-boundary enum only,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=13; nested_hi=5; nested_lo=5; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26",student/frontend_campaigns/campaigns/frontend_source_parallel_round78_20260613_1744/agent_shards/sub-fp16-int-enum-r78/shared_structure_report.csv,,,,,,,,,,,,,,,,
,frontend_source_parallel_round78_20260613_1744,sub-fp16-int-enum-r78,ex223,ex223_r78_low13_pred_helper_split_abc_g_aig,fp16_log,nested_log_boundary_low13_hi15_to_13,positive-normal helper module plus grouped high-vs-low output assigns,"special/default table, positive-normal high-run bundle, nested low LUT",source-boundary enum only,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=13; nested_hi=5; nested_lo=5; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26",student/frontend_campaigns/campaigns/frontend_source_parallel_round78_20260613_1744/agent_shards/sub-fp16-int-enum-r78/shared_structure_report.csv,,,,,,,,,,,,,,,,
,frontend_source_parallel_round78_20260613_1744,sub-fp16-int-enum-r78,ex223,ex223_r78_low11_split_no_keep_abc_g_aig,fp16_log,nested_log_boundary_low11_hi15_to_11,high-vs-low grouped output assigns with no extra keep,"special/default table, positive-normal high-run bundle, nested low LUT",source-boundary enum only,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=11; nested_hi=5; nested_lo=5; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26; b12:runs=37,max=4,const=26; b11:runs=44,max=6,const=24",student/frontend_campaigns/campaigns/frontend_source_parallel_round78_20260613_1744/agent_shards/sub-fp16-int-enum-r78/shared_structure_report.csv,,,,,,,,,,,,,,,,
,frontend_source_parallel_round78_20260613_1744,sub-fp16-int-enum-r78,ex223,ex223_r78_low11_split_keep_decode_abc_g_aig,fp16_log,nested_log_boundary_low11_hi15_to_11,high-vs-low grouped output assigns plus kept sign_exp/mant/active decode,"special/default table, positive-normal high-run bundle, nested low LUT",source-boundary enum only,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=11; nested_hi=5; nested_lo=5; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26; b12:runs=37,max=4,const=26; b11:runs=44,max=6,const=24",student/frontend_campaigns/campaigns/frontend_source_parallel_round78_20260613_1744/agent_shards/sub-fp16-int-enum-r78/shared_structure_report.csv,,,,,,,,,,,,,,,,
