round,run_id,agent_id,case,domain,candidate_id,family,hypothesis,representation,sharing_strategy,shared_structure,synth_flow,method_signature,verilog_path,aig_path,log_path,evaluate_log,official_log,official_status,equivalent,verified_truth,simulation_pass,area,delay,adp,reference_adp,current_adp,current_target_adp,frontend_best_adp,beats_current,beats_frontend,beats_reference,beats_overall_current,notes,shard_csv,adp_delta_vs_current,adp_delta_vs_frontend,variant,official_output_dir
round73,,sub-fp16-int-r73,ex223,fp16,ex223_r73_segword_hi8_lo2_abc_g_aig,fp16_fullword_segment_table,FP16 log/log10 positive-normal exact source segmentation,mantissa hi8 plus low2 full-word segment table,,shared sign-exp special decode and full-word segment muxing,abc_g_aig,ex223|fp16_log_round73_fullword_segment|hi8_lo2_word_segments|shared_special_decode_fullword_segment_mux|yosys_abc_g_aig|abc_xf_official_evaluate|r73_segword_hi8_lo2,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp16-int-r73/ex223/verilog/ex223_r73_segword_hi8_lo2.v,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp16-int-r73/ex223/aigs/ex223_r73_segword_hi8_lo2_abc_g_aig.aig,,,student/runs/fp16/frontend_source_parallel_round73_20260613_1404/sub-fp16-int-r73/ex223/official_eval/ex223_r73_segword_hi8_lo2_abc_g_aig.evaluate.py.log,OK,1,,,15063,19,286197,120549,189468,,203756,0,0,0,,special_const_groups=33;special_full_groups=1;special_items=1057;fullword_segments=7680;const_segments=2830;segment_entries=22230,student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1404/agent_shards/sub-fp16-int-r73/candidates.csv,96729,82441,,
round73,,sub-fp16-int-r73,ex223,fp16,ex223_r73_wordrun_threshold_tree_abc_g_aig,fp16_wordrun_threshold_tree,FP16 log/log10 exact monotone run threshold compression,balanced per-exponent mantissa run-threshold tree returning full output word,,shared sign-exp special decode and per-exponent balanced threshold functions,abc_g_aig,ex223|fp16_log_round73_wordrun_threshold_tree|balanced_fullword_mantissa_run_thresholds|shared_special_decode_per_exp_threshold_functions|yosys_abc_g_aig|abc_xf_official_evaluate|r73_wordrun_threshold_tree,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp16-int-r73/ex223/verilog/ex223_r73_wordrun_threshold_tree.v,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp16-int-r73/ex223/aigs/ex223_r73_wordrun_threshold_tree_abc_g_aig.aig,,,student/runs/fp16/frontend_source_parallel_round73_20260613_1404/sub-fp16-int-r73/ex223/official_eval/ex223_r73_wordrun_threshold_tree_abc_g_aig.evaluate.py.log,OK,1,,,19173,29,556017,120549,189468,,203756,0,0,0,,special_const_groups=33;special_full_groups=1;special_items=1057;word_runs_total=9736;word_runs_max=1024;word_runs_min=89,student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1404/agent_shards/sub-fp16-int-r73/candidates.csv,366549,352261,,
round73,,sub-fp16-int-r73,ex225,fp16,ex225_r73_segword_hi8_lo2_abc_g_aig,fp16_fullword_segment_table,FP16 log/log10 positive-normal exact source segmentation,mantissa hi8 plus low2 full-word segment table,,shared sign-exp special decode and full-word segment muxing,abc_g_aig,ex225|fp16_log_round73_fullword_segment|hi8_lo2_word_segments|shared_special_decode_fullword_segment_mux|yosys_abc_g_aig|abc_xf_official_evaluate|r73_segword_hi8_lo2,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp16-int-r73/ex225/verilog/ex225_r73_segword_hi8_lo2.v,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp16-int-r73/ex225/aigs/ex225_r73_segword_hi8_lo2_abc_g_aig.aig,,,student/runs/fp16/frontend_source_parallel_round73_20260613_1404/sub-fp16-int-r73/ex225/official_eval/ex225_r73_segword_hi8_lo2_abc_g_aig.evaluate.py.log,OK,1,,,16969,20,339380,116676,205656,,218728,0,0,0,,special_const_groups=33;special_full_groups=1;special_items=1057;fullword_segments=7680;const_segments=2772;segment_entries=22404,student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1404/agent_shards/sub-fp16-int-r73/candidates.csv,133724,120652,,
,,sub-fp8-addhyp-r73,ex240,float_fp8,ex240_r73_aligner_lowcluster_corr,,E4M3FN packed add,shared normalize aligner plus exact low-cluster correction table,shared sorted E4 decode; high magnitude cluster selected first; only low cluster is corrected from the high-cluster context,"sorted operand decode, active same/diff aligner state, high cluster reuse, low cluster correction",repo_yosys_frontend_default,ex240|E4M3FN packed add|shared normalize aligner plus exact low-cluster correction table|shared sorted E4 decode; high magnitude cluster selected first; only low cluster is corrected from the high-cluster context|repo_yosys_frontend_default|official_evaluate|aligner_lowcluster_correction,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex240/verilog/ex240_r73_aligner_lowcluster_corr.v,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex240/aigs/ex240_r73_aligner_lowcluster_corr.aig,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex240/logs/ex240_r73_aligner_lowcluster_corr.yosys.log,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex240/logs/ex240_r73_aligner_lowcluster_corr.evaluate.py.log,,,1,1,not_run,6869,49,336581,13299,,,,,0,0,0,round73 official evaluate.py OK; synth_sec=37.983; eval_sec=1.138; frontend_best=26230; current=21046; reference=13299,student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1404/agent_shards/sub-fp8-addhyp-r73/candidates.csv,,,aligner_lowcluster_correction,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex240/official_output/ex240_r73_aligner_lowcluster_corr
,,sub-fp8-addhyp-r73,ex240,float_fp8,ex240_r73_operand_class_cofactor_dag,,E4M3FN packed add,low-cost cofactor DAG by operand class,one shared class selector for zero/equal/pass/active cases; active same and diff cofactors dispatch to local gap subfunctions,"operand-class selector, same/diff active cofactors, local gap subfunctions",repo_yosys_frontend_default,ex240|E4M3FN packed add|low-cost cofactor DAG by operand class|one shared class selector for zero/equal/pass/active cases; active same and diff cofactors dispatch to local gap subfunctions|repo_yosys_frontend_default|official_evaluate|operand_class_cofactor_dag,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex240/verilog/ex240_r73_operand_class_cofactor_dag.v,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex240/aigs/ex240_r73_operand_class_cofactor_dag.aig,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex240/logs/ex240_r73_operand_class_cofactor_dag.yosys.log,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex240/logs/ex240_r73_operand_class_cofactor_dag.evaluate.py.log,,,0,0,not_run,,,,13299,,,,,0,0,0,round73 official evaluate.py NOT_EQUIV; synth_sec=7.961; eval_sec=1.131,student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1404/agent_shards/sub-fp8-addhyp-r73/candidates.csv,,,operand_class_cofactor_dag,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex240/official_output/ex240_r73_operand_class_cofactor_dag
,,sub-fp8-addhyp-r73,ex245,float_fp8,ex245_r73_aligner_lowcluster_corr,,E5M2FN packed add,shared normalize aligner plus exact low-cluster correction table,shared sorted E5 decode; high magnitude cluster selected first; low E5 mantissa cluster corrected from high-cluster context,"sorted operand decode, small-gap active state, high cluster reuse, low cluster correction",repo_yosys_frontend_default,ex245|E5M2FN packed add|shared normalize aligner plus exact low-cluster correction table|shared sorted E5 decode; high magnitude cluster selected first; low E5 mantissa cluster corrected from high-cluster context|repo_yosys_frontend_default|official_evaluate|aligner_lowcluster_correction,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex245/verilog/ex245_r73_aligner_lowcluster_corr.v,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex245/aigs/ex245_r73_aligner_lowcluster_corr.aig,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex245/logs/ex245_r73_aligner_lowcluster_corr.yosys.log,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex245/logs/ex245_r73_aligner_lowcluster_corr.evaluate.py.log,,,1,1,not_run,3988,46,183448,11050,,,,,0,0,0,round73 official evaluate.py OK; synth_sec=12.811; eval_sec=1.053; frontend_best=22077; current=17319; reference=11050,student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1404/agent_shards/sub-fp8-addhyp-r73/candidates.csv,,,aligner_lowcluster_correction,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex245/official_output/ex245_r73_aligner_lowcluster_corr
,,sub-fp8-addhyp-r73,ex245,float_fp8,ex245_r73_operand_class_cofactor_dag,,E5M2FN packed add,low-cost cofactor DAG by operand class,one shared class selector for zero/equal/pass/active cases; active same and diff cofactors dispatch to local gap subfunctions,"operand-class selector, same/diff active cofactors, local gap subfunctions",repo_yosys_frontend_default,ex245|E5M2FN packed add|low-cost cofactor DAG by operand class|one shared class selector for zero/equal/pass/active cases; active same and diff cofactors dispatch to local gap subfunctions|repo_yosys_frontend_default|official_evaluate|operand_class_cofactor_dag,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex245/verilog/ex245_r73_operand_class_cofactor_dag.v,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex245/aigs/ex245_r73_operand_class_cofactor_dag.aig,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex245/logs/ex245_r73_operand_class_cofactor_dag.yosys.log,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex245/logs/ex245_r73_operand_class_cofactor_dag.evaluate.py.log,,,0,0,not_run,,,,11050,,,,,0,0,0,round73 official evaluate.py NOT_EQUIV; synth_sec=3.552; eval_sec=0.968,student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1404/agent_shards/sub-fp8-addhyp-r73/candidates.csv,,,operand_class_cofactor_dag,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex245/official_output/ex245_r73_operand_class_cofactor_dag
,,sub-fp8-addhyp-r73,ex244,float_fp8,ex244_r73_rounddist_code_classifier,,E4M3FN packed hypot,multi-output exact code classifier with shared rounded-distance predicates,shared max/min effective-exponent key feeds rounded-distance predicate flags reused by all delta bits,"max/min decode, rounded-distance predicate flags, shared max-plus assembler",repo_yosys_frontend_default,ex244|E4M3FN packed hypot|multi-output exact code classifier with shared rounded-distance predicates|shared max/min effective-exponent key feeds rounded-distance predicate flags reused by all delta bits|repo_yosys_frontend_default|official_evaluate|rounded_distance_code_predicates,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex244/verilog/ex244_r73_rounddist_code_classifier.v,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex244/aigs/ex244_r73_rounddist_code_classifier.aig,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex244/logs/ex244_r73_rounddist_code_classifier.yosys.log,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex244/logs/ex244_r73_rounddist_code_classifier.evaluate.py.log,,,1,1,not_run,1302,46,59892,4272,,,,,0,0,0,round73 official evaluate.py OK; synth_sec=3.247; eval_sec=0.655; frontend_best=9120; current=8928; reference=4272,student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1404/agent_shards/sub-fp8-addhyp-r73/candidates.csv,,,rounded_distance_code_predicates,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex244/official_output/ex244_r73_rounddist_code_classifier
,,sub-fp8-addhyp-r73,ex244,float_fp8,ex244_r73_maxplus_corr_pla,,E4M3FN packed hypot,max-code plus small correction as reduced multi-output PLA,shared max/min effective-exponent predicate vector drives one reduced multi-output correction PLA,"max/min decode, shared PLA predicate vector, max-plus correction assembler",repo_yosys_frontend_default,ex244|E4M3FN packed hypot|max-code plus small correction as reduced multi-output PLA|shared max/min effective-exponent predicate vector drives one reduced multi-output correction PLA|repo_yosys_frontend_default|official_evaluate|maxplus_smallcorr_reduced_pla,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex244/verilog/ex244_r73_maxplus_corr_pla.v,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex244/aigs/ex244_r73_maxplus_corr_pla.aig,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex244/logs/ex244_r73_maxplus_corr_pla.yosys.log,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex244/logs/ex244_r73_maxplus_corr_pla.evaluate.py.log,,,1,1,not_run,708,41,29028,4272,,,,,0,0,0,round73 official evaluate.py OK; synth_sec=114.468; eval_sec=0.593; frontend_best=9120; current=8928; reference=4272,student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1404/agent_shards/sub-fp8-addhyp-r73/candidates.csv,,,maxplus_smallcorr_reduced_pla,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex244/official_output/ex244_r73_maxplus_corr_pla
,,sub-fp8-addhyp-r73,ex249,float_fp8,ex249_r73_rounddist_code_classifier,,E5M2FN packed hypot,multi-output exact code classifier with shared rounded-distance predicates,shared raw exponent and significand key feeds rounded-distance predicate flags reused by both delta bits,"raw max/min decode, rounded-distance predicate flags, shared saturation/max-plus assembler",repo_yosys_frontend_default,ex249|E5M2FN packed hypot|multi-output exact code classifier with shared rounded-distance predicates|shared raw exponent and significand key feeds rounded-distance predicate flags reused by both delta bits|repo_yosys_frontend_default|official_evaluate|rounded_distance_code_predicates,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex249/verilog/ex249_r73_rounddist_code_classifier.v,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex249/aigs/ex249_r73_rounddist_code_classifier.aig,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex249/logs/ex249_r73_rounddist_code_classifier.yosys.log,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex249/logs/ex249_r73_rounddist_code_classifier.evaluate.py.log,,,1,1,not_run,494,37,18278,2079,,,,,0,0,0,round73 official evaluate.py OK; synth_sec=1.022; eval_sec=0.512; frontend_best=4342; current=3339; reference=2079,student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1404/agent_shards/sub-fp8-addhyp-r73/candidates.csv,,,rounded_distance_code_predicates,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex249/official_output/ex249_r73_rounddist_code_classifier
,,sub-fp8-addhyp-r73,ex249,float_fp8,ex249_r73_maxplus_corr_pla,,E5M2FN packed hypot,max-code plus small correction as reduced multi-output PLA,shared raw exponent/significand predicate vector drives one reduced multi-output correction PLA,"raw max/min decode, shared PLA predicate vector, max-plus correction assembler",repo_yosys_frontend_default,ex249|E5M2FN packed hypot|max-code plus small correction as reduced multi-output PLA|shared raw exponent/significand predicate vector drives one reduced multi-output correction PLA|repo_yosys_frontend_default|official_evaluate|maxplus_smallcorr_reduced_pla,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex249/verilog/ex249_r73_maxplus_corr_pla.v,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex249/aigs/ex249_r73_maxplus_corr_pla.aig,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex249/logs/ex249_r73_maxplus_corr_pla.yosys.log,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex249/logs/ex249_r73_maxplus_corr_pla.evaluate.py.log,,,1,1,not_run,464,31,14384,2079,,,,,0,0,0,round73 official evaluate.py OK; synth_sec=54.155; eval_sec=0.527; frontend_best=4342; current=3339; reference=2079,student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1404/agent_shards/sub-fp8-addhyp-r73/candidates.csv,,,maxplus_smallcorr_reduced_pla,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex249/official_output/ex249_r73_maxplus_corr_pla
