round,run_id,agent_id,case,domain,candidate_id,log_path,simulation_pass,notes,shard_csv,simulation_tool,status,pattern_count,simulator,vector_count
round73,,sub-fp16-int-r73,ex223,,ex223_r73_segword_hi8_lo2_abc_g_aig,,,not needed; final validity recorded only from official evaluate.py,student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1404/agent_shards/sub-fp16-int-r73/simulation_results.csv,iverilog,not_run,0,,
round73,,sub-fp16-int-r73,ex223,,ex223_r73_wordrun_threshold_tree_abc_g_aig,,,not needed; final validity recorded only from official evaluate.py,student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1404/agent_shards/sub-fp16-int-r73/simulation_results.csv,iverilog,not_run,0,,
round73,,sub-fp16-int-r73,ex225,,ex225_r73_segword_hi8_lo2_abc_g_aig,,,not needed; final validity recorded only from official evaluate.py,student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1404/agent_shards/sub-fp16-int-r73/simulation_results.csv,iverilog,not_run,0,,
,,sub-fp8-addhyp-r73,ex240,float_fp8,ex240_r73_aligner_lowcluster_corr,,not_run,iverilog unavailable/not needed for this debug-free run; official evaluate.py used,student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1404/agent_shards/sub-fp8-addhyp-r73/simulation_results.csv,,not_run,,iverilog,0
,,sub-fp8-addhyp-r73,ex240,float_fp8,ex240_r73_operand_class_cofactor_dag,,not_run,iverilog unavailable/not needed for this debug-free run; official evaluate.py used,student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1404/agent_shards/sub-fp8-addhyp-r73/simulation_results.csv,,not_run,,iverilog,0
,,sub-fp8-addhyp-r73,ex245,float_fp8,ex245_r73_aligner_lowcluster_corr,,not_run,iverilog unavailable/not needed for this debug-free run; official evaluate.py used,student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1404/agent_shards/sub-fp8-addhyp-r73/simulation_results.csv,,not_run,,iverilog,0
,,sub-fp8-addhyp-r73,ex245,float_fp8,ex245_r73_operand_class_cofactor_dag,,not_run,iverilog unavailable/not needed for this debug-free run; official evaluate.py used,student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1404/agent_shards/sub-fp8-addhyp-r73/simulation_results.csv,,not_run,,iverilog,0
,,sub-fp8-addhyp-r73,ex244,float_fp8,ex244_r73_rounddist_code_classifier,,not_run,iverilog unavailable/not needed for this debug-free run; official evaluate.py used,student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1404/agent_shards/sub-fp8-addhyp-r73/simulation_results.csv,,not_run,,iverilog,0
,,sub-fp8-addhyp-r73,ex244,float_fp8,ex244_r73_maxplus_corr_pla,,not_run,iverilog unavailable/not needed for this debug-free run; official evaluate.py used,student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1404/agent_shards/sub-fp8-addhyp-r73/simulation_results.csv,,not_run,,iverilog,0
,,sub-fp8-addhyp-r73,ex249,float_fp8,ex249_r73_rounddist_code_classifier,,not_run,iverilog unavailable/not needed for this debug-free run; official evaluate.py used,student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1404/agent_shards/sub-fp8-addhyp-r73/simulation_results.csv,,not_run,,iverilog,0
