round,run_id,agent_id,case,domain,candidate_id,method_signature,verilog_path,aig_path,log_path,evaluate_log,official_log,official_status,equivalent,area,delay,adp,reference_adp,current_adp,frontend_best_adp,notes,shard_csv,official_output_dir,runtime_sec,evaluate_status,status,output_dir
round73,,sub-fp16-int-r73,ex223,,ex223_r73_segword_hi8_lo2_abc_g_aig,,,,,,student/runs/fp16/frontend_source_parallel_round73_20260613_1404/sub-fp16-int-r73/ex223/official_eval/ex223_r73_segword_hi8_lo2_abc_g_aig.evaluate.py.log,OK,1,15063,19,286197,120549,189468,203756,,student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1404/agent_shards/sub-fp16-int-r73/evaluation_results.csv,student/runs/fp16/frontend_source_parallel_round73_20260613_1404/sub-fp16-int-r73/ex223/official_eval/ex223_r73_segword_hi8_lo2_abc_g_aig_out,38.565,,,
round73,,sub-fp16-int-r73,ex223,,ex223_r73_wordrun_threshold_tree_abc_g_aig,,,,,,student/runs/fp16/frontend_source_parallel_round73_20260613_1404/sub-fp16-int-r73/ex223/official_eval/ex223_r73_wordrun_threshold_tree_abc_g_aig.evaluate.py.log,OK,1,19173,29,556017,120549,189468,203756,,student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1404/agent_shards/sub-fp16-int-r73/evaluation_results.csv,student/runs/fp16/frontend_source_parallel_round73_20260613_1404/sub-fp16-int-r73/ex223/official_eval/ex223_r73_wordrun_threshold_tree_abc_g_aig_out,66.796,,,
round73,,sub-fp16-int-r73,ex225,,ex225_r73_segword_hi8_lo2_abc_g_aig,,,,,,student/runs/fp16/frontend_source_parallel_round73_20260613_1404/sub-fp16-int-r73/ex225/official_eval/ex225_r73_segword_hi8_lo2_abc_g_aig.evaluate.py.log,OK,1,16969,20,339380,116676,205656,218728,,student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1404/agent_shards/sub-fp16-int-r73/evaluation_results.csv,student/runs/fp16/frontend_source_parallel_round73_20260613_1404/sub-fp16-int-r73/ex225/official_eval/ex225_r73_segword_hi8_lo2_abc_g_aig_out,43.852,,,
,,sub-fp8-addhyp-r73,ex240,float_fp8,ex240_r73_aligner_lowcluster_corr,ex240|E4M3FN packed add|shared normalize aligner plus exact low-cluster correction table|shared sorted E4 decode; high magnitude cluster selected first; only low cluster is corrected from the high-cluster context|repo_yosys_frontend_default|official_evaluate|aligner_lowcluster_correction,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex240/verilog/ex240_r73_aligner_lowcluster_corr.v,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex240/aigs/ex240_r73_aligner_lowcluster_corr.aig,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex240/logs/ex240_r73_aligner_lowcluster_corr.evaluate.py.log,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex240/logs/ex240_r73_aligner_lowcluster_corr.evaluate.py.log,,,1,6869,49,336581,,,,round73 official evaluate.py OK; synth_sec=37.983; eval_sec=1.138; frontend_best=26230; current=21046; reference=13299,student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1404/agent_shards/sub-fp8-addhyp-r73/evaluation_results.csv,,1.138,OK,OK,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex240/official_output/ex240_r73_aligner_lowcluster_corr
,,sub-fp8-addhyp-r73,ex240,float_fp8,ex240_r73_operand_class_cofactor_dag,ex240|E4M3FN packed add|low-cost cofactor DAG by operand class|one shared class selector for zero/equal/pass/active cases; active same and diff cofactors dispatch to local gap subfunctions|repo_yosys_frontend_default|official_evaluate|operand_class_cofactor_dag,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex240/verilog/ex240_r73_operand_class_cofactor_dag.v,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex240/aigs/ex240_r73_operand_class_cofactor_dag.aig,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex240/logs/ex240_r73_operand_class_cofactor_dag.evaluate.py.log,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex240/logs/ex240_r73_operand_class_cofactor_dag.evaluate.py.log,,,0,,,,,,,round73 official evaluate.py NOT_EQUIV; synth_sec=7.961; eval_sec=1.131,student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1404/agent_shards/sub-fp8-addhyp-r73/evaluation_results.csv,,1.131,NOT_EQUIV,NOT_EQUIV,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex240/official_output/ex240_r73_operand_class_cofactor_dag
,,sub-fp8-addhyp-r73,ex245,float_fp8,ex245_r73_aligner_lowcluster_corr,ex245|E5M2FN packed add|shared normalize aligner plus exact low-cluster correction table|shared sorted E5 decode; high magnitude cluster selected first; low E5 mantissa cluster corrected from high-cluster context|repo_yosys_frontend_default|official_evaluate|aligner_lowcluster_correction,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex245/verilog/ex245_r73_aligner_lowcluster_corr.v,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex245/aigs/ex245_r73_aligner_lowcluster_corr.aig,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex245/logs/ex245_r73_aligner_lowcluster_corr.evaluate.py.log,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex245/logs/ex245_r73_aligner_lowcluster_corr.evaluate.py.log,,,1,3988,46,183448,,,,round73 official evaluate.py OK; synth_sec=12.811; eval_sec=1.053; frontend_best=22077; current=17319; reference=11050,student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1404/agent_shards/sub-fp8-addhyp-r73/evaluation_results.csv,,1.053,OK,OK,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex245/official_output/ex245_r73_aligner_lowcluster_corr
,,sub-fp8-addhyp-r73,ex245,float_fp8,ex245_r73_operand_class_cofactor_dag,ex245|E5M2FN packed add|low-cost cofactor DAG by operand class|one shared class selector for zero/equal/pass/active cases; active same and diff cofactors dispatch to local gap subfunctions|repo_yosys_frontend_default|official_evaluate|operand_class_cofactor_dag,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex245/verilog/ex245_r73_operand_class_cofactor_dag.v,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex245/aigs/ex245_r73_operand_class_cofactor_dag.aig,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex245/logs/ex245_r73_operand_class_cofactor_dag.evaluate.py.log,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex245/logs/ex245_r73_operand_class_cofactor_dag.evaluate.py.log,,,0,,,,,,,round73 official evaluate.py NOT_EQUIV; synth_sec=3.552; eval_sec=0.968,student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1404/agent_shards/sub-fp8-addhyp-r73/evaluation_results.csv,,0.968,NOT_EQUIV,NOT_EQUIV,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex245/official_output/ex245_r73_operand_class_cofactor_dag
,,sub-fp8-addhyp-r73,ex244,float_fp8,ex244_r73_rounddist_code_classifier,ex244|E4M3FN packed hypot|multi-output exact code classifier with shared rounded-distance predicates|shared max/min effective-exponent key feeds rounded-distance predicate flags reused by all delta bits|repo_yosys_frontend_default|official_evaluate|rounded_distance_code_predicates,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex244/verilog/ex244_r73_rounddist_code_classifier.v,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex244/aigs/ex244_r73_rounddist_code_classifier.aig,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex244/logs/ex244_r73_rounddist_code_classifier.evaluate.py.log,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex244/logs/ex244_r73_rounddist_code_classifier.evaluate.py.log,,,1,1302,46,59892,,,,round73 official evaluate.py OK; synth_sec=3.247; eval_sec=0.655; frontend_best=9120; current=8928; reference=4272,student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1404/agent_shards/sub-fp8-addhyp-r73/evaluation_results.csv,,0.655,OK,OK,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex244/official_output/ex244_r73_rounddist_code_classifier
,,sub-fp8-addhyp-r73,ex244,float_fp8,ex244_r73_maxplus_corr_pla,ex244|E4M3FN packed hypot|max-code plus small correction as reduced multi-output PLA|shared max/min effective-exponent predicate vector drives one reduced multi-output correction PLA|repo_yosys_frontend_default|official_evaluate|maxplus_smallcorr_reduced_pla,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex244/verilog/ex244_r73_maxplus_corr_pla.v,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex244/aigs/ex244_r73_maxplus_corr_pla.aig,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex244/logs/ex244_r73_maxplus_corr_pla.evaluate.py.log,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex244/logs/ex244_r73_maxplus_corr_pla.evaluate.py.log,,,1,708,41,29028,,,,round73 official evaluate.py OK; synth_sec=114.468; eval_sec=0.593; frontend_best=9120; current=8928; reference=4272,student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1404/agent_shards/sub-fp8-addhyp-r73/evaluation_results.csv,,0.593,OK,OK,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex244/official_output/ex244_r73_maxplus_corr_pla
,,sub-fp8-addhyp-r73,ex249,float_fp8,ex249_r73_rounddist_code_classifier,ex249|E5M2FN packed hypot|multi-output exact code classifier with shared rounded-distance predicates|shared raw exponent and significand key feeds rounded-distance predicate flags reused by both delta bits|repo_yosys_frontend_default|official_evaluate|rounded_distance_code_predicates,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex249/verilog/ex249_r73_rounddist_code_classifier.v,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex249/aigs/ex249_r73_rounddist_code_classifier.aig,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex249/logs/ex249_r73_rounddist_code_classifier.evaluate.py.log,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex249/logs/ex249_r73_rounddist_code_classifier.evaluate.py.log,,,1,494,37,18278,,,,round73 official evaluate.py OK; synth_sec=1.022; eval_sec=0.512; frontend_best=4342; current=3339; reference=2079,student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1404/agent_shards/sub-fp8-addhyp-r73/evaluation_results.csv,,0.512,OK,OK,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex249/official_output/ex249_r73_rounddist_code_classifier
,,sub-fp8-addhyp-r73,ex249,float_fp8,ex249_r73_maxplus_corr_pla,ex249|E5M2FN packed hypot|max-code plus small correction as reduced multi-output PLA|shared raw exponent/significand predicate vector drives one reduced multi-output correction PLA|repo_yosys_frontend_default|official_evaluate|maxplus_smallcorr_reduced_pla,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex249/verilog/ex249_r73_maxplus_corr_pla.v,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex249/aigs/ex249_r73_maxplus_corr_pla.aig,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex249/logs/ex249_r73_maxplus_corr_pla.evaluate.py.log,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex249/logs/ex249_r73_maxplus_corr_pla.evaluate.py.log,,,1,464,31,14384,,,,round73 official evaluate.py OK; synth_sec=54.155; eval_sec=0.527; frontend_best=4342; current=3339; reference=2079,student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1404/agent_shards/sub-fp8-addhyp-r73/evaluation_results.csv,,0.527,OK,OK,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-addhyp-r73/ex249/official_output/ex249_r73_maxplus_corr_pla
