round,run_id,agent_id,case,domain,candidate_id,family,hypothesis,representation,sharing_strategy,shared_structure,synth_flow,method_signature,verilog_path,aig_path,log_path,evaluate_log,official_status,equivalent,simulation_pass,area,delay,adp,reference_adp,current_adp,frontend_best_adp,beats_frontend,beats_current,beats_reference,notes,shard_csv,variant,verified_truth
86,frontend_truthroot_parallel_round86_20260613_2221,sub-fp16-int-root-r86,ex223,fp16,ex223_r86_truthroot_bit11_abc_g_aig,r86_truthroot_fp16_bit11,fp16_log,positive-normal bit11 sign-exp mantissa root,current source plus one low-cost bit11 truth-root predicate,base source plus selected exact truth-root bit,yosys_abc_g_aig,ex223|fp16_log_truthroot_bit11_positive_normal_root|sign_exp_mantissa_run_root_for_bit11_over_frontend_best|single_exact_low_high_boundary_root|yosys_abc_g_aig|abc_xf_official_evaluate|not_r84_highword_not_r85_outputcluster,student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex223/verilog/ex223_r86_truthroot_bit11.v,student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex223/aigs/ex223_r86_truthroot_bit11_abc_g_aig.aig,student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex223/logs/ex223_r86_truthroot_bit11_abc_g_aig.yosys.log,student/runs/fp16/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex223/official_eval/ex223_r86_truthroot_bit11_abc_g_aig/ex223_r86_truthroot_bit11_abc_g_aig.evaluate.py.log,OK,1,not_run,10705,19,203395,120549,189468,203490,1,0,0,selected bits 11; official_aig=student/runs/fp16/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex223/official_eval/ex223_r86_truthroot_bit11_abc_g_aig/output/ex223.aig,student/frontend_campaigns/campaigns/frontend_truthroot_parallel_round86_20260613_2221/agent_shards/sub-fp16-int-root-r86/candidates.csv,,
86,frontend_truthroot_parallel_round86_20260613_2221,sub-fp16-int-root-r86,ex225,fp16,ex225_r86_truthroot_bit11_abc_g_aig,r86_truthroot_fp16_bit11,fp16_log10,positive-normal bit11 sign-exp mantissa root,current source plus one low-cost bit11 truth-root predicate,base source plus selected exact truth-root bit,yosys_abc_g_aig,ex225|fp16_log10_truthroot_bit11_positive_normal_root|sign_exp_mantissa_run_root_for_bit11_over_frontend_best|single_exact_low_high_boundary_root|yosys_abc_g_aig|abc_xf_official_evaluate|not_r84_highword_not_r85_outputcluster,student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex225/verilog/ex225_r86_truthroot_bit11.v,student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex225/aigs/ex225_r86_truthroot_bit11_abc_g_aig.aig,student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex225/logs/ex225_r86_truthroot_bit11_abc_g_aig.yosys.log,student/runs/fp16/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex225/official_eval/ex225_r86_truthroot_bit11_abc_g_aig/ex225_r86_truthroot_bit11_abc_g_aig.evaluate.py.log,OK,1,not_run,11597,19,220343,116676,205656,218595,0,0,0,selected bits 11; official_aig=student/runs/fp16/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex225/official_eval/ex225_r86_truthroot_bit11_abc_g_aig/output/ex225.aig,student/frontend_campaigns/campaigns/frontend_truthroot_parallel_round86_20260613_2221/agent_shards/sub-fp16-int-root-r86/candidates.csv,,
86,frontend_truthroot_parallel_round86_20260613_2221,sub-fp16-int-root-r86,ex260,integer,ex260_r86_truthroot_bit4_abc_g_aig,r86_truthroot_signed_mul_bit4_bdd,signed_low4_high4_multiply,product bit4 reduced BDD root over signed operand interleave,current signed compressor plus one exact product-bit BDD cofactor root,base source plus selected exact truth-root bit,yosys_abc_g_aig,ex260|signed_low4_high4_multiply_truthroot_bit4_bdd|current_compressor_plus_product_bit4_reduced_bdd_root|single_expensive_bit_bdd_not_output_cluster|yosys_abc_g_aig|abc_xf_official_evaluate|not_r84_wordcover_not_r85_outputcluster_not_baugh_prefix_replay,student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex260/verilog/ex260_r86_truthroot_bit4.v,student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex260/aigs/ex260_r86_truthroot_bit4_abc_g_aig.aig,student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex260/logs/ex260_r86_truthroot_bit4_abc_g_aig.yosys.log,student/runs/integer/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex260/official_eval/ex260_r86_truthroot_bit4_abc_g_aig/ex260_r86_truthroot_bit4_abc_g_aig.evaluate.py.log,OK,1,not_run,165,14,2310,657,1066,1131,0,0,0,selected bits 4; official_aig=student/runs/integer/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex260/official_eval/ex260_r86_truthroot_bit4_abc_g_aig/output/ex260.aig,student/frontend_campaigns/campaigns/frontend_truthroot_parallel_round86_20260613_2221/agent_shards/sub-fp16-int-root-r86/candidates.csv,,
86,frontend_truthroot_parallel_round86_20260613_2221,sub-fp16-int-root-r86,ex266,integer,ex266_r86_truthroot_bit2_abc_g_aig,r86_truthroot_udiv_bit2_bdd,unsigned_low5_high5_divide_dbz_sat,quotient bit2 reduced BDD root over current selector order,current quotient word mux plus one exact local quotient-bit BDD root,base source plus selected exact truth-root bit,yosys_abc_g_aig,ex266|unsigned_low5_high5_divide_truthroot_bit2_bdd|current_wordmux_plus_quotient_bit2_reduced_bdd_root|single_expensive_bit_bdd_not_wordmux_spelling|yosys_abc_g_aig|abc_xf_official_evaluate|not_r84_wordcover_not_r85_cluster,student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex266/verilog/ex266_r86_truthroot_bit2.v,student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex266/aigs/ex266_r86_truthroot_bit2_abc_g_aig.aig,student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex266/logs/ex266_r86_truthroot_bit2_abc_g_aig.yosys.log,student/runs/integer/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex266/official_eval/ex266_r86_truthroot_bit2_abc_g_aig/ex266_r86_truthroot_bit2_abc_g_aig.evaluate.py.log,OK,1,not_run,154,12,1848,848,1296,1480,0,0,0,selected bits 2; official_aig=student/runs/integer/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex266/official_eval/ex266_r86_truthroot_bit2_abc_g_aig/output/ex266.aig,student/frontend_campaigns/campaigns/frontend_truthroot_parallel_round86_20260613_2221/agent_shards/sub-fp16-int-root-r86/candidates.csv,,
86,frontend_truthroot_parallel_round86_20260613_2221,sub-fp16-int-root-r86,ex223,fp16,ex223_r86_mtbdd_word_dag_abc_g_aig,r86_mtbdd_word_decision_dag,fp16_log,full-output reduced decision DAG over sign_exp then mantissa,one shared word-level decision node can feed all 16 output bits,reduced word-level decision DAG,yosys_abc_g_aig,ex223|fp16_log_r86_full_word_mtbdd_decision_dag|sign_exp_then_mantissa_reduced_word_dag|shared_multi_output_decision_nodes|yosys_abc_g_aig|abc_xf_official_evaluate|not_source_graft_not_r84_highword_not_r85_residual,student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex223/verilog/ex223_r86_mtbdd_word_dag.v,student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex223/aigs/ex223_r86_mtbdd_word_dag_abc_g_aig.aig,student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex223/logs/ex223_r86_mtbdd_word_dag_abc_g_aig.yosys.log,student/runs/fp16/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex223/official_eval/ex223_r86_mtbdd_word_dag_abc_g_aig/ex223_r86_mtbdd_word_dag_abc_g_aig.evaluate.py.log,OK,1,not_run,11240,24,269760,120549,189468,203490,0,0,0,full-output MTBDD; official_aig=student/runs/fp16/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex223/official_eval/ex223_r86_mtbdd_word_dag_abc_g_aig/output/ex223.aig,student/frontend_campaigns/campaigns/frontend_truthroot_parallel_round86_20260613_2221/agent_shards/sub-fp16-int-root-r86/candidates.csv,,
86,frontend_truthroot_parallel_round86_20260613_2221,sub-fp16-int-root-r86,ex225,fp16,ex225_r86_mtbdd_word_dag_abc_g_aig,r86_mtbdd_word_decision_dag,fp16_log10,full-output reduced decision DAG over sign_exp then mantissa,one shared word-level decision node can feed all 16 output bits,reduced word-level decision DAG,yosys_abc_g_aig,ex225|fp16_log10_r86_full_word_mtbdd_decision_dag|sign_exp_then_mantissa_reduced_word_dag|shared_multi_output_decision_nodes|yosys_abc_g_aig|abc_xf_official_evaluate|not_source_graft_not_r84_highword_not_r85_residual,student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex225/verilog/ex225_r86_mtbdd_word_dag.v,student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex225/aigs/ex225_r86_mtbdd_word_dag_abc_g_aig.aig,student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex225/logs/ex225_r86_mtbdd_word_dag_abc_g_aig.yosys.log,student/runs/fp16/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex225/official_eval/ex225_r86_mtbdd_word_dag_abc_g_aig/ex225_r86_mtbdd_word_dag_abc_g_aig.evaluate.py.log,OK,1,not_run,11671,24,280104,116676,205656,218595,0,0,0,full-output MTBDD; official_aig=student/runs/fp16/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex225/official_eval/ex225_r86_mtbdd_word_dag_abc_g_aig/output/ex225.aig,student/frontend_campaigns/campaigns/frontend_truthroot_parallel_round86_20260613_2221/agent_shards/sub-fp16-int-root-r86/candidates.csv,,
86,frontend_truthroot_parallel_round86_20260613_2221,sub-fp16-int-root-r86,ex260,integer,ex260_r86_mtbdd_word_dag_abc_g_aig,r86_mtbdd_word_decision_dag,signed_low4_high4_multiply,full-output reduced decision DAG over interleaved signed operands,one shared word-level decision node can feed all 8 product bits,reduced word-level decision DAG,yosys_abc_g_aig,ex260|signed_low4_high4_multiply_r86_full_word_mtbdd_decision_dag|interleaved_signed_operand_reduced_word_dag|shared_multi_output_decision_nodes|yosys_abc_g_aig|abc_xf_official_evaluate|not_source_graft_not_r84_wordcover_not_r85_cluster,student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex260/verilog/ex260_r86_mtbdd_word_dag.v,student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex260/aigs/ex260_r86_mtbdd_word_dag_abc_g_aig.aig,student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex260/logs/ex260_r86_mtbdd_word_dag_abc_g_aig.yosys.log,student/runs/integer/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex260/official_eval/ex260_r86_mtbdd_word_dag_abc_g_aig/ex260_r86_mtbdd_word_dag_abc_g_aig.evaluate.py.log,OK,1,not_run,220,11,2420,657,1066,1131,0,0,0,full-output MTBDD; official_aig=student/runs/integer/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex260/official_eval/ex260_r86_mtbdd_word_dag_abc_g_aig/output/ex260.aig,student/frontend_campaigns/campaigns/frontend_truthroot_parallel_round86_20260613_2221/agent_shards/sub-fp16-int-root-r86/candidates.csv,,
86,frontend_truthroot_parallel_round86_20260613_2221,sub-fp16-int-root-r86,ex266,integer,ex266_r86_mtbdd_word_dag_abc_g_aig,r86_mtbdd_word_decision_dag,unsigned_low5_high5_divide_dbz_sat,full-output reduced decision DAG over current quotient selector order,one shared word-level decision node can feed all 5 quotient bits,reduced word-level decision DAG,yosys_abc_g_aig,ex266|unsigned_low5_high5_divide_r86_full_word_mtbdd_decision_dag|quotient_selector_order_reduced_word_dag|shared_multi_output_decision_nodes|yosys_abc_g_aig|abc_xf_official_evaluate|not_source_graft_not_r84_wordcover_not_r85_cluster,student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex266/verilog/ex266_r86_mtbdd_word_dag.v,student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex266/aigs/ex266_r86_mtbdd_word_dag_abc_g_aig.aig,student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex266/logs/ex266_r86_mtbdd_word_dag_abc_g_aig.yosys.log,student/runs/integer/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex266/official_eval/ex266_r86_mtbdd_word_dag_abc_g_aig/ex266_r86_mtbdd_word_dag_abc_g_aig.evaluate.py.log,OK,1,not_run,155,14,2170,848,1296,1480,0,0,0,full-output MTBDD; official_aig=student/runs/integer/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex266/official_eval/ex266_r86_mtbdd_word_dag_abc_g_aig/output/ex266.aig,student/frontend_campaigns/campaigns/frontend_truthroot_parallel_round86_20260613_2221/agent_shards/sub-fp16-int-root-r86/candidates.csv,,
round86,frontend_truthroot_parallel_round86_20260613_2221,sub-fp8-addmul-struct-r86,ex240,float_fp8,ex240_r86_maxeff_diff_dag,semantic_diff_decision_dag,E4M3FN packed add high byte plus low byte,max-effective-exponent guarded diff-sign decision DAG over compact r64 source,shared same-sign GRS shell plus diff cancel/gap/max-eff predicate roots,max_eff_hi diff_cancel_zero gap_far gap_mid5 diff_norm_or_gap roots,repo_yosys_frontend_default,ex240|E4M3FN packed add high byte plus low byte|maxeff guarded diff decision DAG|shared same-sign GRS roots plus diff gap/maxeff predicates|repo_yosys_frontend_default|official_evaluate|full_word,student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp8-addmul-struct-r86/ex240/verilog/ex240_r86_maxeff_diff_dag.v,student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp8-addmul-struct-r86/ex240/aigs/ex240_r86_maxeff_diff_dag.aig,student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp8-addmul-struct-r86/ex240/logs/ex240_r86_maxeff_diff_dag.yosys.log,student/runs/float_fp8/frontend_truthroot_parallel_round86_20260613_2221/sub-fp8-addmul-struct-r86/ex240/official_eval/ex240_r86_maxeff_diff_dag/ex240_r86_maxeff_diff_dag.evaluate.py.log,OK,1,not_run,661,46,30406,13299,21046,26230,0,0,0,evaluate.py exit=0,student/frontend_campaigns/campaigns/frontend_truthroot_parallel_round86_20260613_2221/agent_shards/sub-fp8-addmul-struct-r86/candidates.csv,maxeff_diff_dag,1
round86,frontend_truthroot_parallel_round86_20260613_2221,sub-fp8-addmul-struct-r86,ex241,float_fp8,ex241_r86_product_bit_exception_dag,product_round_decision_dag,E4M3FN packed multiply high byte times low byte,product-param formula with exact per-bit exception DAGs instead of full product table,"shared sign xor, exp_sum, product roots, exception flag, and bit-level residual functions",sign_xor exp_sum product param_table exc_flag exc_bit roots,repo_yosys_frontend_default,ex241|E4M3FN packed multiply high byte times low byte|product bit-exception decision DAG|shared product roots plus exact per-bit exception residuals|repo_yosys_frontend_default|official_evaluate|product_active_bits,student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp8-addmul-struct-r86/ex241/verilog/ex241_r86_product_bit_exception_dag.v,student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp8-addmul-struct-r86/ex241/aigs/ex241_r86_product_bit_exception_dag.aig,student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp8-addmul-struct-r86/ex241/logs/ex241_r86_product_bit_exception_dag.yosys.log,student/runs/float_fp8/frontend_truthroot_parallel_round86_20260613_2221/sub-fp8-addmul-struct-r86/ex241/official_eval/ex241_r86_product_bit_exception_dag/ex241_r86_product_bit_exception_dag.evaluate.py.log,OK,1,not_run,735,41,30135,7224,11592,14094,0,0,0,evaluate.py exit=0,student/frontend_campaigns/campaigns/frontend_truthroot_parallel_round86_20260613_2221/agent_shards/sub-fp8-addmul-struct-r86/candidates.csv,product_bit_exception_dag,1
