round,run_id,agent_id,case,candidate_id,simulator,status,patterns,log_path,notes,shard_csv,domain,simulation_status,sim_log,patterns_checked,simulation_pass,pattern_count
86,frontend_truthroot_parallel_round86_20260613_2221,sub-fp16-int-root-r86,ex223,ex223_r86_truthroot_bit11_abc_g_aig,,,,,official evaluate.py used as final validity check,student/frontend_campaigns/campaigns/frontend_truthroot_parallel_round86_20260613_2221/agent_shards/sub-fp16-int-root-r86/simulation_results.csv,fp16,not_run,,0,,
86,frontend_truthroot_parallel_round86_20260613_2221,sub-fp16-int-root-r86,ex225,ex225_r86_truthroot_bit11_abc_g_aig,,,,,official evaluate.py used as final validity check,student/frontend_campaigns/campaigns/frontend_truthroot_parallel_round86_20260613_2221/agent_shards/sub-fp16-int-root-r86/simulation_results.csv,fp16,not_run,,0,,
86,frontend_truthroot_parallel_round86_20260613_2221,sub-fp16-int-root-r86,ex260,ex260_r86_truthroot_bit4_abc_g_aig,,,,,official evaluate.py used as final validity check,student/frontend_campaigns/campaigns/frontend_truthroot_parallel_round86_20260613_2221/agent_shards/sub-fp16-int-root-r86/simulation_results.csv,integer,not_run,,0,,
86,frontend_truthroot_parallel_round86_20260613_2221,sub-fp16-int-root-r86,ex266,ex266_r86_truthroot_bit2_abc_g_aig,,,,,official evaluate.py used as final validity check,student/frontend_campaigns/campaigns/frontend_truthroot_parallel_round86_20260613_2221/agent_shards/sub-fp16-int-root-r86/simulation_results.csv,integer,not_run,,0,,
86,frontend_truthroot_parallel_round86_20260613_2221,sub-fp16-int-root-r86,ex223,ex223_r86_mtbdd_word_dag_abc_g_aig,,,,,official evaluate.py used as final validity check,student/frontend_campaigns/campaigns/frontend_truthroot_parallel_round86_20260613_2221/agent_shards/sub-fp16-int-root-r86/simulation_results.csv,fp16,not_run,,0,,
86,frontend_truthroot_parallel_round86_20260613_2221,sub-fp16-int-root-r86,ex225,ex225_r86_mtbdd_word_dag_abc_g_aig,,,,,official evaluate.py used as final validity check,student/frontend_campaigns/campaigns/frontend_truthroot_parallel_round86_20260613_2221/agent_shards/sub-fp16-int-root-r86/simulation_results.csv,fp16,not_run,,0,,
86,frontend_truthroot_parallel_round86_20260613_2221,sub-fp16-int-root-r86,ex260,ex260_r86_mtbdd_word_dag_abc_g_aig,,,,,official evaluate.py used as final validity check,student/frontend_campaigns/campaigns/frontend_truthroot_parallel_round86_20260613_2221/agent_shards/sub-fp16-int-root-r86/simulation_results.csv,integer,not_run,,0,,
86,frontend_truthroot_parallel_round86_20260613_2221,sub-fp16-int-root-r86,ex266,ex266_r86_mtbdd_word_dag_abc_g_aig,,,,,official evaluate.py used as final validity check,student/frontend_campaigns/campaigns/frontend_truthroot_parallel_round86_20260613_2221/agent_shards/sub-fp16-int-root-r86/simulation_results.csv,integer,not_run,,0,,
round86,frontend_truthroot_parallel_round86_20260613_2221,sub-fp8-addmul-struct-r86,ex240,ex240_r86_maxeff_diff_dag,,,,,official evaluate.py is the acceptance check,student/frontend_campaigns/campaigns/frontend_truthroot_parallel_round86_20260613_2221/agent_shards/sub-fp8-addmul-struct-r86/simulation_results.csv,,,,,not_run,
round86,frontend_truthroot_parallel_round86_20260613_2221,sub-fp8-addmul-struct-r86,ex241,ex241_r86_product_bit_exception_dag,,,,,official evaluate.py is the acceptance check,student/frontend_campaigns/campaigns/frontend_truthroot_parallel_round86_20260613_2221/agent_shards/sub-fp8-addmul-struct-r86/simulation_results.csv,,,,,not_run,
round86,frontend_truthroot_parallel_round86_20260613_2221,sub-fp8-addmul-struct-r86,ex245,ex245_r86_maxeff_active_dag,,,,,official evaluate.py is the acceptance check,student/frontend_campaigns/campaigns/frontend_truthroot_parallel_round86_20260613_2221/agent_shards/sub-fp8-addmul-struct-r86/simulation_results.csv,,,,,not_run,
,,sub-unknown-root-r86,ex285,ex285_r86_learned_dag_natural,none,,,,Skipped simulation; official evaluate.py equivalence is authoritative.,student/frontend_campaigns/campaigns/frontend_truthroot_parallel_round86_20260613_2221/agent_shards/sub-unknown-root-r86/simulation_results.csv,,,,,not_run,
,,sub-unknown-root-r86,ex288,ex288_r86_learned_dag_natural,none,,,,Skipped simulation; official evaluate.py equivalence is authoritative.,student/frontend_campaigns/campaigns/frontend_truthroot_parallel_round86_20260613_2221/agent_shards/sub-unknown-root-r86/simulation_results.csv,,,,,not_run,
,,sub-unknown-root-r86,ex297,ex297_r86_learned_dag_natural_cell_bits,none,,,,Skipped simulation; official evaluate.py equivalence is authoritative.,student/frontend_campaigns/campaigns/frontend_truthroot_parallel_round86_20260613_2221/agent_shards/sub-unknown-root-r86/simulation_results.csv,,,,,not_run,
,,sub-unknown-root-r86,ex299,ex299_r86_learned_dag_natural_cell_bits,none,,,,Skipped simulation; official evaluate.py equivalence is authoritative.,student/frontend_campaigns/campaigns/frontend_truthroot_parallel_round86_20260613_2221/agent_shards/sub-unknown-root-r86/simulation_results.csv,,,,,not_run,
