round,run_id,agent_id,case,candidate_id,structure_type,shared_signal_count,outputs_covered,expected_effect,observed_area,observed_delay,observed_adp,notes,shard_csv,shared_structure,descriptor_bits,output_grouping,expected_verilog_path,expected_aig_path,structure_family,evidence_path
86,frontend_truthroot_parallel_round86_20260613_2221,sub-fp16-int-root-r86,ex223,ex223_r86_truthroot_bit11_abc_g_aig,fp16_run_root,1,11,test a single low-cost truth root outside r84/r85 selected groups,10705,19,203395,official_status=OK; current source plus one low-cost bit11 truth-root predicate,student/frontend_campaigns/campaigns/frontend_truthroot_parallel_round86_20260613_2221/agent_shards/sub-fp16-int-root-r86/shared_structure_report.csv,,,,student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex223/verilog/ex223_r86_truthroot_bit11.v,student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex223/aigs/ex223_r86_truthroot_bit11_abc_g_aig.aig,,
86,frontend_truthroot_parallel_round86_20260613_2221,sub-fp16-int-root-r86,ex225,ex225_r86_truthroot_bit11_abc_g_aig,fp16_run_root,1,11,test a single low-cost truth root outside r84/r85 selected groups,11597,19,220343,official_status=OK; current source plus one low-cost bit11 truth-root predicate,student/frontend_campaigns/campaigns/frontend_truthroot_parallel_round86_20260613_2221/agent_shards/sub-fp16-int-root-r86/shared_structure_report.csv,,,,student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex225/verilog/ex225_r86_truthroot_bit11.v,student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex225/aigs/ex225_r86_truthroot_bit11_abc_g_aig.aig,,
86,frontend_truthroot_parallel_round86_20260613_2221,sub-fp16-int-root-r86,ex260,ex260_r86_truthroot_bit4_abc_g_aig,bdd_root,1,4,test a single low-cost truth root outside r84/r85 selected groups,165,14,2310,official_status=OK; current signed compressor plus one exact product-bit BDD cofactor root,student/frontend_campaigns/campaigns/frontend_truthroot_parallel_round86_20260613_2221/agent_shards/sub-fp16-int-root-r86/shared_structure_report.csv,,,,student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex260/verilog/ex260_r86_truthroot_bit4.v,student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex260/aigs/ex260_r86_truthroot_bit4_abc_g_aig.aig,,
86,frontend_truthroot_parallel_round86_20260613_2221,sub-fp16-int-root-r86,ex266,ex266_r86_truthroot_bit2_abc_g_aig,bdd_root,1,2,test a single low-cost truth root outside r84/r85 selected groups,154,12,1848,official_status=OK; current quotient word mux plus one exact local quotient-bit BDD root,student/frontend_campaigns/campaigns/frontend_truthroot_parallel_round86_20260613_2221/agent_shards/sub-fp16-int-root-r86/shared_structure_report.csv,,,,student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex266/verilog/ex266_r86_truthroot_bit2.v,student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex266/aigs/ex266_r86_truthroot_bit2_abc_g_aig.aig,,
86,frontend_truthroot_parallel_round86_20260613_2221,sub-fp16-int-root-r86,ex223,ex223_r86_mtbdd_word_dag_abc_g_aig,word_mtbdd_decision_dag,17082,all,common decision nodes feed multiple output bits,11240,24,269760,official_status=OK; one shared word-level decision node can feed all 16 output bits,student/frontend_campaigns/campaigns/frontend_truthroot_parallel_round86_20260613_2221/agent_shards/sub-fp16-int-root-r86/shared_structure_report.csv,,,,student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex223/verilog/ex223_r86_mtbdd_word_dag.v,student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex223/aigs/ex223_r86_mtbdd_word_dag_abc_g_aig.aig,,
86,frontend_truthroot_parallel_round86_20260613_2221,sub-fp16-int-root-r86,ex225,ex225_r86_mtbdd_word_dag_abc_g_aig,word_mtbdd_decision_dag,17131,all,common decision nodes feed multiple output bits,11671,24,280104,official_status=OK; one shared word-level decision node can feed all 16 output bits,student/frontend_campaigns/campaigns/frontend_truthroot_parallel_round86_20260613_2221/agent_shards/sub-fp16-int-root-r86/shared_structure_report.csv,,,,student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex225/verilog/ex225_r86_mtbdd_word_dag.v,student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex225/aigs/ex225_r86_mtbdd_word_dag_abc_g_aig.aig,,
86,frontend_truthroot_parallel_round86_20260613_2221,sub-fp16-int-root-r86,ex260,ex260_r86_mtbdd_word_dag_abc_g_aig,word_mtbdd_decision_dag,247,all,common decision nodes feed multiple output bits,220,11,2420,official_status=OK; one shared word-level decision node can feed all 8 product bits,student/frontend_campaigns/campaigns/frontend_truthroot_parallel_round86_20260613_2221/agent_shards/sub-fp16-int-root-r86/shared_structure_report.csv,,,,student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex260/verilog/ex260_r86_mtbdd_word_dag.v,student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex260/aigs/ex260_r86_mtbdd_word_dag_abc_g_aig.aig,,
86,frontend_truthroot_parallel_round86_20260613_2221,sub-fp16-int-root-r86,ex266,ex266_r86_mtbdd_word_dag_abc_g_aig,word_mtbdd_decision_dag,126,all,common decision nodes feed multiple output bits,155,14,2170,official_status=OK; one shared word-level decision node can feed all 5 quotient bits,student/frontend_campaigns/campaigns/frontend_truthroot_parallel_round86_20260613_2221/agent_shards/sub-fp16-int-root-r86/shared_structure_report.csv,,,,student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex266/verilog/ex266_r86_mtbdd_word_dag.v,student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex266/aigs/ex266_r86_mtbdd_word_dag_abc_g_aig.aig,,
round86,frontend_truthroot_parallel_round86_20260613_2221,sub-fp8-addmul-root-r86,ex241,,truth_root_mining,26,0-7,product monomial and carry/round roots before a new source form,,,,top_predicate=sign_xor:bit7:score31748; top_monomial=sign_xor:bit7:score31748; mixed_cofactors=23,student/frontend_campaigns/campaigns/frontend_truthroot_parallel_round86_20260613_2221/agent_shards/sub-fp8-addmul-root-r86/shared_structure_report.csv,"predicate roots, common monomials, selected output cofactors","exp_sum_even,exp_sum_ge26,exp_sum_ge28,exp_sum_le3,exp_sum_le4,nan,product_bit0,product_bit1,product_bit2,product_bit3,product_bit4,product_bit5",selected expensive bits from entropy ranking,,,,
round86,frontend_truthroot_parallel_round86_20260613_2221,sub-fp8-addmul-root-r86,ex240,,truth_root_mining,26,0-7,diff-sign cancellation cofactor roots over same-sign GRS shell,,,,top_predicate=max_eff_hi:bit4:score6672; top_monomial=max_eff_hi:bit4:score6672; mixed_cofactors=38,student/frontend_campaigns/campaigns/frontend_truthroot_parallel_round86_20260613_2221/agent_shards/sub-fp8-addmul-root-r86/shared_structure_report.csv,"predicate roots, common monomials, selected output cofactors","cancel_zero,diff_active,diff_gap5_down,diff_sig_pow2,diff_sig_zero,diff_sign,gap0,gap1,gap2,gap3,gap4,gap5",selected expensive bits from entropy ranking,,,,
