case,agent_id,hypothesis,method_signature,status,reason,evidence_path,next_action,domain,candidate_id,representation,shared_structure,verilog_path,aig_path,log_path,notes,shard_csv
ex244,sub-fp8-add-alt-r64,FP8 source predicate/table restructuring,ex244|fp8_source_restructure|ex244_r64_ratio_leadclass_table|ratio_of_min_to_max_bins_plus_compact_min_sig_tail_under_shared_saturation_shell|default|raw|official_evaluate|full_word,not_equivalent,,,,float_fp8,ex244_ex244_r64_ratio_leadclass_table_default_raw,ex244_r64_ratio_leadclass_table + default + raw,ratio-of-min-to-max bins plus compact min-sig tail under shared saturation shell,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_ratio_leadclass_table/verilog/ex244_r64_ratio_leadclass_table.v,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_ratio_leadclass_table/aigs/ex244_ex244_r64_ratio_leadclass_table_default_raw.aig,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_ratio_leadclass_table/logs/ex244_ex244_r64_ratio_leadclass_table_default_raw.evaluate.py.log,official evaluate.py NOT_EQUIV; yosys_log=student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_ratio_leadclass_table/logs/ex244_r64_ratio_leadclass_table_default.yosys.log; abc_log=student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_ratio_leadclass_table/logs/ex244_ex244_r64_ratio_leadclass_table_default_raw.abc.log; synth_sec=1.659; abc_sec=0.000; eval_sec=0.477,student/frontend_campaigns/campaigns/frontend_source_parallel_round64_20260613_1004/agent_shards/sub-fp8-add-alt-r64/failed_hypotheses.csv
ex244,sub-fp8-add-alt-r64,FP8 source predicate/table restructuring,ex244|fp8_source_restructure|ex244_r64_ratio_leadclass_table|ratio_of_min_to_max_bins_plus_compact_min_sig_tail_under_shared_saturation_shell|extra_share|raw|official_evaluate|full_word,not_equivalent,,,,float_fp8,ex244_ex244_r64_ratio_leadclass_table_extra_share_raw,ex244_r64_ratio_leadclass_table + extra_share + raw,ratio-of-min-to-max bins plus compact min-sig tail under shared saturation shell,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_ratio_leadclass_table/verilog/ex244_r64_ratio_leadclass_table.v,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_ratio_leadclass_table/aigs/ex244_ex244_r64_ratio_leadclass_table_extra_share_raw.aig,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_ratio_leadclass_table/logs/ex244_ex244_r64_ratio_leadclass_table_extra_share_raw.evaluate.py.log,official evaluate.py NOT_EQUIV; yosys_log=student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_ratio_leadclass_table/logs/ex244_r64_ratio_leadclass_table_extra_share.yosys.log; abc_log=student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_ratio_leadclass_table/logs/ex244_ex244_r64_ratio_leadclass_table_extra_share_raw.abc.log; synth_sec=1.721; abc_sec=0.000; eval_sec=0.474,student/frontend_campaigns/campaigns/frontend_source_parallel_round64_20260613_1004/agent_shards/sub-fp8-add-alt-r64/failed_hypotheses.csv
ex244,sub-fp8-add-alt-r64,FP8 source predicate/table restructuring,ex244|fp8_source_restructure|ex244_r64_ratio_leadclass_table|ratio_of_min_to_max_bins_plus_compact_min_sig_tail_under_shared_saturation_shell|abc_g_aig|raw|official_evaluate|full_word,not_equivalent,,,,float_fp8,ex244_ex244_r64_ratio_leadclass_table_abc_g_aig_raw,ex244_r64_ratio_leadclass_table + abc_g_aig + raw,ratio-of-min-to-max bins plus compact min-sig tail under shared saturation shell,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_ratio_leadclass_table/verilog/ex244_r64_ratio_leadclass_table.v,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_ratio_leadclass_table/aigs/ex244_ex244_r64_ratio_leadclass_table_abc_g_aig_raw.aig,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_ratio_leadclass_table/logs/ex244_ex244_r64_ratio_leadclass_table_abc_g_aig_raw.evaluate.py.log,official evaluate.py NOT_EQUIV; yosys_log=student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_ratio_leadclass_table/logs/ex244_r64_ratio_leadclass_table_abc_g_aig.yosys.log; abc_log=student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_ratio_leadclass_table/logs/ex244_ex244_r64_ratio_leadclass_table_abc_g_aig_raw.abc.log; synth_sec=1.937; abc_sec=0.000; eval_sec=0.499,student/frontend_campaigns/campaigns/frontend_source_parallel_round64_20260613_1004/agent_shards/sub-fp8-add-alt-r64/failed_hypotheses.csv
ex244,sub-fp8-add-alt-r64,FP8 source predicate/table restructuring,ex244|fp8_source_restructure|ex244_r64_ratio_leadclass_table|ratio_of_min_to_max_bins_plus_compact_min_sig_tail_under_shared_saturation_shell|synth_preset|raw|official_evaluate|full_word,not_equivalent,,,,float_fp8,ex244_ex244_r64_ratio_leadclass_table_synth_preset_raw,ex244_r64_ratio_leadclass_table + synth_preset + raw,ratio-of-min-to-max bins plus compact min-sig tail under shared saturation shell,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_ratio_leadclass_table/verilog/ex244_r64_ratio_leadclass_table.v,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_ratio_leadclass_table/aigs/ex244_ex244_r64_ratio_leadclass_table_synth_preset_raw.aig,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_ratio_leadclass_table/logs/ex244_ex244_r64_ratio_leadclass_table_synth_preset_raw.evaluate.py.log,official evaluate.py NOT_EQUIV; yosys_log=student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_ratio_leadclass_table/logs/ex244_r64_ratio_leadclass_table_synth_preset.yosys.log; abc_log=student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_ratio_leadclass_table/logs/ex244_ex244_r64_ratio_leadclass_table_synth_preset_raw.abc.log; synth_sec=2.046; abc_sec=0.000; eval_sec=0.475,student/frontend_campaigns/campaigns/frontend_source_parallel_round64_20260613_1004/agent_shards/sub-fp8-add-alt-r64/failed_hypotheses.csv
ex249,sub-fp8-add-alt-r64,FP8 source predicate/table restructuring,ex249|fp8_source_restructure|ex249_r64_ratio_formula|ratio_of_min_to_max_predicates_sharing_active_gap_and_saturation_shell|default|raw|official_evaluate|full_word,not_equivalent,,,,float_fp8,ex249_ex249_r64_ratio_formula_default_raw,ex249_r64_ratio_formula + default + raw,ratio-of-min-to-max predicates sharing active gap and saturation shell,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex249/ex249_r64_ratio_formula/verilog/ex249_r64_ratio_formula.v,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex249/ex249_r64_ratio_formula/aigs/ex249_ex249_r64_ratio_formula_default_raw.aig,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex249/ex249_r64_ratio_formula/logs/ex249_ex249_r64_ratio_formula_default_raw.evaluate.py.log,official evaluate.py NOT_EQUIV; yosys_log=student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex249/ex249_r64_ratio_formula/logs/ex249_r64_ratio_formula_default.yosys.log; abc_log=student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex249/ex249_r64_ratio_formula/logs/ex249_ex249_r64_ratio_formula_default_raw.abc.log; synth_sec=0.276; abc_sec=0.000; eval_sec=0.435,student/frontend_campaigns/campaigns/frontend_source_parallel_round64_20260613_1004/agent_shards/sub-fp8-add-alt-r64/failed_hypotheses.csv
ex249,sub-fp8-add-alt-r64,FP8 source predicate/table restructuring,ex249|fp8_source_restructure|ex249_r64_ratio_formula|ratio_of_min_to_max_predicates_sharing_active_gap_and_saturation_shell|extra_share|raw|official_evaluate|full_word,not_equivalent,,,,float_fp8,ex249_ex249_r64_ratio_formula_extra_share_raw,ex249_r64_ratio_formula + extra_share + raw,ratio-of-min-to-max predicates sharing active gap and saturation shell,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex249/ex249_r64_ratio_formula/verilog/ex249_r64_ratio_formula.v,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex249/ex249_r64_ratio_formula/aigs/ex249_ex249_r64_ratio_formula_extra_share_raw.aig,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex249/ex249_r64_ratio_formula/logs/ex249_ex249_r64_ratio_formula_extra_share_raw.evaluate.py.log,official evaluate.py NOT_EQUIV; yosys_log=student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex249/ex249_r64_ratio_formula/logs/ex249_r64_ratio_formula_extra_share.yosys.log; abc_log=student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex249/ex249_r64_ratio_formula/logs/ex249_ex249_r64_ratio_formula_extra_share_raw.abc.log; synth_sec=0.222; abc_sec=0.000; eval_sec=0.436,student/frontend_campaigns/campaigns/frontend_source_parallel_round64_20260613_1004/agent_shards/sub-fp8-add-alt-r64/failed_hypotheses.csv
ex249,sub-fp8-add-alt-r64,FP8 source predicate/table restructuring,ex249|fp8_source_restructure|ex249_r64_ratio_formula|ratio_of_min_to_max_predicates_sharing_active_gap_and_saturation_shell|abc_g_aig|raw|official_evaluate|full_word,not_equivalent,,,,float_fp8,ex249_ex249_r64_ratio_formula_abc_g_aig_raw,ex249_r64_ratio_formula + abc_g_aig + raw,ratio-of-min-to-max predicates sharing active gap and saturation shell,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex249/ex249_r64_ratio_formula/verilog/ex249_r64_ratio_formula.v,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex249/ex249_r64_ratio_formula/aigs/ex249_ex249_r64_ratio_formula_abc_g_aig_raw.aig,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex249/ex249_r64_ratio_formula/logs/ex249_ex249_r64_ratio_formula_abc_g_aig_raw.evaluate.py.log,official evaluate.py NOT_EQUIV; yosys_log=student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex249/ex249_r64_ratio_formula/logs/ex249_r64_ratio_formula_abc_g_aig.yosys.log; abc_log=student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex249/ex249_r64_ratio_formula/logs/ex249_ex249_r64_ratio_formula_abc_g_aig_raw.abc.log; synth_sec=0.283; abc_sec=0.000; eval_sec=0.446,student/frontend_campaigns/campaigns/frontend_source_parallel_round64_20260613_1004/agent_shards/sub-fp8-add-alt-r64/failed_hypotheses.csv
ex249,sub-fp8-add-alt-r64,FP8 source predicate/table restructuring,ex249|fp8_source_restructure|ex249_r64_ratio_formula|ratio_of_min_to_max_predicates_sharing_active_gap_and_saturation_shell|synth_preset|raw|official_evaluate|full_word,not_equivalent,,,,float_fp8,ex249_ex249_r64_ratio_formula_synth_preset_raw,ex249_r64_ratio_formula + synth_preset + raw,ratio-of-min-to-max predicates sharing active gap and saturation shell,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex249/ex249_r64_ratio_formula/verilog/ex249_r64_ratio_formula.v,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex249/ex249_r64_ratio_formula/aigs/ex249_ex249_r64_ratio_formula_synth_preset_raw.aig,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex249/ex249_r64_ratio_formula/logs/ex249_ex249_r64_ratio_formula_synth_preset_raw.evaluate.py.log,official evaluate.py NOT_EQUIV; yosys_log=student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex249/ex249_r64_ratio_formula/logs/ex249_r64_ratio_formula_synth_preset.yosys.log; abc_log=student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex249/ex249_r64_ratio_formula/logs/ex249_ex249_r64_ratio_formula_synth_preset_raw.abc.log; synth_sec=0.412; abc_sec=0.000; eval_sec=0.446,student/frontend_campaigns/campaigns/frontend_source_parallel_round64_20260613_1004/agent_shards/sub-fp8-add-alt-r64/failed_hypotheses.csv
ex246,sub-fp8-muldiv-alt-r64,E5M2FN multiply compact product boundary lattice,ex246|E5M2FN packed multiply|product zone lattice|shared product boundaries and packed low residual magnitudes|yosys_rtl_official_evaluate|exact_e5m2fn_mul_high_times_low|product_zone_lattice|default,equivalent_but_no_frontend_gain,,,,float_fp8,ex246_r64_product_zone_lattice_default,product-key zone lattice with packed low-boundary magnitudes / default,"shared sign xor, significand product, exponent sum, zero/saturation boundaries, normal mantissa class",student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-muldiv-alt-r64/ex246/verilog/ex246_r64_product_zone_lattice.v,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-muldiv-alt-r64/ex246/aigs/ex246_r64_product_zone_lattice_default.aig,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-muldiv-alt-r64/ex246/logs/ex246_r64_product_zone_lattice_default.evaluate.py.log,official OK 368/32/11776; frontend_best_adp=6888; reference_adp=2805,student/frontend_campaigns/campaigns/frontend_source_parallel_round64_20260613_1004/agent_shards/sub-fp8-muldiv-alt-r64/failed_hypotheses.csv
ex246,sub-fp8-muldiv-alt-r64,E5M2FN multiply compact product boundary lattice,ex246|E5M2FN packed multiply|product zone lattice|shared product boundaries and packed low residual magnitudes|yosys_rtl_official_evaluate|exact_e5m2fn_mul_high_times_low|product_zone_lattice|synth_preset_aig,equivalent_but_no_frontend_gain,,,,float_fp8,ex246_r64_product_zone_lattice_synth_preset_aig,product-key zone lattice with packed low-boundary magnitudes / synth_preset_aig,"shared sign xor, significand product, exponent sum, zero/saturation boundaries, normal mantissa class",student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-muldiv-alt-r64/ex246/verilog/ex246_r64_product_zone_lattice.v,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-muldiv-alt-r64/ex246/aigs/ex246_r64_product_zone_lattice_synth_preset_aig.aig,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-muldiv-alt-r64/ex246/logs/ex246_r64_product_zone_lattice_synth_preset_aig.evaluate.py.log,official OK 350/32/11200; frontend_best_adp=6888; reference_adp=2805,student/frontend_campaigns/campaigns/frontend_source_parallel_round64_20260613_1004/agent_shards/sub-fp8-muldiv-alt-r64/failed_hypotheses.csv
