case,agent_id,candidate_id,method_signature,hypothesis,representation,shared_structure,synth_flow,verilog_path,aig_path,evaluate_log,equivalent,area,delay,adp,beats_frontend_best,beats_reference,notes,domain,simulation_pass,shard_csv,variant,verified_truth
ex244,sub-fp8-add-alt-r64,ex244_ex244_r64_sqmin_threshold_bins_default_raw,ex244|fp8_source_restructure|ex244_r64_sqmin_threshold_bins|squared_magnitude_threshold_classes_using_min_sig_2_with_shared_max_min_gap_decode|default|raw|official_evaluate|full_word,FP8 source predicate/table restructuring,ex244_r64_sqmin_threshold_bins + default + raw,squared-magnitude threshold classes using min_sig^2 with shared max/min/gap decode,,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_sqmin_threshold_bins/verilog/ex244_r64_sqmin_threshold_bins.v,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_sqmin_threshold_bins/aigs/ex244_ex244_r64_sqmin_threshold_bins_default_raw.aig,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_sqmin_threshold_bins/logs/ex244_ex244_r64_sqmin_threshold_bins_default_raw.evaluate.py.log,1,410,37,15170,,,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_sqmin_threshold_bins/logs/ex244_r64_sqmin_threshold_bins_default.yosys.log; abc_log=student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_sqmin_threshold_bins/logs/ex244_ex244_r64_sqmin_threshold_bins_default_raw.abc.log; synth_sec=1.453; abc_sec=0.000; eval_sec=0.502,float_fp8,not_run,student/frontend_campaigns/campaigns/frontend_source_parallel_round64_20260613_1004/agent_shards/sub-fp8-add-alt-r64/candidates.csv,,
ex244,sub-fp8-add-alt-r64,ex244_ex244_r64_sqmin_threshold_bins_extra_share_raw,ex244|fp8_source_restructure|ex244_r64_sqmin_threshold_bins|squared_magnitude_threshold_classes_using_min_sig_2_with_shared_max_min_gap_decode|extra_share|raw|official_evaluate|full_word,FP8 source predicate/table restructuring,ex244_r64_sqmin_threshold_bins + extra_share + raw,squared-magnitude threshold classes using min_sig^2 with shared max/min/gap decode,,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_sqmin_threshold_bins/verilog/ex244_r64_sqmin_threshold_bins.v,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_sqmin_threshold_bins/aigs/ex244_ex244_r64_sqmin_threshold_bins_extra_share_raw.aig,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_sqmin_threshold_bins/logs/ex244_ex244_r64_sqmin_threshold_bins_extra_share_raw.evaluate.py.log,1,412,38,15656,,,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_sqmin_threshold_bins/logs/ex244_r64_sqmin_threshold_bins_extra_share.yosys.log; abc_log=student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_sqmin_threshold_bins/logs/ex244_ex244_r64_sqmin_threshold_bins_extra_share_raw.abc.log; synth_sec=1.408; abc_sec=0.000; eval_sec=0.519,float_fp8,not_run,student/frontend_campaigns/campaigns/frontend_source_parallel_round64_20260613_1004/agent_shards/sub-fp8-add-alt-r64/candidates.csv,,
ex244,sub-fp8-add-alt-r64,ex244_ex244_r64_sqmin_threshold_bins_abc_g_aig_raw,ex244|fp8_source_restructure|ex244_r64_sqmin_threshold_bins|squared_magnitude_threshold_classes_using_min_sig_2_with_shared_max_min_gap_decode|abc_g_aig|raw|official_evaluate|full_word,FP8 source predicate/table restructuring,ex244_r64_sqmin_threshold_bins + abc_g_aig + raw,squared-magnitude threshold classes using min_sig^2 with shared max/min/gap decode,,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_sqmin_threshold_bins/verilog/ex244_r64_sqmin_threshold_bins.v,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_sqmin_threshold_bins/aigs/ex244_ex244_r64_sqmin_threshold_bins_abc_g_aig_raw.aig,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_sqmin_threshold_bins/logs/ex244_ex244_r64_sqmin_threshold_bins_abc_g_aig_raw.evaluate.py.log,1,400,36,14400,,,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_sqmin_threshold_bins/logs/ex244_r64_sqmin_threshold_bins_abc_g_aig.yosys.log; abc_log=student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_sqmin_threshold_bins/logs/ex244_ex244_r64_sqmin_threshold_bins_abc_g_aig_raw.abc.log; synth_sec=1.345; abc_sec=0.000; eval_sec=0.537,float_fp8,not_run,student/frontend_campaigns/campaigns/frontend_source_parallel_round64_20260613_1004/agent_shards/sub-fp8-add-alt-r64/candidates.csv,,
ex244,sub-fp8-add-alt-r64,ex244_ex244_r64_sqmin_threshold_bins_synth_preset_raw,ex244|fp8_source_restructure|ex244_r64_sqmin_threshold_bins|squared_magnitude_threshold_classes_using_min_sig_2_with_shared_max_min_gap_decode|synth_preset|raw|official_evaluate|full_word,FP8 source predicate/table restructuring,ex244_r64_sqmin_threshold_bins + synth_preset + raw,squared-magnitude threshold classes using min_sig^2 with shared max/min/gap decode,,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_sqmin_threshold_bins/verilog/ex244_r64_sqmin_threshold_bins.v,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_sqmin_threshold_bins/aigs/ex244_ex244_r64_sqmin_threshold_bins_synth_preset_raw.aig,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_sqmin_threshold_bins/logs/ex244_ex244_r64_sqmin_threshold_bins_synth_preset_raw.evaluate.py.log,1,460,37,17020,,,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_sqmin_threshold_bins/logs/ex244_r64_sqmin_threshold_bins_synth_preset.yosys.log; abc_log=student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_sqmin_threshold_bins/logs/ex244_ex244_r64_sqmin_threshold_bins_synth_preset_raw.abc.log; synth_sec=2.094; abc_sec=0.000; eval_sec=0.528,float_fp8,not_run,student/frontend_campaigns/campaigns/frontend_source_parallel_round64_20260613_1004/agent_shards/sub-fp8-add-alt-r64/candidates.csv,,
ex244,sub-fp8-add-alt-r64,ex244_ex244_r64_siggap_threshold_control_default_raw,ex244|fp8_source_restructure|ex244_r64_siggap_threshold_control|older_run_threshold_control_candidate_used_as_non_bdd_contrast_for_squared_ratio_families|default|raw|official_evaluate|full_word,FP8 source predicate/table restructuring,ex244_r64_siggap_threshold_control + default + raw,older run-threshold control candidate used as non-BDD contrast for squared/ratio families,,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_siggap_threshold_control/verilog/ex244_r64_siggap_threshold_control.v,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_siggap_threshold_control/aigs/ex244_ex244_r64_siggap_threshold_control_default_raw.aig,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_siggap_threshold_control/logs/ex244_ex244_r64_siggap_threshold_control_default_raw.evaluate.py.log,1,1651,38,62738,,,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_siggap_threshold_control/logs/ex244_r64_siggap_threshold_control_default.yosys.log; abc_log=student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_siggap_threshold_control/logs/ex244_ex244_r64_siggap_threshold_control_default_raw.abc.log; synth_sec=2.254; abc_sec=0.000; eval_sec=0.532,float_fp8,not_run,student/frontend_campaigns/campaigns/frontend_source_parallel_round64_20260613_1004/agent_shards/sub-fp8-add-alt-r64/candidates.csv,,
ex244,sub-fp8-add-alt-r64,ex244_ex244_r64_siggap_threshold_control_extra_share_raw,ex244|fp8_source_restructure|ex244_r64_siggap_threshold_control|older_run_threshold_control_candidate_used_as_non_bdd_contrast_for_squared_ratio_families|extra_share|raw|official_evaluate|full_word,FP8 source predicate/table restructuring,ex244_r64_siggap_threshold_control + extra_share + raw,older run-threshold control candidate used as non-BDD contrast for squared/ratio families,,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_siggap_threshold_control/verilog/ex244_r64_siggap_threshold_control.v,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_siggap_threshold_control/aigs/ex244_ex244_r64_siggap_threshold_control_extra_share_raw.aig,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_siggap_threshold_control/logs/ex244_ex244_r64_siggap_threshold_control_extra_share_raw.evaluate.py.log,1,1653,38,62814,,,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_siggap_threshold_control/logs/ex244_r64_siggap_threshold_control_extra_share.yosys.log; abc_log=student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_siggap_threshold_control/logs/ex244_ex244_r64_siggap_threshold_control_extra_share_raw.abc.log; synth_sec=2.200; abc_sec=0.000; eval_sec=0.562,float_fp8,not_run,student/frontend_campaigns/campaigns/frontend_source_parallel_round64_20260613_1004/agent_shards/sub-fp8-add-alt-r64/candidates.csv,,
ex244,sub-fp8-add-alt-r64,ex244_ex244_r64_siggap_threshold_control_abc_g_aig_raw,ex244|fp8_source_restructure|ex244_r64_siggap_threshold_control|older_run_threshold_control_candidate_used_as_non_bdd_contrast_for_squared_ratio_families|abc_g_aig|raw|official_evaluate|full_word,FP8 source predicate/table restructuring,ex244_r64_siggap_threshold_control + abc_g_aig + raw,older run-threshold control candidate used as non-BDD contrast for squared/ratio families,,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_siggap_threshold_control/verilog/ex244_r64_siggap_threshold_control.v,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_siggap_threshold_control/aigs/ex244_ex244_r64_siggap_threshold_control_abc_g_aig_raw.aig,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_siggap_threshold_control/logs/ex244_ex244_r64_siggap_threshold_control_abc_g_aig_raw.evaluate.py.log,1,1621,37,59977,,,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_siggap_threshold_control/logs/ex244_r64_siggap_threshold_control_abc_g_aig.yosys.log; abc_log=student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_siggap_threshold_control/logs/ex244_ex244_r64_siggap_threshold_control_abc_g_aig_raw.abc.log; synth_sec=2.158; abc_sec=0.000; eval_sec=0.594,float_fp8,not_run,student/frontend_campaigns/campaigns/frontend_source_parallel_round64_20260613_1004/agent_shards/sub-fp8-add-alt-r64/candidates.csv,,
ex244,sub-fp8-add-alt-r64,ex244_ex244_r64_siggap_threshold_control_synth_preset_raw,ex244|fp8_source_restructure|ex244_r64_siggap_threshold_control|older_run_threshold_control_candidate_used_as_non_bdd_contrast_for_squared_ratio_families|synth_preset|raw|official_evaluate|full_word,FP8 source predicate/table restructuring,ex244_r64_siggap_threshold_control + synth_preset + raw,older run-threshold control candidate used as non-BDD contrast for squared/ratio families,,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_siggap_threshold_control/verilog/ex244_r64_siggap_threshold_control.v,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_siggap_threshold_control/aigs/ex244_ex244_r64_siggap_threshold_control_synth_preset_raw.aig,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_siggap_threshold_control/logs/ex244_ex244_r64_siggap_threshold_control_synth_preset_raw.evaluate.py.log,1,1663,37,61531,,,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_siggap_threshold_control/logs/ex244_r64_siggap_threshold_control_synth_preset.yosys.log; abc_log=student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_siggap_threshold_control/logs/ex244_ex244_r64_siggap_threshold_control_synth_preset_raw.abc.log; synth_sec=2.208; abc_sec=0.000; eval_sec=0.516,float_fp8,not_run,student/frontend_campaigns/campaigns/frontend_source_parallel_round64_20260613_1004/agent_shards/sub-fp8-add-alt-r64/candidates.csv,,
ex249,sub-fp8-add-alt-r64,ex249_ex249_r64_sqratio_case_default_raw,ex249|fp8_source_restructure|ex249_r64_sqratio_case|squared_ratio_delta_case_keyed_by_smin_squared_and_smax|default|raw|official_evaluate|full_word,FP8 source predicate/table restructuring,ex249_r64_sqratio_case + default + raw,squared-ratio delta case keyed by smin squared and smax,,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex249/ex249_r64_sqratio_case/verilog/ex249_r64_sqratio_case.v,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex249/ex249_r64_sqratio_case/aigs/ex249_ex249_r64_sqratio_case_default_raw.aig,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex249/ex249_r64_sqratio_case/logs/ex249_ex249_r64_sqratio_case_default_raw.evaluate.py.log,1,187,32,5984,,,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex249/ex249_r64_sqratio_case/logs/ex249_r64_sqratio_case_default.yosys.log; abc_log=student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex249/ex249_r64_sqratio_case/logs/ex249_ex249_r64_sqratio_case_default_raw.abc.log; synth_sec=0.221; abc_sec=0.000; eval_sec=0.469,float_fp8,not_run,student/frontend_campaigns/campaigns/frontend_source_parallel_round64_20260613_1004/agent_shards/sub-fp8-add-alt-r64/candidates.csv,,
ex249,sub-fp8-add-alt-r64,ex249_ex249_r64_sqratio_case_extra_share_raw,ex249|fp8_source_restructure|ex249_r64_sqratio_case|squared_ratio_delta_case_keyed_by_smin_squared_and_smax|extra_share|raw|official_evaluate|full_word,FP8 source predicate/table restructuring,ex249_r64_sqratio_case + extra_share + raw,squared-ratio delta case keyed by smin squared and smax,,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex249/ex249_r64_sqratio_case/verilog/ex249_r64_sqratio_case.v,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex249/ex249_r64_sqratio_case/aigs/ex249_ex249_r64_sqratio_case_extra_share_raw.aig,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex249/ex249_r64_sqratio_case/logs/ex249_ex249_r64_sqratio_case_extra_share_raw.evaluate.py.log,1,192,31,5952,,,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex249/ex249_r64_sqratio_case/logs/ex249_r64_sqratio_case_extra_share.yosys.log; abc_log=student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex249/ex249_r64_sqratio_case/logs/ex249_ex249_r64_sqratio_case_extra_share_raw.abc.log; synth_sec=0.232; abc_sec=0.000; eval_sec=0.467,float_fp8,not_run,student/frontend_campaigns/campaigns/frontend_source_parallel_round64_20260613_1004/agent_shards/sub-fp8-add-alt-r64/candidates.csv,,
