case,agent_id,hypothesis,shared_structure,estimated_saved_logic,observed_qor,notes,domain,candidate_id,representation,shard_csv,structure,shared_nodes,output_bits,evidence,result,sharing_strategy,synth_flow,prior_low_value_signatures_avoided,status,evidence_path
ex244,sub-fp8-add-alt-r64,FP8 source predicate/table restructuring,squared-magnitude threshold classes using min_sig^2 with shared max/min/gap decode,,,synth=default; post=raw; project default proc/techmap/abc AND/aigmap,float_fp8,ex244_ex244_r64_sqmin_threshold_bins_default_raw,ex244_r64_sqmin_threshold_bins + default + raw,student/frontend_campaigns/campaigns/frontend_source_parallel_round64_20260613_1004/agent_shards/sub-fp8-add-alt-r64/shared_structure_report.csv,,,,,,,,,,
ex244,sub-fp8-add-alt-r64,FP8 source predicate/table restructuring,squared-magnitude threshold classes using min_sig^2 with shared max/min/gap decode,,,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap,float_fp8,ex244_ex244_r64_sqmin_threshold_bins_extra_share_raw,ex244_r64_sqmin_threshold_bins + extra_share + raw,student/frontend_campaigns/campaigns/frontend_source_parallel_round64_20260613_1004/agent_shards/sub-fp8-add-alt-r64/shared_structure_report.csv,,,,,,,,,,
ex244,sub-fp8-add-alt-r64,FP8 source predicate/table restructuring,squared-magnitude threshold classes using min_sig^2 with shared max/min/gap decode,,,synth=abc_g_aig; post=raw; Yosys abc gate set aig,float_fp8,ex244_ex244_r64_sqmin_threshold_bins_abc_g_aig_raw,ex244_r64_sqmin_threshold_bins + abc_g_aig + raw,student/frontend_campaigns/campaigns/frontend_source_parallel_round64_20260613_1004/agent_shards/sub-fp8-add-alt-r64/shared_structure_report.csv,,,,,,,,,,
ex244,sub-fp8-add-alt-r64,FP8 source predicate/table restructuring,squared-magnitude threshold classes using min_sig^2 with shared max/min/gap decode,,,synth=synth_preset; post=raw; Yosys synth -flatten then abc/aigmap,float_fp8,ex244_ex244_r64_sqmin_threshold_bins_synth_preset_raw,ex244_r64_sqmin_threshold_bins + synth_preset + raw,student/frontend_campaigns/campaigns/frontend_source_parallel_round64_20260613_1004/agent_shards/sub-fp8-add-alt-r64/shared_structure_report.csv,,,,,,,,,,
ex244,sub-fp8-add-alt-r64,FP8 source predicate/table restructuring,ratio-of-min-to-max bins plus compact min-sig tail under shared saturation shell,,,synth=default; post=raw; project default proc/techmap/abc AND/aigmap,float_fp8,ex244_ex244_r64_ratio_leadclass_table_default_raw,ex244_r64_ratio_leadclass_table + default + raw,student/frontend_campaigns/campaigns/frontend_source_parallel_round64_20260613_1004/agent_shards/sub-fp8-add-alt-r64/shared_structure_report.csv,,,,,,,,,,
ex244,sub-fp8-add-alt-r64,FP8 source predicate/table restructuring,ratio-of-min-to-max bins plus compact min-sig tail under shared saturation shell,,,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap,float_fp8,ex244_ex244_r64_ratio_leadclass_table_extra_share_raw,ex244_r64_ratio_leadclass_table + extra_share + raw,student/frontend_campaigns/campaigns/frontend_source_parallel_round64_20260613_1004/agent_shards/sub-fp8-add-alt-r64/shared_structure_report.csv,,,,,,,,,,
ex244,sub-fp8-add-alt-r64,FP8 source predicate/table restructuring,ratio-of-min-to-max bins plus compact min-sig tail under shared saturation shell,,,synth=abc_g_aig; post=raw; Yosys abc gate set aig,float_fp8,ex244_ex244_r64_ratio_leadclass_table_abc_g_aig_raw,ex244_r64_ratio_leadclass_table + abc_g_aig + raw,student/frontend_campaigns/campaigns/frontend_source_parallel_round64_20260613_1004/agent_shards/sub-fp8-add-alt-r64/shared_structure_report.csv,,,,,,,,,,
ex244,sub-fp8-add-alt-r64,FP8 source predicate/table restructuring,ratio-of-min-to-max bins plus compact min-sig tail under shared saturation shell,,,synth=synth_preset; post=raw; Yosys synth -flatten then abc/aigmap,float_fp8,ex244_ex244_r64_ratio_leadclass_table_synth_preset_raw,ex244_r64_ratio_leadclass_table + synth_preset + raw,student/frontend_campaigns/campaigns/frontend_source_parallel_round64_20260613_1004/agent_shards/sub-fp8-add-alt-r64/shared_structure_report.csv,,,,,,,,,,
ex244,sub-fp8-add-alt-r64,FP8 source predicate/table restructuring,older run-threshold control candidate used as non-BDD contrast for squared/ratio families,,,synth=default; post=raw; project default proc/techmap/abc AND/aigmap,float_fp8,ex244_ex244_r64_siggap_threshold_control_default_raw,ex244_r64_siggap_threshold_control + default + raw,student/frontend_campaigns/campaigns/frontend_source_parallel_round64_20260613_1004/agent_shards/sub-fp8-add-alt-r64/shared_structure_report.csv,,,,,,,,,,
ex244,sub-fp8-add-alt-r64,FP8 source predicate/table restructuring,older run-threshold control candidate used as non-BDD contrast for squared/ratio families,,,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap,float_fp8,ex244_ex244_r64_siggap_threshold_control_extra_share_raw,ex244_r64_siggap_threshold_control + extra_share + raw,student/frontend_campaigns/campaigns/frontend_source_parallel_round64_20260613_1004/agent_shards/sub-fp8-add-alt-r64/shared_structure_report.csv,,,,,,,,,,
ex244,sub-fp8-add-alt-r64,FP8 source predicate/table restructuring,older run-threshold control candidate used as non-BDD contrast for squared/ratio families,,,synth=abc_g_aig; post=raw; Yosys abc gate set aig,float_fp8,ex244_ex244_r64_siggap_threshold_control_abc_g_aig_raw,ex244_r64_siggap_threshold_control + abc_g_aig + raw,student/frontend_campaigns/campaigns/frontend_source_parallel_round64_20260613_1004/agent_shards/sub-fp8-add-alt-r64/shared_structure_report.csv,,,,,,,,,,
ex244,sub-fp8-add-alt-r64,FP8 source predicate/table restructuring,older run-threshold control candidate used as non-BDD contrast for squared/ratio families,,,synth=synth_preset; post=raw; Yosys synth -flatten then abc/aigmap,float_fp8,ex244_ex244_r64_siggap_threshold_control_synth_preset_raw,ex244_r64_siggap_threshold_control + synth_preset + raw,student/frontend_campaigns/campaigns/frontend_source_parallel_round64_20260613_1004/agent_shards/sub-fp8-add-alt-r64/shared_structure_report.csv,,,,,,,,,,
ex249,sub-fp8-add-alt-r64,FP8 source predicate/table restructuring,ratio-of-min-to-max predicates sharing active gap and saturation shell,,,synth=default; post=raw; project default proc/techmap/abc AND/aigmap,float_fp8,ex249_ex249_r64_ratio_formula_default_raw,ex249_r64_ratio_formula + default + raw,student/frontend_campaigns/campaigns/frontend_source_parallel_round64_20260613_1004/agent_shards/sub-fp8-add-alt-r64/shared_structure_report.csv,,,,,,,,,,
ex249,sub-fp8-add-alt-r64,FP8 source predicate/table restructuring,ratio-of-min-to-max predicates sharing active gap and saturation shell,,,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap,float_fp8,ex249_ex249_r64_ratio_formula_extra_share_raw,ex249_r64_ratio_formula + extra_share + raw,student/frontend_campaigns/campaigns/frontend_source_parallel_round64_20260613_1004/agent_shards/sub-fp8-add-alt-r64/shared_structure_report.csv,,,,,,,,,,
ex249,sub-fp8-add-alt-r64,FP8 source predicate/table restructuring,ratio-of-min-to-max predicates sharing active gap and saturation shell,,,synth=abc_g_aig; post=raw; Yosys abc gate set aig,float_fp8,ex249_ex249_r64_ratio_formula_abc_g_aig_raw,ex249_r64_ratio_formula + abc_g_aig + raw,student/frontend_campaigns/campaigns/frontend_source_parallel_round64_20260613_1004/agent_shards/sub-fp8-add-alt-r64/shared_structure_report.csv,,,,,,,,,,
