round,run_id,agent_id,case,domain,hypothesis,representation,sharing_strategy,method_signature,status,reason,verilog_path,log_path,notes,shard_csv
91,frontend_cone_replace_round91_20260614_0034,sub-fp8-top-cone-r91,ex247,float_fp8,E5M2FN packed low-over-high division,round91 current-high r89-low output-cone mix,mixed current/r89 denominator-nested output cones,ex247|E5M2FN packed low-over-high division|round91 current-high r89-low output-cone mix|instantiate current and r89 equivalent RTL then keep current out[7:4] and r89 out[3:0]|yosys_abc_g_aig_frontend|official_evaluate|selected_output_cone_grouping,equivalent_but_no_frontend_gain,official evaluate.py OK but ADP did not beat current frontend best,student/work/frontend_cone_replace_round91_20260614_0034/sub-fp8-top-cone-r91/ex247/verilog/ex247_r91_current_hi_r89_lo_conemix.v,student/runs/float_fp8/frontend_cone_replace_round91_20260614_0034/sub-fp8-top-cone-r91/ex247/logs/ex247_r91_current_hi_r89_lo_conemix.evaluate.py.log,official evaluate.py OK; real round91 checkpoint row; nonwinning selected-cone mix,student/frontend_campaigns/campaigns/frontend_cone_replace_round91_20260614_0034/agent_shards/sub-fp8-top-cone-r91/failed_hypotheses.csv
91,frontend_cone_replace_round91_20260614_0034,sub-fp8-top-cone-r91,ex246,float_fp8,E5M2FN packed multiply high byte times low byte,round91 current-high r89-low output-cone mix,mixed current/r89 product-class output cones,ex246|E5M2FN packed multiply high byte times low byte|round91 current-high r89-low output-cone mix|instantiate current and r89 equivalent RTL then keep current out[7:4] and r89 out[3:0]|yosys_abc_g_aig_frontend|official_evaluate|selected_output_cone_grouping,equivalent_but_no_frontend_gain,official evaluate.py OK but ADP did not beat current frontend best,student/work/frontend_cone_replace_round91_20260614_0034/sub-fp8-top-cone-r91/ex246/verilog/ex246_r91_current_hi_r89_lo_conemix.v,student/runs/float_fp8/frontend_cone_replace_round91_20260614_0034/sub-fp8-top-cone-r91/ex246/logs/ex246_r91_current_hi_r89_lo_conemix.evaluate.py.log,official evaluate.py OK; real round91 checkpoint row; nonwinning selected-cone mix,student/frontend_campaigns/campaigns/frontend_cone_replace_round91_20260614_0034/agent_shards/sub-fp8-top-cone-r91/failed_hypotheses.csv
91,frontend_cone_replace_round91_20260614_0034,sub-fp8-top-cone-r91,ex244,float_fp8,E4M3FN packed hypot abs high low,round91 current-high r89-low output-cone mix,mixed current/r89 maxeff-delta output cones,ex244|E4M3FN packed hypot abs high low|round91 current-high r89-low output-cone mix|instantiate current and r89 equivalent RTL then keep current out[7:4] and r89 out[3:0]|yosys_abc_g_aig_frontend|official_evaluate|selected_output_cone_grouping,equivalent_but_no_frontend_gain,official evaluate.py OK but ADP did not beat current frontend best,student/work/frontend_cone_replace_round91_20260614_0034/sub-fp8-top-cone-r91/ex244/verilog/ex244_r91_current_hi_r89_lo_conemix.v,student/runs/float_fp8/frontend_cone_replace_round91_20260614_0034/sub-fp8-top-cone-r91/ex244/logs/ex244_r91_current_hi_r89_lo_conemix.evaluate.py.log,official evaluate.py OK; real round91 checkpoint row; nonwinning selected-cone mix,student/frontend_campaigns/campaigns/frontend_cone_replace_round91_20260614_0034/agent_shards/sub-fp8-top-cone-r91/failed_hypotheses.csv
91,frontend_cone_replace_round91_20260614_0034,sub-fp8-top-cone-r91,ex249,float_fp8,E5M2FN packed hypot abs high low,round91 current-high r89-low output-cone mix,mixed current/r89 raw-exp threshold output cones,ex249|E5M2FN packed hypot abs high low|round91 current-high r89-low output-cone mix|instantiate current and r89 equivalent RTL then keep current out[7:4] and r89 out[3:0]|yosys_abc_g_aig_frontend|official_evaluate|selected_output_cone_grouping,equivalent_but_no_frontend_gain,official evaluate.py OK but ADP did not beat current frontend best,student/work/frontend_cone_replace_round91_20260614_0034/sub-fp8-top-cone-r91/ex249/verilog/ex249_r91_current_hi_r89_lo_conemix.v,student/runs/float_fp8/frontend_cone_replace_round91_20260614_0034/sub-fp8-top-cone-r91/ex249/logs/ex249_r91_current_hi_r89_lo_conemix.evaluate.py.log,official evaluate.py OK; real round91 checkpoint row; nonwinning selected-cone mix,student/frontend_campaigns/campaigns/frontend_cone_replace_round91_20260614_0034/agent_shards/sub-fp8-top-cone-r91/failed_hypotheses.csv
round91,frontend_cone_replace_round91_20260614_0034,sub-int-fp16-cone-r91,ex223,fp16,fp16_log output-cone replacement / bounded decision graph,r86 truthroot bit11 source plus r89/r90 current-source variants,single exact bit11 root over dense log low-bit residual,ex223|fp16_log|round91_cone_replace_gate|no_tied_recent_distinct_cone|dense_lowbit_residual_blocker|no_candidate,BLOCKED_NO_CANDIDATE,"round89 emitted blocker-only rows and round90 only replayed the current r86 truthroot source; no tied/recent different cone shape exists for a bounded output-cone swap, and a decision graph would replay the known dense positive-normal low-bit residual",student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex223/verilog/ex223_r86_truthroot_bit11.v,student/work/frontend_highlevel_factor_round88_20260613_2335/sub-fp16-int-factor-r88/ex223/diagnostics/ex223_r88_blocker_evidence.md,r88 evidence: 9716 distinct words and 8532 low12 mode exceptions; no Verilog emitted in round91,student/frontend_campaigns/campaigns/frontend_cone_replace_round91_20260614_0034/agent_shards/sub-int-fp16-cone-r91/failed_hypotheses.csv
round91,frontend_cone_replace_round91_20260614_0034,sub-int-fp16-cone-r91,ex225,fp16,fp16_log10 output-cone replacement / bounded decision graph,r79 split-hi3 keep-highrun source against nested low12/hi5 family,high-run table plus dense low12 nested mantissa residual,ex225|fp16_log10|round91_cone_replace_gate|tied_flow_same_source_no_safe_cross_table_swap|dense_low12_residual_blocker|no_candidate,BLOCKED_NO_CANDIDATE,"round90 tied frontend target by changing only the source-to-AIG flow on the same r79 source, not by providing a distinct tied cone; cross-instantiating the large nested and r79 tables would duplicate dense low-bit logic without a compact replacement predicate",student/work/frontend_source_parallel_round79_20260613_1838/sub-fp16-source-r79/ex225/verilog/ex225_r79_split_hi3_keep_highrun.v,student/work/frontend_highlevel_factor_round88_20260613_2335/sub-fp16-int-factor-r88/ex225/diagnostics/ex225_r88_blocker_evidence.md,r88 evidence: 9769 distinct words and 8653 low12 mode exceptions; no planned candidate row emitted,student/frontend_campaigns/campaigns/frontend_cone_replace_round91_20260614_0034/agent_shards/sub-int-fp16-cone-r91/failed_hypotheses.csv
round91,frontend_cone_replace_round91_20260614_0034,sub-int-fp16-cone-r91,ex266,integer,unsigned low5/high5 divide output-cone replacement,"current {b[4:3],a[4]} wordmux versus r89 {b[4:3],a[4:3]} selector word-BDD",cofactor local BDD groups feeding shared quotient word mux,ex266|unsigned_low5_high5_divide_dbz_sat|round91_cone_replace_gate|recent_variants_nonwinning_not_tied|selector_mux_depth_blocker|no_candidate,BLOCKED_NO_CANDIDATE,"recent r89/r90 selector variants have different cone shapes but are not tied or close enough to justify replacing output cones; the only observed effect is extra selector/mux depth or area, with r90 current-source direct AIG still worse than frontend best",student/work/ex266_frontend_udiv_best_wordmux_flow_20260609_1204/ex266/verilog/ex266_udiv_ex266_cof_bhi2_a4_bitbdd_wordmux.v,student/runs/integer/frontend_synthflow_mutation_round90_20260614_0014/sub-int-fp16-flow-r90/ex266/official_eval/ex266_r90_best_wordmux_current_frontend_direct_abc_g_aig/ex266_r90_best_wordmux_current_frontend_direct_abc_g_aig.evaluate.py.log,round90 best local replay was 152/11/1672 versus frontend target 1480; no new Verilog emitted,student/frontend_campaigns/campaigns/frontend_cone_replace_round91_20260614_0034/agent_shards/sub-int-fp16-cone-r91/failed_hypotheses.csv
91,frontend_cone_replace_round91_20260614_0034,sub-unknown-cone-r91,ex285,unknown,output-cone replacement between current best and recent equivalent sources,current best is monolithic procedural decision tree and round90 is source-to-AIG rename of same tree,did not emit Verilog because replacing a subtree would replay table-sized decision tree fragments,ex285|round91_output_cone_screen|decision_tree_no_assignable_output_cone|no_synth|blocked_before_verilog,BLOCKED_NO_CANDIDATE,no simple assignable output cone found because current and r90 source assign only out equals out_r after a 16390-line decision tree,,,r89 blocker had r87 route-popcount cofactor DAGs ADP 172480/708816 and r88 descriptor still had 832 keys plus 1510 residual samples while r90 was official but nonwinning at 807/17/13719,student/frontend_campaigns/campaigns/frontend_cone_replace_round91_20260614_0034/agent_shards/sub-unknown-cone-r91/failed_hypotheses.csv
91,frontend_cone_replace_round91_20260614_0034,sub-unknown-cone-r91,ex288,unknown,output-cone replacement between current keyBDD selected source and recent equivalent source,current source has per-bit assign lines but each output cone is a 64-class symcof keyBDD mux,did not emit Verilog because further cone swaps would replay known k6 k4 keyBDD bit-hybrid failures or table-sized class muxes,ex288|round91_output_cone_screen|keybdd_class_mux_no_simple_new_cone|no_synth|blocked_before_verilog,BLOCKED_NO_CANDIDATE,no simple new assignable output cone found because the only isolated output bit is already-used key_bdd_bit_7 and broader bit hybrids were nonwinning,,,r89 blocker had descriptor 1248 keys and 27047 residual samples while r90 official row tied frontend best at 2257/14/31598 but did not improve,student/frontend_campaigns/campaigns/frontend_cone_replace_round91_20260614_0034/agent_shards/sub-unknown-cone-r91/failed_hypotheses.csv
91,frontend_cone_replace_round91_20260614_0034,sub-unknown-cone-r91,ex297,unknown,output-cone replacement among pairsel cell-bit and recent equivalent cluster sources,current source has simple pair output assigns but recent r74 through r77 replacements already covered adjacent selector clusters pairxor cell-local and grouped helper variants,no new cone emitted because repeat would not be materially different,ex297|round91_output_cone_screen|recent_pair_cluster_replacements_exhausted|no_synth|blocked_before_verilog,BLOCKED_NO_CANDIDATE,simple assignable pair cones exist but recent equivalent sources already tested the available pair and cluster replacements with all official rows nonwinning,,,recent rows include r74 pairxor celllocal 26609/16/425744 and r75 uncond sel2 midcluster 26617/16/425872 and r77 grouped helper 26603/17/452251 versus frontend best 26564/16/425024,student/frontend_campaigns/campaigns/frontend_cone_replace_round91_20260614_0034/agent_shards/sub-unknown-cone-r91/failed_hypotheses.csv
