round,run_id,agent_id,case,domain,hypothesis,representation,sharing_strategy,method_signature,status,reason,verilog_path,log_path,notes,shard_csv,candidate_id,failure_reason,reuse_policy,next_action,evidence_path
92,frontend_decision_structural_round92_20260614_0055,sub-fp16-int-struct-r92,ex223,fp16,fp16_log_highbit_decision_root_screen,dense_positive_normal_low_residual_after_shared_special_decode,shared_sign_exp_decode_only,ex223|fp16_log_r92_highbit_decision_root_screen|dense_positive_normal_low_residual_after_shared_special_decode|shared_sign_exp_decode_only|not_run|abc_xf_truth_diagnostic|not_r86_singlebit_not_r87_mtbdd,BLOCKED_TABLE_SIZED,Case index and r88/r91 evidence show 9716 distinct positive-normal words and 8532 low12 mode exceptions so an exact compact residual would replay dense nested or MTBDD families,,student/work/frontend_highlevel_factor_round88_20260613_2335/sub-fp16-int-factor-r88/ex223/diagnostics/ex223_r88_blocker_evidence.md,No candidate or evaluation row claimed.,student/frontend_campaigns/campaigns/frontend_decision_structural_round92_20260614_0055/agent_shards/sub-fp16-int-struct-r92/failed_hypotheses.csv,,,,,
92,frontend_decision_structural_round92_20260614_0055,sub-fp16-int-struct-r92,ex225,fp16,fp16_log10_highbit_decision_root_screen,dense_positive_normal_low_residual_after_shared_special_decode,shared_sign_exp_decode_only,ex225|fp16_log10_r92_highbit_decision_root_screen|dense_positive_normal_low_residual_after_shared_special_decode|shared_sign_exp_decode_only|not_run|abc_xf_truth_diagnostic|not_r90_synthflow_not_dense_residual,BLOCKED_TABLE_SIZED,Case index and r88/r91 evidence show 9769 distinct positive-normal words and 8653 low12 mode exceptions so an exact compact residual would replay dense nested or MTBDD families,,student/work/frontend_highlevel_factor_round88_20260613_2335/sub-fp16-int-factor-r88/ex225/diagnostics/ex225_r88_blocker_evidence.md,No candidate or evaluation row claimed.,student/frontend_campaigns/campaigns/frontend_decision_structural_round92_20260614_0055/agent_shards/sub-fp16-int-struct-r92/failed_hypotheses.csv,,,,,
92,frontend_decision_structural_round92_20260614_0055,sub-fp16-int-struct-r92,ex260,integer,signed_low4_high4_multiply,signed_bit_weight_rows_pairwise_sum,shared_signed_a_rows_and_pairwise_merge,ex260|signed_low4_high4_multiply_r92_bitweight_pairrows|signed_bit_weight_rows_pairwise_sum|shared_signed_a_rows_and_pairwise_merge|yosys_abc_g_aig|abc_xf_official_evaluate|not_r91_bcase_not_baugh_prefix_replay,EQUIVALENT_NONWINNING,Official evaluate.py equivalent but did not beat current frontend best.,student/work/frontend_decision_structural_round92_20260614_0055/sub-fp16-int-struct-r92/ex260/verilog/ex260_r92_bitweight_pairrows.v,student/runs/integer/frontend_decision_structural_round92_20260614_0055/sub-fp16-int-struct-r92/ex260/official_eval/ex260_r92_bitweight_pairrows_abc_g_aig/ex260_r92_bitweight_pairrows_abc_g_aig.evaluate.py.log,candidate=ex260_r92_bitweight_pairrows_abc_g_aig; area=105; delay=17; adp=1785,student/frontend_campaigns/campaigns/frontend_decision_structural_round92_20260614_0055/agent_shards/sub-fp16-int-struct-r92/failed_hypotheses.csv,,,,,
92,frontend_decision_structural_round92_20260614_0055,sub-fp16-int-struct-r92,ex266,integer,unsigned_low5_high5_divide_dbz_sat,parallel_top2_threshold_selector_plus_low3_residual_division,shared_qtop_decision_and_residual_lowquotient,ex266|unsigned_low5_high5_divide_r92_top2_residual_selector|parallel_top2_threshold_selector_plus_low3_residual_division|shared_qtop_decision_and_residual_lowquotient|yosys_abc_g_aig|abc_xf_official_evaluate|not_current_wordmux_not_perbit_bdd,EQUIVALENT_NONWINNING,Official evaluate.py equivalent but did not beat current frontend best.,student/work/frontend_decision_structural_round92_20260614_0055/sub-fp16-int-struct-r92/ex266/verilog/ex266_r92_top2_residual_low3.v,student/runs/integer/frontend_decision_structural_round92_20260614_0055/sub-fp16-int-struct-r92/ex266/official_eval/ex266_r92_top2_residual_low3_abc_g_aig/ex266_r92_top2_residual_low3_abc_g_aig.evaluate.py.log,candidate=ex266_r92_top2_residual_low3_abc_g_aig; area=100; delay=31; adp=3100,student/frontend_campaigns/campaigns/frontend_decision_structural_round92_20260614_0055/agent_shards/sub-fp16-int-struct-r92/failed_hypotheses.csv,,,,,
92,frontend_decision_structural_round92_20260614_0055,sub-fp8-arith-dgraph-r92,ex241,float_fp8,E4M3FN packed multiply high byte times low byte,product-class affine decision nodes with residual exp windows,shared product lead rounded_sig exponent sum and saturation predicates,ex241|E4M3FN packed multiply high byte times low byte|product-class affine decision nodes with residual exp windows|shared product lead rounded_sig exponent sum and saturation predicates|repo_yosys_frontend_default|official_evaluate|decision_bus_magnitude,equivalent_but_nonwinning,official evaluate.py OK; ADP=24140; frontend_best=14094,student/work/frontend_decision_structural_round92_20260614_0055/sub-fp8-arith-dgraph-r92/ex241/verilog/ex241_r92_product_affine_decision.v,student/runs/float_fp8/frontend_decision_structural_round92_20260614_0055/sub-fp8-arith-dgraph-r92/ex241/official_eval/ex241_r92_product_affine_decision/ex241_r92_product_affine_decision.evaluate.py.log,candidate kept in candidates/evaluation only when official OK; otherwise failed evidence only,student/frontend_campaigns/campaigns/frontend_decision_structural_round92_20260614_0055/agent_shards/sub-fp8-arith-dgraph-r92/failed_hypotheses.csv,,,,,
92,frontend_decision_structural_round92_20260614_0055,sub-fp8-arith-dgraph-r92,ex245,float_fp8,E5M2FN packed add high byte plus low byte,unified same/diff active decision bus around small-gap class core,shared sorted decode gap same-diff saturation and residual predicates,ex245|E5M2FN packed add high byte plus low byte|small-gap active decision residual nodes|shared sorted decode gap same-diff saturation and residual predicates|repo_yosys_frontend_default|official_evaluate|decision_bus_active_magnitude,equivalent_but_nonwinning,official evaluate.py OK; ADP=23940; frontend_best=22077,student/work/frontend_decision_structural_round92_20260614_0055/sub-fp8-arith-dgraph-r92/ex245/verilog/ex245_r92_unified_active_decision.v,student/runs/float_fp8/frontend_decision_structural_round92_20260614_0055/sub-fp8-arith-dgraph-r92/ex245/official_eval/ex245_r92_unified_active_decision/ex245_r92_unified_active_decision.evaluate.py.log,candidate kept in candidates/evaluation only when official OK; otherwise failed evidence only,student/frontend_campaigns/campaigns/frontend_decision_structural_round92_20260614_0055/agent_shards/sub-fp8-arith-dgraph-r92/failed_hypotheses.csv,,,,,
92,frontend_decision_structural_round92_20260614_0055,sub-fp8-arith-dgraph-r92,ex240,float_fp8,E4M3FN packed add high byte plus low byte,bounded cancellation decision residual nodes,shared sorted magnitude decode same-sign GRS and diff residual predicates,ex240|E4M3FN packed add high byte plus low byte|bounded cancellation decision residual nodes|shared sorted magnitude decode same-sign GRS and diff residual predicates|repo_yosys_frontend_default|official_evaluate|decision_bus_sign_magnitude,BLOCKED_TABLE_SIZED_RESIDUAL,"screened exact residual rows=7652, keys=7652, conflicts=0; would replay table-sized cancellation residual",,student/work/frontend_decision_structural_round92_20260614_0055/sub-fp8-arith-dgraph-r92/ex240/dossier.md,concrete blocker; no candidates/evaluation row because no official candidate was emitted,student/frontend_campaigns/campaigns/frontend_decision_structural_round92_20260614_0055/agent_shards/sub-fp8-arith-dgraph-r92/failed_hypotheses.csv,,,,,
92,frontend_decision_structural_round92_20260614_0055,sub-fp8-top-dgraph-r92,ex244,float_fp8,E4M3FN packed hypot,max_eff/gap/sig residual table over exact max-plus-delta,shared max/min decode with grouped delta output,ex244|E4M3FN packed hypot|max_eff_gap_sig_residual_table|shared max/min decode plus exact residual delta table|not_emitted|exact_e4m3fn_hypot_abs_high_low|max_plus_delta_grouped,BLOCKED_TABLE_SIZED_RESIDUAL,Exact residual table would require 1642 nonzero max_eff/gap/sig/min_sig entries before synthesis; this repeats table-sized residual direction instead of compact node graph.,not_emitted,not_run,Computed during planning; no Verilog/AIG/evaluate.py row claimed.,student/frontend_campaigns/campaigns/frontend_decision_structural_round92_20260614_0055/agent_shards/sub-fp8-top-dgraph-r92/failed_hypotheses.csv,,,,,
92,frontend_decision_structural_round92_20260614_0055,sub-fp8-top-dgraph-r92,ex247,float_fp8,E5M2FN packed low-over-high division,compact bound-smallpat decision-node bus,shared sign/nan/zero/delta/sigpair/low-pattern predicates,ex247|E5M2FN packed low-over-high division|compact bound-smallpat decision-node bus|shared sign/nan/zero/delta/sigpair/low-pattern predicates|repo_yosys_frontend_default_official_evaluate|exact_e5m2fn_div_low_over_high|grouped_action_magnitude,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,official evaluate.py OK but ADP did not beat current frontend best,student/work/frontend_decision_structural_round92_20260614_0055/sub-fp8-top-dgraph-r92/ex247/verilog/ex247_r92_bound_nodebus_grouped.v,student/work/frontend_decision_structural_round92_20260614_0055/sub-fp8-top-dgraph-r92/ex247/logs/ex247_r92_bound_nodebus_grouped.evaluate.py.log,official evaluate.py OK; frontend_best=7291; current=6804; reference=2975,student/frontend_campaigns/campaigns/frontend_decision_structural_round92_20260614_0055/agent_shards/sub-fp8-top-dgraph-r92/failed_hypotheses.csv,,,,,
92,frontend_decision_structural_round92_20260614_0055,sub-fp8-top-dgraph-r92,ex246,float_fp8,E5M2FN packed multiply high byte times low byte,compact product decision-node bus,shared sign/nan/exp-sum/product/saturation/underflow predicates,ex246|E5M2FN packed multiply|compact product decision-node bus|shared sign/nan/exp-sum/product/saturation/underflow predicates|repo_yosys_frontend_default_official_evaluate|exact_e5m2fn_mul_high_times_low|grouped_exp_mant_magnitude,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,official evaluate.py OK but ADP did not beat current frontend best,student/work/frontend_decision_structural_round92_20260614_0055/sub-fp8-top-dgraph-r92/ex246/verilog/ex246_r92_product_nodebus_grouped.v,student/work/frontend_decision_structural_round92_20260614_0055/sub-fp8-top-dgraph-r92/ex246/logs/ex246_r92_product_nodebus_grouped.evaluate.py.log,official evaluate.py OK; frontend_best=6888; current=5984; reference=2805,student/frontend_campaigns/campaigns/frontend_decision_structural_round92_20260614_0055/agent_shards/sub-fp8-top-dgraph-r92/failed_hypotheses.csv,,,,,
92,frontend_decision_structural_round92_20260614_0055,sub-fp8-top-dgraph-r92,ex249,float_fp8,"E5M2FN packed hypot abs(high,low)",structural top-conversion predicate bus,shared raw-exp gap0/gap1 delta and saturation predicates,ex249|E5M2FN packed hypot|structural top-conversion predicate bus|shared max/min raw-exp active-gap delta and saturation predicates|repo_yosys_frontend_default_official_evaluate|exact_e5m2fn_hypot_abs_high_low|grouped_delta_saturation_magnitude,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,official evaluate.py OK but ADP did not beat current frontend best,student/work/frontend_decision_structural_round92_20260614_0055/sub-fp8-top-dgraph-r92/ex249/verilog/ex249_r92_rawexp_topconvert_nodes.v,student/work/frontend_decision_structural_round92_20260614_0055/sub-fp8-top-dgraph-r92/ex249/logs/ex249_r92_rawexp_topconvert_nodes.evaluate.py.log,official evaluate.py OK; frontend_best=4342; current=3339; reference=2079,student/frontend_campaigns/campaigns/frontend_decision_structural_round92_20260614_0055/agent_shards/sub-fp8-top-dgraph-r92/failed_hypotheses.csv,,,,,
,,sub-unknown-struct-r92,ex297,,,,,ex297|round92_precheck|r91_pairmix_mask_vector_replay|no_synth|prior_low_value|cell_pair_outputs,BLOCKED_NO_CANDIDATE,,,,blocked during checkpoint precheck; no Verilog/AIG/evaluate.py attempt emitted,student/frontend_campaigns/campaigns/frontend_decision_structural_round92_20260614_0055/agent_shards/sub-unknown-struct-r92/failed_hypotheses.csv,,would repeat round91 pairmix mask decision graph unchanged; official r91 row was equivalent but nonwinning at ADP 508806,do_not_repeat_as_is,Try only with materially different selector/state basis or output grouping,student/work/frontend_cone_replace_round91_20260614_0034/sub-unknown-cone-r91/ex297/verilog/ex297_r91_pairmix_mask_decision_graph.v
,,sub-unknown-struct-r92,ex285,,,,,ex285|round92_precheck|r87_r88_table_descriptor_replay|no_synth|prior_low_value|full_word,BLOCKED_NO_CANDIDATE,,,,blocked during checkpoint precheck; no Verilog/AIG/evaluate.py attempt emitted,student/frontend_campaigns/campaigns/frontend_decision_structural_round92_20260614_0055/agent_shards/sub-unknown-struct-r92/failed_hypotheses.csv,,r87 popcount route DAG and r88 descriptor/table screens are explicitly do-not-repeat or table-sized/nonwinning,do_not_repeat_as_is,Use a smaller shared predicate/output repair form instead of table-sized descriptor replay,student/frontend_campaigns/case_index/ex285.md
,,sub-unknown-struct-r92,ex288,,,,,ex288|round92_precheck|keybdd_table_or_symcof_replay|no_synth|prior_low_value|full_word,BLOCKED_NO_CANDIDATE,,,,blocked during checkpoint precheck; no Verilog/AIG/evaluate.py attempt emitted,student/frontend_campaigns/campaigns/frontend_decision_structural_round92_20260614_0055/agent_shards/sub-unknown-struct-r92/failed_hypotheses.csv,,existing key-BDD/symcof/multipair forms are marked equivalent-but-bad or tied frontend without reference-scale progress,do_not_repeat_as_is,Try smaller selected symmetry/root predicates before adding new BDD tables,student/frontend_campaigns/case_index/ex288.md
,,sub-unknown-struct-r92,ex285,,,,,ex285|hamming_weight_route_parity_repair|global_parity_selected_output_reconstruction|shared_input_parity_and_current_tree_residual|repo_yosys_synth_default|official_evaluate|selected_bit0_repair,EQUIVALENT_NONWINNING,,,,real official frontend attempt recorded in candidates.csv and evaluation_results.csv,student/frontend_campaigns/campaigns/frontend_decision_structural_round92_20260614_0055/agent_shards/sub-unknown-struct-r92/failed_hypotheses.csv,ex285_r92_global_parity_repair_bit0,official evaluate.py OK at 824/25/20600 but worse than current frontend best ADP 11033 and reference ADP 5499,do_not_repeat_as_is,Only revisit with materially different shared swap/layer predicates or output grouping,student/work/frontend_decision_structural_round92_20260614_0055/sub-unknown-struct-r92/ex285/logs/ex285_r92_global_parity_repair_bit0.evaluate.py.log
,,sub-unknown-struct-r92,ex299,,,,,ex299|cyclic_2bit_selector_cluster_mask|static_celllocal_pair89_vector_overlay|shared_static_overlay_mask_between_sel2_pairsel_and_celllocal_sources|no_synth|blocked_replay_risk|celllocal_bits_8_9_vector_overlay,BLOCKED_NO_CANDIDATE,,,,blocked by bounded checkpoint review; no Verilog/AIG/evaluate.py attempt emitted for ex299,student/frontend_campaigns/campaigns/frontend_decision_structural_round92_20260614_0055/agent_shards/sub-unknown-struct-r92/failed_hypotheses.csv,,planned vector mask would be a syntactic rewrite of current r78 static_celllocal_pair89 bits8/9 selected-output overlay without new selector/state basis,do_not_emit_without_material_new_structure,Use a different local identity/state selector or output grouping before any official run,student/work/frontend_source_parallel_round78_20260613_1744/sub-unknown-bitcluster-r78/ex299/verilog/ex299_r78_static_celllocal_pair89.v
