round,run_id,agent_id,case,candidate_id,structure_type,shared_signal_count,outputs_covered,expected_effect,observed_area,observed_delay,observed_adp,notes,shard_csv,domain,shared_nodes,residual_key,residual_entries,shared_structure,node_count,output_grouping,evidence_path
92,frontend_decision_structural_round92_20260614_0055,sub-fp16-int-struct-r92,ex260,ex260_r92_bitweight_pairrows_abc_g_aig,signed_bit_weight_rows_pairwise_sum,6,8,shared_signed_a_rows_and_pairwise_merge,105,17,1785,four signed bit-weight rows plus pair01/pair23 merge,student/frontend_campaigns/campaigns/frontend_decision_structural_round92_20260614_0055/agent_shards/sub-fp16-int-struct-r92/shared_structure_report.csv,,,,,,,,
92,frontend_decision_structural_round92_20260614_0055,sub-fp16-int-struct-r92,ex266,ex266_r92_top2_residual_low3_abc_g_aig,parallel_top2_threshold_selector_plus_low3_residual_division,5,5,shared_qtop_decision_and_residual_lowquotient,100,31,3100,ge24/ge16/ge8 decision node selects residual low3 quotient cone,student/frontend_campaigns/campaigns/frontend_decision_structural_round92_20260614_0055/agent_shards/sub-fp16-int-struct-r92/shared_structure_report.csv,,,,,,,,
92,frontend_decision_structural_round92_20260614_0055,sub-fp8-arith-dgraph-r92,ex241,ex241_r92_product_affine_decision,,,,,,,,official evaluate.py attempted,student/frontend_campaigns/campaigns/frontend_decision_structural_round92_20260614_0055/agent_shards/sub-fp8-arith-dgraph-r92/shared_structure_report.csv,float_fp8,"product,exp_sum,zero_hi/sat_lo,affine_exp_mant",product+exp_sum residual windows,226 product blocks,,,,
92,frontend_decision_structural_round92_20260614_0055,sub-fp8-arith-dgraph-r92,ex245,ex245_r92_unified_active_decision,,,,,,,,official evaluate.py attempted,student/frontend_campaigns/campaigns/frontend_decision_structural_round92_20260614_0055/agent_shards/sub-fp8-arith-dgraph-r92/shared_structure_report.csv,float_fp8,"same_sign,gap,max_sig,min_sig,min_eff",unified same/diff active residual,2304 active class blocks,,,,
92,frontend_decision_structural_round92_20260614_0055,sub-fp8-arith-dgraph-r92,ex240,blocked_screen_only,,,,,,,,blocked before Verilog because grouping remains table-sized,student/frontend_campaigns/campaigns/frontend_decision_structural_round92_20260614_0055/agent_shards/sub-fp8-arith-dgraph-r92/shared_structure_report.csv,float_fp8,"same_sign,gap,max_sig,min_sig,min_eff",same/diff cancellation residual,rows=7652;keys=7652;conflicts=0,,,,
92,frontend_decision_structural_round92_20260614_0055,sub-fp8-top-dgraph-r92,ex244,blocked_max_eff_gap_sig_residual_table,blocked_table_sized_residual,0,none,would provide exact max-plus-delta residual but table is too large,,,,1642 nonzero residual entries; not emitted,student/frontend_campaigns/campaigns/frontend_decision_structural_round92_20260614_0055/agent_shards/sub-fp8-top-dgraph-r92/shared_structure_report.csv,,,,,,,,
92,frontend_decision_structural_round92_20260614_0055,sub-fp8-top-dgraph-r92,ex247,ex247_r92_bound_nodebus_grouped,compact_shared_decision_graph,13,full_word,node bus drives invalid/zero/sat/low/linear grouped magnitude output,372,26,9672,official evaluate.py OK; frontend_best=7291; current=6804; reference=2975,student/frontend_campaigns/campaigns/frontend_decision_structural_round92_20260614_0055/agent_shards/sub-fp8-top-dgraph-r92/shared_structure_report.csv,,,,,,,,
92,frontend_decision_structural_round92_20260614_0055,sub-fp8-top-dgraph-r92,ex246,ex246_r92_product_nodebus_grouped,compact_shared_decision_graph,11,full_word,node bus drives zero/sat/low/linear product magnitude fields,346,31,10726,official evaluate.py OK; frontend_best=6888; current=5984; reference=2805,student/frontend_campaigns/campaigns/frontend_decision_structural_round92_20260614_0055/agent_shards/sub-fp8-top-dgraph-r92/shared_structure_report.csv,,,,,,,,
92,frontend_decision_structural_round92_20260614_0055,sub-fp8-top-dgraph-r92,ex249,ex249_r92_rawexp_topconvert_nodes,structural_fp8_top_conversion,10,full_word,"node bus drives delta, saturation, and grouped magnitude output",192,29,5568,official evaluate.py OK; frontend_best=4342; current=3339; reference=2079,student/frontend_campaigns/campaigns/frontend_decision_structural_round92_20260614_0055/agent_shards/sub-fp8-top-dgraph-r92/shared_structure_report.csv,,,,,,,,
,,sub-unknown-struct-r92,ex285,ex285_r92_global_parity_repair_bit0,,,,,,,,compact shared parity reconstruction was exact but increased delay and ADP,student/frontend_campaigns/campaigns/frontend_decision_structural_round92_20260614_0055/agent_shards/sub-unknown-struct-r92/shared_structure_report.csv,,,,,shared_input_parity_and_residual_output_parity,2,base_outputs_11_to_1_plus_repaired_bit0,student/work/frontend_decision_structural_round92_20260614_0055/sub-unknown-struct-r92/ex285/verilog/ex285_r92_global_parity_repair_bit0.v
