case,domain,candidate_id,shared_structures,sharing_strategy,estimated_benefit,agent_id,run_id,notes
ex204,bf16,blocked_bf16_log2_nonreplay,sign_exp_decode; mantissa residual mode groups,diagnostic only; prior residual copy families already nonwinning,blocked,mixed-r12,ex200_ex299_frontend_refgap_round12_20260612_2015,positive mode exceptions remain dense
ex218,bf16,blocked_bf16_reciprocal_cube,sign symmetry; exponent formula; mantissa transform,diagnostic only; semantic arithmetic path remains too deep,blocked,mixed-r12,ex200_ex299_frontend_refgap_round12_20260612_2015,strong sign symmetry does not solve mantissa cost
ex223,fp16,blocked_fp16_log_non_nested,shared special decode; positive-normal mantissa residuals,diagnostic only; non-nested normalizer not found,blocked,mixed-r12,ex200_ex299_frontend_refgap_round12_20260612_2015,nested-low replay avoided
ex224,fp16,blocked_fp16_log2_non_nested,shared special decode; exponent base residuals,diagnostic only; prior clustered and word-BDD rows nonwinning,blocked,mixed-r12,ex200_ex299_frontend_refgap_round12_20260612_2015,nested-low replay avoided
ex225,fp16,blocked_fp16_log10_non_nested,shared special decode; exponent base residuals,diagnostic only; prior sparse and additive residual rows nonwinning,blocked,mixed-r12,ex200_ex299_frontend_refgap_round12_20260612_2015,nested-low and sparse replay avoided
ex246,float_fp8,ex246_semantic_mul_key_bdd_product_low_then_exp_synth_preset_aig,sign xor; exponent sum; significand product key; output-bit BDD roots,Group output bits by product-low-to-high semantic key before exponent-sum bits to test lower-delay source factoring,negative,fp8-bound-r12,ex200_ex299_frontend_refgap_round12_20260612_2015,Official OK 595/31/18445; area and delay both worse than seed12 current 341/22/7502
ex247,float_fp8,ex247_round12_bound_region_mux_abc_g_aig_d14,round5 boundary-region decode; abc_g_aig delay target,shared sign/exponent/significand decode plus denominator-nested boundary attributes,test whether lower delay target can beat ADP 8349 without RTL replay,coordinator-fp8-dtarget,ex200_ex299_frontend_refgap_round12_20260612_2015,official evaluate.py status OK; runtime_sec=0.810; synth_log=student/work/ex200_ex299_frontend_refgap_round12_20260612_2015/coordinator-fp8-dtarget/ex247/logs/ex247_round12_bound_region_mux_abc_g_aig_d14.yosys.log
ex247,float_fp8,ex247_round12_bound_region_mux_abc_g_aig_d16,round5 boundary-region decode; abc_g_aig delay target,shared sign/exponent/significand decode plus denominator-nested boundary attributes,test whether lower delay target can beat ADP 8349 without RTL replay,coordinator-fp8-dtarget,ex200_ex299_frontend_refgap_round12_20260612_2015,official evaluate.py status OK; runtime_sec=0.786; synth_log=student/work/ex200_ex299_frontend_refgap_round12_20260612_2015/coordinator-fp8-dtarget/ex247/logs/ex247_round12_bound_region_mux_abc_g_aig_d16.yosys.log
ex247,float_fp8,ex247_round12_bound_region_mux_abc_g_aig_d18,round5 boundary-region decode; abc_g_aig delay target,shared sign/exponent/significand decode plus denominator-nested boundary attributes,test whether lower delay target can beat ADP 8349 without RTL replay,coordinator-fp8-dtarget,ex200_ex299_frontend_refgap_round12_20260612_2015,official evaluate.py status OK; runtime_sec=0.814; synth_log=student/work/ex200_ex299_frontend_refgap_round12_20260612_2015/coordinator-fp8-dtarget/ex247/logs/ex247_round12_bound_region_mux_abc_g_aig_d18.yosys.log
ex247,float_fp8,ex247_round12_bound_region_mux_abc_g_aig_d20,round5 boundary-region decode; abc_g_aig delay target,shared sign/exponent/significand decode plus denominator-nested boundary attributes,test whether lower delay target can beat ADP 8349 without RTL replay,coordinator-fp8-dtarget,ex200_ex299_frontend_refgap_round12_20260612_2015,official evaluate.py status OK; runtime_sec=0.751; synth_log=student/work/ex200_ex299_frontend_refgap_round12_20260612_2015/coordinator-fp8-dtarget/ex247/logs/ex247_round12_bound_region_mux_abc_g_aig_d20.yosys.log
ex247,float_fp8,ex247_round12_bound_region_mux_abc_g_aig_d22,round5 boundary-region decode; abc_g_aig delay target,shared sign/exponent/significand decode plus denominator-nested boundary attributes,test whether lower delay target can beat ADP 8349 without RTL replay,coordinator-fp8-dtarget,ex200_ex299_frontend_refgap_round12_20260612_2015,official evaluate.py status OK; runtime_sec=0.785; synth_log=student/work/ex200_ex299_frontend_refgap_round12_20260612_2015/coordinator-fp8-dtarget/ex247/logs/ex247_round12_bound_region_mux_abc_g_aig_d22.yosys.log
ex247,float_fp8,ex247_round12_bound_region_mux_abc_g_aig_d24,round5 boundary-region decode; abc_g_aig delay target,shared sign/exponent/significand decode plus denominator-nested boundary attributes,test whether lower delay target can beat ADP 8349 without RTL replay,coordinator-fp8-dtarget,ex200_ex299_frontend_refgap_round12_20260612_2015,official evaluate.py status OK; runtime_sec=0.786; synth_log=student/work/ex200_ex299_frontend_refgap_round12_20260612_2015/coordinator-fp8-dtarget/ex247/logs/ex247_round12_bound_region_mux_abc_g_aig_d24.yosys.log
ex253,float_fp8,ex253_round12_count_threshold_groups_abc_g_aig,"low-bit popcount tree, high-bit popcount tree, count-pair threshold predicates, grouped E4M3 output ranges",direct threshold predicates over hi/lo counts instead of final lane-sum qcase,expected to remove qcase decode but actual AIG area/delay increased,fp8-resid-r12,ex200_ex299_frontend_refgap_round12_20260612_2015,Equivalent but worse than popcount lane-qcase.
ex266,integer,ex266_restore_cmp_chain_abc_g_aig,shifted divisor comparisons; subtract remainders,MSB-to-LSB quotient chain shares each remainder across lower quotient bits,low,mixed-r12,ex200_ex299_frontend_refgap_round12_20260612_2015,area improves but delay blocks ADP
ex274,integer,ex274_karatsuba8_shared_abc_g_aig,lo square; hi square; sum square; cross term,Karatsuba split shares an 8-bit sum-square cross term,negative,mixed-r12,ex200_ex299_frontend_refgap_round12_20260612_2015,deeper than triangular Wallace hybrid
ex276,integer,ex276_candidate_square_chain_abc_g_aig,candidate squares; ge decisions,bitwise sqrt refinement shares candidate squares across later decisions,low,mixed-r12,ex200_ex299_frontend_refgap_round12_20260612_2015,area improves but delay blocks ADP
ex286,unknown,ex286_routing_delta_shared_bdd_collision_first_abc_g_aig,single shared reduced BDD node pool for delta bits; final output is in ^ delta,,,,ex200_ex299_frontend_refgap_round12_20260612_2015,collision-first order puts known swap-invariant pair bits before endpoint sweep
ex297,unknown,ex297_r12_localctx_r1_residual_bdd_abc_g_aig,local cell descriptor XOR residual BDD,20397,tests whether a small local descriptor removes common structure before shared BDD residual emission,state-r12,ex200_ex299_frontend_refgap_round12_20260612_2015,"{""base_ones"": [7680, 7424, 7680, 7424, 7680, 7424, 7680, 7424, 7680, 7424, 7680, 7424, 7680, 7424], ""key_width"": 6, ""order"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13], ""radius"": 1, ""residual_bdd_nodes"": 20397, ""residual_density"": 0.366973876953125, ""residual_ones"": [6316, 5709, 6316, 5709, 6316, 5709, 6316, 5709, 6316, 5709, 6316, 5709, 6316, 5709], ""table_groups"": [""phase0"", ""phase1""]}"
ex299,unknown,ex299_r12_localctx_r1_residual_bdd_abc_g_aig,local cell descriptor XOR residual BDD,72106,tests whether a small local descriptor removes common structure before shared BDD residual emission,state-r12,ex200_ex299_frontend_refgap_round12_20260612_2015,"{""base_ones"": [32768, 24576, 32768, 24576, 32768, 24576, 32768, 24576, 32768, 24576, 32768, 24576, 32768, 24576, 32768, 24576], ""key_width"": 6, ""order"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], ""radius"": 1, ""residual_bdd_nodes"": 72106, ""residual_density"": 0.366912841796875, ""residual_ones"": [25312, 22780, 25312, 22780, 25312, 22780, 25312, 22780, 25312, 22780, 25312, 22780, 25312, 22780, 25312, 22780], ""table_groups"": [""phase0"", ""phase1""]}"
