case,domain,candidate_id,shared_structures,sharing_strategy,estimated_benefit,agent_id,run_id,notes
ex218,bf16,,shared odd-sign shell plus exponent/mantissa high-range dominant-mode patch and bit-plane density audit,,,fpbf-alt-r18,ex200_ex299_frontend_refgap_round18_20260612_2321,distinct blocker from ex223; no official candidate claimed
ex223,fp16,,shared FP16 sign/exponent shell plus mantissa range dominant-mode patch and high-bit plane grouping,,,fpbf-alt-r18,ex200_ex299_frontend_refgap_round18_20260612_2321,materially different diagnostic from sparse residual and selected-bit replay
ex246,float_fp8,BLOCKED_NO_CANDIDATE,planned shared sign xor exponent-sum significand-product rounding-sticky underflow and saturation predicates,,,,ex200_ex299_frontend_refgap_round18_20260612_2321,no implemented round18 source yet; prior product-code completion and threshold families should not be replayed
ex247,float_fp8,BLOCKED_NO_CANDIDATE,planned shared special-case decode exponent-delta quotient-class rounding-sticky divide-by-zero saturation and low-boundary predicates,,,,ex200_ex299_frontend_refgap_round18_20260612_2321,no implemented round18 source yet; prior denominator split threshold and cofactor families should not be replayed
ex260,integer,ex260_smul_factored_correction_shallow_yosys_abc_g_and,signed_correction_factored_shallow,3x3 unsigned core plus two sign correction rows plus sign-sign constant,avoid full signed partial-product matrix by sharing correction before final shallow sum,integer-near-r18,ex200_ex299_frontend_refgap_round18_20260612_2321,exact but correction-adder path loses to current frontend
ex266,integer,ex266_udiv_trialborrow_prefix_yosys_abc_g_and,udiv_trial_subtract_borrow_prefix,5 trial subtractors plus accepted remainder chain,share shifted divisor and subtract/borrow decisions across quotient bits,integer-near-r18,ex200_ex299_frontend_refgap_round18_20260612_2321,low area but recurrence depth dominates
ex286,unknown,,,,,,ex200_ex299_frontend_refgap_round18_20260612_2321,Small swap/transducer evidence remains far from exact
ex287,unknown,,,,,,ex200_ex299_frontend_refgap_round18_20260612_2321,Exact correction remains table/MDD scale
ex295,unknown,BLOCKED_NO_CANDIDATE,"symbol-plane local contexts, adjacent transition deltas, global plane parity predicates",one predicate family shared across all cyclic 2-bit output cells,rejected before RTL: local context conflicts remain; exact predicate keys have 4096 contexts equal to full truth rows,unknown-state-r18,ex200_ex299_frontend_refgap_round18_20260612_2321,evidence=student/work/ex200_ex299_frontend_refgap_round18_20260612_2321/unknown-state-r18/ex295/notes/ex295_r18_recurrence_blocker.md
ex299,unknown,BLOCKED_NO_CANDIDATE,"symbol-plane local contexts, adjacent transition deltas, global plane parity predicates",one predicate family shared across all cyclic 2-bit output cells,rejected before RTL: best local-context conflicts 4; best predicate conflicts 256,unknown-state-r18,ex200_ex299_frontend_refgap_round18_20260612_2321,evidence=student/work/ex200_ex299_frontend_refgap_round18_20260612_2321/unknown-state-r18/ex299/notes/ex299_r18_recurrence_blocker.md
