case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex266,ex266_udiv_ex266_cof_bhi1_mtbdd_abc_g_aig,1,158,14,2212,student/work/ex266_frontend_udiv_cofactor_mtbdd_20260609_1042/ex266/aigs/ex266_udiv_ex266_cof_bhi1_mtbdd_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi1_mtbdd; flow=abc_g_aig
ex266,ex266_udiv_ex266_cof_bhi2_mtbdd_synth_preset_d12,0,,,,student/work/ex266_frontend_udiv_cofactor_mtbdd_20260609_1042/ex266/aigs/ex266_udiv_ex266_cof_bhi2_mtbdd_synth_preset_d12.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi2_mtbdd; flow=synth_preset_d12
ex266,ex266_udiv_ex266_cof_bhi3_mtbdd_abc_g_aig,0,,,,student/work/ex266_frontend_udiv_cofactor_mtbdd_20260609_1042/ex266/aigs/ex266_udiv_ex266_cof_bhi3_mtbdd_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi3_mtbdd; flow=abc_g_aig
ex266,ex266_udiv_ex266_cof_bhi3_mtbdd_wreduce_abc_g_aig,0,,,,student/work/ex266_frontend_udiv_cofactor_mtbdd_20260609_1042/ex266/aigs/ex266_udiv_ex266_cof_bhi3_mtbdd_wreduce_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi3_mtbdd; flow=wreduce_abc_g_aig
ex266,ex266_udiv_ex266_cof_bhi3_mtbdd_synth_preset,0,,,,student/work/ex266_frontend_udiv_cofactor_mtbdd_20260609_1042/ex266/aigs/ex266_udiv_ex266_cof_bhi3_mtbdd_synth_preset.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi3_mtbdd; flow=synth_preset
ex266,ex266_udiv_ex266_cof_bhi3_mtbdd_synth_preset_d8,0,,,,student/work/ex266_frontend_udiv_cofactor_mtbdd_20260609_1042/ex266/aigs/ex266_udiv_ex266_cof_bhi3_mtbdd_synth_preset_d8.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi3_mtbdd; flow=synth_preset_d8
ex266,ex266_udiv_ex266_cof_bhi3_mtbdd_synth_preset_d10,0,,,,student/work/ex266_frontend_udiv_cofactor_mtbdd_20260609_1042/ex266/aigs/ex266_udiv_ex266_cof_bhi3_mtbdd_synth_preset_d10.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi3_mtbdd; flow=synth_preset_d10
ex266,ex266_udiv_ex266_cof_bhi3_mtbdd_synth_preset_d12,0,,,,student/work/ex266_frontend_udiv_cofactor_mtbdd_20260609_1042/ex266/aigs/ex266_udiv_ex266_cof_bhi3_mtbdd_synth_preset_d12.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi3_mtbdd; flow=synth_preset_d12
ex266,ex266_udiv_ex266_cof_bhi4_mtbdd_abc_g_aig,0,,,,student/work/ex266_frontend_udiv_cofactor_mtbdd_20260609_1042/ex266/aigs/ex266_udiv_ex266_cof_bhi4_mtbdd_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi4_mtbdd; flow=abc_g_aig
ex266,ex266_udiv_ex266_cof_bhi4_mtbdd_wreduce_abc_g_aig,0,,,,student/work/ex266_frontend_udiv_cofactor_mtbdd_20260609_1042/ex266/aigs/ex266_udiv_ex266_cof_bhi4_mtbdd_wreduce_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi4_mtbdd; flow=wreduce_abc_g_aig
ex266,ex266_udiv_ex266_cof_bhi4_mtbdd_synth_preset,0,,,,student/work/ex266_frontend_udiv_cofactor_mtbdd_20260609_1042/ex266/aigs/ex266_udiv_ex266_cof_bhi4_mtbdd_synth_preset.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi4_mtbdd; flow=synth_preset
ex266,ex266_udiv_ex266_cof_bhi4_mtbdd_synth_preset_d8,0,,,,student/work/ex266_frontend_udiv_cofactor_mtbdd_20260609_1042/ex266/aigs/ex266_udiv_ex266_cof_bhi4_mtbdd_synth_preset_d8.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi4_mtbdd; flow=synth_preset_d8
ex266,ex266_udiv_ex266_cof_bhi4_mtbdd_synth_preset_d10,0,,,,student/work/ex266_frontend_udiv_cofactor_mtbdd_20260609_1042/ex266/aigs/ex266_udiv_ex266_cof_bhi4_mtbdd_synth_preset_d10.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi4_mtbdd; flow=synth_preset_d10
ex266,ex266_udiv_ex266_cof_bhi4_mtbdd_synth_preset_d12,0,,,,student/work/ex266_frontend_udiv_cofactor_mtbdd_20260609_1042/ex266/aigs/ex266_udiv_ex266_cof_bhi4_mtbdd_synth_preset_d12.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi4_mtbdd; flow=synth_preset_d12
