case,domain,agent_id,hypothesis,representation,shared_structure,method_signature,observed_sharing,area_delay_tradeoff,notes
ex245,float_fp8,fp8-wide-r25,E5M2FN packed add,separate same/diff max-min pair correction tables,shared sorted magnitude/sign decode; same and diff correction tables,,4229/33/139557,,official evaluate.py status OK; synth=abc_g_and; yosys_log=student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-wide-r25/ex245/logs/ex245_r25w_pair_delta_maxmin_abc_g_and.yosys.log
ex241,float_fp8,fp8-wide-r25,E4M3FN packed multiply,direct product plus exponent-sum magnitude table,"shared sign xor, sig product, exponent sum",,1076/29/31204,,official evaluate.py status OK; synth=abc_g_and; yosys_log=student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-wide-r25/ex241/logs/ex241_r25w_product_exp_table_abc_g_and.yosys.log
ex242,float_fp8,fp8-wide-r25,E4M3FN packed low-over-high division,delta and significand quotient magnitude table,"shared NaN/zero/sign shell, sig numerator/denominator, exponent delta",,2082/30/62460,,official evaluate.py status OK; synth=abc_g_and; yosys_log=student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-wide-r25/ex242/logs/ex242_r25w_delta_sig_table_abc_g_and.yosys.log
ex249,float_fp8,fp8-wide-r25,"E5M2FN packed hypot abs(high,low)",max-effective-exponent delta table,"shared max/min decode, eff exponent gap, sig pair, saturating max-plus-delta",,NOT_EQUIV,,official evaluate.py status NOT_EQUIV; synth=abc_g_and; yosys_log=student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-wide-r25/ex249/logs/ex249_r25w_maxeff_delta_abc_g_and.yosys.log
ex248,float_fp8,fp8-wide-r25,E5M2FN packed fmod low mod high,exact exponent-delta residue table,"shared divisor sig, numerator sig, exponent delta, remainder normalizer",,315/31/9765,,official evaluate.py status OK; synth=abc_g_and; yosys_log=student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-wide-r25/ex248/logs/ex248_r25w_delta_residue_abc_g_and.yosys.log
ex247,float_fp8,fp8-worst-r25,truth-derived shared BDD exact structural fallback,shared ROBDD over interleaved high/low FP8 operand bits,shared BDD nodes across all eight output bits,ex247|truth-derived exact function|shared ROBDD interleaved high-low bits|shared multi-output BDD nodes|yosys_default_AND_then_evaluate.py|exact_truth_table|bitplane_roots,order_name=order_15_7_14_6_13_5_12_4_11_3_10_2_9_1_8_0; order=15:7:14:6:13:5:12:4:11:3:10:2:9:1:8:0; bdd_nodes=707,1007/21/21147,official evaluate.py status OK
ex246,float_fp8,fp8-worst-r25,truth-derived shared BDD exact structural fallback,shared ROBDD over interleaved high/low FP8 operand bits,shared BDD nodes across all eight output bits,ex246|truth-derived exact function|shared ROBDD interleaved high-low bits|shared multi-output BDD nodes|yosys_default_AND_then_evaluate.py|exact_truth_table|bitplane_roots,order_name=order_15_7_14_6_13_5_12_4_11_3_10_2_9_1_8_0; order=15:7:14:6:13:5:12:4:11:3:10:2:9:1:8:0; bdd_nodes=711,998/21/20958,official evaluate.py status OK
ex244,float_fp8,fp8-worst-r25,truth-derived shared BDD exact structural fallback,shared ROBDD over interleaved high/low FP8 operand bits,shared BDD nodes across all eight output bits,ex244|truth-derived exact function|shared ROBDD interleaved high-low bits|shared multi-output BDD nodes|yosys_default_AND_then_evaluate.py|exact_truth_table|bitplane_roots,order_name=order_15_7_14_6_13_5_12_4_11_3_10_2_9_1_8_0; order=15:7:14:6:13:5:12:4:11:3:10:2:9:1:8:0; bdd_nodes=412,695/22/15290,official evaluate.py status OK
ex240,float_fp8,fp8-worst-r25,truth-derived shared BDD exact structural fallback,shared ROBDD over interleaved high/low FP8 operand bits,shared BDD nodes across all eight output bits,ex240|truth-derived exact function|shared ROBDD interleaved high-low bits|shared multi-output BDD nodes|yosys_default_AND_then_evaluate.py|exact_truth_table|bitplane_roots,order_name=order_15_7_14_6_13_5_12_4_11_3_10_2_9_1_8_0; order=15:7:14:6:13:5:12:4:11:3:10:2:9:1:8:0; bdd_nodes=1668,2786/26/72436,official evaluate.py status OK
ex247,float_fp8,fp8-worst-r25,current semantic frontend source alternate mapping probe,current best source replay with materially different Yosys/AIG mapping flow,inherits source-level shared decode from current frontend best,ex247|current frontend best source|alternate synth mapping resynth_noabc_aigmap|reuse existing source shared decode|resynth_noabc_aigmap_evaluate.py|E5M2FN packed low-over-high division with boundary-first region mux|full_output,flow probe from ex247_round5_bound_region_mux_abc_g_aig; yosys_log=student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-worst-r25/ex247/logs/ex247_resynth_noabc_aigmap.yosys.log,604/43/25972,official evaluate.py status OK
ex247,float_fp8,fp8-worst-r25,current semantic frontend source alternate mapping probe,current best source replay with materially different Yosys/AIG mapping flow,inherits source-level shared decode from current frontend best,ex247|current frontend best source|alternate synth mapping resynth_abc_g_aig|reuse existing source shared decode|resynth_abc_g_aig_evaluate.py|E5M2FN packed low-over-high division with boundary-first region mux|full_output,flow probe from ex247_round5_bound_region_mux_abc_g_aig; yosys_log=student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-worst-r25/ex247/logs/ex247_resynth_abc_g_aig.yosys.log,363/23/8349,official evaluate.py status OK
ex246,float_fp8,fp8-worst-r25,current semantic frontend source alternate mapping probe,current best source replay with materially different Yosys/AIG mapping flow,inherits source-level shared decode from current frontend best,ex246|current frontend best source|alternate synth mapping resynth_noabc_aigmap|reuse existing source shared decode|resynth_noabc_aigmap_evaluate.py|current_frontend_semantics|full_output,flow probe from ex246_semantic_mul_product_dc_seed12_set11to10_synth_preset_aig; yosys_log=student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-worst-r25/ex246/logs/ex246_resynth_noabc_aigmap.yosys.log,1211/34/41174,official evaluate.py status OK
ex246,float_fp8,fp8-worst-r25,current semantic frontend source alternate mapping probe,current best source replay with materially different Yosys/AIG mapping flow,inherits source-level shared decode from current frontend best,ex246|current frontend best source|alternate synth mapping resynth_abc_g_aig|reuse existing source shared decode|resynth_abc_g_aig_evaluate.py|current_frontend_semantics|full_output,flow probe from ex246_semantic_mul_product_dc_seed12_set11to10_synth_preset_aig; yosys_log=student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-worst-r25/ex246/logs/ex246_resynth_abc_g_aig.yosys.log,354/24/8496,official evaluate.py status OK
ex244,float_fp8,fp8-worst-r25,current semantic frontend source alternate mapping probe,current best source replay with materially different Yosys/AIG mapping flow,inherits source-level shared decode from current frontend best,ex244|current frontend best source|alternate synth mapping resynth_noabc_aigmap|reuse existing source shared decode|resynth_noabc_aigmap_evaluate.py|current_frontend_semantics|full_output,flow probe from ex244_semantic_hypot_delta_maxeff_bdd_expfirst_synth_preset_aig; yosys_log=student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-worst-r25/ex244/logs/ex244_resynth_noabc_aigmap.yosys.log,509/58/29522,official evaluate.py status OK
