case,domain,agent_id,hypothesis,representation,shared_structure,method_signature,outcome,reason,evidence_path,next_action
ex245,float_fp8,fp8-wide-r25,E5M2FN packed add,,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,ex245|E5M2FN packed add|separate same/diff max-min pair correction tables|shared sorted magnitude/sign decode; same and diff correction tables|abc_g_and|exact_e5m2fn_add_high_plus_low|same/diff max-min pair correction|fp8_wide_r25,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,official evaluate.py status OK; synth=abc_g_and; yosys_log=student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-wide-r25/ex245/logs/ex245_r25w_pair_delta_maxmin_abc_g_and.yosys.log,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-wide-r25/ex245/logs/ex245_r25w_pair_delta_maxmin_abc_g_and.evaluate.py.log,Do not repeat unchanged; require material high-level or sharing change.
ex245,float_fp8,fp8-wide-r25,E5M2FN packed add,,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,ex245|E5M2FN packed add|separate same/diff max-min pair correction tables|shared sorted magnitude/sign decode; same and diff correction tables|abc_g_aig|exact_e5m2fn_add_high_plus_low|same/diff max-min pair correction|fp8_wide_r25,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,official evaluate.py status OK; synth=abc_g_aig; yosys_log=student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-wide-r25/ex245/logs/ex245_r25w_pair_delta_maxmin_abc_g_aig.yosys.log,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-wide-r25/ex245/logs/ex245_r25w_pair_delta_maxmin_abc_g_aig.evaluate.py.log,Do not repeat unchanged; require material high-level or sharing change.
ex245,float_fp8,fp8-wide-r25,E5M2FN packed add,,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,ex245|E5M2FN packed add|separate same/diff max-min pair correction tables|shared sorted magnitude/sign decode; same and diff correction tables|synth_preset_aig|exact_e5m2fn_add_high_plus_low|same/diff max-min pair correction|fp8_wide_r25,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,official evaluate.py status OK; synth=synth_preset_aig; yosys_log=student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-wide-r25/ex245/logs/ex245_r25w_pair_delta_maxmin_synth_preset_aig.yosys.log,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-wide-r25/ex245/logs/ex245_r25w_pair_delta_maxmin_synth_preset_aig.evaluate.py.log,Do not repeat unchanged; require material high-level or sharing change.
ex241,float_fp8,fp8-wide-r25,E4M3FN packed multiply,,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,"ex241|E4M3FN packed multiply|direct product plus exponent-sum magnitude table|shared sign xor, sig product, exponent sum|abc_g_and|exact_e4m3fn_mul_high_times_low|product/exp cofactor magnitude|fp8_wide_r25",EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,official evaluate.py status OK; synth=abc_g_and; yosys_log=student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-wide-r25/ex241/logs/ex241_r25w_product_exp_table_abc_g_and.yosys.log,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-wide-r25/ex241/logs/ex241_r25w_product_exp_table_abc_g_and.evaluate.py.log,Do not repeat unchanged; require material high-level or sharing change.
ex241,float_fp8,fp8-wide-r25,E4M3FN packed multiply,,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,"ex241|E4M3FN packed multiply|direct product plus exponent-sum magnitude table|shared sign xor, sig product, exponent sum|abc_g_aig|exact_e4m3fn_mul_high_times_low|product/exp cofactor magnitude|fp8_wide_r25",EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,official evaluate.py status OK; synth=abc_g_aig; yosys_log=student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-wide-r25/ex241/logs/ex241_r25w_product_exp_table_abc_g_aig.yosys.log,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-wide-r25/ex241/logs/ex241_r25w_product_exp_table_abc_g_aig.evaluate.py.log,Do not repeat unchanged; require material high-level or sharing change.
ex241,float_fp8,fp8-wide-r25,E4M3FN packed multiply,,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,"ex241|E4M3FN packed multiply|direct product plus exponent-sum magnitude table|shared sign xor, sig product, exponent sum|synth_preset_aig|exact_e4m3fn_mul_high_times_low|product/exp cofactor magnitude|fp8_wide_r25",EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,official evaluate.py status OK; synth=synth_preset_aig; yosys_log=student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-wide-r25/ex241/logs/ex241_r25w_product_exp_table_synth_preset_aig.yosys.log,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-wide-r25/ex241/logs/ex241_r25w_product_exp_table_synth_preset_aig.evaluate.py.log,Do not repeat unchanged; require material high-level or sharing change.
ex241,float_fp8,fp8-wide-r25,E4M3FN packed multiply,,FAILED_OFFICIAL_EVALUATE_OR_SYNTH,"ex241|E4M3FN packed multiply|product boundary attributes with low direct magnitudes|shared sign xor, product class, zero/sat/linear/low regions|abc_g_and|exact_e4m3fn_mul_high_times_low|product boundary region magnitude|fp8_wide_r25",FAILED_OFFICIAL_EVALUATE_OR_SYNTH,official evaluate.py status NOT_EQUIV; synth=abc_g_and; yosys_log=student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-wide-r25/ex241/logs/ex241_r25w_product_boundary_attrs_abc_g_and.yosys.log,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-wide-r25/ex241/logs/ex241_r25w_product_boundary_attrs_abc_g_and.evaluate.py.log,Do not repeat unchanged; require material high-level or sharing change.
ex241,float_fp8,fp8-wide-r25,E4M3FN packed multiply,,FAILED_OFFICIAL_EVALUATE_OR_SYNTH,"ex241|E4M3FN packed multiply|product boundary attributes with low direct magnitudes|shared sign xor, product class, zero/sat/linear/low regions|abc_g_aig|exact_e4m3fn_mul_high_times_low|product boundary region magnitude|fp8_wide_r25",FAILED_OFFICIAL_EVALUATE_OR_SYNTH,official evaluate.py status NOT_EQUIV; synth=abc_g_aig; yosys_log=student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-wide-r25/ex241/logs/ex241_r25w_product_boundary_attrs_abc_g_aig.yosys.log,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-wide-r25/ex241/logs/ex241_r25w_product_boundary_attrs_abc_g_aig.evaluate.py.log,Do not repeat unchanged; require material high-level or sharing change.
ex241,float_fp8,fp8-wide-r25,E4M3FN packed multiply,,FAILED_OFFICIAL_EVALUATE_OR_SYNTH,"ex241|E4M3FN packed multiply|product boundary attributes with low direct magnitudes|shared sign xor, product class, zero/sat/linear/low regions|synth_preset_aig|exact_e4m3fn_mul_high_times_low|product boundary region magnitude|fp8_wide_r25",FAILED_OFFICIAL_EVALUATE_OR_SYNTH,official evaluate.py status NOT_EQUIV; synth=synth_preset_aig; yosys_log=student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-wide-r25/ex241/logs/ex241_r25w_product_boundary_attrs_synth_preset_aig.yosys.log,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-wide-r25/ex241/logs/ex241_r25w_product_boundary_attrs_synth_preset_aig.evaluate.py.log,Do not repeat unchanged; require material high-level or sharing change.
ex242,float_fp8,fp8-wide-r25,E4M3FN packed low-over-high division,,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,"ex242|E4M3FN packed low-over-high division|delta and significand quotient magnitude table|shared NaN/zero/sign shell, sig numerator/denominator, exponent delta|abc_g_and|exact_e4m3fn_div_low_over_high|delta/sig cofactor magnitude|fp8_wide_r25",EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,official evaluate.py status OK; synth=abc_g_and; yosys_log=student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-wide-r25/ex242/logs/ex242_r25w_delta_sig_table_abc_g_and.yosys.log,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-wide-r25/ex242/logs/ex242_r25w_delta_sig_table_abc_g_and.evaluate.py.log,Do not repeat unchanged; require material high-level or sharing change.
