case,domain,agent_id,candidate_id,simulation_pass,log_path,notes
ex240,float_fp8,local-close-gia-r42,ex240_r42_resyn2rs_area_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex240,float_fp8,local-close-gia-r42,ex240_r42_compress2rs_area_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex240,float_fp8,local-close-gia-r42,ex240_r42_mfs_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex240,float_fp8,local-close-gia-r42,ex240_r42_mfs_rwz_mfs_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex240,float_fp8,local-close-gia-r42,ex240_r42_ssw_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex240,float_fp8,local-close-gia-r42,ex240_r42_fraig_mfs_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex240,float_fp8,local-close-gia-r42,ex240_r42_dchoice_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex240,float_fp8,local-close-gia-r42,ex240_r42_choice_if4_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex240,float_fp8,local-close-gia-r42,ex240_r42_compress_l_no_dc_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex240,float_fp8,local-close-gia-r42,ex240_r42_resub_deep_rf_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex240,float_fp8,local-close-gia-r42,ex240_r42_dc2_scorr_resyn_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex240,float_fp8,local-close-gia-r42,ex240_r42_dc2_lcorr_resyn_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex240,float_fp8,local-close-gia-r42,ex240_r42_rw_resub_loop5_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex240,float_fp8,local-close-gia-r42,ex240_r42_area_then_delay_recover_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex240,float_fp8,local-close-gia-r42,ex240_r42_gia_dc2_put_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex240,float_fp8,local-close-gia-r42,ex240_r42_gia_dch_put_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex240,float_fp8,local-close-gia-r42,ex240_r42_gia_dc2_rw_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex244,float_fp8,local-close-gia-r42,ex244_r42_resyn2rs_area_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex244,float_fp8,local-close-gia-r42,ex244_r42_compress2rs_area_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex244,float_fp8,local-close-gia-r42,ex244_r42_mfs_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex244,float_fp8,local-close-gia-r42,ex244_r42_mfs_rwz_mfs_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex244,float_fp8,local-close-gia-r42,ex244_r42_ssw_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex244,float_fp8,local-close-gia-r42,ex244_r42_fraig_mfs_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex244,float_fp8,local-close-gia-r42,ex244_r42_dchoice_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex244,float_fp8,local-close-gia-r42,ex244_r42_choice_if4_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex244,float_fp8,local-close-gia-r42,ex244_r42_compress_l_no_dc_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex244,float_fp8,local-close-gia-r42,ex244_r42_resub_deep_rf_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex244,float_fp8,local-close-gia-r42,ex244_r42_dc2_scorr_resyn_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex244,float_fp8,local-close-gia-r42,ex244_r42_dc2_lcorr_resyn_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex244,float_fp8,local-close-gia-r42,ex244_r42_rw_resub_loop5_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex244,float_fp8,local-close-gia-r42,ex244_r42_area_then_delay_recover_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex244,float_fp8,local-close-gia-r42,ex244_r42_gia_dc2_put_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex244,float_fp8,local-close-gia-r42,ex244_r42_gia_dch_put_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex244,float_fp8,local-close-gia-r42,ex244_r42_gia_dc2_rw_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex249,float_fp8,local-close-gia-r42,ex249_r42_resyn2rs_area_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex249,float_fp8,local-close-gia-r42,ex249_r42_compress2rs_area_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex249,float_fp8,local-close-gia-r42,ex249_r42_mfs_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex249,float_fp8,local-close-gia-r42,ex249_r42_mfs_rwz_mfs_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex249,float_fp8,local-close-gia-r42,ex249_r42_ssw_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex249,float_fp8,local-close-gia-r42,ex249_r42_fraig_mfs_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex249,float_fp8,local-close-gia-r42,ex249_r42_dchoice_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex249,float_fp8,local-close-gia-r42,ex249_r42_choice_if4_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex249,float_fp8,local-close-gia-r42,ex249_r42_compress_l_no_dc_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex249,float_fp8,local-close-gia-r42,ex249_r42_resub_deep_rf_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex249,float_fp8,local-close-gia-r42,ex249_r42_dc2_scorr_resyn_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex249,float_fp8,local-close-gia-r42,ex249_r42_dc2_lcorr_resyn_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex249,float_fp8,local-close-gia-r42,ex249_r42_rw_resub_loop5_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex249,float_fp8,local-close-gia-r42,ex249_r42_area_then_delay_recover_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex249,float_fp8,local-close-gia-r42,ex249_r42_gia_dc2_put_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex249,float_fp8,local-close-gia-r42,ex249_r42_gia_dch_put_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex249,float_fp8,local-close-gia-r42,ex249_r42_gia_dc2_rw_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex285,unknown,local-close-gia-r42,ex285_r42_resyn2rs_area_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex285,unknown,local-close-gia-r42,ex285_r42_compress2rs_area_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex285,unknown,local-close-gia-r42,ex285_r42_mfs_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex285,unknown,local-close-gia-r42,ex285_r42_mfs_rwz_mfs_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex285,unknown,local-close-gia-r42,ex285_r42_ssw_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex285,unknown,local-close-gia-r42,ex285_r42_fraig_mfs_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex285,unknown,local-close-gia-r42,ex285_r42_dchoice_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex285,unknown,local-close-gia-r42,ex285_r42_choice_if4_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex285,unknown,local-close-gia-r42,ex285_r42_compress_l_no_dc_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex285,unknown,local-close-gia-r42,ex285_r42_resub_deep_rf_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex285,unknown,local-close-gia-r42,ex285_r42_dc2_scorr_resyn_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex285,unknown,local-close-gia-r42,ex285_r42_dc2_lcorr_resyn_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex285,unknown,local-close-gia-r42,ex285_r42_rw_resub_loop5_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex285,unknown,local-close-gia-r42,ex285_r42_area_then_delay_recover_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex285,unknown,local-close-gia-r42,ex285_r42_gia_dc2_put_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex285,unknown,local-close-gia-r42,ex285_r42_gia_dch_put_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex285,unknown,local-close-gia-r42,ex285_r42_gia_dc2_rw_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
