case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,classification,items,runtime_sec,notes
ex223,ex223_fp16_log_balanced_ranges_t128,fp16_log,balanced_ranges_t128,student/work/ex223_ex224_frontend_fp16_log_ranges_20260606_2256/ex223/verilog/ex223_fp16_log_balanced_ranges_t128.v,student/work/ex223_ex224_frontend_fp16_log_ranges_20260606_2256/ex223/aigs/ex223_fp16_log_balanced_ranges_t128.aig,1,1,1,12009,26,312234,120549,2.590100,0,0,structural_exact,threshold=128; range_groups=6; table_groups=24; range_items=538; table_items=24576,16.540,balanced range-tree FP16 log candidate; threshold=128; range_groups=6; table_groups=24; range_items=538; table_items=24576
ex223,ex223_fp16_log_balanced_ranges_t160,fp16_log,balanced_ranges_t160,student/work/ex223_ex224_frontend_fp16_log_ranges_20260606_2256/ex223/verilog/ex223_fp16_log_balanced_ranges_t160.v,student/work/ex223_ex224_frontend_fp16_log_ranges_20260606_2256/ex223/aigs/ex223_fp16_log_balanced_ranges_t160.aig,1,1,1,12636,26,328536,120549,2.725332,0,0,structural_exact,threshold=160; range_groups=8; table_groups=22; range_items=814; table_items=22528,18.731,balanced range-tree FP16 log candidate; threshold=160; range_groups=8; table_groups=22; range_items=814; table_items=22528
ex223,ex223_fp16_log_balanced_ranges_t256,fp16_log,balanced_ranges_t256,student/work/ex223_ex224_frontend_fp16_log_ranges_20260606_2256/ex223/verilog/ex223_fp16_log_balanced_ranges_t256.v,student/work/ex223_ex224_frontend_fp16_log_ranges_20260606_2256/ex223/aigs/ex223_fp16_log_balanced_ranges_t256.aig,1,1,1,14283,27,385641,120549,3.199039,0,0,structural_exact,threshold=256; range_groups=18; table_groups=12; range_items=2596; table_items=12288,24.215,balanced range-tree FP16 log candidate; threshold=256; range_groups=18; table_groups=12; range_items=2596; table_items=12288
ex223,ex223_fp16_log_balanced_ranges_t400,fp16_log,balanced_ranges_t400,student/work/ex223_ex224_frontend_fp16_log_ranges_20260606_2256/ex223/verilog/ex223_fp16_log_balanced_ranges_t400.v,student/work/ex223_ex224_frontend_fp16_log_ranges_20260606_2256/ex223/aigs/ex223_fp16_log_balanced_ranges_t400.aig,1,1,1,15394,29,446426,120549,3.703274,0,0,structural_exact,threshold=400; range_groups=24; table_groups=6; range_items=4648; table_items=6144,30.708,balanced range-tree FP16 log candidate; threshold=400; range_groups=24; table_groups=6; range_items=4648; table_items=6144
ex223,ex223_fp16_log_balanced_ranges_t700,fp16_log,balanced_ranges_t700,student/work/ex223_ex224_frontend_fp16_log_ranges_20260606_2256/ex223/verilog/ex223_fp16_log_balanced_ranges_t700.v,student/work/ex223_ex224_frontend_fp16_log_ranges_20260606_2256/ex223/aigs/ex223_fp16_log_balanced_ranges_t700.aig,1,1,1,16846,29,488534,120549,4.052576,0,0,structural_exact,threshold=700; range_groups=26; table_groups=4; range_items=5987; table_items=4096,34.476,balanced range-tree FP16 log candidate; threshold=700; range_groups=26; table_groups=4; range_items=5987; table_items=4096
ex223,ex223_fp16_log_bucket_q20_constexp_exc,fp16_log,bucket_q20_constexp_exc,student/work/ex223_ex224_frontend_fp16_log_deep2_20260606_2224/ex223/verilog/ex223_fp16_log_bucket_q20_constexp_exc.v,student/work/ex223_ex224_frontend_fp16_log_deep2_20260606_2224/ex223/aigs/ex223_fp16_log_bucket_q20_constexp_exc.aig,1,1,1,10368,45,466560,120549,3.870293,0,0,semantic_hybrid,frac_bits=20; mode=round; adjusted_q=49; failed_q=2; table_exp_groups=10; const_exp_groups=20; exceptions=1,20.456,semantic_hybrid FP16 fixed-point log semantic candidate; frac_bits=20; mode=round; adjusted_q=49; failed_q=2; table_exp_groups=10; const_exp_groups=20; exceptions=1
ex223,ex223_fp16_log_bucket_q21_constexp,fp16_log,bucket_q21_constexp,student/work/ex223_ex224_frontend_fp16_log_deep2_20260606_2224/ex223/verilog/ex223_fp16_log_bucket_q21_constexp.v,student/work/ex223_ex224_frontend_fp16_log_deep2_20260606_2224/ex223/aigs/ex223_fp16_log_bucket_q21_constexp.aig,1,1,1,10647,47,500409,120549,4.151084,0,0,semantic_exact,frac_bits=21; mode=ceil; adjusted_q=12; failed_q=0; table_exp_groups=10; const_exp_groups=20; exceptions=0,23.512,semantic_exact FP16 fixed-point log semantic candidate; frac_bits=21; mode=ceil; adjusted_q=12; failed_q=0; table_exp_groups=10; const_exp_groups=20; exceptions=0
ex223,ex223_fp16_log_bucket_q22_constexp,fp16_log,bucket_q22_constexp,student/work/ex223_ex224_frontend_fp16_log_deep2_20260606_2224/ex223/verilog/ex223_fp16_log_bucket_q22_constexp.v,student/work/ex223_ex224_frontend_fp16_log_deep2_20260606_2224/ex223/aigs/ex223_fp16_log_bucket_q22_constexp.aig,1,1,1,10985,49,538265,120549,4.465114,0,0,semantic_exact,frac_bits=22; mode=round; adjusted_q=6; failed_q=0; table_exp_groups=10; const_exp_groups=20; exceptions=0,25.952,semantic_exact FP16 fixed-point log semantic candidate; frac_bits=22; mode=round; adjusted_q=6; failed_q=0; table_exp_groups=10; const_exp_groups=20; exceptions=0
ex223,ex223_fp16_log_casez_runs_t1024,fp16_log,casez_runs_t1024,student/work/ex223_ex224_frontend_fp16_log_casez_20260606_2319/ex223/verilog/ex223_fp16_log_casez_runs_t1024.v,student/work/ex223_ex224_frontend_fp16_log_casez_20260606_2319/ex223/aigs/ex223_fp16_log_casez_runs_t1024.aig,1,1,1,18684,27,504468,120549,4.184755,0,0,structural_exact,threshold=1024; cube_groups=30; table_groups=0; cube_items=17065; table_items=0,19.358,casez run-cube FP16 log candidate; threshold=1024; cube_groups=30; table_groups=0; cube_items=17065; table_items=0
ex223,ex223_fp16_log_casez_runs_t400,fp16_log,casez_runs_t400,student/work/ex223_ex224_frontend_fp16_log_casez_20260606_2319/ex223/verilog/ex223_fp16_log_casez_runs_t400.v,student/work/ex223_ex224_frontend_fp16_log_casez_20260606_2319/ex223/aigs/ex223_fp16_log_casez_runs_t400.aig,1,1,1,13791,25,344775,120549,2.860040,0,0,structural_exact,threshold=400; cube_groups=7; table_groups=23; cube_items=2284; table_items=23552,14.407,casez run-cube FP16 log candidate; threshold=400; cube_groups=7; table_groups=23; cube_items=2284; table_items=23552
