case,output_bit,input_width,feature_mode,matching_rows,total_rows,exact,epochs,weights
ex286,6,13,rawpm,3848,8192,0,6,0:-10:0:6:-6:6:6:4:4:0:0:-2:0:0
ex286,6,13,symkey01,3992,8192,0,6,-15:8:2:9:4:-12:-1:5:-6:1:6:4:4:-1
ex286,6,13,symkeypm,4264,8192,0,6,-1:7:3:7:1:-11:3:7:-3:1:-1:-1:-1:-1
ex286,7,13,raw01,4810,8192,0,6,-11:15:-4:4:-3:7:1:6:5:1:-6:5:6:0
ex286,7,13,rawpm,4944,8192,0,6,0:14:-2:8:0:4:6:6:4:0:-2:0:0:0
ex286,7,13,symkey01,4740,8192,0,6,-7:7:1:8:3:13:-3:6:-2:0:-6:1:1:-1
ex286,7,13,symkeypm,4908,8192,0,6,-2:8:2:4:4:12:-2:8:-2:0:-2:-2:-2:0
ex286,8,13,raw01,4515,8192,0,6,-9:-1:7:4:-1:0:1:0:-1:3:8:-5:0:6
ex286,8,13,rawpm,3915,8192,0,6,0:0:4:2:4:0:0:0:-2:2:2:-4:2:2
ex286,8,13,symkey01,4692,8192,0,6,-10:2:1:1:-1:-1:6:5:2:3:8:-8:1:7
ex286,8,13,symkeypm,3708,8192,0,6,-2:0:0:2:0:0:4:2:4:0:2:-2:4:-2
ex286,9,13,raw01,4468,8192,0,6,-11:12:4:-5:5:1:0:-1:1:4:-3:0:3:8
ex286,9,13,rawpm,4240,8192,0,6,3:9:1:-5:5:-1:-1:1:1:3:3:1:3:-1
ex286,9,13,symkey01,4515,8192,0,6,-10:2:0:0:2:13:3:-4:8:5:-3:0:4:5
ex286,9,13,symkeypm,4600,8192,0,6,0:2:2:2:0:8:0:-2:6:4:4:0:0:-4
ex286,10,13,raw01,4287,8192,0,6,-13:-11:7:-11:12:-1:0:1:0:0:8:9:-3:10
ex286,10,13,rawpm,4245,8192,0,6,1:-11:1:-9:9:-1:1:-3:1:7:5:3:7:3
ex286,10,13,symkey01,4382,8192,0,6,-12:0:1:1:1:-9:1:-5:15:1:8:7:-2:7
ex286,10,13,symkeypm,4417,8192,0,6,2:-4:-2:-2:-2:-10:2:-6:10:4:6:4:10:2
ex286,11,13,raw01,4355,8192,0,6,-8:11:-2:-1:9:-1:0:-2:2:4:-5:3:-2:4
ex286,11,13,rawpm,4379,8192,0,6,3:9:1:-5:9:-1:1:-1:1:3:3:-1:5:3
ex286,11,13,symkey01,4271,8192,0,6,-9:-3:1:-2:1:9:0:-1:9:5:-5:2:-2:6
ex286,11,13,symkeypm,4197,8192,0,6,2:-2:0:0:0:8:-2:-6:8:4:2:0:8:2
ex286,12,13,raw01,4572,8192,0,6,-12:-4:7:-3:6:2:2:3:0:3:7:-3:2:6
ex286,12,13,rawpm,4274,8192,0,6,1:-1:5:-1:1:3:3:-1:-1:1:1:-1:3:3
ex286,12,13,symkey01,4367,8192,0,6,-10:6:2:2:-1:-3:8:-1:7:4:5:0:-2:2
ex286,12,13,symkeypm,4245,8192,0,6,-1:3:3:-1:-1:-1:5:-3:1:1:1:3:1:3
