case,candidate_id,hypothesis,function_guess,variant,method_signature,verilog_path,aig_path,metadata_path,verified_truth,equivalent,official_status,area,delay,adp,reference_adp,ratio_to_reference,within_1p5_reference,beats_reference,classification,selection_reason,source_kind,source_csv,source_run,source_verilog_path,source_aig_path,source_evaluate_log,aig_sha256,verilog_sha256,notes
ex280,ex280_gf2_overlap_roots_small_roots_balanced_abc_g_aig,quartic_gf2_event_filter,,small_roots_balanced_abc_g_aig,ex280|quartic_gf2_event_filter|overlap_root_product_basis_small_roots|shared_overlapping_linear_roots_with_linear_corrections|yosys_abc_g_aig|exact_full_clamp_mux_coordinate_degree2|balanced_multi_output_root_product_xor,student/new_seeds/unknown/ex280_ex299_backend_candidates_20260614_2011/ex280/verilog/ex280_gf2_overlap_roots_small_roots_balanced_abc_g_aig.v,student/new_seeds/unknown/ex280_ex299_backend_candidates_20260614_2011/ex280/aigs/ex280_gf2_overlap_roots_small_roots_balanced_abc_g_aig.aig,student/new_seeds/unknown/ex280_ex299_backend_candidates_20260614_2011/ex280/metadata/ex280_gf2_overlap_roots_small_roots_balanced_abc_g_aig.json,1,1,OK,135,29,3915,2415,1.621118,0,0,frontend_verified,backend_start_diverse_noncurrent,frontend_campaign_shard,student/frontend_campaigns/campaigns/ex200_ex299_frontend_refgap_round2_20260612_1512/agent_shards/unknown-gf2-agent/candidates.csv,ex200_ex299_frontend_refgap_round2_20260612_1512,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unknown-gf2-agent/ex280/verilog/ex280_gf2_overlap_roots_small_roots_balanced_abc_g_aig.v,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unknown-gf2-agent/ex280/aigs/ex280_gf2_overlap_roots_small_roots_balanced_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unknown-gf2-agent/ex280/logs/ex280_gf2_overlap_roots_small_roots_balanced_abc_g_aig.evaluate.log,83a4228838cdeebf21f23289019cd807c5eb5b65bf60271b2e0cca202278478a,e2f1d514d65e136ef39b0a82c1f9d073ab4475beff18789df9ecb56d7297f303,coord_width=17; candidate_products=7240; unique_products=36; roots=22; selected_terms=41; linear_correction_bits=3; terms_by_bit=1:3:2:2:2:2:2:3:7:4:5:8; hash_pending=1; exact Python model over 4096 rows; hash=ec3b18668ee4
ex281,ex281_gf2_overlap_roots_mixed_roots_delaycap_balanced_linfact_abc_g_aig,quartic_gf2_event_filter,,mixed_roots_delaycap_balanced_linear_factored_abc_g_aig,ex281|quartic_gf2_event_filter|overlap_root_product_basis_mixed_roots_delaycap|shared_overlapping_linear_roots_with_factored_linear_corrections|yosys_abc_g_aig|exact_full_clamp_mux_coordinate_degree2|balanced_root_products_plus_shared_linear_correction_xor,student/new_seeds/unknown/ex280_ex299_backend_candidates_20260614_2011/ex281/verilog/ex281_gf2_overlap_roots_mixed_roots_delaycap_balanced_linfact_abc_g_aig.v,student/new_seeds/unknown/ex280_ex299_backend_candidates_20260614_2011/ex281/aigs/ex281_gf2_overlap_roots_mixed_roots_delaycap_balanced_linfact_abc_g_aig.aig,student/new_seeds/unknown/ex280_ex299_backend_candidates_20260614_2011/ex281/metadata/ex281_gf2_overlap_roots_mixed_roots_delaycap_balanced_linfact_abc_g_aig.json,1,1,OK,128,26,3328,2336,1.424658,1,0,frontend_verified,backend_start_diverse_noncurrent,frontend_campaign_shard,student/frontend_campaigns/campaigns/ex200_ex299_frontend_refgap_round3_20260612_1554/agent_shards/unknown-gf2-r3/candidates.csv,ex200_ex299_frontend_refgap_round3_20260612_1554,student/work/ex200_ex299_frontend_refgap_round3_20260612_1554/unknown-gf2-r3/ex281/verilog/ex281_gf2_overlap_roots_mixed_roots_delaycap_balanced_linfact_abc_g_aig.v,student/work/ex200_ex299_frontend_refgap_round3_20260612_1554/unknown-gf2-r3/ex281/aigs/ex281_gf2_overlap_roots_mixed_roots_delaycap_balanced_linfact_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round3_20260612_1554/unknown-gf2-r3/ex281/logs/ex281_gf2_overlap_roots_mixed_roots_delaycap_balanced_linfact_abc_g_aig.evaluate.log,bc773ce8013bd674109a2d9ffca0492707d0e82e28346f94a6f5e9168a5da649,17947b2e554804a7a3d217f0145e5f975cc3f1d6f568a341c4aea76ee959bb76,coord_width=18; candidate_products=20318; unique_products=25; roots=30; selected_terms=28; linear_correction_bits=13; terms_by_bit=1:1:1:1:1:1:1:1:2:4:4:4:6; linear_factored=1; scheduler=delay_capped; pool_by_bit=small:small:small:small:small:small:small:small:small:small:small:small:small; hash_pending=1; exact Python model over 8192 rows; hash=b15f5758694b
ex282,ex282_gf2_overlap_roots_small_roots_balanced_linfact_abc_g_aig,quartic_gf2_event_filter,,small_roots_balanced_linear_factored_abc_g_aig,ex282|quartic_gf2_event_filter|overlap_root_product_basis_small_roots|shared_overlapping_linear_roots_with_factored_linear_corrections|yosys_abc_g_aig|exact_full_clamp_mux_coordinate_degree2|balanced_root_products_plus_shared_linear_correction_xor,student/new_seeds/unknown/ex280_ex299_backend_candidates_20260614_2011/ex282/verilog/ex282_gf2_overlap_roots_small_roots_balanced_linfact_abc_g_aig.v,student/new_seeds/unknown/ex280_ex299_backend_candidates_20260614_2011/ex282/aigs/ex282_gf2_overlap_roots_small_roots_balanced_linfact_abc_g_aig.aig,student/new_seeds/unknown/ex280_ex299_backend_candidates_20260614_2011/ex282/metadata/ex282_gf2_overlap_roots_small_roots_balanced_linfact_abc_g_aig.json,1,1,OK,158,27,4266,2704,1.577663,0,0,frontend_verified,backend_start_diverse_noncurrent,frontend_campaign_shard,student/frontend_campaigns/campaigns/ex200_ex299_frontend_refgap_round3_20260612_1554/agent_shards/unknown-gf2-r3/candidates.csv,ex200_ex299_frontend_refgap_round3_20260612_1554,student/work/ex200_ex299_frontend_refgap_round3_20260612_1554/unknown-gf2-r3/ex282/verilog/ex282_gf2_overlap_roots_small_roots_balanced_linfact_abc_g_aig.v,student/work/ex200_ex299_frontend_refgap_round3_20260612_1554/unknown-gf2-r3/ex282/aigs/ex282_gf2_overlap_roots_small_roots_balanced_linfact_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round3_20260612_1554/unknown-gf2-r3/ex282/logs/ex282_gf2_overlap_roots_small_roots_balanced_linfact_abc_g_aig.evaluate.log,50a020b22fd86e3609b1698d5972bc0ad563891dcea45ba4fdeed97f0f9ad56e,75e173047ab08d7d1cfdc68c7c1b8bdad247492fbea94977ba2bb60cd6177961,coord_width=19; candidate_products=8254; unique_products=40; roots=26; selected_terms=45; linear_correction_bits=3; terms_by_bit=1:3:2:2:2:2:2:2:2:3:7:4:5:8; linear_factored=1; hash_pending=1; exact Python model over 16384 rows; hash=81f11f7f6217
ex283,ex283_gf2_overlap_roots_small_roots_balanced_abc_g_aig,quartic_gf2_event_filter,,small_roots_balanced_abc_g_aig,ex283|quartic_gf2_event_filter|overlap_root_product_basis_small_roots|shared_overlapping_linear_roots_with_linear_corrections|yosys_abc_g_aig|exact_full_clamp_mux_coordinate_degree2|balanced_multi_output_root_product_xor,student/new_seeds/unknown/ex280_ex299_backend_candidates_20260614_2011/ex283/verilog/ex283_gf2_overlap_roots_small_roots_balanced_abc_g_aig.v,student/new_seeds/unknown/ex280_ex299_backend_candidates_20260614_2011/ex283/aigs/ex283_gf2_overlap_roots_small_roots_balanced_abc_g_aig.aig,student/new_seeds/unknown/ex280_ex299_backend_candidates_20260614_2011/ex283/metadata/ex283_gf2_overlap_roots_small_roots_balanced_abc_g_aig.json,1,1,OK,161,30,4830,3168,1.524621,0,0,frontend_verified,backend_start_diverse_noncurrent,frontend_campaign_shard,student/frontend_campaigns/campaigns/ex200_ex299_frontend_refgap_round2_20260612_1512/agent_shards/unknown-gf2-agent/candidates.csv,ex200_ex299_frontend_refgap_round2_20260612_1512,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unknown-gf2-agent/ex283/verilog/ex283_gf2_overlap_roots_small_roots_balanced_abc_g_aig.v,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unknown-gf2-agent/ex283/aigs/ex283_gf2_overlap_roots_small_roots_balanced_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unknown-gf2-agent/ex283/logs/ex283_gf2_overlap_roots_small_roots_balanced_abc_g_aig.evaluate.log,1d0144bee276912a767e9483541e72c0c1e5154dad3429bd663a5ff7e51d8f29,ad3ca590a76f548c8a899f5bb1328c342a96077fb19fba5bb107d69efa1ac95e,coord_width=20; candidate_products=8164; unique_products=43; roots=29; selected_terms=49; linear_correction_bits=2; terms_by_bit=1:3:2:2:2:2:2:2:2:2:3:7:6:7:6; hash_pending=1; exact Python model over 32768 rows; hash=f12ea272c7fd
ex284,ex284_gf2_overlap_roots_mixed_roots_delaycap_balanced_linfact_abc_g_aig,quartic_gf2_event_filter,,mixed_roots_delaycap_balanced_linear_factored_abc_g_aig,ex284|quartic_gf2_event_filter|overlap_root_product_basis_mixed_roots_delaycap|shared_overlapping_linear_roots_with_factored_linear_corrections|yosys_abc_g_aig|exact_full_clamp_mux_coordinate_degree2|balanced_root_products_plus_shared_linear_correction_xor,student/new_seeds/unknown/ex280_ex299_backend_candidates_20260614_2011/ex284/verilog/ex284_gf2_overlap_roots_mixed_roots_delaycap_balanced_linfact_abc_g_aig.v,student/new_seeds/unknown/ex280_ex299_backend_candidates_20260614_2011/ex284/aigs/ex284_gf2_overlap_roots_mixed_roots_delaycap_balanced_linfact_abc_g_aig.aig,student/new_seeds/unknown/ex280_ex299_backend_candidates_20260614_2011/ex284/metadata/ex284_gf2_overlap_roots_mixed_roots_delaycap_balanced_linfact_abc_g_aig.json,1,1,OK,170,33,5610,4240,1.323113,1,0,frontend_verified,backend_start_diverse_noncurrent,frontend_campaign_results,student/frontend_campaigns/campaigns/ex200_ex299_frontend_refgap_round4_20260612_1705/results/candidates.csv,ex200_ex299_frontend_refgap_round4_20260612_1705,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/gf2-polish-r4/ex284/verilog/ex284_gf2_overlap_roots_mixed_roots_delaycap_balanced_linfact_abc_g_aig.v,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/gf2-polish-r4/ex284/aigs/ex284_gf2_overlap_roots_mixed_roots_delaycap_balanced_linfact_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/gf2-polish-r4/ex284/logs/ex284_gf2_overlap_roots_mixed_roots_delaycap_balanced_linfact_abc_g_aig.evaluate.log,3939c93f3467561cf4204b1ad94dd5cf87483af4e4541ca6c8baedfc8c138381,b834e1fccbd0d4622bddbd3a399148ae26b2d523b877529ff8581f12cb13b06e,coord_width=21; candidate_products=25073; unique_products=31; roots=36; selected_terms=33; linear_correction_bits=14; terms_by_bit=1:1:1:1:1:1:1:1:2:1:1:2:4:5:4:6; linear_factored=1; scheduler=delay_capped; pool_by_bit=small:small:small:small:small:small:small:small:small:wide:wide:wide:wide:small:wide:small; hash_pending=1; exact Python model over 65536 rows; hash=05b6d0aa6991
ex285,ex285_r9_boundary_mask_all_boundary_optfull,Boundary-helper and current-tree exact sources are both valid; changing the output-plane cut may expose a lower ADP shared cone.,,all-boundary cut through opt-full frontend flow,ex285|boundary_helper_output_mask_r9|bits_0_1_2_3_4_5_6_7_8_9_10_11|decision_tree_base_plus_route_decode_helper|yosys_frontend_optfull_aig|official_evaluate|selected_output_planes,student/new_seeds/unknown/ex280_ex299_backend_candidates_20260614_2011/ex285/verilog/ex285_r9_boundary_mask_all_boundary_optfull.v,student/new_seeds/unknown/ex280_ex299_backend_candidates_20260614_2011/ex285/aigs/ex285_r9_boundary_mask_all_boundary_optfull.aig,student/new_seeds/unknown/ex280_ex299_backend_candidates_20260614_2011/ex285/metadata/ex285_r9_boundary_mask_all_boundary_optfull.json,1,1,OK,781,16,12496,5499,2.272413,0,0,frontend_verified,backend_start_diverse_noncurrent,frontend_campaign_shard,student/frontend_campaigns/campaigns/ex204_ex299_frontend_breakthrough_20260614_1051/agent_shards/unknown-hard-r9/candidates.csv,ex204_ex299_frontend_breakthrough_20260614_1051,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unknown-hard-r9/ex285/verilog/ex285_r9_boundary_mask_all_boundary_optfull.v,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unknown-hard-r9/ex285/aigs/ex285_r9_boundary_mask_all_boundary_optfull.aig,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unknown-hard-r9/ex285/logs/ex285_r9_boundary_mask_all_boundary_optfull.evaluate.py.log,68ba9d2c5edc12dadf0a1583f15127066c6fac5108863b2a40de17639ff67c80,ef83ca03eb2d611e656f73c86cbfc607198774d1e42dcaff44d723b2a0c015d2,official OK; improves frontend best
ex286,ex286_linhyb_sweep_raw_5_6_7_8_1_f11_global_abc_g_aig,selective_output_linear_coordinate_hybrid,,sweep_raw_5_6_7_8_1_f11_global/abc_g_aig,ex286|hamming_weight_preserving_lossy_routing_normalizer|selective_output_linear_coordinate_hybrid|sweep_raw_5_6_7_8_1|policy_f11|global_base_bdd|coord_global_bdd|yosys_abc_g_aig|abc_xf_official_evaluate,student/new_seeds/unknown/ex280_ex299_backend_candidates_20260614_2011/ex286/verilog/ex286_linhyb_sweep_raw_5_6_7_8_1_f11_global_abc_g_aig.v,student/new_seeds/unknown/ex280_ex299_backend_candidates_20260614_2011/ex286/aigs/ex286_linhyb_sweep_raw_5_6_7_8_1_f11_global_abc_g_aig.aig,student/new_seeds/unknown/ex280_ex299_backend_candidates_20260614_2011/ex286/metadata/ex286_linhyb_sweep_raw_5_6_7_8_1_f11_global_abc_g_aig.json,1,1,OK,1338,15,20070,2376,8.446970,0,0,frontend_verified,backend_start_diverse_noncurrent,frontend_campaign_shard,student/frontend_campaigns/campaigns/ex286_ex287_frontend_structural_decomp_20260614_2320/agent_shards/coordinator-ex286-linear-hybrid-sweep/evaluation_results.csv,ex286_ex287_frontend_structural_decomp_20260614_2320,student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/coordinator-ex286-linear-hybrid/ex286/verilog/ex286_linhyb_sweep_raw_5_6_7_8_1_f11_global.v,student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/coordinator-ex286-linear-hybrid/ex286/aigs/ex286_linhyb_sweep_raw_5_6_7_8_1_f11_global_abc_g_aig.aig,student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/coordinator-ex286-linear-hybrid/ex286/logs/ex286_linhyb_sweep_raw_5_6_7_8_1_f11_global_abc_g_aig.evaluate.py.log,d8d9ccafdac302bbbd5546415baf97bab634304b77e6a28a50fe34256ebadb37,efd32e3914eeaf61a038b418944ed5ba801b0ed2276b3311ab356954c0806478,selected_bits=5:6:7:8:1;coord_masks=20:40:80:100:2;policy=f11;share=global;base_nodes=551;coord_nodes=370;outer_bits=0:12:1:10
ex287,ex287_orientfollow_k6_b2_b3_f11_case_direct_abc_g_aig,output_image_pair_count_orientation_encoded_symmetry_key_cofactor_bdd,,k6_b2_b3_f11_case_direct/abc_g_aig,ex287|hamming_weight_preserving_lossy_routing_normalizer|output_image_adjacent_pair_count_component_orientation|symmetry_key_k6_b2_b3_f11_case_direct_cofactor_bdd_policy_f11|case_selector|direct_decoder|yosys_abc_g_aig|abc_xf_official_evaluate,student/new_seeds/unknown/ex280_ex299_backend_candidates_20260614_2011/ex287/verilog/ex287_orientfollow_k6_b2_b3_f11_case_direct_abc_g_aig.v,student/new_seeds/unknown/ex280_ex299_backend_candidates_20260614_2011/ex287/aigs/ex287_orientfollow_k6_b2_b3_f11_case_direct_abc_g_aig.aig,student/new_seeds/unknown/ex280_ex299_backend_candidates_20260614_2011/ex287/metadata/ex287_orientfollow_k6_b2_b3_f11_case_direct_abc_g_aig.json,1,1,OK,1593,15,23895,5782,4.132653,0,0,frontend_verified,backend_start_diverse_noncurrent,frontend_campaign_shard,student/frontend_campaigns/campaigns/ex286_ex287_frontend_structural_decomp_20260614_2320/agent_shards/subagent-ex287-orient-followup/evaluation_results.csv,ex286_ex287_frontend_structural_decomp_20260614_2320,student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/subagent-ex287-orient-followup/ex287/verilog/ex287_orientfollow_k6_b2_b3_f11_case_direct.v,student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/subagent-ex287-orient-followup/ex287/aigs/ex287_orientfollow_k6_b2_b3_f11_case_direct_abc_g_aig.aig,student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/subagent-ex287-orient-followup/ex287/logs/ex287_orientfollow_k6_b2_b3_f11_case_direct_abc_g_aig.evaluate.py.log,1b9e7aacb70b4b7dbd2725c172337e2d1c32f9c6d68fffd94419ea25a3797cb5,f621cab228b2a3108c97b79529920b20054effd0bed705d24b5641f051281246,"shared_bdd_nodes=451;encoded_width=15;outer_bits=0:13:1:12:2:3;inner_bits=4:5:6:7:8:9:10:11;order=0:13:1:12:2:11:3:10:4:9:5:8:6:7;policy=f11;selector=case;decoder=direct;pairs=4:5,6:7,8:9;runtime_sec=0.997"
ex288,ex288_keybdd_selected_controlled_routing_abc_g_aig,hamming_weight_preserving_lossy_routing_normalizer,,keybdd_selected_controlled_routing_abc_g_aig,ex288|hamming_weight_preserving_lossy_routing_normalizer|keybdd_selected_controlled_routing_descriptor|shared_pair_canonical_key_group_keybdd_bit7|yosys_abc_g_aig|official_evaluate_py_abc_xf|onehot_group_keybdd_selected_output,student/new_seeds/unknown/ex280_ex299_backend_candidates_20260614_2011/ex288/verilog/ex288_keybdd_selected_controlled_routing_abc_g_aig.v,student/new_seeds/unknown/ex280_ex299_backend_candidates_20260614_2011/ex288/aigs/ex288_keybdd_selected_controlled_routing_abc_g_aig.aig,student/new_seeds/unknown/ex280_ex299_backend_candidates_20260614_2011/ex288/metadata/ex288_keybdd_selected_controlled_routing_abc_g_aig.json,1,1,OK,2257,14,31598,16394,1.927412,0,0,frontend_verified,backend_start_diverse_noncurrent,frontend_campaign_shard,student/frontend_campaigns/campaigns/ex200_ex299_frontend_refgap_round3_20260612_1554/agent_shards/unknown-routing-r3/candidates.csv,ex200_ex299_frontend_refgap_round3_20260612_1554,student/work/ex200_ex299_frontend_refgap_round3_20260612_1554/unknown-routing-r3/ex288/verilog/ex288_unknown_symcof_interleave_f10_k6_onehot_group_keybdd_7.v,student/work/ex200_ex299_frontend_refgap_round3_20260612_1554/unknown-routing-r3/ex288/aigs/ex288_keybdd_selected_controlled_routing_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round3_20260612_1554/unknown-routing-r3/ex288/official_eval/ex288_keybdd_selected_controlled_routing_abc_g_aig/ex288_keybdd_selected_controlled_routing_abc_g_aig.evaluate.py.log,8f9694e588fe5df65e1e870431f75f351e361e11e20d68d0104eb353dfc1d7c1,4129932d8b53cdc221d29c68351952bee3ec0e62bac54cfe9a2c7518d486f637,selected-bit key-BDD controlled-routing descriptor; source=interleave_f10_k6_onehot_group_keybdd_7; not bucket/SOP; not synth-flow-only symcof
ex289,ex289_unknown_duality_symcof_split2_f10_bits_0_1_12_13_onehot_group_xor_abc_g_gates_round2,hamming_weight_preserving_lossy_routing_normalizer,,current_split2_group_xor_abc_g_gates,ex289|hamming_weight_preserving_lossy_routing_normalizer|complement_reverse_split2_group_symcof_resynth|group_bdd_node_sharing_with_existing_xor_wrapper|yosys_abc_g_gates|exact_complement_reverse_duality|duality_wrapped_grouped_outputs,student/new_seeds/unknown/ex280_ex299_backend_candidates_20260614_2011/ex289/verilog/ex289_unknown_duality_symcof_split2_f10_bits_0_1_12_13_onehot_group_xor_abc_g_gates_round2.v,student/new_seeds/unknown/ex280_ex299_backend_candidates_20260614_2011/ex289/aigs/ex289_unknown_duality_symcof_split2_f10_bits_0_1_12_13_onehot_group_xor_abc_g_gates_round2.aig,student/new_seeds/unknown/ex280_ex299_backend_candidates_20260614_2011/ex289/metadata/ex289_unknown_duality_symcof_split2_f10_bits_0_1_12_13_onehot_group_xor_abc_g_gates_round2.json,1,1,OK,1047,19,19893,13620,1.460573,1,0,frontend_verified,backend_start_diverse_noncurrent,frontend_campaign_shard,student/frontend_campaigns/campaigns/ex200_ex299_frontend_refgap_round2_20260612_1512/agent_shards/unknown-gf2-agent/candidates.csv,ex200_ex299_frontend_refgap_round2_20260612_1512,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unknown-gf2-agent/ex289/verilog/ex289_unknown_duality_symcof_split2_f10_bits_0_1_12_13_onehot_group_xor_abc_g_gates_round2.v,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unknown-gf2-agent/ex289/aigs/ex289_unknown_duality_symcof_split2_f10_bits_0_1_12_13_onehot_group_xor_abc_g_gates_round2.aig,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unknown-gf2-agent/ex289/logs/ex289_unknown_duality_symcof_split2_f10_bits_0_1_12_13_onehot_group_xor_abc_g_gates_round2.evaluate.log,7556406f204b62d9fb039414e221857227bac81b49ca8c2b4003c78a26602318,3db4454b2c7f889ceaf93024c906e8f275c97b5f1f631b6f0b0072f3b727da8a,existing compact split2 group-xor source resynthesized with abc_g_gates; official evaluate.py is equivalence source
