case,domain,agent_id,candidate_id,hypothesis,variant,method_signature,representation,shared_structure,synth_flow,semantics,output_grouping,verilog_path,aig_path,evaluate_log,verified_truth,equivalent,area,delay,adp,current_frontend_adp,reference_adp,beats_current_frontend,beats_reference,notes
ex247,float_fp8,local-targeted,ex247_r24_bound_novalid_nested_default_and,E5M2FN division low-over-high with boundary attr valid bit removed,bound_novalid_nested_default_and,ex247|E5M2FN packed low-over-high division|validless nested boundary-region mux|shared sign exponent significand decode and denominator-nested validless boundary attrs|multi_yosys_official_evaluate|exact_e5m2fn_div_low_over_high|region_grouped_magnitude_validless|default_and,denominator-nested attr table without valid bit feeding zero/sat/low/linear mux,"shared special-case decode, effective exponent/significand decode, delta, boundary attrs, low-pattern decoder",yosys_script_default_variant_default_and_official_evaluate.py,exact_e5m2fn_div_low_over_high,region-grouped magnitude output,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex247/verilog/ex247_r24_bound_novalid_nested_default_and.v,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex247/aigs/ex247_r24_bound_novalid_nested_default_and.aig,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex247/logs/ex247_r24_bound_novalid_nested_default_and.evaluate.py.log,1,1,367,23,8441,8349,2975,0,0,official evaluate.py status OK; synth=default_and
ex247,float_fp8,local-targeted,ex247_r24_bound_novalid_nested_default_aig,E5M2FN division low-over-high with boundary attr valid bit removed,bound_novalid_nested_default_aig,ex247|E5M2FN packed low-over-high division|validless nested boundary-region mux|shared sign exponent significand decode and denominator-nested validless boundary attrs|multi_yosys_official_evaluate|exact_e5m2fn_div_low_over_high|region_grouped_magnitude_validless|default_aig,denominator-nested attr table without valid bit feeding zero/sat/low/linear mux,"shared special-case decode, effective exponent/significand decode, delta, boundary attrs, low-pattern decoder",yosys_script_default_variant_default_aig_official_evaluate.py,exact_e5m2fn_div_low_over_high,region-grouped magnitude output,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex247/verilog/ex247_r24_bound_novalid_nested_default_aig.v,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex247/aigs/ex247_r24_bound_novalid_nested_default_aig.aig,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex247/logs/ex247_r24_bound_novalid_nested_default_aig.evaluate.py.log,1,1,363,23,8349,8349,2975,0,0,official evaluate.py status OK; synth=default_aig
ex247,float_fp8,local-targeted,ex247_r24_bound_novalid_nested_synth_preset_and,E5M2FN division low-over-high with boundary attr valid bit removed,bound_novalid_nested_synth_preset_and,ex247|E5M2FN packed low-over-high division|validless nested boundary-region mux|shared sign exponent significand decode and denominator-nested validless boundary attrs|multi_yosys_official_evaluate|exact_e5m2fn_div_low_over_high|region_grouped_magnitude_validless|synth_preset_and,denominator-nested attr table without valid bit feeding zero/sat/low/linear mux,"shared special-case decode, effective exponent/significand decode, delta, boundary attrs, low-pattern decoder",yosys_script_default_variant_synth_preset_and_official_evaluate.py,exact_e5m2fn_div_low_over_high,region-grouped magnitude output,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex247/verilog/ex247_r24_bound_novalid_nested_synth_preset_and.v,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex247/aigs/ex247_r24_bound_novalid_nested_synth_preset_and.aig,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex247/logs/ex247_r24_bound_novalid_nested_synth_preset_and.evaluate.py.log,1,1,362,25,9050,8349,2975,0,0,official evaluate.py status OK; synth=synth_preset_and
ex247,float_fp8,local-targeted,ex247_r24_bound_novalid_nested_synth_preset_aig,E5M2FN division low-over-high with boundary attr valid bit removed,bound_novalid_nested_synth_preset_aig,ex247|E5M2FN packed low-over-high division|validless nested boundary-region mux|shared sign exponent significand decode and denominator-nested validless boundary attrs|multi_yosys_official_evaluate|exact_e5m2fn_div_low_over_high|region_grouped_magnitude_validless|synth_preset_aig,denominator-nested attr table without valid bit feeding zero/sat/low/linear mux,"shared special-case decode, effective exponent/significand decode, delta, boundary attrs, low-pattern decoder",yosys_script_default_variant_synth_preset_aig_official_evaluate.py,exact_e5m2fn_div_low_over_high,region-grouped magnitude output,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex247/verilog/ex247_r24_bound_novalid_nested_synth_preset_aig.v,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex247/aigs/ex247_r24_bound_novalid_nested_synth_preset_aig.aig,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex247/logs/ex247_r24_bound_novalid_nested_synth_preset_aig.evaluate.py.log,1,1,356,24,8544,8349,2975,0,0,official evaluate.py status OK; synth=synth_preset_aig
ex247,float_fp8,local-targeted,ex247_r24_bound_novalid_flat_default_and,E5M2FN division low-over-high with flat pair boundary attrs,bound_novalid_flat_default_and,ex247|E5M2FN packed low-over-high division|validless flat pair boundary attrs|shared sign exponent significand decode and flat sigpair boundary attrs|multi_yosys_official_evaluate|exact_e5m2fn_div_low_over_high|flat_pair_region_magnitude|default_and,"flat {sig_d,sig_n} attr table without valid bit feeding region mux","shared special-case decode, effective exponent/significand decode, delta, flat pair attrs, low-pattern decoder",yosys_script_default_variant_default_and_official_evaluate.py,exact_e5m2fn_div_low_over_high,flat-pair region-grouped magnitude output,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex247/verilog/ex247_r24_bound_novalid_flat_default_and.v,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex247/aigs/ex247_r24_bound_novalid_flat_default_and.aig,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex247/logs/ex247_r24_bound_novalid_flat_default_and.evaluate.py.log,1,1,398,26,10348,8349,2975,0,0,official evaluate.py status OK; synth=default_and
ex247,float_fp8,local-targeted,ex247_r24_bound_novalid_flat_default_aig,E5M2FN division low-over-high with flat pair boundary attrs,bound_novalid_flat_default_aig,ex247|E5M2FN packed low-over-high division|validless flat pair boundary attrs|shared sign exponent significand decode and flat sigpair boundary attrs|multi_yosys_official_evaluate|exact_e5m2fn_div_low_over_high|flat_pair_region_magnitude|default_aig,"flat {sig_d,sig_n} attr table without valid bit feeding region mux","shared special-case decode, effective exponent/significand decode, delta, flat pair attrs, low-pattern decoder",yosys_script_default_variant_default_aig_official_evaluate.py,exact_e5m2fn_div_low_over_high,flat-pair region-grouped magnitude output,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex247/verilog/ex247_r24_bound_novalid_flat_default_aig.v,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex247/aigs/ex247_r24_bound_novalid_flat_default_aig.aig,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex247/logs/ex247_r24_bound_novalid_flat_default_aig.evaluate.py.log,1,1,386,26,10036,8349,2975,0,0,official evaluate.py status OK; synth=default_aig
ex247,float_fp8,local-targeted,ex247_r24_bound_novalid_flat_synth_preset_and,E5M2FN division low-over-high with flat pair boundary attrs,bound_novalid_flat_synth_preset_and,ex247|E5M2FN packed low-over-high division|validless flat pair boundary attrs|shared sign exponent significand decode and flat sigpair boundary attrs|multi_yosys_official_evaluate|exact_e5m2fn_div_low_over_high|flat_pair_region_magnitude|synth_preset_and,"flat {sig_d,sig_n} attr table without valid bit feeding region mux","shared special-case decode, effective exponent/significand decode, delta, flat pair attrs, low-pattern decoder",yosys_script_default_variant_synth_preset_and_official_evaluate.py,exact_e5m2fn_div_low_over_high,flat-pair region-grouped magnitude output,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex247/verilog/ex247_r24_bound_novalid_flat_synth_preset_and.v,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex247/aigs/ex247_r24_bound_novalid_flat_synth_preset_and.aig,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex247/logs/ex247_r24_bound_novalid_flat_synth_preset_and.evaluate.py.log,1,1,408,25,10200,8349,2975,0,0,official evaluate.py status OK; synth=synth_preset_and
ex247,float_fp8,local-targeted,ex247_r24_bound_novalid_flat_synth_preset_aig,E5M2FN division low-over-high with flat pair boundary attrs,bound_novalid_flat_synth_preset_aig,ex247|E5M2FN packed low-over-high division|validless flat pair boundary attrs|shared sign exponent significand decode and flat sigpair boundary attrs|multi_yosys_official_evaluate|exact_e5m2fn_div_low_over_high|flat_pair_region_magnitude|synth_preset_aig,"flat {sig_d,sig_n} attr table without valid bit feeding region mux","shared special-case decode, effective exponent/significand decode, delta, flat pair attrs, low-pattern decoder",yosys_script_default_variant_synth_preset_aig_official_evaluate.py,exact_e5m2fn_div_low_over_high,flat-pair region-grouped magnitude output,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex247/verilog/ex247_r24_bound_novalid_flat_synth_preset_aig.v,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex247/aigs/ex247_r24_bound_novalid_flat_synth_preset_aig.aig,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex247/logs/ex247_r24_bound_novalid_flat_synth_preset_aig.evaluate.py.log,1,1,393,24,9432,8349,2975,0,0,official evaluate.py status OK; synth=synth_preset_aig
ex247,float_fp8,local-targeted,ex247_r24_bound_novalid_direct_default_and,E5M2FN division low-over-high with direct region assignment,bound_novalid_direct_default_and,ex247|E5M2FN packed low-over-high division|validless direct assignment region mux|shared sign exponent significand decode boundary attrs and direct priority expression|multi_yosys_official_evaluate|exact_e5m2fn_div_low_over_high|direct_region_magnitude|default_and,validless nested attr table with direct ternary priority magnitude assignment,"shared special-case decode, effective exponent/significand decode, delta, boundary attrs, low-pattern decoder",yosys_script_default_variant_default_and_official_evaluate.py,exact_e5m2fn_div_low_over_high,direct-priority region magnitude output,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex247/verilog/ex247_r24_bound_novalid_direct_default_and.v,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex247/aigs/ex247_r24_bound_novalid_direct_default_and.aig,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex247/logs/ex247_r24_bound_novalid_direct_default_and.evaluate.py.log,1,1,379,28,10612,8349,2975,0,0,official evaluate.py status OK; synth=default_and
ex247,float_fp8,local-targeted,ex247_r24_bound_novalid_direct_default_aig,E5M2FN division low-over-high with direct region assignment,bound_novalid_direct_default_aig,ex247|E5M2FN packed low-over-high division|validless direct assignment region mux|shared sign exponent significand decode boundary attrs and direct priority expression|multi_yosys_official_evaluate|exact_e5m2fn_div_low_over_high|direct_region_magnitude|default_aig,validless nested attr table with direct ternary priority magnitude assignment,"shared special-case decode, effective exponent/significand decode, delta, boundary attrs, low-pattern decoder",yosys_script_default_variant_default_aig_official_evaluate.py,exact_e5m2fn_div_low_over_high,direct-priority region magnitude output,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex247/verilog/ex247_r24_bound_novalid_direct_default_aig.v,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex247/aigs/ex247_r24_bound_novalid_direct_default_aig.aig,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex247/logs/ex247_r24_bound_novalid_direct_default_aig.evaluate.py.log,1,1,371,28,10388,8349,2975,0,0,official evaluate.py status OK; synth=default_aig
