case,domain,agent_id,hypothesis,representation,shared_structure,method_signature,outcome,reason,evidence_path,next_action
ex240,float_fp8,local-abc-r30,frontend synth-flow iterative from current best,ABC iterative flow compress2rs_dc2,current frontend AIG,ex240|frontend_synthflow_iterative_from_r29_best|abc_iter_compress2rs_dc2|preserve_current_frontend_structure_second_pass|compress2rs_dc2|official_evaluate|full_word,ERROR,ABC flow failed or evaluate.py did not return OK,student/work/ex240_ex299_frontend_gt2_round30_20260613_0718/local-abc-r30/ex240/logs/ex240_r30_compress2rs_dc2_from_frontend_best.evaluate.py.log,avoid exact flow
ex240,float_fp8,local-abc-r30,frontend synth-flow iterative from current best,ABC iterative flow dch_rwz_rfz,current frontend AIG,ex240|frontend_synthflow_iterative_from_r29_best|abc_iter_dch_rwz_rfz|preserve_current_frontend_structure_second_pass|dch_rwz_rfz|official_evaluate|full_word,ERROR,ABC flow failed or evaluate.py did not return OK,student/work/ex240_ex299_frontend_gt2_round30_20260613_0718/local-abc-r30/ex240/logs/ex240_r30_dch_rwz_rfz_from_frontend_best.evaluate.py.log,avoid exact flow
ex242,float_fp8,local-abc-r30,frontend synth-flow iterative from current best,ABC iterative flow compress2rs_dc2,current frontend AIG,ex242|frontend_synthflow_iterative_from_r29_best|abc_iter_compress2rs_dc2|preserve_current_frontend_structure_second_pass|compress2rs_dc2|official_evaluate|full_word,ERROR,ABC flow failed or evaluate.py did not return OK,student/work/ex240_ex299_frontend_gt2_round30_20260613_0718/local-abc-r30/ex242/logs/ex242_r30_compress2rs_dc2_from_frontend_best.evaluate.py.log,avoid exact flow
ex242,float_fp8,local-abc-r30,frontend synth-flow iterative from current best,ABC iterative flow dch_rwz_rfz,current frontend AIG,ex242|frontend_synthflow_iterative_from_r29_best|abc_iter_dch_rwz_rfz|preserve_current_frontend_structure_second_pass|dch_rwz_rfz|official_evaluate|full_word,ERROR,ABC flow failed or evaluate.py did not return OK,student/work/ex240_ex299_frontend_gt2_round30_20260613_0718/local-abc-r30/ex242/logs/ex242_r30_dch_rwz_rfz_from_frontend_best.evaluate.py.log,avoid exact flow
ex244,float_fp8,local-abc-r30,frontend synth-flow iterative from current best,ABC iterative flow compress2rs_dc2,current frontend AIG,ex244|frontend_synthflow_iterative_from_r29_best|abc_iter_compress2rs_dc2|preserve_current_frontend_structure_second_pass|compress2rs_dc2|official_evaluate|full_word,ERROR,ABC flow failed or evaluate.py did not return OK,student/work/ex240_ex299_frontend_gt2_round30_20260613_0718/local-abc-r30/ex244/logs/ex244_r30_compress2rs_dc2_from_frontend_best.evaluate.py.log,avoid exact flow
ex244,float_fp8,local-abc-r30,frontend synth-flow iterative from current best,ABC iterative flow dch_rwz_rfz,current frontend AIG,ex244|frontend_synthflow_iterative_from_r29_best|abc_iter_dch_rwz_rfz|preserve_current_frontend_structure_second_pass|dch_rwz_rfz|official_evaluate|full_word,ERROR,ABC flow failed or evaluate.py did not return OK,student/work/ex240_ex299_frontend_gt2_round30_20260613_0718/local-abc-r30/ex244/logs/ex244_r30_dch_rwz_rfz_from_frontend_best.evaluate.py.log,avoid exact flow
ex245,float_fp8,local-abc-r30,frontend synth-flow iterative from current best,ABC iterative flow compress2rs_dc2,current frontend AIG,ex245|frontend_synthflow_iterative_from_r29_best|abc_iter_compress2rs_dc2|preserve_current_frontend_structure_second_pass|compress2rs_dc2|official_evaluate|full_word,ERROR,ABC flow failed or evaluate.py did not return OK,student/work/ex240_ex299_frontend_gt2_round30_20260613_0718/local-abc-r30/ex245/logs/ex245_r30_compress2rs_dc2_from_frontend_best.evaluate.py.log,avoid exact flow
ex245,float_fp8,local-abc-r30,frontend synth-flow iterative from current best,ABC iterative flow dch_rwz_rfz,current frontend AIG,ex245|frontend_synthflow_iterative_from_r29_best|abc_iter_dch_rwz_rfz|preserve_current_frontend_structure_second_pass|dch_rwz_rfz|official_evaluate|full_word,ERROR,ABC flow failed or evaluate.py did not return OK,student/work/ex240_ex299_frontend_gt2_round30_20260613_0718/local-abc-r30/ex245/logs/ex245_r30_dch_rwz_rfz_from_frontend_best.evaluate.py.log,avoid exact flow
ex246,float_fp8,local-abc-r30,frontend synth-flow iterative from current best,ABC iterative flow compress2rs_dc2,current frontend AIG,ex246|frontend_synthflow_iterative_from_r29_best|abc_iter_compress2rs_dc2|preserve_current_frontend_structure_second_pass|compress2rs_dc2|official_evaluate|full_word,ERROR,ABC flow failed or evaluate.py did not return OK,student/work/ex240_ex299_frontend_gt2_round30_20260613_0718/local-abc-r30/ex246/logs/ex246_r30_compress2rs_dc2_from_frontend_best.evaluate.py.log,avoid exact flow
ex246,float_fp8,local-abc-r30,frontend synth-flow iterative from current best,ABC iterative flow dch_rwz_rfz,current frontend AIG,ex246|frontend_synthflow_iterative_from_r29_best|abc_iter_dch_rwz_rfz|preserve_current_frontend_structure_second_pass|dch_rwz_rfz|official_evaluate|full_word,ERROR,ABC flow failed or evaluate.py did not return OK,student/work/ex240_ex299_frontend_gt2_round30_20260613_0718/local-abc-r30/ex246/logs/ex246_r30_dch_rwz_rfz_from_frontend_best.evaluate.py.log,avoid exact flow
