case,candidate_id,evaluate_status,equivalent,area,delay,adp,verilog_path,aig_path,log_path,agent_id,notes,domain,evaluate_log,shard_csv,round,run_id,status,output_dir,runtime_sec,method_signature
ex223,ex223_r73_action_range_decode,,1,19162,30,574860,student/work/frontend_source_parallel_round73_20260613_1414/sub-fp16-int-semantic-r73/ex223/verilog/ex223_r73_action_range_decode.v,student/work/frontend_source_parallel_round73_20260613_1414/sub-fp16-int-semantic-r73/ex223/aigs/ex223_r73_action_range_decode.aig,,sub-fp16-int-semantic-r73,positive-normal whole-output action ranges; exp_groups=30; total_word_runs=9736; max_runs_per_exp=1024,fp16,student/runs/fp16/frontend_source_parallel_round73_20260613_1414/sub-fp16-int-semantic-r73/ex223/logs/ex223_r73_action_range_decode.evaluate.py.log,student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1414/agent_shards/sub-fp16-int-semantic-r73/evaluation_results.csv,,,,,,
ex225,ex225_r73_action_range_decode,,1,21044,30,631320,student/work/frontend_source_parallel_round73_20260613_1414/sub-fp16-int-semantic-r73/ex225/verilog/ex225_r73_action_range_decode.v,student/work/frontend_source_parallel_round73_20260613_1414/sub-fp16-int-semantic-r73/ex225/aigs/ex225_r73_action_range_decode.aig,,sub-fp16-int-semantic-r73,positive-normal whole-output action ranges; exp_groups=30; total_word_runs=9791; max_runs_per_exp=1024,fp16,student/runs/fp16/frontend_source_parallel_round73_20260613_1414/sub-fp16-int-semantic-r73/ex225/logs/ex225_r73_action_range_decode.evaluate.py.log,student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1414/agent_shards/sub-fp16-int-semantic-r73/evaluation_results.csv,,,,,,
ex260,ex260_r73_b_action_affine,,1,190,10,1900,student/work/frontend_source_parallel_round73_20260613_1414/sub-fp16-int-semantic-r73/ex260/verilog/ex260_r73_b_action_affine.v,student/work/frontend_source_parallel_round73_20260613_1414/sub-fp16-int-semantic-r73/ex260/aigs/ex260_r73_b_action_affine.aig,,sub-fp16-int-semantic-r73,signed multiplier decoded as affine actions of a; no Baugh-Wooley/Booth rows,integer,student/runs/integer/frontend_source_parallel_round73_20260613_1414/sub-fp16-int-semantic-r73/ex260/logs/ex260_r73_b_action_affine.evaluate.py.log,student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1414/agent_shards/sub-fp16-int-semantic-r73/evaluation_results.csv,,,,,,
ex260,ex260_r73_a_action_affine,,1,190,10,1900,student/work/frontend_source_parallel_round73_20260613_1414/sub-fp16-int-semantic-r73/ex260/verilog/ex260_r73_a_action_affine.v,student/work/frontend_source_parallel_round73_20260613_1414/sub-fp16-int-semantic-r73/ex260/aigs/ex260_r73_a_action_affine.aig,,sub-fp16-int-semantic-r73,signed multiplicand decoded as affine actions of b; symmetry check outside row/compressor families,integer,student/runs/integer/frontend_source_parallel_round73_20260613_1414/sub-fp16-int-semantic-r73/ex260/logs/ex260_r73_a_action_affine.evaluate.py.log,student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1414/agent_shards/sub-fp16-int-semantic-r73/evaluation_results.csv,,,,,,
ex266,ex266_r73_divisor_action_ranges,,1,227,12,2724,student/work/frontend_source_parallel_round73_20260613_1414/sub-fp16-int-semantic-r73/ex266/verilog/ex266_r73_divisor_action_ranges.v,student/work/frontend_source_parallel_round73_20260613_1414/sub-fp16-int-semantic-r73/ex266/aigs/ex266_r73_divisor_action_ranges.aig,,sub-fp16-int-semantic-r73,divisor-keyed bounded quotient action ranges; total_runs=144,integer,student/runs/integer/frontend_source_parallel_round73_20260613_1414/sub-fp16-int-semantic-r73/ex266/logs/ex266_r73_divisor_action_ranges.evaluate.py.log,student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1414/agent_shards/sub-fp16-int-semantic-r73/evaluation_results.csv,,,,,,
ex266,ex266_r73_dividend_action_ranges,,1,299,14,4186,student/work/frontend_source_parallel_round73_20260613_1414/sub-fp16-int-semantic-r73/ex266/verilog/ex266_r73_dividend_action_ranges.v,student/work/frontend_source_parallel_round73_20260613_1414/sub-fp16-int-semantic-r73/ex266/aigs/ex266_r73_dividend_action_ranges.aig,,sub-fp16-int-semantic-r73,dividend-keyed bounded quotient action ranges over nonzero divisors; total_runs=226,integer,student/runs/integer/frontend_source_parallel_round73_20260613_1414/sub-fp16-int-semantic-r73/ex266/logs/ex266_r73_dividend_action_ranges.evaluate.py.log,student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1414/agent_shards/sub-fp16-int-semantic-r73/evaluation_results.csv,,,,,,
ex240,ex240_r73_action_id_signmag_decode,,1,650,44,28600,student/work/frontend_source_parallel_round73_20260613_1414/sub-fp8-mid-classes-r73/ex240/verilog/ex240_r73_action_id_signmag_decode.v,student/work/frontend_source_parallel_round73_20260613_1414/sub-fp8-mid-classes-r73/ex240/aigs/ex240_r73_action_id_signmag_decode.aig,,sub-fp8-mid-classes-r73,synth_sec=0.69; eval_sec=1.04,float_fp8,student/work/frontend_source_parallel_round73_20260613_1414/sub-fp8-mid-classes-r73/ex240/logs/ex240_r73_action_id_signmag_decode.evaluate.py.log,student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1414/agent_shards/sub-fp8-mid-classes-r73/evaluation_results.csv,round73,frontend_source_parallel_round73_20260613_1414,,,,
ex241,ex241_r73_mul_action_magnitude_decode,,1,573,35,20055,student/work/frontend_source_parallel_round73_20260613_1414/sub-fp8-mid-classes-r73/ex241/verilog/ex241_r73_mul_action_magnitude_decode.v,student/work/frontend_source_parallel_round73_20260613_1414/sub-fp8-mid-classes-r73/ex241/aigs/ex241_r73_mul_action_magnitude_decode.aig,,sub-fp8-mid-classes-r73,synth_sec=1.37; eval_sec=0.58,float_fp8,student/work/frontend_source_parallel_round73_20260613_1414/sub-fp8-mid-classes-r73/ex241/logs/ex241_r73_mul_action_magnitude_decode.evaluate.py.log,student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1414/agent_shards/sub-fp8-mid-classes-r73/evaluation_results.csv,round73,frontend_source_parallel_round73_20260613_1414,,,,
ex245,ex245_r73_add_action_region_decode,,1,740,34,25160,student/work/frontend_source_parallel_round73_20260613_1414/sub-fp8-mid-classes-r73/ex245/verilog/ex245_r73_add_action_region_decode.v,student/work/frontend_source_parallel_round73_20260613_1414/sub-fp8-mid-classes-r73/ex245/aigs/ex245_r73_add_action_region_decode.aig,,sub-fp8-mid-classes-r73,synth_sec=1.50; eval_sec=0.95,float_fp8,student/work/frontend_source_parallel_round73_20260613_1414/sub-fp8-mid-classes-r73/ex245/logs/ex245_r73_add_action_region_decode.evaluate.py.log,student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1414/agent_shards/sub-fp8-mid-classes-r73/evaluation_results.csv,round73,frontend_source_parallel_round73_20260613_1414,,,,
ex244,ex244_r73_gap_run_action_encoder,OK,1,331,36,11916,student/work/frontend_source_parallel_round73_20260613_1414/sub-fp8-worst-classes-r73/ex244/verilog/ex244_r73_gap_run_action_encoder.v,student/work/frontend_source_parallel_round73_20260613_1414/sub-fp8-worst-classes-r73/ex244/aigs/ex244_r73_gap_run_action_encoder.aig,student/work/frontend_source_parallel_round73_20260613_1414/sub-fp8-worst-classes-r73/ex244/logs/ex244_r73_gap_run_action_encoder.evaluate.py.log,sub-fp8-worst-classes-r73,official evaluate.py OK; frontend_base=9120; overall_target=8928; reference=4272,float_fp8,student/work/frontend_source_parallel_round73_20260613_1414/sub-fp8-worst-classes-r73/ex244/logs/ex244_r73_gap_run_action_encoder.evaluate.py.log,student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1414/agent_shards/sub-fp8-worst-classes-r73/evaluation_results.csv,,,equivalent_nonwinning,student/work/frontend_source_parallel_round73_20260613_1414/sub-fp8-worst-classes-r73/ex244/eval/ex244_r73_gap_run_action_encoder,0.537,"ex244|E4M3FN packed hypot abs(high,low)|gap/max-sig action encoder with min-sig threshold runs|shared abs max/min decode, effective exponent gap, sig4 class wires, one delta action encoder|repo_yosys_frontend_default|official_evaluate|full_word"
ex246,ex246_r73_product_action_encoder,OK,1,389,30,11670,student/work/frontend_source_parallel_round73_20260613_1414/sub-fp8-worst-classes-r73/ex246/verilog/ex246_r73_product_action_encoder.v,student/work/frontend_source_parallel_round73_20260613_1414/sub-fp8-worst-classes-r73/ex246/aigs/ex246_r73_product_action_encoder.aig,student/work/frontend_source_parallel_round73_20260613_1414/sub-fp8-worst-classes-r73/ex246/logs/ex246_r73_product_action_encoder.evaluate.py.log,sub-fp8-worst-classes-r73,official evaluate.py OK; frontend_base=6888; overall_target=5984; reference=2805,float_fp8,student/work/frontend_source_parallel_round73_20260613_1414/sub-fp8-worst-classes-r73/ex246/logs/ex246_r73_product_action_encoder.evaluate.py.log,student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1414/agent_shards/sub-fp8-worst-classes-r73/evaluation_results.csv,,,equivalent_nonwinning,student/work/frontend_source_parallel_round73_20260613_1414/sub-fp8-worst-classes-r73/ex246/eval/ex246_r73_product_action_encoder,0.506,"ex246|E5M2FN packed multiply high byte times low byte|product action word plus exception decode|shared sign xor, sig3 product, exp_sum, per-product affine action, sparse exact exception action|repo_yosys_frontend_default|official_evaluate|full_word"
ex247,ex247_r73_region_action_decoder,OK,1,371,24,8904,student/work/frontend_source_parallel_round73_20260613_1414/sub-fp8-worst-classes-r73/ex247/verilog/ex247_r73_region_action_decoder.v,student/work/frontend_source_parallel_round73_20260613_1414/sub-fp8-worst-classes-r73/ex247/aigs/ex247_r73_region_action_decoder.aig,student/work/frontend_source_parallel_round73_20260613_1414/sub-fp8-worst-classes-r73/ex247/logs/ex247_r73_region_action_decoder.evaluate.py.log,sub-fp8-worst-classes-r73,official evaluate.py OK; frontend_base=7291; overall_target=6804; reference=2975,float_fp8,student/work/frontend_source_parallel_round73_20260613_1414/sub-fp8-worst-classes-r73/ex247/logs/ex247_r73_region_action_decoder.evaluate.py.log,student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1414/agent_shards/sub-fp8-worst-classes-r73/evaluation_results.csv,,,equivalent_nonwinning,student/work/frontend_source_parallel_round73_20260613_1414/sub-fp8-worst-classes-r73/ex247/eval/ex247_r73_region_action_decoder,0.567,"ex247|E5M2FN low-over-high division|denominator bound-smallpat attributes feeding a single region action decoder|shared sign xor, exponent delta, denominator-first attrs, low pattern, linear magnitude, one region action|repo_yosys_frontend_default|official_evaluate|full_word"
