case,domain,agent_id,hypothesis,method_signature,status,reason,verilog_path,evaluate_log,notes
ex200,bf16,unary-r4,bf16_exp_semantic_exp_default,ex200|bf16_exp_semantic_exp_default|one_parallel_casez_saturation|shared_sign_exp_decode_and_parallel_casez|yosys_abc_g_aig|abc_xf_official_evaluate|full_word_semantic_exp,equivalent_but_bad_qor,official evaluate.py equivalent but did not improve current frontend best,/home/b10507053/ALS_Final_Project/student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/unary-r4/ex200/verilog/ex200_bf16_exp_semantic_exp_default_one_parallel_casez_saturation.v,/home/b10507053/ALS_Final_Project/student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/unary-r4/ex200/logs/ex200_bf16_exp_semantic_exp_default_one_parallel_casez_saturation.evaluate.log,coordinator-filled from official evaluate.py log; equivalent but worse than frontend best
ex223,fp16,unary-r4,fp16_log_sparse_nested_variant,ex223|fp16_log_sparse_nested_variant|log_nested_low11_hi5|shared_sign_exp_special_decode_nested_low_table|yosys_abc_g_aig|abc_xf_official_evaluate|positive_normal_nested_low_hi,equivalent_but_bad_qor,official evaluate.py equivalent but did not improve current frontend best,/home/b10507053/ALS_Final_Project/student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/unary-r4/ex223/verilog/ex223_log_nested_low11_hi5_abc_g_aig.v,/home/b10507053/ALS_Final_Project/student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/unary-r4/ex223/logs/ex223_log_nested_low11_hi5_abc_g_aig.evaluate.log,coordinator-filled from official evaluate.py log; equivalent but just worse than frontend best
ex225,fp16,unary-r4,fp16_log_sparse_nested_variant,ex225|fp16_log_sparse_nested_variant|log_nested_low12_hi5|source_nested_low_table_no_new_sharing|yosys_abc_g_aig|abc_xf_official_evaluate|positive_normal_nested_low_hi,equivalent_but_bad_qor,official equivalent but does not improve current frontend best,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/unary-r4/ex225/verilog/ex225_log_nested_low12_hi5_abc_g_aig.v,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/unary-r4/ex225/logs/ex225_log_nested_low12_hi5_abc_g_aig.evaluate.py.log,coordinator replay filled missing shard row; official evaluate.py OK but worse than frontend best
ex244,float_fp8,float-fp8-r4,ex244 material-difference gate,ex244|no_run|no_materially_different_family|avoids_shared_threshold_rounding_and_round3_bitcofactor_delta|not_evaluated|not_evaluated|not_evaluated,blocked_no_candidate_run,no exact-ready family materially different from shared threshold/rounding and round3 bitcofactor/delta was available,,,"stopped per user instruction; available ex244 local families are delta/max-eff, threshold, BDD-order, broad semantic table, or bitcofactor-style repeats"
ex246,float_fp8,float-fp8-r4,E5M2FN packed multiply with shared field decode and shallow rounding/saturation,ex246|e5m2fn_multiply|shared_decode_mul_threshold_rounding|shared_sign_exp_mant_decode|yosys_synth_default|official_evaluate_py|word_output,equivalent_but_bad_qor,do_not_repeat_as_is; official equivalent but not better than current frontend best,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/float-fp8-r4/ex246/verilog/ex246_shared_decode_mul_threshold_rounding_default.v,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/float-fp8-r4/ex246/logs/ex246_shared_decode_mul_threshold_rounding_default.official_evaluate.log,official evaluate.py OK area=413 delay=35 adp=14455; worse than current frontend 7502
ex247,float_fp8,float-fp8-r4,fp8_shared_decode_threshold_rounding,ex247|fp8_shared_decode_threshold_rounding|shared_decode_threshold_rounding_default|shared exponent/sign/mantissa decode plus threshold rounding|official_evaluate|abc_xf_official_evaluate|full fp8 output,equivalent_but_bad_qor,do_not_repeat_as_is; official equivalent but worse than current frontend best,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/float-fp8-r4/ex247/verilog/ex247_shared_decode_threshold_rounding_default.v,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/float-fp8-r4/ex247/logs/ex247_shared_decode_threshold_rounding_default.official_evaluate.log,official evaluate.py OK but worse than current frontend; marked do_not_repeat_as_is
ex260,integer,integer-r4,signed_multiplier_highlevel_sign_extend,ex260|signed_multiplier_highlevel_sign_extend|sext_highlevel_product|direct signed high-level multiply with sign extension|yosys_abc_g_and|abc_xf_official_evaluate|full product output,equivalent_but_bad_qor,official equivalent but does not improve current frontend best,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/integer-r4/ex260/verilog/ex260_smul_highlevel_sext_r4.v,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/integer-r4/ex260/logs/ex260_smul_highlevel_sext_r4.evaluate.log,agent artifact/log present; official evaluate.py OK but worse than frontend best
ex266,integer,integer-r4,unsigned_divider_threshold_thermometer,ex266|unsigned_divider_threshold_thermometer|threshold_therm_r4|shared threshold thermometer compare network|yosys_abc_g_and|abc_xf_official_evaluate|quotient_saturation_output,equivalent_but_bad_qor,official equivalent but much worse than current frontend best,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/integer-r4/ex266/verilog/ex266_udiv_threshold_therm_r4.v,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/integer-r4/ex266/logs/ex266_udiv_threshold_therm_r4.evaluate.log,official evaluate.py OK but much worse than frontend best
ex282,unknown,gf2-polish-r4,quartic_gf2_event_filter,ex282|quartic_gf2_event_filter|overlap_root_product_basis_mixed_roots_delaycap_rawlin|shared_roots_with_raw_linear_correction|yosys_abc_g_aig|exact_full_clamp_mux_coordinate_degree2|balanced_roots_raw_linear_xor,no_improvement_tie,official equivalent but does not improve current frontend best,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/gf2-polish-r4/ex282/verilog/ex282_gf2_overlap_roots_mixed_roots_delaycap_balanced_rawlin_abc_g_aig.v,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/gf2-polish-r4/ex282/logs/ex282_gf2_overlap_roots_mixed_roots_delaycap_balanced_rawlin_abc_g_aig.evaluate.log,official evaluate.py OK; exact tie with round3 accepted frontend baseline
ex283,unknown,gf2-polish-r4,quartic_gf2_event_filter,ex283|quartic_gf2_event_filter|overlap_root_product_basis_mixed_roots_delaycap|shared_overlapping_linear_roots_with_linear_corrections|yosys_abc_g_aig|exact_full_clamp_mux_coordinate_degree2|balanced_multi_output_root_product_xor,equivalent_but_bad_qor,official evaluate.py equivalent but did not improve current frontend best,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/gf2-polish-r4/ex283/verilog/ex283_gf2_overlap_roots_mixed_roots_delaycap_balanced_rawlin_abc_g_aig.v,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/gf2-polish-r4/ex283/logs/ex283_gf2_overlap_roots_mixed_roots_delaycap_balanced_rawlin_abc_g_aig.evaluate.log,coord_width=20; candidate_products=23372; unique_products=29; roots=33; selected_terms=31; linear_correction_bits=13; terms_by_bit=1:1:1:1:1:1:1:1:1:1:2:5:5:4:5; linear_factored=0; scheduler=delay_capped; pool_by_bit=small:small:small:small:small:small:small:small:small:small:small:small:small:wide:small; hash_pending=1; exact Python model over 32768 rows; hash=810dfe975dc1
ex284,unknown,gf2-polish-r4,quartic_gf2_event_filter,ex284|quartic_gf2_event_filter|overlap_root_product_basis_mixed_roots_delaycap|shared_overlapping_linear_roots_with_factored_linear_corrections|yosys_abc_g_aig|exact_full_clamp_mux_coordinate_degree2|balanced_root_products_plus_shared_linear_correction_xor,equivalent_but_bad_qor,official evaluate.py equivalent but did not improve current frontend best,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/gf2-polish-r4/ex284/verilog/ex284_gf2_overlap_roots_mixed_roots_delaycap_balanced_linfact_abc_g_aig.v,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/gf2-polish-r4/ex284/logs/ex284_gf2_overlap_roots_mixed_roots_delaycap_balanced_linfact_abc_g_aig.evaluate.log,coord_width=21; candidate_products=25073; unique_products=31; roots=36; selected_terms=33; linear_correction_bits=14; terms_by_bit=1:1:1:1:1:1:1:1:2:1:1:2:4:5:4:6; linear_factored=1; scheduler=delay_capped; pool_by_bit=small:small:small:small:small:small:small:small:small:wide:wide:wide:wide:small:wide:small; hash_pending=1; exact Python model over 65536 rows; hash=05b6d0aa6991
