case,agent_id,candidate_id,structure_family,shared_nodes_or_terms,outputs_covered,expected_benefit,observed_qor,notes
ex200,unary-r4,ex200_bf16_exp_semantic_exp_default_one_parallel_casez_saturation,semantic_exp_casez_saturation,shared sign/exp/mant decode plus saturation casez groups,full_word_semantic_exp,reduce duplicated output logic via shared semantic structure,3717/17/63189,coordinator supplemental row
ex223,unary-r4,ex223_log_nested_low11_hi5_abc_g_aig,positive-normal nested low-bit LUT plus sign/exp special decode,shared sign/exp special decode with nested low11/hi5 table,positive_normal_nested_low_hi,reduce duplicated output logic via shared semantic structure,10753/19/204307,coordinator supplemental row
ex225,unary-r4,ex225_log_nested_low12_hi5_abc_g_aig,log_nested_low12_hi5,source_nested_low_table_no_new_sharing,all,lower ADP,11533/19/219127,coordinator replay filled missing shard row; official evaluate.py OK but worse than frontend best
ex246,float-fp8-r4,ex246_shared_decode_mul_threshold_rounding_default,shared_decode_mul_threshold_rounding,"NaN/sign decode, effective exponent/significand decode, exponent sum, threshold rounding and saturation predicates",8,shallower shared decode and threshold predicates versus per-row muxing,area=413; delay=35; adp=14455; equivalent=1,official evaluate.py status OK; not an ex247 round3/r4 bad-family reuse; equivalent_but_bad_qor; do_not_repeat_as_is
ex260,integer-r4,ex260_smul_highlevel_sext_r4,sext_highlevel_product,direct signed high-level multiply with sign extension,all,lower ADP,164/18/2952,agent artifact/log present; official evaluate.py OK but worse than frontend best
ex282,gf2-polish-r4,ex282_gf2_overlap_roots_mixed_roots_delaycap_balanced_rawlin_abc_g_aig,overlap_root_product_basis_mixed_roots_delaycap_rawlin,shared_roots_with_raw_linear_correction,all,lower ADP,144/28/4032,official evaluate.py OK; exact tie with round3 accepted frontend baseline
ex283,gf2-polish-r4,ex283_gf2_overlap_roots_mixed_roots_delaycap_balanced_rawlin_abc_g_aig,overlap_root_product_basis_mixed_roots_delaycap,shared_overlapping_linear_roots_with_linear_corrections,balanced_multi_output_root_product_xor,reduce duplicated output logic via shared semantic structure,159/32/5088,coordinator supplemental row
ex284,gf2-polish-r4,ex284_gf2_overlap_roots_mixed_roots_delaycap_balanced_linfact_abc_g_aig,overlap_root_product_basis_mixed_roots_delaycap,shared_overlapping_linear_roots_with_factored_linear_corrections,balanced_root_products_plus_shared_linear_correction_xor,reduce duplicated output logic via shared semantic structure,170/33/5610,coordinator supplemental row
ex286,routing-r4,ex286_fredkin_route_lossless_r0,fredkin_controlled_swap_network,5 selector stages plus xor selector,13,compact lossless routing primitive,NOT_EQUIV,official counterexample input 13'h0DFF
ex287,routing-r4,ex287_truth_rom_direct_r0,truth_rom_direct_descriptor,one shared exact abc_xf truth source,14,exactness baseline and descriptor sanity check,area 21536 delay 31 ADP 667616,official OK but no QoR value
ex297,state-r4,ex297_state_r4_truth_high_split_replay,truth_table_high_split,per high-half default plus low-half exception table,14/14,exact replay baseline without round3 banned families,33049/21/694029,equivalent_but_bad_qor; do_not_repeat_as_is
ex299,state-r4,ex299_state_r4_value_case_replay,truth_table_value_case,none; direct full input case table,16/16,one exact non-state baseline avoiding round3/r4 state descriptor families,121703/29/3529387,equivalent_but_bad_qor; do_not_repeat_as_is
ex225,mixed-r4b,ex225_log_nested_low12_hi5_mixedr4b_smoke0,log_nested_low12_hi5,shared_special_sign_exp_decode_plus_nested_mantissa_lut,all,lower ADP,11533/19/219127,normalized from misplaced agent_shards/mixed-r4b row; official evaluate.py OK; candidate copied into mixed-r4b shard for replacement-worker smoke run; does not improve current frontend best
ex247,float-fp8-r4b,ex247_e5m2fn_div_magpair_quotient_wordcase,direct_magpair_quotient_wordcase,no_shared_structure_large_wordcase,all,lower ADP,4336/26/112736,"normalized from run candidates.csv; official evaluate.py status OK; exact direct {num_mag,den_mag}->quotient magnitude wordcase; replacement worker first candidate"
ex286,routing-r4b,ex286_unknown_symcof_interleave_f11_k4_onehot_group,multipair_symmetry_cofactor_invalid_completion,2394,13/13,test f11 invalid-key completion as source-level dont-care change for pair-canonical routing cofactors,1464/16/23424,"official evaluate.py OK; pairs=4:5,6:7; order=interleave; policy=f11; mux_style=onehot; bdd_share=group; outer_bits=0:12:1:11; inner_bits=2:3:4:5:6:7:8:9:10; classes=16; group_nodes=140:156:153:161:161:143:170:168:150:142:122:141:151:150:147:139; total_group_nodes=2394; anf_bits=; key_bdd_bits=bits=:nodes=0; popcount_repair_bits=; parity_repair_bits="
ex297,state-r4b,ex297_state_r4b_nonlinear_ring_shear_case_abc_g_aig,high_bit_quadratic_shear_bijective_key_case,shared nonlinear shear key with full case output,all,lower ADP,41012/28/1148336,normalized from misplaced agent_shards/state-r4b row; equivalent_but_bad_qor; nonlinear_high-bit_ring_shear_bijective_key_case; not_high_split_not_cell_delta_not_bdd_not_anf
ex287,routing-r4b,ex287_unknown_symcof_interleave_f11_k5_case_group,multipair_symmetry_cofactor_invalid_completion_case_mux,4136,14/14,test f11 invalid-key completion with k5 case mux descriptor to avoid k4 onehot repetition,1863/16/29808,"official evaluate.py OK; pairs=4:5,6:7,8:9; order=interleave; policy=f11; mux_style=case; bdd_share=group; outer_bits=0:13:1:12:2; inner_bits=3:4:5:6:7:8:9:10:11; classes=32; group_nodes=139:135:133:126:170:140:126:120:104:118:100:119:114:107:137:139:134:130:121:126:145:135:126:124:133:119:135:139:120:113:157:152; total_group_nodes=4136; anf_bits=; key_bdd_bits=bits=:nodes=0; popcount_repair_bits=; parity_repair_bits="
