case,domain,hypothesis,method_signature,status,reason,artifact_path,log_path,agent_id,run_id,notes
ex200,bf16,bf16_exp,ex200|blocked_no_materially_different_round9_structure|prior_equivalent_nonwinning_families_cover_obvious_sources|no_synth|bf16_exp|blocked,BLOCKED_PRIOR_COVERAGE,"Prior semantic shell, sparse residual, selected-bit, run-compression, and round8 replays are exact/non-winning; no materially different exp normalizer was identified in this shard.",,,mixed-r9,ex200_ex299_frontend_refgap_round9_20260612_1855,Recorded instead of replaying round8/prior source or synth-flow attempts.
ex204,bf16,bf16_log2,ex204|blocked_no_materially_different_round9_structure|prior_equivalent_nonwinning_families_cover_obvious_sources|no_synth|bf16_log2|blocked,BLOCKED_PRIOR_COVERAGE,"Round8 already replayed the arithbase selected-bit seed and sparse residuals; case notes also reject fixed-point, equality formula, PLA, BDD, and base/delta reshuffles without a new shallow reassembly.",,,mixed-r9,ex200_ex299_frontend_refgap_round9_20260612_1855,Recorded instead of replaying round8/prior source or synth-flow attempts.
ex205,bf16,bf16_log10,ex205|blocked_no_materially_different_round9_structure|prior_equivalent_nonwinning_families_cover_obvious_sources|no_synth|bf16_log10|blocked,BLOCKED_PRIOR_COVERAGE,"Round8 replayed the current field-decode seed and sparse residual; notes reject monotone runs, BDDs, exponent runs, and deep exponent-base deltas without a new shallow log10 normalizer.",,,mixed-r9,ex200_ex299_frontend_refgap_round9_20260612_1855,Recorded instead of replaying round8/prior source or synth-flow attempts.
ex223,fp16,fp16_log,ex223|fp16_log|log_nested_low10_hi4|low10_nested_lut_plus_highbit_run_predicates|yosys_abc_g_aig|abc_xf_official_evaluate|positive_normal_low10_highbits,LOW_VALUE_EQUIV,official evaluate.py OK but does not beat current frontend,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/mixed-r9/ex223/verilog/ex223_log_nested_low10_hi4.v,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/mixed-r9/ex223/official_eval/ex223_log_nested_low10_hi4_abc_g_aig.evaluate.py.log,mixed-r9,ex200_ex299_frontend_refgap_round9_20260612_1855,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=10; nested_hi=4; nested_lo=6; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26; b12:runs=37,max=4,const=26; b11:runs=44,max=6,const=24; b10:runs=58,max=11,const=20"
ex223,fp16,fp16_log,ex223|fp16_log|log_nested_low10_hi5|low10_nested_lut_plus_highbit_run_predicates|yosys_abc_g_aig|abc_xf_official_evaluate|positive_normal_low10_highbits,LOW_VALUE_EQUIV,official evaluate.py OK but does not beat current frontend,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/mixed-r9/ex223/verilog/ex223_log_nested_low10_hi5.v,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/mixed-r9/ex223/official_eval/ex223_log_nested_low10_hi5_abc_g_aig.evaluate.py.log,mixed-r9,ex200_ex299_frontend_refgap_round9_20260612_1855,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=10; nested_hi=5; nested_lo=5; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26; b12:runs=37,max=4,const=26; b11:runs=44,max=6,const=24; b10:runs=58,max=11,const=20"
ex225,fp16,fp16_log10,ex225|fp16_log10|log_nested_low10_hi4|low10_nested_lut_plus_highbit_run_predicates|yosys_abc_g_aig|abc_xf_official_evaluate|positive_normal_low10_highbits,LOW_VALUE_EQUIV,official evaluate.py OK but does not beat current frontend,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/mixed-r9/ex225/verilog/ex225_log_nested_low10_hi4.v,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/mixed-r9/ex225/official_eval/ex225_log_nested_low10_hi4_abc_g_aig.evaluate.py.log,mixed-r9,ex200_ex299_frontend_refgap_round9_20260612_1855,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=10; nested_hi=4; nested_lo=6; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26; b12:runs=38,max=4,const=26; b11:runs=45,max=7,const=24; b10:runs=60,max=12,const=20"
ex225,fp16,fp16_log10,ex225|fp16_log10|log_nested_low10_hi5|low10_nested_lut_plus_highbit_run_predicates|yosys_abc_g_aig|abc_xf_official_evaluate|positive_normal_low10_highbits,LOW_VALUE_EQUIV,official evaluate.py OK but does not beat current frontend,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/mixed-r9/ex225/verilog/ex225_log_nested_low10_hi5.v,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/mixed-r9/ex225/official_eval/ex225_log_nested_low10_hi5_abc_g_aig.evaluate.py.log,mixed-r9,ex200_ex299_frontend_refgap_round9_20260612_1855,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=10; nested_hi=5; nested_lo=5; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26; b12:runs=38,max=4,const=26; b11:runs=45,max=7,const=24; b10:runs=60,max=12,const=20"
ex240,float_fp8,E4M3FN packed add,"ex240|E4M3FN packed add|same-sign sig-gap delta plus arithmetic diff-sign normalizer|shared magnitude ordering, exponent/significand decode, same-sign delta table, and diff normalizer|yosys_abc_g_aig_official_evaluate|exact_e4m3fn_add_high_plus_low|same_delta_diff_arithmetic_normalizer",equivalent_low_value,ADP 97099 did not improve current frontend ADP 30090,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/fp8-r9/ex240/aigs/ex240_same_delta_diff_norm_round9_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/fp8-r9/ex240/logs/ex240_same_delta_diff_norm_round9_abc_g_aig.official_evaluate.log,fp8-r9,ex200_ex299_frontend_refgap_round9_20260612_1855,different from round8 field-delta and current GRS replay; tests a semantic diff-normalizer family
ex240,float_fp8,E4M3FN packed add,"ex240|E4M3FN packed add|same-sign sig-gap delta plus arithmetic diff-sign normalizer|shared magnitude ordering, exponent/significand decode, same-sign delta table, and diff normalizer|yosys_default_official_evaluate|exact_e4m3fn_add_high_plus_low|same_delta_diff_arithmetic_normalizer",equivalent_low_value,ADP 101610 did not improve current frontend ADP 30090,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/fp8-r9/ex240/aigs/ex240_same_delta_diff_norm_round9_default.aig,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/fp8-r9/ex240/logs/ex240_same_delta_diff_norm_round9_default.official_evaluate.log,fp8-r9,ex200_ex299_frontend_refgap_round9_20260612_1855,different from round8 field-delta and current GRS replay; tests a semantic diff-normalizer family
ex244,float_fp8,E4M3FN packed hypot,"ex244|E4M3FN packed hypot|sig-gap threshold runs with saturation cap|shared abs max/min decode, exponent gap, significand predicates, and threshold delta runs|yosys_abc_d18_official_evaluate|exact_e4m3fn_hypot_abs_high_low|threshold_delta_predicate_runs",equivalent_low_value,ADP 12284 did not improve current frontend ADP 10234,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/fp8-r9/ex244/aigs/ex244_sig_gap_threshold_round9_abc_d18.aig,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/fp8-r9/ex244/logs/ex244_sig_gap_threshold_round9_abc_d18.official_evaluate.log,fp8-r9,ex200_ex299_frontend_refgap_round9_20260612_1855,source-level threshold representation distinct from round8 orbit bits and current max-eff BDD anchor replay
