case,domain,candidate_id,shared_structures,sharing_strategy,estimated_benefit,agent_id,run_id,notes
ex204,bf16,ex204|bf16_log2_minimax_interval_predicate_sharing|dossier_only|shared_interval_residual_plan_without_verified_generator|not_run|DAZ_log2_BF16_RNE_FTZ|blocker,,planned minimax interval predicates sharing sign/exp/mantissa boundaries and selected-bit residuals,,mixed-leftovers-r23,ex200_ex299_frontend_refgap_round23_20260613_0317,
ex205,bf16,ex205|bf16_log10_minimax_interval_predicate_sharing|dossier_only|shared_interval_residual_plan_without_verified_generator|not_run|DAZ_log10_BF16_RNE_FTZ|blocker,,planned minimax interval predicates across exponent/mantissa fields with shared selected sign/high-bit residuals,,mixed-leftovers-r23,ex200_ex299_frontend_refgap_round23_20260613_0317,
ex218,bf16,ex218|bf16_reciprocal_cube_minimax_interval_predicate_sharing|dossier_only|shared_mantissa_exponent_interval_plan_without_verified_generator|not_run|DAZ_reciprocal_cube_BF16_RNE_FTZ|blocker,,planned interval predicates for reciprocal-cube exponent delta and mantissa classes,,mixed-leftovers-r23,ex200_ex299_frontend_refgap_round23_20260613_0317,
ex223,fp16,ex223|fp16_log_cordic_table_interp_residual_sharing|dossier_only|shared_exp_mant_residual_plan_without_verified_generator|not_run|DAZ_log_FP16_RNE_FTZ|blocker,,"planned shared exponent-base term plus interpolation residuals, but prior segment/mode-base patching leaves too many exact exceptions",,mixed-leftovers-r23,ex200_ex299_frontend_refgap_round23_20260613_0317,
ex224,fp16,ex224|fp16_log2_cordic_table_interp_residual_sharing|dossier_only|shared_exp_mant_residual_plan_without_verified_generator|not_run|DAZ_log2_FP16_RNE_FTZ|blocker,,"planned shared exponent-base term plus interpolation residuals, but prior segment/mode-base patching leaves too many exact exceptions",,mixed-leftovers-r23,ex200_ex299_frontend_refgap_round23_20260613_0317,
ex225,fp16,ex225|fp16_log10_cordic_table_interp_residual_sharing|dossier_only|shared_exp_mant_residual_plan_without_verified_generator|not_run|DAZ_log10_FP16_RNE_FTZ|blocker,,"planned shared exponent-base term plus interval residual predicates, but exact residual compressor not derived at checkpoint",,mixed-leftovers-r23,ex200_ex299_frontend_refgap_round23_20260613_0317,
ex240,float_fp8,E4M3FN packed add,planned shared sorted magnitude decode same-sign GRS path diff-sign cancellation renormalizer and sign selection,formula-based diff-sign cancellation candidate not yet materialized,,fp8-arith-r23,ex200_ex299_frontend_refgap_round23_20260613_0317,
ex241,float_fp8,E4M3FN packed multiply,planned shared sign exponent sum product key leading-bit and boundary exception predicates,shallow normalized product formula candidate not yet materialized,,fp8-arith-r23,ex200_ex299_frontend_refgap_round23_20260613_0317,
ex242,float_fp8,E4M3FN packed low-over-high division,planned shared divisor special decode exponent delta quotient rounding saturation and subnormal boundary predicates,compact quotient boundary formula candidate not yet materialized,,fp8-arith-r23,ex200_ex299_frontend_refgap_round23_20260613_0317,
ex244,float_fp8,E4M3FN packed hypot,planned shared abs max/min decode max_eff gap sig predicates and direct delta-bit critical-path reduction,shallow max/min delta predicate candidate not yet materialized,,fp8-arith-r23,ex200_ex299_frontend_refgap_round23_20260613_0317,
ex245,float_fp8,E5M2FN packed add,planned shared sorted operand decode same/diff active gap predicates and compact RNE normalizer,small-gap active-region arithmetic candidate not yet materialized,,fp8-arith-r23,ex200_ex299_frontend_refgap_round23_20260613_0317,
ex246,float_fp8,E5M2FN packed multiply,planned shared sign xor exponent sum significand product rounding sticky underflow saturation and compact residual boundary predicates,minimized critical-path product arithmetic candidate not yet materialized,,fp8-arith-r23,ex200_ex299_frontend_refgap_round23_20260613_0317,
ex247,float_fp8,E5M2FN packed low-over-high division,planned shared sign xor exponent delta quotient class rounding sticky saturation and low-underflow predicates,integer-log-domain normalized arithmetic candidate not yet materialized,,fp8-arith-r23,ex200_ex299_frontend_refgap_round23_20260613_0317,
ex248,float_fp8,E5M2FN packed fmod,planned shared divisor-period decode delta-negative bypass remainder and normalization predicates,periodic remainder critical-path rewrite candidate not yet materialized,,fp8-arith-r23,ex200_ex299_frontend_refgap_round23_20260613_0317,
ex249,float_fp8,E5M2FN packed hypot,planned shared abs max/min decode active gap saturation and direct delta-bit predicates,shallow raw-exp grouped delta candidate not yet materialized,,fp8-arith-r23,ex200_ex299_frontend_refgap_round23_20260613_0317,
ex253,float_fp8,unsigned 2-bit lane reduction to E4M3FN,planned shared low/high bit popcounts reachable lane-sum qcase and compact threshold outputs,weighted-popcount quantizer rewrite candidate not yet materialized,,fp8-arith-r23,ex200_ex299_frontend_refgap_round23_20260613_0317,
ex256,integer,ex256|unsigned_multiplier_compressor_final_adder_restructure|dossier_only|dadda_wallace_controlled_final_adder_plan_without_verified_generator|not_run|unsigned_low5_high5_multiply|blocker,,planned controlled compressor schedule and final-adder boundary for shared partial products,,mixed-leftovers-r23,ex200_ex299_frontend_refgap_round23_20260613_0317,
ex260,integer,ex260|signed_multiplier_correction_compressor_restructure|dossier_only|baugh_booth_correction_factoring_plan_without_verified_generator|not_run|signed_low4_high4_multiply|blocker,,planned shared signed-correction predicates before compressor/final merge,,mixed-leftovers-r23,ex200_ex299_frontend_refgap_round23_20260613_0317,
ex266,integer,ex266|unsigned_divider_parallel_trial_subtract_restructure|dossier_only|shared_quotient_trial_subtract_plan_without_verified_generator|not_run|unsigned_low5_high5_div_dbz_sat|blocker,,planned parallel trial-subtract or quotient-selection predicates shared across quotient bits,,mixed-leftovers-r23,ex200_ex299_frontend_refgap_round23_20260613_0317,
ex274,integer,ex274|unsigned_square_compressor_trial_restructure|dossier_only|square_column_compressor_final_carry_plan_without_verified_generator|not_run|unsigned_16_square|blocker,,planned exact square-column compressor/final-carry sharing beyond prior triangular Wallace/carry-select,,mixed-leftovers-r23,ex200_ex299_frontend_refgap_round23_20260613_0317,
ex276,integer,ex276|unsigned_isqrt_trial_subtract_classifier_restructure|dossier_only|shared_residual_compare_classifier_plan_without_verified_generator|not_run|floor_isqrt_10_to_5|blocker,,planned residual compare classifier sharing trial-square thresholds without serial candidate refinement,,mixed-leftovers-r23,ex200_ex299_frontend_refgap_round23_20260613_0317,
ex277,integer,ex277|unsigned_isqrt_cofactor_decoder_restructure|dossier_only|cof3_cof4_decoder_residual_plan_without_verified_generator|not_run|floor_isqrt_12_to_6|blocker,,planned cofactor decoder plus residual sqrt cubes shared inside local buckets,,mixed-leftovers-r23,ex200_ex299_frontend_refgap_round23_20260613_0317,
ex285,unknown,conservative_hamming_weight_routing_normalizer,"global popcount, known input swap pair (4,5), decision-tree baseline, bucket/count descriptor clues",,,unknown-routing-r23,ex200_ex299_frontend_refgap_round23_20260613_0317,
ex286,unknown,conservative_hamming_weight_routing_normalizer,"global popcount, known input swap pairs (4,5) and (6,7), bucket-count selectors, lane-parity clue",,,unknown-routing-r23,ex200_ex299_frontend_refgap_round23_20260613_0317,
ex287,unknown,conservative_hamming_weight_routing_normalizer,"global popcount, known input swap pairs (4,5), (6,7), and (8,9), bucket-count selectors, adjacent-pair orientation clue",,,unknown-routing-r23,ex200_ex299_frontend_refgap_round23_20260613_0317,
ex288,unknown,conservative_hamming_weight_routing_normalizer,"global popcount, known input swap pairs (4,5), (6,7), and (8,9), low-delay symcof/key-BDD source, exact bucket-count selectors",,,unknown-routing-r23,ex200_ex299_frontend_refgap_round23_20260613_0317,
ex289,unknown,conservative_hamming_weight_routing_normalizer,"global popcount, known input swap pairs (4,5), (6,7), (8,9), and (10,11), split2 complement/reverse duality, XOR wrapper",,,unknown-routing-r23,ex200_ex299_frontend_refgap_round23_20260613_0317,
ex290,unknown,global state/permutation transform with sparse cyclic I+R^-2 correction,,shared cyclic histogram stride2 delta and rotate residual features across all 12 outputs,,unknown-state-r23,ex200_ex299_frontend_refgap_round23_20260613_0317,Current frontend ADP 61992 and backend/current best ADP 50604 remain above reference 42328. Round22 found no compact exact descriptor; full_input_key_control was exact only at 49152 total keys and cyclic residual densities stayed near 0.44-0.49.
ex291,unknown,global state/permutation transform with sparse cyclic I+R^-2 correction,,shared cyclic histogram stride2 delta and rotate residual features across all 13 outputs,,unknown-state-r23,ex200_ex299_frontend_refgap_round23_20260613_0317,Current frontend ADP 97545 and backend/current best ADP 71721 remain above reference 66850. Round22 found no compact exact descriptor; full_input_key_control was exact only at 106496 total keys and cyclic residual densities stayed near 0.45-0.49.
ex292,unknown,global state/permutation transform with sparse cyclic I+R^-2 correction,,shared cyclic histogram stride2 delta and rotate residual features across all 14 outputs,,unknown-state-r23,ex200_ex299_frontend_refgap_round23_20260613_0317,Current frontend ADP 142170 and backend/current best ADP 102158 remain above reference 84854. Round22 found no compact exact descriptor; full_input_key_control was exact only at 229376 total keys and cyclic residual densities stayed near 0.45-0.49.
