case,domain,hypothesis,method_signature,status,reason,artifact_path,log_path,agent_id,run_id,notes
ex204,bf16,,ex204|bf16_log2_minimax_interval_predicate_sharing|dossier_only|shared_interval_residual_plan_without_verified_generator|not_run|DAZ_log2_BF16_RNE_FTZ|blocker,blocked_no_material_candidate_ready,"Prior exact log2 semantic arithmetic, delta-pair, hi/lo, selected-bit formula, sparse residual, and round22 formula/full-run variants are nonwinning or repeats. The open direction needs a new shallow interval predicate/residual formula that preserves the 17-level path; no exact generator was ready.",student/work/ex200_ex299_frontend_refgap_round23_20260613_0317/mixed-leftovers-r23/ex204/dossier.md,student/work/ex200_ex299_frontend_refgap_round23_20260613_0317/mixed-leftovers-r23/ex204/dossier.md,mixed-leftovers-r23,ex200_ex299_frontend_refgap_round23_20260613_0317,"Prior exact log2 semantic arithmetic, delta-pair, hi/lo, selected-bit formula, sparse residual, and round22 formula/full-run variants are nonwinning or repeats. The open direction needs a new shallow interval predicate/residual formula that preserves the 17-level path; no exact generator was ready."
ex205,bf16,,ex205|bf16_log10_minimax_interval_predicate_sharing|dossier_only|shared_interval_residual_plan_without_verified_generator|not_run|DAZ_log10_BF16_RNE_FTZ|blocker,blocked_no_material_candidate_ready,"Prior exact log10 field decode, exp-base delta, sparse residual, and round22 field/delta variants are nonwinning. The open direction needs smaller interval predicates or a different field-sharing formula, not another source copy; no exact generator was ready.",student/work/ex200_ex299_frontend_refgap_round23_20260613_0317/mixed-leftovers-r23/ex205/dossier.md,student/work/ex200_ex299_frontend_refgap_round23_20260613_0317/mixed-leftovers-r23/ex205/dossier.md,mixed-leftovers-r23,ex200_ex299_frontend_refgap_round23_20260613_0317,"Prior exact log10 field decode, exp-base delta, sparse residual, and round22 field/delta variants are nonwinning. The open direction needs smaller interval predicates or a different field-sharing formula, not another source copy; no exact generator was ready."
ex218,bf16,,ex218|bf16_reciprocal_cube_minimax_interval_predicate_sharing|dossier_only|shared_mantissa_exponent_interval_plan_without_verified_generator|not_run|DAZ_reciprocal_cube_BF16_RNE_FTZ|blocker,blocked_no_material_candidate_ready,"Prior semantic reciprocal-cube RTL, sign symmetry, guarded mantissa LUTs, value-case field selector, and range-patch diagnostics are nonwinning or repeats. Round18 evidence says exp+mant_hi6 still leaves 5424 exceptions, so no new exact interval predicate candidate was ready.",student/work/ex200_ex299_frontend_refgap_round23_20260613_0317/mixed-leftovers-r23/ex218/dossier.md,student/work/ex200_ex299_frontend_refgap_round23_20260613_0317/mixed-leftovers-r23/ex218/dossier.md,mixed-leftovers-r23,ex200_ex299_frontend_refgap_round23_20260613_0317,"Prior semantic reciprocal-cube RTL, sign symmetry, guarded mantissa LUTs, value-case field selector, and range-patch diagnostics are nonwinning or repeats. Round18 evidence says exp+mant_hi6 still leaves 5424 exceptions, so no new exact interval predicate candidate was ready."
ex223,fp16,,ex223|fp16_log_cordic_table_interp_residual_sharing|dossier_only|shared_exp_mant_residual_plan_without_verified_generator|not_run|DAZ_log_FP16_RNE_FTZ|blocker,blocked_no_material_candidate_ready,"Prior exact semantic/fixed-point log normalizers were delay-heavy, selected-bit/table/casez/bitvec families are marked low-value, sparse residual replay is nonwinning, and round22 segment-mode-base diagnostics left 8532 exceptions after the best exp+mant_hi8 patch. No materially new exact generator was ready, so no unverified RTL was emitted.",student/work/ex200_ex299_frontend_refgap_round23_20260613_0317/mixed-leftovers-r23/ex223/dossier.md,student/work/ex200_ex299_frontend_refgap_round23_20260613_0317/mixed-leftovers-r23/ex223/dossier.md,mixed-leftovers-r23,ex200_ex299_frontend_refgap_round23_20260613_0317,"Prior exact semantic/fixed-point log normalizers were delay-heavy, selected-bit/table/casez/bitvec families are marked low-value, sparse residual replay is nonwinning, and round22 segment-mode-base diagnostics left 8532 exceptions after the best exp+mant_hi8 patch. No materially new exact generator was ready, so no unverified RTL was emitted."
ex224,fp16,,ex224|fp16_log2_cordic_table_interp_residual_sharing|dossier_only|shared_exp_mant_residual_plan_without_verified_generator|not_run|DAZ_log2_FP16_RNE_FTZ|blocker,blocked_no_material_candidate_ready,"Prior exact clustered log2 correction normalizers were area-efficient but delay-heavy, exponent-class word-BDD and sparse residual replay are nonwinning, and round22 segment-mode-base diagnostics left 8652 exceptions after the best exp+mant_hi8 patch. No materially new exact generator was ready, so no unverified RTL was emitted.",student/work/ex200_ex299_frontend_refgap_round23_20260613_0317/mixed-leftovers-r23/ex224/dossier.md,student/work/ex200_ex299_frontend_refgap_round23_20260613_0317/mixed-leftovers-r23/ex224/dossier.md,mixed-leftovers-r23,ex200_ex299_frontend_refgap_round23_20260613_0317,"Prior exact clustered log2 correction normalizers were area-efficient but delay-heavy, exponent-class word-BDD and sparse residual replay are nonwinning, and round22 segment-mode-base diagnostics left 8652 exceptions after the best exp+mant_hi8 patch. No materially new exact generator was ready, so no unverified RTL was emitted."
ex225,fp16,,ex225|fp16_log10_cordic_table_interp_residual_sharing|dossier_only|shared_exp_mant_residual_plan_without_verified_generator|not_run|DAZ_log10_FP16_RNE_FTZ|blocker,blocked_no_material_candidate_ready,"Round23 requires a materially new FP log CORDIC/table-interpolation residual-sharing family. Prior exact families already exclude broad casez, full positive tables, selected-bit BDD/cube/table rewrites, fixed-point exponent-base normalizers with deep rounding, sparse residual replay, and full bit-run predicate replay. No exact generator was ready at file-first checkpoint, so no unverified RTL was emitted.",student/work/ex200_ex299_frontend_refgap_round23_20260613_0317/mixed-leftovers-r23/ex225/dossier.md,student/work/ex200_ex299_frontend_refgap_round23_20260613_0317/mixed-leftovers-r23/ex225/dossier.md,mixed-leftovers-r23,ex200_ex299_frontend_refgap_round23_20260613_0317,"Round23 requires a materially new FP log CORDIC/table-interpolation residual-sharing family. Prior exact families already exclude broad casez, full positive tables, selected-bit BDD/cube/table rewrites, fixed-point exponent-base normalizers with deep rounding, sparse residual replay, and full bit-run predicate replay. No exact generator was ready at file-first checkpoint, so no unverified RTL was emitted."
ex240,float_fp8,E4M3FN packed add,ex240|E4M3FN packed add|round23 diff-sign cancellation formula not yet implemented|shared same-sign GRS diff-sign renormalizer and sign magnitude selection|no_synthesis|exact_e4m3fn_add_high_plus_low|source-new_diff_cancel_pipeline,BLOCKED_NO_MATERIAL_NEW_CANDIDATE_READY,No materially different source candidate was ready after reading the ex240 case evidence. Evidence: case index reports 46 frontend attempts; round22 blocker says same-GRS/diff-param replay and threshold table BDD variants are low-value; case notes show current frontend 590/51/30090 and round9 threshold quantizer 2098/146/306308.,student/work/ex200_ex299_frontend_refgap_round23_20260613_0317/fp8-arith-r23/ex240/notes/ex240_round23_dossier.md,student/work/ex200_ex299_frontend_refgap_round23_20260613_0317/fp8-arith-r23/ex240/notes/ex240_round23_dossier.md,fp8-arith-r23,ex200_ex299_frontend_refgap_round23_20260613_0317,Diagnostic blocker only; no official evaluate.py candidate is claimed for ex240 in this checkpoint.
ex241,float_fp8,E4M3FN packed multiply,ex241|E4M3FN packed multiply|round23 shallow normalized product formula not yet implemented|shared exponent sum product leading-bit round and boundary exception predicates|no_synthesis|exact_e4m3fn_mul_high_times_low|source-new_product_formula_pipeline,BLOCKED_NO_MATERIAL_NEW_CANDIDATE_READY,No materially different source candidate was ready after reading the ex241 case evidence. Evidence: case index reports 43 frontend attempts; round22 blocker says nested product table product formula BDD bit-table and synthflow variants are low-value; case notes show current frontend 536/29/15544 and product formula exception 562/69/38778.,student/work/ex200_ex299_frontend_refgap_round23_20260613_0317/fp8-arith-r23/ex241/notes/ex241_round23_dossier.md,student/work/ex200_ex299_frontend_refgap_round23_20260613_0317/fp8-arith-r23/ex241/notes/ex241_round23_dossier.md,fp8-arith-r23,ex200_ex299_frontend_refgap_round23_20260613_0317,Diagnostic blocker only; no official evaluate.py candidate is claimed for ex241 in this checkpoint.
ex242,float_fp8,E4M3FN packed low-over-high division,ex242|E4M3FN packed division|round23 compact quotient boundary formula not yet implemented|shared divisor special exponent-delta quotient round saturation and subnormal boundary predicates|no_synthesis|exact_e4m3fn_div_low_over_high|source-new_quotient_boundary_pipeline,BLOCKED_NO_MATERIAL_NEW_CANDIDATE_READY,No materially different source candidate was ready after reading the ex242 case evidence. Evidence: case index reports 42 frontend attempts; round22 blocker says clean sparse quotient formula delta table bit exception BDD and broad field-table routes are low-value; case notes show current frontend 1266/20/25320 and compact formula 1028/25/25700.,student/work/ex200_ex299_frontend_refgap_round23_20260613_0317/fp8-arith-r23/ex242/notes/ex242_round23_dossier.md,student/work/ex200_ex299_frontend_refgap_round23_20260613_0317/fp8-arith-r23/ex242/notes/ex242_round23_dossier.md,fp8-arith-r23,ex200_ex299_frontend_refgap_round23_20260613_0317,Diagnostic blocker only; no official evaluate.py candidate is claimed for ex242 in this checkpoint.
ex244,float_fp8,E4M3FN packed hypot,ex244|E4M3FN packed hypot|round23 shallow delta predicate not yet implemented|shared abs max min gap sig and delta critical-path predicates|no_synthesis|exact_e4m3fn_hypot_abs_high_low|source-new_shallow_delta_bits,BLOCKED_NO_MATERIAL_NEW_CANDIDATE_READY,No materially different source candidate was ready after reading the ex244 case evidence. Evidence: case index reports 38 frontend attempts and round22 max-eff delta BDD replay was official evaluate.py OK at 301/34/10234 but tied current frontend and stayed above reference 4272; case notes say max-eff BDD replay and small-gap gating should not be repeated and future work needs shallower delta-bit or max/min critical-path reduction.,student/work/ex200_ex299_frontend_refgap_round23_20260613_0317/fp8-arith-r23/ex244/notes/ex244_round23_dossier.md,student/work/ex200_ex299_frontend_refgap_round23_20260613_0317/fp8-arith-r23/ex244/notes/ex244_round23_dossier.md,fp8-arith-r23,ex200_ex299_frontend_refgap_round23_20260613_0317,Diagnostic blocker only; no official evaluate.py candidate is claimed for ex244 in this checkpoint.
